displayName,description,suggestedAction,documentationLink,provider,category,service,level,mitre_tactic,mitre_technique,mitre_id,mitre_link
An EC2 instance has communicated on an unusual port (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when an EC2 instance communicates on a port that is not consistent with its normal traffic pattern.  This could be an indication that the instance has been compromised.
",Verify health of associated EC2 instance and remediate if necessary.,https://kb.securestate.vmware.com/aws-guardduty-network-port-unusual.html,aws,Behavior,ec2,Medium,Command And Control,Uncommonly Used Port,T1065,https://attack.mitre.org/techniques/T1065/
An EC2 instance has communicated on the SMTP port (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when an EC2 instance has communicated on the SMTP port (TCP port 25) and this activity is unusual for that instance.  This may be evidence that the instance has been compromised and is being used as an email spambot.
",Verify health of associated EC2 instance and remediate if necessary.,https://kb.securestate.vmware.com/aws-guardduty-spambot.html,aws,Backdoor,ec2,Medium,Command And Control,Commonly Used Port,T1043,https://attack.mitre.org/techniques/T1043/
An EC2 instance has communicated with an IP address associated with XorDDoS malware (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when an EC2 instance has communicated with an IP address associated with the XorDDoS malware package.  This traffic probably indicates that the instance has been compromised and is being used by the XorDDoS botnet.
",Verify health of associated EC2 instance and remediate if necessary.,https://kb.securestate.vmware.com/aws-guardduty-xorddos.html,aws,Backdoor,ec2,High,Impact,Resource Hijacking,T1496,https://attack.mitre.org/techniques/T1496/
An EC2 instance has generated an unusual amount of network traffic (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when an EC2 instance generates an unusually large amount of network traffic.  This may be an indication that the instance has been compromised or is misconfigured.
",Verify health of associated EC2 instance and remediate if necessary.,https://kb.securestate.vmware.com/aws-guardduty-traffic-volume-unusual.html,aws,Backdoor,ec2,Medium,Impact,Resource Hijacking,T1496,https://attack.mitre.org/techniques/T1496/
An EC2 instance has queried DNS for a domain name associated with phishing activity (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when an EC2 instance queries DNS for a domain name that Amazon has previously determined to be involved in phishing activities.  This might mean that a user of the instance is connecting to a phishing site or that the instance itself has been compromised.
",Verify health of associated EC2 instance and remediate if necessary.,https://kb.securestate.vmware.com/aws-guardduty-phishing-domain-request-not-dns.html,aws,Trojan,ec2,High,Not Available,Not Available,Not Available,Not Available
"An EC2 instance has queried DNS for a domain name that is associated with ""drive-by"" downloads (GuardDuty)","Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when an EC2 instance queries DNS for hosts that are known to distribute malware.  If your instance has made such a request, it is possible that it has been exposed to malware.
",Verify health of associated EC2 instance and remediate if necessary.,https://kb.securestate.vmware.com/aws-guardduty-drive-by-source-traffic-not-dns.html,aws,Trojan,ec2,High,Not Available,Not Available,Not Available,Not Available
An EC2 instance has queried DNS for a known algorithm-generated domain name (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when an EC2 instance queries DNS for domain names that appear to have been generated by domain generation algorithms (DGAs) and that are considered to be known risks due to previous detections.  DGAs are often used to establish multiple points of contact for malware.  If your instance is attempting to communicate with such a domain, it has probably been compromised.
",Verify health of associated EC2 instance and remediate if necessary.,https://kb.securestate.vmware.com/aws-guardduty-dga-domain-request.c-not-dns.html,aws,Trojan,ec2,High,Command And Control,Domain Generation Algorithms,T1483,https://attack.mitre.org/techniques/T1483/
An EC2 instance has received an API call from the Tor network (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when an EC2 instance has received an API from an exit node on the Tor network.  This may be evidence that your account has been compromised and that the attacker is using Tor to conceal identity or origin data.
",Verify that IAM credentials used for this API access are valid and needed. Change credentials if there is any doubt.,https://kb.securestate.vmware.com/aws-guardduty-tor-ip-caller-unauthorized-iamuser.html,aws,UnauthorizedAccess,iam,Medium,Command And Control,Multi-hop Proxy,T1188,https://attack.mitre.org/techniques/T1188/
An EC2 instance has received an API call from the Tor network requesting configuration information (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when an EC2 instance has received an API from an exit node on the Tor network.  The API call was an attempt to read configuration information.  This may be evidence of a reconnaissance action in which the attacker is using the Tor network to conceal their origin and identity.
",Verify that IAM credentials used for this API access are valid and needed. Change credentials if there is any doubt.,https://kb.securestate.vmware.com/aws-guardduty-tor-ip-caller-recon-iamuser.html,aws,Recon,iam,Medium,Command And Control,Multi-hop Proxy,T1188,https://attack.mitre.org/techniques/T1188/
An EC2 instance has received traffic from the Tor network (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when an EC2 instance received traffic from an exit node on the Tor network.  Attackers may use the Tor network to conceal their origin and identity.
",Verify health of associated EC2 instance and remediate if necessary.,https://kb.securestate.vmware.com/aws-guardduty-tor-ip-caller-ec2-iamuser.html,aws,UnauthorizedAccess,ec2,Medium,Command And Control,Multi-hop Proxy,T1188,https://attack.mitre.org/techniques/T1188/
An EC2 instance has sent a DNS request that contains extraneous data (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when an EC2 instance makes DNS requests that contain extraneous data.  When a DNS request contains additional data, it may be an indication that an attacker is using DNS to send data from a compromised instance to a DNS server that is under the attacker's control.
",Verify health of associated EC2 instance and remediate if necessary.,https://kb.securestate.vmware.com/aws-guardduty-dns-data-exfiltration.html,aws,Trojan,ec2,High,Not Available,Not Available,Not Available,Not Available
An EC2 instance is behaving in a manner that may indicate it is being used to perform a Denial of Service (DoS) attack using an unusual protocol (GuardDuty),"This finding informs you that there is an EC2 instance in your AWS environment that is generating a large volume of outbound traffic of an unusual protocol type that is not typically used by EC2 instances (for example, Internet Group Management Protocol). This may indicate that the instance is compromised and is being used to perform Denial-of-Service (DoS) attacks using an unusual protocol. This finding detects DoS attacks only against publicly routable IP addresses, which are primary targets of DoS attacks.
",Verify health of associated EC2 instance and remediate if necessary.,https://kb.securestate.vmware.com/aws-guardduty-backdoor-ec2-denial-of-service-unusual-protocol.html,aws,Backdoor,ec2,High,Impact,Resource Hijacking,T1496,https://attack.mitre.org/techniques/T1496/
An EC2 instance is behaving in a manner that may indicate it is being used to perform a Denial of Service (DoS) attack using the DNS protocol (GuardDuty),"This finding informs you that there is an EC2 instance in your AWS environment that is generating a large volume of outbound DNS traffic. This may indicate that the instance is compromised and is being used to perform Denial-of-Service (DoS) attacks using DNS protocol. This finding detects DoS attacks only against publicly routable IP addresses, which are primary targets of DoS attacks.
",Verify health of associated EC2 instance and remediate if necessary.,https://kb.securestate.vmware.com/aws-guardduty-backdoor-ec2-denial-of-service-dns.html,aws,Backdoor,ec2,High,Impact,Resource Hijacking,T1496,https://attack.mitre.org/techniques/T1496/
An EC2 instance is behaving in a manner that may indicate it is being used to perform a Denial of Service (DoS) attack using the TCP protocol (GuardDuty),"This finding informs you that there is an EC2 instance in your AWS environment that is generating a large volume of outbound TCP traffic. This may indicate that the instance is compromised and is being used to perform Denial-of-Service (DoS) attacks using TCP protocol. This finding detects DoS attacks only against publicly routable IP addresses, which are primary targets of DoS attacks.
",Verify health of associated EC2 instance and remediate if necessary.,https://kb.securestate.vmware.com/aws-guardduty-backdoor-ec2-denial-of-service-tcp.html,aws,Backdoor,ec2,High,Impact,Resource Hijacking,T1496,https://attack.mitre.org/techniques/T1496/
An EC2 instance is behaving in a manner that may indicate it is being used to perform a Denial of Service (DoS) attack using the UDP protocol (GuardDuty),"This finding informs you that there is an EC2 instance in your AWS environment that is generating a large volume of outbound UDP traffic. This may indicate that the instance is compromised and is being used to perform Denial-of-Service (DoS) attacks using UDP protocol. This finding detects DoS attacks only against publicly routable IP addresses, which are primary targets of DoS attacks..
",Verify health of associated EC2 instance and remediate if necessary.,https://kb.securestate.vmware.com/aws-guardduty-backdoor-ec2-denial-of-service-udp.html,aws,Backdoor,ec2,High,Impact,Resource Hijacking,T1496,https://attack.mitre.org/techniques/T1496/
An EC2 instance is behaving in a manner that may indicate it is being used to perform a Denial of Service (DoS) attack using the UDP protocol on a TCP port (GuardDuty),"This finding informs you that there is an EC2 instance in your AWS environment that is generating a large volume of outbound UDP traffic targeted to a port that is typically used for TCP communication. This may indicate that the instance is compromised and is being used to perform a Denial-of-Service (DoS) attacks using UDP protocol on a TCP port. This finding detects DoS attacks only against publicly routable IP addresses, which are primary targets of DoS attacks.
",Verify health of associated EC2 instance and remediate if necessary.,https://kb.securestate.vmware.com/aws-guardduty-backdoor-ec2-denial-of-service-udp-on-tcp-ports.html,aws,Backdoor,ec2,High,Impact,Resource Hijacking,T1496,https://attack.mitre.org/techniques/T1496/
An EC2 instance is communicating with a black hole IP address (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  A host that is acting as a black hole discards traffic silently.  Either your instance or a host that it communicates with may have been compromised.
",Verify health of associated EC2 instance and remediate if necessary.,https://kb.securestate.vmware.com/aws-guardduty-blackhole-traffic.html,aws,Trojan,ec2,Medium,Not Available,Not Available,Not Available,Not Available
An EC2 instance is communicating with a Tor gateway (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when an EC2 instance has communicated with a Tor Guard or Authority node.  Traffic to Tor gateways probably indicates that the instance is running Tor client, which may be an indication that the instance has been compromised.
",Verify health of associated EC2 instance and remediate if necessary.,https://kb.securestate.vmware.com/aws-guardduty-tor-client.html,aws,UnauthorizedAccess,ec2,High,Command And Control,Multi-hop Proxy,T1188,https://attack.mitre.org/techniques/T1188/
An EC2 instance is configured with administrator level access,"An EC2 instance is configured with an IAM role that provies adminstrator permissions.  If the instance is compromised, an attacker would be able to make use of these permissions.
",You should configure EC2 instances with the minimum level of permissions required.,https://kb.securestate.vmware.com/iam-instance-role-is-admin.html,aws,Security,user,High,"Initial Access,Persistence,Defense Evasion,Privlege Escalation",Valid Accounts,T1078,https://attack.mitre.org/techniques/T1078/
An EC2 instance is generating traffic that suggests that it is acting as a Tor relay (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when an EC2 instance generates traffic which is consistent with a Tor relay.  Tor relays are nodes in the Tor network that help to conceal the origin of connections.  The presence of a Tor relay may be an indication that the EC2 instance was compromised.
",Verify health of associated EC2 instance and remediate if necessary.,https://kb.securestate.vmware.com/aws-guardduty-tor-relay.html,aws,UnauthorizedAccess,ec2,High,Command And Control,Multi-hop Proxy,T1188,https://attack.mitre.org/techniques/T1188/
An EC2 instance that is configured with an administrator role publicly accessible through a security group,"An EC2 instance that is accessible from the public Internet is configured with a role that has administrative privileges.  You should configure the instance with a role that provides the minimum privileges that are required for the instance.
",You should restrict the EC2 role to only those privileges that are required for the instance.,https://kb.securestate.vmware.com/public-admin-role-instance.html,aws,Security,ec2,High,Initial Access,Exploit Public-Facing Application,T1190,https://attack.mitre.org/techniques/T1190/
An EC2 instance's FTP control port (21) is accessible from the public Internet,"Because FTP is a plain text protocol, the FTP ports are attractive targets for attackers.  At minimum, you should configure the security group to restrict access to the FTP control port, TCP port 21.  We recommend that you disable access to FTP and use a more secure file transfer service.
",You should restrict access to the FTP control port.,https://kb.securestate.vmware.com/public-instance-open-TCP-21.html,aws,Security,ec2,High,"Initial Access,Discovery","Exploit Public-Facing Application,System Network Connections Discovery","T1190,T1049","https://attack.mitre.org/techniques/T1190/,https://attack.mitre.org/techniques/T1049/"
An EC2 instance's FTP data port (20) is accessible from the public Internet,"Because FTP is a plain text protocol, the FTP ports are attractive targets for attackers.  At minimum, you should configure the security group to restrict access to the FTP data port, TCP port 20.  We recommend that you disable access to FTP and use a more secure file transfer service.
",You should restrict access to the FTP data port.,https://kb.securestate.vmware.com/public-instance-open-TCP-20.html,aws,Security,ec2,High,"Initial Access,Discovery","Exploit Public-Facing Application,System Network Connections Discovery","T1190,T1049","https://attack.mitre.org/techniques/T1190/,https://attack.mitre.org/techniques/T1049/"
An EC2 instance's MongoDB server port (27017) is accessible from the public Internet for any source address,"Because it is commonly used for database access, the default MongoDB listener port is an attractive target for attackers.  We recommend that you restrict access to the MongoDB port (TCP 27017) with a security group.
",You should restrict access to the MongoDB server port.,https://kb.securestate.vmware.com/public-instance-world-open-TCP-27017.html,aws,Security,ec2,High,"Initial Access,Discovery","Exploit Public-Facing Application,System Network Connections Discovery","T1190,T1049","https://attack.mitre.org/techniques/T1190/,https://attack.mitre.org/techniques/T1049/"
An EC2 instance's MySQL server port (3306) is accessible from the public Internet for any source address,"Because it is commonly used for database access, the default MySQL Server listener port is an attractive target for attackers.  We recommend that you restrict access to the MySQL port (TCP 3306) with a security group.
",You should restrict access to the MySQL server port.,https://kb.securestate.vmware.com/public-instance-world-open-TCP-3306.html,aws,Security,ec2,High,"Initial Access,Discovery","Exploit Public-Facing Application,System Network Connections Discovery","T1190,T1049","https://attack.mitre.org/techniques/T1190/,https://attack.mitre.org/techniques/T1049/"
An EC2 instance's Oracle SQL port (1521) is accessible from the public Internet for any source address,"Because it is commonly used for database access, the default Oracle SQL Listener port is an attractive target for attackers.  We recommend that you restrict access to the Oracle SQL port (TCP 1521) with a security group.
",You should restrict access to the Oracle SQL port.,https://kb.securestate.vmware.com/public-instance-world-open-TCP-1521.html,aws,Security,ec2,High,"Initial Access,Discovery","Exploit Public-Facing Application,System Network Connections Discovery","T1190,T1049","https://attack.mitre.org/techniques/T1190/,https://attack.mitre.org/techniques/T1049/"
An EC2 instance's PostgreSQL server port (5432) is accessible from the public Internet for any source address,"Because it is commonly used for database access, the default PostgreSQL Server listener port is an attractive target for attackers.  We recommend that you restrict access to the PostgreSQL port (TCP 5432) with a security group.
",You should restrict access to the PostgreSQL server port.,https://kb.securestate.vmware.com/public-instance-world-open-TCP-5432.html,aws,Security,ec2,High,"Initial Access,Discovery","Exploit Public-Facing Application,System Network Connections Discovery","T1190,T1049","https://attack.mitre.org/techniques/T1190/,https://attack.mitre.org/techniques/T1049/"
An EC2 instance's Redshift port (5439) is accessible from the public Internet for any source address,"Because it is well known port, the default Redshift port is an attractive target for attackers.  We recommend that you restrict access to the Redshift port (TCP 5439) with a security group.
",You should restrict access to the Redshift port.,https://kb.securestate.vmware.com/public-instance-world-open-TCP-5439.html,aws,Security,ec2,High,"Initial Access,Discovery","Exploit Public-Facing Application,System Network Connections Discovery","T1190,T1049","https://attack.mitre.org/techniques/T1190/,https://attack.mitre.org/techniques/T1049/"
An EC2 instance's Remote Desktop port (3389) is accessible from the public Internet for any source address,"Because it is commonly used for administrative access, the Remote Desktop Protocol is an attractive target for attackers.  CIS 4.2 recommends that you restrict access to the RDP port (TCP 3389) with a security group.
",You should restrict access to the Remote Desktop port.,https://kb.securestate.vmware.com/public-instance-world-open-TCP-3389.html,aws,Security,ec2,High,"Initial Access,Discovery","Exploit Public-Facing Application,System Network Connections Discovery","T1190,T1049","https://attack.mitre.org/techniques/T1190/,https://attack.mitre.org/techniques/T1049/"
An EC2 instance's SQL Server port (1433) is accessible from the public Internet for any source address,"Because it is commonly used for database access, the default SQL Server port is an attractive target for attackers.  We recommend that you restrict access to the SQL Server port (TCP 1433) with a security group.
",You should restrict access to the SQL server port.,https://kb.securestate.vmware.com/public-instance-world-open-TCP-1433.html,aws,Security,ec2,High,"Initial Access,Discovery","Exploit Public-Facing Application,System Network Connections Discovery","T1190,T1049","https://attack.mitre.org/techniques/T1190/,https://attack.mitre.org/techniques/T1049/"
An EC2 instance's SSH port (22) is accessible from the public Internet for any source address,"Because it is commonly used for administrative access, the SSH port is an attractive target for attackers.  CIS 4.1 recommends that you restrict access to the SSH port (TCP 22) with a security group.
",You should configure security groups to prevent SSH access from the Internet.,https://kb.securestate.vmware.com/public-instance-world-open-TCP-22.html,aws,Security,ec2,High,"Initial Access,Discovery","Exploit Public-Facing Application,System Network Connections Discovery","T1190,T1049","https://attack.mitre.org/techniques/T1190/,https://attack.mitre.org/techniques/T1049/"
An EC2 instance's TCP port 8080 is accessible from the public Internet for any source address,"TCP port 8080 has historically had diverse uses, as an alternate web server port, for development environments, and for HTTP proxies.  Often, these alternative services are not as well secured as the HTTP and HTTPS ports.  We recommend that you restrict access to TCP port 8080 with a security group.
",You should restrict access to TCP port 8080.,https://kb.securestate.vmware.com/public-instance-open-TCP-8080.html,aws,Security,ec2,High,"Initial Access,Discovery","Exploit Public-Facing Application,System Network Connections Discovery","T1190,T1049","https://attack.mitre.org/techniques/T1190/,https://attack.mitre.org/techniques/T1049/"
An EC2 instance's Telnet port (23) is accessible from the public Internet,"Because Telnet is a plain text protocol, the Telnet port (TCP 23) is an attractive target for attackers.  At minimum, you should configure the security group to restrict access to the Telnet port, TCP port 23.  We recommend that you disable access to Telnet and use SSH instead.
",You should restrict access to the Telnet port.,https://kb.securestate.vmware.com/public-instance-open-TCP-23.html,aws,Security,ec2,High,"Initial Access,Discovery","Exploit Public-Facing Application,System Network Connections Discovery","T1190,T1049","https://attack.mitre.org/techniques/T1190/,https://attack.mitre.org/techniques/T1049/"
An EC2 security group does not contain any instances or groups,"You should delete unused security groups in order to both manage configuration complexity and tighten security.
",You should delete unused security groups.,https://kb.securestate.vmware.com/ec2-not-used-security-groups.html,aws,Security,ec2,Low,Not Available,Not Available,Not Available,Not Available
An encryption key has no scheduled expiration,"Azure Key Vault allows you to set an expiration for each encryption key.  CIS 8.1 recommends that you set expirations for all keys.  Expiring and replacing cryptographic keys regularly will help to limit your exposure in the event that a key is compromized.  Keys do not expire by default; you must enable this feature.
",You should schedule expiration dates for all encryption keys in order to ensure that you rotate keys regularly.,https://kb.securestate.vmware.com/azure-key-vault-expiry-date-set-for-all-keys.html,azure,Security,Microsoft.KeyVault,Medium,Not Available,Not Available,Not Available,Not Available
An IAM account has not been used for 90 days or longer,"IAM accounts that are inactive may be neglected or forgotten.  CIS 1.3 recommends that you disable the access keys of any IAM users that have not been active for 90 days or more.
",You should disable the access keys of any IAM accounts that are not in active use.,https://kb.securestate.vmware.com/iam-unused-access.html,aws,Security,user,Low,"Initial Access,Persistence,Defense Evasion,Privlege Escalation",Valid Accounts,T1078,https://attack.mitre.org/techniques/T1078/
An IAM account that has not been used recently has an active password,"IAM accounts that are inactive may be neglected or forgotten.  Amazon recommends that you disable inactive IAM accounts.  You can disable the account by removing its password or you can delete the account.
",You should remove the passwords from inactive accounts or delete them entirely.,https://kb.securestate.vmware.com/iam-user-password-not-used.html,aws,Security,iam,Low,"Initial Access,Persistence,Defense Evasion,Privlege Escalation",Valid Accounts,T1078,https://attack.mitre.org/techniques/T1078/
An IAM account uses in-line policies,"AWS provides two methods for applying policies to IAM identities.  Inline policies are specific to a particular IAM identity.  Managed policies stand alone and can be applied to any number of IAM identities.  Amazon recommends that you use managed policies whenever possible for improved efficiency and security.  CIS 1.16 further recommends that you attach managed policies only to groups or roles and never to users.  Users will then inherit permissions from their groups, which requires less administration.
",You should use managed policies instead of in-line policies.,https://kb.securestate.vmware.com/iam-user-attached-policies.html,aws,Access,iam,Low,"Initial Access,Persistence,Defense Evasion,Privlege Escalation",Valid Accounts,T1078,https://attack.mitre.org/techniques/T1078/
An IAM modification API call was made from an IP address that you previously identified as a threat (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  GuardDuty reports when an API call originates from an IP address that you have previously classified as a malicious address and included in a threat list.  The API call attempted to modify the properties of an IAM user.  This may be evidence of unauthorized access to your account.
",Verify that IAM credentials used for this API access are valid and needed. Change credentials if there is any doubt.,https://kb.securestate.vmware.com/aws-guardduty-malicious-ip-caller.custom-unauthorized-iamuser.html,aws,UnauthorizedAccess,iam,Medium,Not Available,Not Available,Not Available,Not Available
An IAM password has not been changed since the CloudBleed exploit,"CloudBleed may have exposed private data on the CloudFlare network. The bug was fixed by the Cloudflare team on February 20, 2017 at 21:59UTC.  We recommend that you require all users to change their console access passwords after any sort of security event to limit the potential for an attacker to use exposed data.
",You should require IAM users to change their passwords if they have not been changed since the CloudBleed exploit.,https://kb.securestate.vmware.com/iam-cloudbleed-passwords-not-rotated.html,aws,Security,iam,High,"Initial Access,Persistence,Defense Evasion,Privlege Escalation",Valid Accounts,T1078,https://attack.mitre.org/techniques/T1078/
An IAM policy has unlimited administrative privileges,"It is possible to define an IAM policy that allows full administrative control, but this largely defeats the purpose of such a policy.  Best practice is always to limit account permissions to only those that are routinely required.  CIS 1.22 recommends that you create policies with the minimum permissions necessary to perform a particular task.
",You should limit IAM policies to the minimum necessary permissions.,https://kb.securestate.vmware.com/iam-omnipotent-policy.html,aws,Access,user,High,"Initial Access,Persistence,Defense Evasion,Privlege Escalation",Valid Accounts,T1078,https://attack.mitre.org/techniques/T1078/
An IAM user account is configured with administrator privileges,"It is possible to configure an IAM user that allows full administrative control, but this largely defeats the purpose of such a account.  Best practice is always to limit account permissions to only those that are routinely required.  CIS 1.22 recommends that you create policies with the minimum permissions necessary to perform a particular task.
",You should limit IAM users to the minimum necessary permissions.,https://kb.securestate.vmware.com/instance-has-public-access-and-full-s3-privileges.html,aws,Security,ec2,High,"Initial Access,Persistence,Defense Evasion,Privlege Escalation",Valid Accounts,T1078,https://attack.mitre.org/techniques/T1078/
An IAM user account is configured with administrator privileges,"It is possible to configure an IAM user that allows full administrative control, but this largely defeats the purpose of such a account.  Best practice is always to limit account permissions to only those that are routinely required.  CIS 1.22 recommends that you create policies with the minimum permissions necessary to perform a particular task.
",You should limit IAM users to the minimum necessary permissions.,https://kb.securestate.vmware.com/instance-has-public-access-and-full-s3-privileges.html,aws,Security,ec2,High,"Initial Access,Persistence,Defense Evasion,Privlege Escalation",Valid Accounts,T1078,https://attack.mitre.org/techniques/T1078/
An IAM user account is configured with multiple access keys,"An IAM user account is configured with multiple access keys.  In most cases, this situation occurs when the account still contains older access keys that are no longer used.  You should restrict IAM users to a single access key whenever possible or, better yet, use IAM roles with temporary access.
",You should limit the use of access keys.,https://kb.securestate.vmware.com/iam-multiple-keys.html,aws,Access,iam,Low,"Initial Access,Persistence,Defense Evasion,Privlege Escalation",Valid Accounts,T1078,https://attack.mitre.org/techniques/T1078/
An inactive IAM key has not been rotated in the past 90 days,"AWS IAM keys present a security risk if they are not managed carefully.  In many cases, it is better to use IAM roles and generate temporary security credentials, rather than to issue user-based credentials of unlimited duration.  When you use IAM keys, CIS 1.4 recommends that you rotate keys every 90 days.  Amazon recommends that you also check when keys were last used in order to determine if they are still active.
",You should require IAM key rotation on a 90 day interval to reduce the risk of lost or stolen keys.,https://kb.securestate.vmware.com/iam-inactive-key-no-rotation.html,aws,Access,iam,Medium,Not Available,Not Available,Not Available,Not Available
An instance is communicating with DNS addresses that are involved in cryptocurrency activity (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  If you are not mining or exchanging cryptocurrency and GuardDuty detects cryptocurrency traffic on one of your instances, it is possible that the instance has been compromised.
",Verify health of associated EC2 instance and remediate if necessary.,https://kb.securestate.vmware.com/aws-guardduty-bitcoin-tool.b-not-dns.html,aws,CryptoCurrency,ec2,Medium,Impact,Resource Hijacking,T1496,https://attack.mitre.org/techniques/T1496/
An instance is communicating with IP addresses that are involved in cryptocurrency activity (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  If you are not mining or exchanging cryptocurrency and GuardDuty detects cryptocurrency traffic on one of your instances, it is possible that the instance has been compromised.
",Verify health of associated EC2 instance and remediate if necessary.,https://kb.securestate.vmware.com/aws-guardduty-bitcoin-tool.b.html,aws,CryptoCurrency,ec2,High,Impact,Resource Hijacking,T1496,https://attack.mitre.org/techniques/T1496/
An instance is querying DNS for a black hole IP address (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  A host that is acting as a black hole discards traffic silently.  Your instance, a host with which it communicates, or DNS records may have been compromised.
",Verify health of associated EC2 instance and remediate if necessary.,https://kb.securestate.vmware.com/aws-guardduty-blackhole-traffic-not-dns.html,aws,Trojan,ec2,Medium,Not Available,Not Available,Not Available,Not Available
An instance is querying DNS for the address of a known botnet command and control host (GuardDuty),"Amazon GuardDuty provides monitoring and alerting based on analysis of VPC Flow Logs, CloudTrail logs, and DNS logs.  It can alert you about traffic to or from sources that are known to be malicious.  It can also identify unusual patterns in AWS account activity.  Botnets are run by command and control servers, so communications with a known C&C address are evidence that your instance has been compromised.
",Verify health of associated EC2 instance and remediate if necessary.,https://kb.securestate.vmware.com/aws-guardduty-c-and-c-activity.b-not-dns.html,aws,Backdoor,ec2,High,Not Available,Not Available,Not Available,Not Available
An RDS instance can be accessed from the Internet,"This rule checks for any AWS RDS instances that are marked publicly accessible.  When an RDS instance is marked publicly accessible and configured appropriately, hosts on the Internet can connect directly to the database.  We recommend that you provision RDS instances only within a VPC, that you disable public accesibility whenever possible, and that you use security groups to control access.
",You should disable public access to RDS instances.,https://kb.securestate.vmware.com/rds-db-publicly-accessible.html,aws,Security,rds,High,Collection,Data from Cloud Storage Object,T1530,https://attack.mitre.org/techniques/T1530/
