NUMBER,call,Station Name,,Latitude,Longitude,Elevation_Meter
157410,,SVILENGRAD,BU,41.766667,26.2,55
160080,,S. VALENTINO ALLA,IY,46.75,10.533333,1461
160083,LIVE,RESIA PASS        &,IY,46.833333,10.5,1800
160200,LIPB,BOLZANO(CIV/IT-AFB),IY,46.466667,11.333333,241
160210,LIVR,ROLLE PASS,IY,46.3,11.783333,2006
160220,LIVP,PAGANELLA MOUNTAIN,IY,46.15,11.033333,2129
160330,LIVD,DOBBIACO,IY,46.733333,12.216667,1226
160360,LIPA,AVIANO (IT/US-AFB),IY,46.033333,12.6,126
160365,,BECAME STN 160370,IY,46.033333,12.616667,126
160370,LIYW,AVIANO (USAF),IY,46.033333,12.616667,126
160400,LIVO,TARVISIO,IY,46.5,13.583333,778
160440,LIPD,UDINE/CAMPOFORMIDO,IY,46.033333,13.183333,94
160450,LIPI,RIVOLTO (IT-AFB),IY,45.983333,13.033333,53
160520,LIMH,PIAN ROSA (MTN TOP),IY,45.933333,7.7,3488
160540,,AOSTA (AUT),IY,45.733333,7.35,547
160590,LIMF,TORINO/CASELLE,IY,45.216667,7.65,287
160610,LIMK,TORINO/BRIC CROCE,IY,45.033333,7.733333,710
160640,LIMN,CAMERI (IT-AFB),IY,45.516667,8.666667,169
160660,LIMC,MILANO/MALPENSA,IY,45.616667,8.733333,211
160703,LIMD,GRIGNA SETTENTRION&,IY,45.95,9.383333,2403
160720,LIMO,BISBINO MOUNTAIN,IY,45.866667,9.066667,1322
160760,LIME,BERGAMO/ORIO SERIO,IY,45.666667,9.7,237
160800,LIML,MILANO/LINATE,IY,45.433333,9.283333,103
160840,LIMS,PIACENZA (IT-AFB),IY,44.916667,9.733333,138
160880,LIPL,GHEDI (IT-AFB),IY,45.416667,10.283333,92
160893,LIPN,VERONA/BOSCOMANTICO,IY,45.466667,10.933333,91
160900,LIPX,VILLAFRANCA(CV/MIL),IY,45.383333,10.866667,68
160923,LIVG,GRAPPA MOUNTAIN   &,IY,45.866667,11.8,1775
160940,LIPT,VICENZA(CIV/IT-AFB),IY,45.566667,11.516667,53
160950,LIPU,PADOVA (CIV/IT-AFB),IY,45.4,11.85,14
160955,LIPP,DOVA ACC,IY,45.4,11.866667,14
160963,LIVV,MOUNT VENDA       &,IY,45.316667,11.666667,575
160980,LIPS,ISTRANA (IT-AFB),IY,45.683333,12.1,41
160990,LIPH,TREVISO(CIV/IT-AFB),IY,45.65,12.183333,23
161003,LIPV,VENEZIA/SAN NICOLO,IY,45.433333,12.383333,4
161050,LIPZ,VENEZIA/TESSERA,IY,45.5,12.333333,6
161080,LIPQ,RONCHI LEGIONARI AB,IY,45.816667,13.483333,12
161100,LIVT,TRIESTE,IY,45.65,13.75,20
161140,,MONDOVI,IY,44.383333,7.816667,560
161150,LIMY,MALANOTTE MOUNTAIN&,IY,44.25,7.8,1742
161160,LIMQ,GOVONE,IY,44.8,8.1,315
161173,LIMZ,LEVALDIGI         &,IY,44.55,7.616667,380
161180,,NOVI LIGURE (AUT),IY,44.766667,8.783333,189
161190,LIMV,GIOVI PASS,IY,44.633333,8.933333,475
161200,LIMJ,GENOVA/SESTRI,IY,44.416667,8.85,3
161220,LIMG,ALBENGA,IY,44.05,8.116667,49
161240,LIMT,CISA PASS,IY,44.433333,9.933333,1040
161250,LIQW,SARZANA/LUNI,IY,44.083333,9.983333,10
161290,LIQP,PALMARIA ISLAND,IY,44.033333,9.833333,192
161303,LIMP,PARMA             &,IY,44.816667,10.3,50
161340,LIVC,CIMONE MOUNTAIN,IY,44.2,10.7,2173
161343,LIQD,PORRETTA PASS,IY,44.033333,10.933333,932
161380,LIPF,FERRARA (AUT),IY,44.833333,11.616667,10
161400,LIPE,BOLOGNA/BORGO (AFB),IY,44.533333,11.3,42
161440,,S. PIETRO CAPOFIUME,IY,44.65,11.616667,38
161460,LIVM,POINT MARINA/RAVENN,IY,44.45,12.3,6
161470,LIPK,FORLI (CIV/IT-AFB),IY,44.2,12.066667,32
161480,LIPC,CERVIA (IT-AFB),IY,44.216667,12.3,10
161490,LIPR,RIMINI (CIV/IT-AFB),IY,44.033333,12.616667,13
161500,,BOGUS ITALIAN,IY,0,0,54
161530,LIMU,CAPE MELE,IY,43.95,8.166667,221
161580,LIRP,PISA (CIV/IT-AFB),IY,43.683333,10.383333,1
161640,LIQV,VOLTERRA,IY,43.4,10.866667,575
161680,LIQO,MOUNT ARGENTARIO,IY,42.383333,11.166667,632
161700,LIRQ,FIRENZE/PERETOLA,IY,43.8,11.2,38
161720,LIQB,AREZZO,IY,43.466667,11.85,249
161743,LIQS,SIENA             &,IY,43.316667,11.35,322
161790,LIVF,FRONTONE,IY,43.516667,12.733333,574
161810,LIRZ,PERUGIA,IY,43.083333,12.5,205
161910,LIPY,FALCONARA (IT-AFB),IY,43.616667,13.366667,10
161970,LIRJ,M. CALAMITA,IY,42.733333,10.4,397
162040,LIQR,RADICOFANI,IY,42.9,11.766667,918
162060,LIRS,GROSSETO (IT-AFB),IY,42.75,11.066667,7
162140,LIQJ,CIVITAVECCHIA,IY,42.033333,11.833333,4
162160,LIRV,VITERBO (IT-MIL),IY,42.433333,12.083333,300
162190,LIRK,TERMINILLO MOUNTAIN,IY,42.466667,12.983333,1875
162210,LIQN,RIETI             &,IY,42.416667,12.85,389
162240,LIRB,VIGNA DI VALLE(MIL),IY,42.083333,12.216667,270
162253,LIBM,GROTTAMMARE,IY,42.983333,13.866667,1
162270,,FUCINO PLAIN (AUT),IY,41.883333,13.583333,655
162280,,PRETURO,IY,42.366667,13.3,671
162283,LIQI,GRAN SASSO MTN RNG&,IY,42.45,13.7,2138
162300,LIBP,PESCARA,IY,42.433333,14.2,11
162320,LIBT,TERMOLI,IY,42,15,44
162340,LIRG,GUIDONIA (IT-AFB),IY,42,12.733333,89
162350,LIRU,ROME/URBE (IT-AFB),IY,41.95,12.5,24
162390,LIRA,CIAMPINO(IT-AFB/CV),IY,41.8,12.55,101
162400,,ROME,IY,41.9,12.483333,95
162420,LIRF,ROME/FIUMICINO,IY,41.8,12.233333,3
162430,LIRL,LATINA (IT-AFB),IY,41.55,12.9,26
162440,LIRH,FROSINONE (IT-AFB),IY,41.633333,13.3,181
162450,LIRE,PRATICA DI MARE(AB),IY,41.65,12.433333,12
162493,LIQT,CAPE CIRCEO       &,IY,41.216667,13.05,3
162520,LIBS,CAMPOBASSO,IY,41.566667,14.65,807
162530,LIRM,GRAZZANISE (IT-AFB),IY,41.05,14.066667,10
162580,LIBE,SANT'ANGELO (MOUNT),IY,41.7,15.95,844
162603,LIBF,FOGGIA/GINO LISA  &,IY,41.433333,15.533333,80
162610,LIBA,AMENDOLA (IT-AFB),IY,41.533333,15.716667,60
162630,LIRT,TREVICO,IY,41.05,15.233333,1093
162663,LIBI,VIESTE            &,IY,41.916667,16.05,50
162700,LIBD,BARI/PALESE MACCHIE,IY,41.133333,16.783333,44
162800,LIQZ,PONZA ISLAND,IY,40.916667,12.95,185
162890,LIRN,NAPLES/CAPODICHINO,IY,40.85,14.3,72
162894,KQNN,NAPOLI (NAVY TAF),IY,40.883333,14.3,88
162923,LIRI,PONTECAGNANO (AFB)&,IY,40.616667,14.916667,40
162940,LIQC,CAPRI ISLAND,IY,40.55,14.25,269
163000,LIBZ,POTENZA,IY,40.633333,15.8,843
163100,LIQK,CAPE PALINURO,IY,40.016667,15.283333,185
163120,LIBV,GIOIA DEL COLLE AFB,IY,40.766667,16.933333,350
163160,LIBU,LATRONICO,IY,40.083333,16.016667,896
163183,LIBX,MARTINA FRANCA(AFB),IY,40.7,17.333333,447
163200,LIBR,BRINDISI/CASALE AFB,IY,40.65,17.95,10
163240,LIBG,GROTTAGLIE(CIV/AFB),IY,40.516667,17.4,69
163250,LIBH,MARINA DI GINOSA,IY,40.433333,16.883333,12
163320,LIBN,LECCE (IT-AFB),IY,40.233333,18.15,61
163343,LIBL,PALASCIA          &,IY,40.1,18.533333,89
163370,LIBW,BONIFATI (CAPE),IY,39.583333,15.883333,485
163383,LICM,CALOPEZZATI       &,IY,39.55,16.8,179
163440,LIBQ,SCURO MOUNTAIN,IY,39.333333,16.4,1720
163500,LIBC,CROTONE,IY,39,17.066667,161
163600,LIBY,SANTA MARIA DI LEUC,IY,39.816667,18.35,112
163620,LICA,LAMEZIA TERME,IY,38.9,16.25,15
163643,LIBK,CARAFFA DI CATANZAR,IY,38.883333,16.483333,343
163683,LIBJ,VIBO VALENTIA     &,IY,38.666667,16.1,520
164000,LICU,USTICA ISLAND,IY,38.7,13.183333,251
164050,LICJ,PALERMO/POINT RAISI,IY,38.183333,13.1,34
164100,LICP,PALMERO/BOCCADIFAL&,IY,38.1,13.3,117
164150,,SALINA ISLAND (AUT),IY,38.583333,14.866667,46
164200,LICF,MESSINA,IY,38.2,15.55,51
164220,LICR,REGGIO CALABRIA AFB,IY,38.066667,15.65,21
164290,LICT,TRAPANI/BIRGI (AFB),IY,37.916667,12.5,7
164340,LICX,PRIZZI,IY,37.716667,13.433333,1035
164363,LICS,SCIACCA           &,IY,37.516667,13.05,125
164500,LICE,ENNA,IY,37.566667,14.283333,965
164530,LICL,GELA,IY,37.083333,14.216667,33
164590,LICZ,SIGONELLA (NAS),IY,37.4,14.916667,22
164594,KQNS,SIGONELLA  NAVY TAF,IY,37.4,14.933333,22
164600,LICC,CATANIA/FONTANAROSA,IY,37.466667,15.05,17
164693,LICH,CAPE SPARTIVENTO  &,IY,37.916667,16.066667,17
164700,LICG,PANTELLERIA(IT-AFB),IY,36.816667,11.966667,191
164753,LICB,COMISO AS (USAF)  &,IY,36.933333,14.6,220
164800,LICO,COZZO SPADARO,IY,36.683333,15.133333,51
164900,LICD,LAMPEDUSA ISLAND,IY,35.5,12.6,20
165060,LIEG,GUARDIAVECCHIA,IY,41.216667,9.4,170
165200,LIEA,ALGHERO,IY,40.633333,8.283333,23
165220,LIEH,CAPE CACCIA,IY,40.566667,8.166667,205
165243,LIEM,MACOMER           &,IY,40.266667,8.783333,559
165310,LIEO,OLBIA/COSTA SMERALD,IY,40.9,9.516667,13
165380,LIEN,FONNI             &,IY,40.116667,9.25,1029
165390,LIEF,CAPE FRASCA,IY,39.75,8.466667,92
165410,LIEP,PERDASDEFOGU,IY,39.666667,9.433333,645
165420,LIEL,CAPE S. LORENZO,IY,39.5,9.616667,22
165460,LIED,DECIMOMANNU(IT-AFB),IY,39.35,8.966667,28
165490,,CARLOFORTE ISL(AUT),IY,39.133333,8.316667,12
165500,LIEB,CAPE BELLAVISTA,IY,39.933333,9.716667,156
165600,LIEE,CAGLIARI/ELMAS(AFB),IY,39.25,9.05,1
165640,LIEC,CAPE CARBONARA,IY,39.1,9.516667,118
165970,LMML,LUQA/MALTA,ML,35.85,14.483333,91
165974,LMMM,MALTA ACC,ML,35.9,14.533333,95
166130,,FLORINA,GR,40.783333,21.4,662
166140,LGKA,KASTORIA AIRPORT,GR,40.45,21.283333,669
166203,LGSD,SEDES (HEL-MIL)   &,GR,40.55,23.016667,57
166220,LGTS,THESSALONIKI/MIKRA,GR,40.516667,22.966667,4
166240,LGKV,KAVALA/CHRISOUPOLIS,GR,40.916667,24.616667,5
166250,LGKM,KAVALA/AMIGDHALEON,GR,40.933333,24.383333,62
166270,LGAL,ALEXANDROUPOLIS MIL,GR,40.85,25.916667,3
166320,LGKZ,KOZANI (CIV/ARMY),GR,40.3,21.783333,627
166410,LGKR,KERKIRA,GR,39.616667,19.916667,4
166420,LGIO,IOANNINA (CIV/ARMY),GR,39.7,20.816667,483
166430,LGPZ,PREVEZA/AKTION(AFB),GR,38.95,20.766667,4
166480,LGLR,LARISSA (HEL-AFB),GR,39.633333,22.416667,74
166500,LGLM,LIMNOS ISLAND ARPT,GR,39.916667,25.233333,4
166540,,ARTA/HALKIADES,GR,39.166667,21,11
166613,LGVO,VOLOS (CIV/MIL)   &,GR,39.366667,22.95,27
166650,LGBL,NEA ANCHIALOS(ARMY),GR,39.216667,22.8,15
166653,LGSK,SKIATHOS ISLAND,GR,39.183333,23.5,15
166670,LGMT,MITILINI,GR,39.066667,26.6,5
166720,LGAG,AGRINION (HEL-AFB),GR,38.616667,21.383333,47
166740,,ALIARTOS,GR,38.383333,23.1,110
166750,,LAMIA,GR,38.9,22.4,144
166820,LGAD,ANDRAVIDA (CIV/AFB),GR,37.916667,21.283333,12
166830,,KIMI,GR,38.633333,24.1,221
166840,,SKIROS ISLAND,GR,38.9,24.55,18
166850,LGKF,KEFALLINIA AIRPORT,GR,38.116667,20.5,22
166870,LGRX,ARAXOS (CIV/AFB),GR,38.166667,21.416667,15
166890,,PATRAI,GR,38.25,21.733333,3
166990,LGTG,TANAGRA (HEL-AFB),GR,38.316667,23.533333,140
167010,,ATHENS/FILADELFIA,GR,38.05,23.666667,138
167060,LGHI,CHIOS AIRPORT,GR,38.333333,26.133333,4
167100,LGTP,TRIPOLIS (HEL-AFB),GR,37.533333,22.4,652
167140,,ATHENS OBSERVATORY,GR,37.966667,23.716667,107
167150,LGTT,TATOI/DEKELIA (AFB),GR,38.1,23.783333,235
167160,LGAT,ATHENS/HELLENKION,GR,37.9,23.733333,15
167170,,PIRAEUS,GR,37.983333,23.566667,2
167180,LGEL,ELEFSIS (HEL-AFB),GR,38.066667,23.55,31
167193,LGZA,ZAKINTHOS AIRPORT &,GR,37.75,20.883333,3
167230,LGSM,SAMOS AIRPORT,GR,37.7,26.916667,7
167260,LGKL,KALAMATA (HEL-AFB),GR,37.066667,22.016667,8
167263,LGMK,MIKONOS ISLAND,GR,37.433333,25.35,123
167320,,NAXOS ISLAND,GR,37.1,25.383333,9
167340,,METHONI,GR,36.833333,21.7,34
167380,,MILOS,GR,36.716667,24.45,183
167420,LGKO,KOS AIRPORT,GR,36.783333,27.066667,129
167430,,KYTHIRA ISLAND,GR,36.283333,23.016667,167
167440,,THIRA ISLAND      &,GR,36.416667,25.433333,36
167443,LGSR,SANTORINI ISLAND,GR,36.4,25.483333,38
167460,LGSA,SOUDA/KHANIA (AFB),GR,35.483333,24.116667,151
167464,KQNC,SOUDA CRETE NOCD,GR,35.533333,24.15,150
167480,,KARPATHOS (TOWN),GR,35.5,27.216667,9
167490,LGRP,RHODES/PARADISSI  &,GR,36.4,28.083333,11
167493,LGRD,RHODES/MARITSA,GR,36.383333,28.116667,62
167540,LGIR,IRAKLION (CIV/AFB),GR,35.333333,25.183333,39
167560,,IERAPETRA,GR,35,25.733333,13
167570,,SITIA,GR,35.2,26.1,28
167580,,RETHYMNON,GR,35.35,24.516667,7
167590,,TYMBAKION,GR,35,24.75,7
167650,LGKP,KARPATHOS,GR,35.516667,27.25,6
169990,,UNKNOWN TEST STN,GR,0,0,
170220,LTAS,ZONGULDAK,TU,41.45,31.8,136
170240,,INEBOLU,TU,41.983333,33.783333,64
170260,,SINOP (CAPE),TU,42.033333,35.166667,32
170290,LTAQ,SAMSUN AIRPORT,TU,41.266667,36.3,168
170300,,SAMSUN CITY,TU,41.283333,36.333333,4
170340,,GIRESUN,TU,40.916667,38.4,38
170380,LTCG,TRABZON,TU,41,39.716667,30
170450,,ARTVIN,TU,41.166667,41.816667,30
170500,,EDIRNE,TU,41.666667,26.566667,48
170520,,KIRKLARELI,TU,41.733333,27.216667,232
170560,,TEKIRDAG,TU,40.983333,27.483333,4
170575,LTBU,CORLU,TU,41.133333,27.916667,173
170590,,KUMKOY/KILYOS,TU,41.3,29,30
170600,LTBA,ISTANBUL/ATATURK AB,TU,40.966667,28.816667,37
170620,,ISTANBUL/GOZTEPE,TU,40.966667,29.083333,33
170670,,GOLCUK/DUMLUPINAR,TU,40.716667,29.816667,18
170690,,ADAPAZARI,TU,40.783333,30.416667,30
170700,,BOLU,TU,40.733333,31.6,742
170740,LTAL,KASTAMONU,TU,41.366667,33.766667,799
170820,LTAP,MERZIFON (TUR-AFB),TU,40.85,35.583333,535
170840,,CORUM,TU,40.55,34.966667,837
170850,,AMASYA,TU,40.65,35.85,412
170860,LTAW,TOKAT,TU,40.3,36.566667,608
170880,,GUMUSHANE,TU,40.45,39.45,1219
170900,LTAR,SIVAS (CIV/MIL),TU,39.75,37.016667,1271
170920,LTCD,ERZINCAN,TU,39.733333,39.5,1215
170960,LTCE,ERZURUM (CIV/MIL),TU,39.916667,41.266667,1758
170980,LTCF,KARS,TU,40.6,43.083333,1775
170990,LTCB,AGRI,TU,39.716667,43.05,1632
171000,,IGDIR,TU,39.933333,44.033333,858
171100,,GOKCEADA ISLAND,TU,40.183333,25.9,72
171120,LTBH,CANAKKALE,TU,40.133333,26.4,3
171150,LTBG,BANDIRMA (CIV/AFB),TU,40.316667,27.966667,49
171160,LTBE,BURSA,TU,40.183333,29.066667,100
171175,LTBN,KUTAHYA (TUR-AFB),TU,39.433333,30.016667,921
171185,LTAV,SIVRIHISAR,TU,39.45,31.35,96
171200,LTAE,MURTED (TUR-AFB),TU,40.083333,32.566667,843
171240,LTBI,ESKISEHIR (TUR-AFB),TU,39.783333,30.566667,785
171273,,BECAME STN 171200,TU,40.083333,32.566667,843
171280,LTAC,ANKARA/ESENBOGA,TU,40.116667,32.983333,949
171290,LTAD,ANKARA/ETIMESGUT AB,TU,39.95,32.683333,806
171295,LTAB,ANKARA/GUVERCIN LIK,TU,39.933333,32.75,819
171300,,ANKARA/CENTRAL,TU,39.95,32.883333,894
171400,,YOZGAT,TU,39.833333,34.816667,1298
171500,LTBF,BALIKESIR (TUR-AFB),TU,39.616667,27.916667,102
171600,,KIRSEHIR,TU,39.133333,34.166667,1007
171620,,GEMEREK,TU,39.183333,36.05,1171
171700,LTCI,VAN,TU,38.45,43.316667,1661
171800,,DIKILI,TU,39.05,26.866667,3
171840,LTBT,AKHISAR (TUR-AFB),TU,38.916667,27.85,93
171860,,MANISA,TU,38.616667,27.433333,71
171880,LTBO,USAK,TU,38.666667,29.416667,919
171900,LTAH,AFYON (MIL),TU,38.75,30.533333,1034
171930,,NEVSEHIR,TU,38.616667,34.716667,1260
171950,LTAU,KAYSERI/ERKILET AFB,TU,38.783333,35.483333,1054
171963,LTAM,KAYSERI (CITY)    &,TU,38.716667,35.5,1043
172000,LTAT,MALATYA/ERHAC (AFB),TU,38.433333,38.083333,849
172005,LTBQ,TOPEL (TUR-AFB),TU,40.733333,30.083333,50
172020,LTCA,ELAZIG (CIV/MIL),TU,38.6,39.283333,882
172030,,BINGOL,TU,38.866667,40.5,1177
172040,,MUS,TU,38.733333,41.516667,1320
172043,LTCK,MUS (TUR-AFB)     &,TU,38.75,41.666667,1266
172050,,TATVAN,TU,38.516667,42.266667,1664
172100,,SIIRT,TU,37.933333,42,895
172180,LTBL,IZMIR/CIGLI(CV/AFB),TU,38.5,27.016667,5
172190,LTBJ,IZMIR/ADNAN MENDERE,TU,38.266667,27.15,120
172200,,IZMIR,TU,38.433333,27.166667,25
172340,LTBD,AYDIN,TU,37.85,27.85,57
172375,LTAY,CARDAK,TU,37.783333,29.7,849
172400,LTBM,ISPARTA,TU,37.75,30.55,997
172440,LTAN,KONYA (TUR-AFB),TU,37.966667,32.55,1006
172480,,EREGLI/KONYA,TU,37.5,34.066667,1044
172500,,NIGDE,TU,37.966667,34.683333,1208
172600,LTAJ,GAZIANTEP,TU,37.083333,37.366667,855
172700,LTCH,URFA/SANILURFA,TU,37.133333,38.766667,547
172750,,MARDIN,TU,37.3,40.733333,1050
172800,LTCC,DIYARBAKIR(CIV/AFB),TU,37.883333,40.183333,677
172820,LTCJ,BATMAN (TUR-AFB)  &,TU,37.866667,41.166667,540
172850,,HAKKARI,TU,37.566667,43.766667,1720
172900,,BODRUM,TU,37.033333,27.416667,27
172920,,MUGLA,TU,37.2,28.35,646
172950,LTBS,DALAMAN (COMMUNE),TU,36.7,28.783333,2
172980,,MARMARIS,TU,36.833333,28.266667,3
173000,LTAI,ANTALYA (CIV/MIL),TU,36.7,30.733333,57
173200,,ANAMUR,TU,36.1,32.833333,4
173300,,SILIFKE,TU,36.366667,33.933333,15
173400,,MERSIN,TU,36.816667,34.6,3
173500,LTAG,ADANA/INCIRLIK AFB,TU,37,35.416667,66
173510,,ADANA,TU,37.05,35.35,28
173520,LTAF,ADANA/SAKIRPASA,TU,36.983333,35.3,20
173700,LTAK,ISKENDERUN,TU,36.583333,36.166667,3
173750,,FINIKE,TU,36.3,30.15,3
176000,LCPH,PAPHOS/BAF INTL,CY,34.716667,32.483333,8
176010,LCRA,AKROTIRI (RAF),CY,34.583333,32.983333,23
176070,LCNC,NICOSIA/ATHALASSA,CY,35.15,33.4,161
176074,LCEN,ERCAN,CY,35.15,33.5,91
176090,LCLK,LARNACA/LARNAX ARPT,CY,34.883333,33.633333,2
200260,,VIKTORIYA ISLAND,RS,80.166667,36.75,9
200340,,NAGURSKOYE,RA,80.816667,47.416667,18
200460,,KRENKEL POLAR (ISL),RA,80.616667,58.05,20
200490,,TIKHAYA BAY,RA,80.366667,52.916667,46
200660,,USHAKOVA ISLAND,RA,80.833333,79.7,47
200690,,VIZE ISLAND,RA,79.5,76.983333,11
200870,,GOLOMJANNYJ ISLAND,RA,79.55,90.616667,8
200970,,CAPE PESCHANIY,RA,79.383333,102.416667,6
201070,,BARENCBURG,RS,78.066667,14.216667,49
201990,,MALYY TAYMIR ISLAND,RA,78.133333,107.2,12
202740,,UJEDINENIJA ISLAND,RA,77.5,82.233333,23
202770,,ISACHENKO ISLAND,RA,77.283333,89.666667,5
202890,,RUSSKIY ISLAND,RA,77.183333,96.583333,9
202910,,SOLNECHNAYA BAY,RA,78.233333,103.116667,30
202920,,CAPE CELJUSKIN/FEDO,RA,77.716667,104.3,13
202940,,GEYBERGA ISLAND,RA,77.616667,101.483333,6
203530,,CAPE ZELANIJA,RA,76.95,68.583333,8
203570,,RUSSKAYA GAVAN',RA,76.183333,63.566667,9
203880,,PRAVDY ISLAND,RA,76.283333,94.733333,10
204710,,TROYNOY ISLAND,RA,75.916667,83.25,12
204760,,CAPE STERLEGOVA,RA,75.4,88.783333,10
205940,,LAKE TAJMYR,RA,74.5,102.5,11
206650,,VILKICKOGO ISLAND,RA,73.5,76,4
206670,,BELY ISLAND/STANCIJ,RA,73.333333,70.033333,6
206740,,DIKSON ISLAND,RA,73.533333,80.4,47
206750,,MAKAROVA,RA,73.683333,85.25,15
206790,,TAREYA (STREAM),RA,73.25,90.916667,21
207440,,MALYE KARMAKULY,RA,72.366667,52.733333,16
207660,,LESKINO,RA,72.333333,79.5,10
208560,,CAPE KHARASOVOY,RA,71.4,67.633333,18
208620,,MONGATALYANG,RA,71.983333,75.4,21
208640,,TAMBEY,RA,71.483333,71.816667,8
208710,,SOPOCHNAYA KARGA,RA,71.9,82.716667,2
208910,,HATANGA,RA,71.983333,102.45,33
209430,,CAPE MENSHIKOVA,RA,70.716667,57.616667,14
209460,,CAPE BOLVANSKIJ,RA,70.45,59.066667,13
209630,,GYDA,RA,70.883333,78.5,8
209640,,TADIBE-YAKHA,RA,70.35,74.133333,4
209670,,SEJAHA,RA,70.166667,72.516667,16
209730,,KRESTI,RA,70.85,89.883333,29
209780,,KARAUL,RA,70.166667,83.133333,29
209820,,VOLOCHANKA,RA,70.983333,94.55,37
213010,,ANDREYA ISLAND,RA,76.8,110.833333,6
213580,,ZOHOVA ISLAND,RA,76.15,152.833333,14
214050,,B. PRONCHISHCHEVOY,RA,75.533333,113.516667,6
214320,,KOTEL'NYJ ISLAND,RA,76,137.9,10
215040,,PREOBRAZENIJA ISL,RA,74.666667,112.933333,57
216470,,CAPE SALAUROVA,RA,73.183333,143.933333,22
217010,,URYUNG-KHAYA,RA,72.816667,113.266667,25
217110,,UST-OLENEK,RA,72.966667,119.7,21
217210,,STOLB ISLAND,RA,72.416667,126.5,26
218020,,SASKYLAH,RA,71.966667,114.083333,24
218210,,NAME UNKNOWN,RA,71.833333,127.333333,18
218240,,TIKSI,RA,71.583333,128.916667,8
218250,,MOSTAKH ISLAND,RA,71.533333,129.916667,3
218260,,OZERO KHARGY (LAKE),RA,71.5,132.666667,18
219080,,DZALINDA,RA,70.133333,113.966667,62
219210,,KJUSJUR,RA,70.683333,127.4,39
219230,,KHAYYR,RA,70.816667,133.5,91
219310,,JUBILEJNAJA,RA,70.75,136.216667,22
219460,,COKURDAH,RA,70.616667,147.9,61
219650,,CETYREHSTOLBOVOJ IL,RA,70.633333,162.483333,41
219820,,VRANGELJA ISLAND,RA,70.983333,-178.483333,3
220030,,VAIDA GUBA (BAY),RS,69.95,32.033333,8
220040,,NIKEL,RS,69.4,30.2,126
220090,,PEREVALYAUR,RS,69.266667,31.766667,302
220120,,TSIP-NAVOLOK(POINT),RS,69.716667,33.133333,24
220140,,BOLSHAYA-ZAPADNAYA,RS,69.416667,32.166667,117
220180,,URA-GUBA (BAY),RS,69.283333,32.8,27
220190,,SEVEROMORSK,RS,69.083333,33.45,20
220280,,TERIBERKA (BAY),RS,69.2,35.1,29
220950,,KOLGUYEV ISLAND,RS,69.083333,49.25,24
221000,,VERKHOVE LOTTA,RS,68.45,28.716667,120
221010,,VIRTANIEMI,RS,68.9,28.45,118
221050,,NIVANKYUL,RS,68.383333,30.75,91
221060,,PADUN,RS,68.6,31.8,63
221130,ULMM,MURMANSK,RS,68.966667,33.05,51
221140,,LOPARSKAYA,RS,68.633333,33.2,112
221190,,PULOZERO (LAKE),RS,68.316667,33.333333,144
221230,,GOLITSINO,RS,69.066667,35.733333,15
221270,,LOVOZERO (LAKE),RS,68.083333,34.8,161
221330,,KHARLOVKA,RS,68.783333,37.333333,64
221400,,GREMIKHA (BAY),RS,68.05,39.5,122
221440,,CHERNYY (CAPE),RS,68.4,38.666667,10
221650,,KANIN NOS (CAPE),RS,68.65,43.3,49
221930,,BUGRINO,RS,68.8,49.15,11
222040,,KOVDOR,RS,67.566667,30.4,247
222120,,MONCEGORSK,RS,67.966667,32.866667,132
222130,,APATITOVAYA,RS,67.833333,33.75,135
222140,,ZASHEYEK,RS,67.416667,32.55,151
222160,,APATITY,RS,67.566667,33.366667,136
222170,,KANDALAKSA,RS,67.15,32.35,26
222190,,KIROVSK,RS,67.616667,33.666667,1093
222320,,KOLMYABR,RS,67.7,37.116667,244
222350,,KRASNOSCELJE,RS,67.366667,37.033333,155
222490,,KANEVKA,RS,67.133333,39.666667,149
222590,,TERSKO-ORLOVSKAJA,RS,67.216667,41.333333,72
222690,,CAPE KONUSIN,RS,67.15,43.9,14
222710,,SOJNA,RS,67.883333,44.133333,16
222820,,CAPE MIKULKIN,RS,67.8,46.666667,6
222920,,INDIGA (BAY),RS,67.7,48.766667,3
223010,,ALAKURTTI,RS,66.95,30.3,152
223020,,NYAM (LAKE),RS,66.966667,31.466667,152
223050,,OLANGA (STREAM),RS,66.166667,30.683333,106
223120,,KOVDA (BAY),RS,66.683333,32.9,17
223180,,LOUHI,RS,66.083333,32.983333,94
223240,,UMBA (STREAM),RS,66.666667,34.333333,40
223340,,VARZUGA,RS,66.4,36.616667,6
223390,,CHAVANGA (STREAM),RS,66.1,37.816667,7
223490,,PJALICA,RS,66.166667,39.533333,8
223550,,SOSNOVETS ISLAND,RS,66.483333,40.683333,16
223610,,MORZHOVETS ISLAND,RS,66.75,42.583333,15
223650,,ABRAMOVSKIJ (LGT-H),RS,66.416667,43.25,24
223750,,NES',RS,66.65,44.683333,14
223830,,NIZHNYAYA PESHA,RS,66.766667,47.783333,9
224080,,KALEVALA,RS,65.2,31.166667,112
224220,,GRIDINO,RS,65.9,34.766667,10
224290,,KREML,RS,65.033333,35.716667,7
224380,,ZIZGIN,RS,65.2,36.816667,18
224460,,ZIMNEGORSKIY(LGT-H),RS,65.466667,39.733333,81
224520,,INCY,RS,65.966667,40.716667,4
224560,,KEPINO,RS,65.383333,41.833333,74
224710,,MEZEN',RS,65.866667,44.216667,14
