cim_field,data_model
endpoint,Interprocess_Messaging
endpoint_version,Interprocess_Messaging
message,Interprocess_Messaging
message_consumed_time,Interprocess_Messaging
message_correlation_id,Interprocess_Messaging
message_delivered_time,Interprocess_Messaging
message_delivery_mode,Interprocess_Messaging
message_expiration_time,Interprocess_Messaging
message_id,Interprocess_Messaging
message_priority,Interprocess_Messaging
message_properties,Interprocess_Messaging
message_received_time,Interprocess_Messaging
message_redelivered,Interprocess_Messaging
message_reply_dest,Interprocess_Messaging
message_type,Interprocess_Messaging
parameters,Interprocess_Messaging
payload,Interprocess_Messaging
payload_type,Interprocess_Messaging
request_payload,Interprocess_Messaging
request_payload_type,Interprocess_Messaging
request_sent_time,Interprocess_Messaging
response_code,Interprocess_Messaging
response_payload_type,Interprocess_Messaging
response_received_time,Interprocess_Messaging
response_time,Interprocess_Messaging
return_message,Interprocess_Messaging
rpc_protocol,Interprocess_Messaging
status,Interprocess_Messaging
tag,Interprocess_Messaging
dest,Interprocess_Messaging
action,Intrusion_Detection
dest_bunit,Intrusion_Detection
dest_category,Intrusion_Detection
dest_port,Intrusion_Detection
dest_priority,Intrusion_Detection
dvc_bunit,Intrusion_Detection
dvc_category,Intrusion_Detection
dvc_priority,Intrusion_Detection
file_hash,Intrusion_Detection
file_name,Intrusion_Detection
file_path,Intrusion_Detection
severity_id,Intrusion_Detection
signature_id,Intrusion_Detection
src_bunit,Intrusion_Detection
src_category,Intrusion_Detection
src_port,Intrusion_Detection
src_priority,Intrusion_Detection
tag,Intrusion_Detection
transport,Intrusion_Detection
user_bunit,Intrusion_Detection
user_category,Intrusion_Detection
user_priority,Intrusion_Detection
category*,Intrusion_Detection
dest*,Intrusion_Detection
dvc*,Intrusion_Detection
ids_type*,Intrusion_Detection
severity*,Intrusion_Detection
signature*,Intrusion_Detection
src*,Intrusion_Detection
user*,Intrusion_Detection
vendor_product*,Intrusion_Detection
cm_enabled,JVM
cm_supported,JVM
cpu_time_enabled,JVM
cpu_time_supported,JVM
current_cpu_time,JVM
current_user_time,JVM
daemon_thread_count,JVM
omu_supported,JVM
peak_thread_count,JVM
synch_supported,JVM
thread_count,JVM
threads_started,JVM
process_name,JVM
start_time,JVM
uptime,JVM
version,JVM
vendor_product,JVM
committed_memory,JVM
cpu_time,JVM
free_physical_memory,JVM
free_swap,JVM
max_file_descriptors,JVM
open_file_descriptors,JVM
os,JVM
os_architecture,JVM
os_version,JVM
physical_memory,JVM
swap_space,JVM
system_load,JVM
total_processors,JVM
heap_committed,JVM
heap_initial,JVM
heap_max,JVM
heap_used,JVM
non_heap_committed,JVM
non_heap_initial,JVM
non_heap_max,JVM
non_heap_used,JVM
objects_pending,JVM
compilation_time,JVM
current_loaded,JVM
total_loaded,JVM
total_unloaded,JVM
jvm_description,JVM
tag,JVM
dest_bunit,Malware
dest_category,Malware
dest_priority,Malware
dest_requires_av,Malware
file_hash,Malware
file_name,Malware
file_path,Malware
severity_id,Malware
signature_id,Malware
src,Malware
src_bunit,Malware
src_category,Malware
src_priority,Malware
src_user,Malware
tag,Malware
url,Malware
user_bunit,Malware
user_category,Malware
user_priority,Malware
action*,Malware
category*,Malware
date*,Malware
dest*,Malware
dest_nt_domain*,Malware
severity*,Malware
signature*,Malware
user*,Malware
vendor_product*,Malware
_time,Malware
dest_bunit,Malware
dest_category,Malware
dest_priority,Malware
dest_requires_av,Malware
product_version*,Malware
signature_version*,Malware
tag,Malware
dest*,Malware
dest_nt_domain*,Malware
vendor_product*,Malware
additional_answer_count,Network_Resolution
authority_answer_count,Network_Resolution
dest_bunit,Network_Resolution
dest_category,Network_Resolution
dest_port,Network_Resolution
dest_priority,Network_Resolution
duration,Network_Resolution
name,Network_Resolution
query_type,Network_Resolution
record_type,Network_Resolution
response_time,Network_Resolution
src,Network_Resolution
src_bunit,Network_Resolution
src_category,Network_Resolution
src_port,Network_Resolution
src_priority,Network_Resolution
tag,Network_Resolution
transaction_id,Network_Resolution
transport,Network_Resolution
ttl,Network_Resolution
answer*,Network_Resolution
answer_count,Network_Resolution
dest*,Network_Resolution
message_type*,Network_Resolution
query*,Network_Resolution
query_count,Network_Resolution
reply_code*,Network_Resolution
reply_code_id*,Network_Resolution
vendor_product*,Network_Resolution
action,Network_Session
dest_bunit,Network_Session
dest_category,Network_Session
dest_priority,Network_Session
duration,Network_Session
response_time,Network_Session
signature,Network_Session
signature_id,Network_Session
src_bunit,Network_Session
src_category,Network_Session
src_dns,Network_Session
src_ip,Network_Session
src_mac,Network_Session
src_nt_host,Network_Session
src_priority,Network_Session
tag,Network_Session
user_bunit,Network_Session
user_category,Network_Session
user_priority,Network_Session
lease_duration,Network_Session
lease_scope,Network_Session
