field_names,keyword,monitor,name,priority,regex,status,template
EVENTTIME OFFSET FILE,offset,1,,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+WatchedFile\s+-\s+Will\s+begin\s+reading\s+at\s+offset=(?P<OFFSET>[^\s+]+)\s+for\s+file=(?P<FILE>[^\s+]+),Active,EVENTTIME INFO  WatchedFile - Will begin reading at offset=OFFSET for file=FILE
EVENTTIME GROUP NAME EV KB ST_COUNT H_COUNT S_COUNT MIN_TIME MAX_TIME,st_count,TRUE,Metrics - group  series max_time,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+Metrics\s+-\s+group=(?P<GROUP>[^\s+]+)\s+name=(?P<NAME>[^\s+]+)\s+series=\""[^\""]+\"",\s+ev=(?P<EV>[^\s+]+)\s+kb=(?P<KB>[^\s+]+)\s+st_count=(?P<ST_COUNT>[^\s+]+)\s+h_count=(?P<H_COUNT>[^\s+]+)\s+s_count=(?P<S_COUNT>[^\s+]+)\s+min_time=(?P<MIN_TIME>[^\s+]+)\s+max_time=(?P<MAX_TIME>[^\s+]+)",Active,"EVENTTIME INFO  Metrics - group=GROUP name=NAME series=""_internal"", ev=EV kb=KB st_count=ST_COUNT h_count=H_COUNT s_count=S_COUNT min_time=MIN_TIME max_time=MAX_TIME"
EVENTTIME PATH,archiveprocessor,TRUE,ArchiveProcessor - Handling file,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+ArchiveProcessor\s+-\s+Handling\s+file=(?P<PATH>[^\s+]+),Active,EVENTTIME INFO  ArchiveProcessor - Handling file=PATH
EVENTTIME GROUP CURRENT,group,TRUE,Metrics - group nCurrent,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+Metrics\s+-\s+group=(?P<GROUP>[^\s+]+)\s+nCurrent=(?P<CURRENT>[^\s+]+),Active,EVENTTIME INFO  Metrics - group=GROUP nCurrent=CURRENT
EVENTTIME BID EARLIEST LATEST TYPE,earliest,TRUE,BucketReplicator -earliest bid,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+BucketReplicator\s+-\s+bid=(?P<BID>[^\s+]+)\s+earliest=(?P<EARLIEST>[^\s+]+)\s+latest=(?P<LATEST>[^\s+]+)\s+type=(?P<TYPE>[^\s+]+),Active,EVENTTIME INFO  BucketReplicator - bid=BID earliest=EARLIEST latest=LATEST type=TYPE
EVENTTIME BID,finalize,TRUE, S2SFileReceiver - about to finalize from close bid,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+S2SFileReceiver\s+-\s+about\s+to\s+finalize\s+from\s+close\s+bid=(?P<BID>[^\s+]+),Active,EVENTTIME INFO  S2SFileReceiver - about to finalize from close bid=BID
EVENTTIME IDX PATH ID1 ET1 LT1,path,TRUE,HotDBManager - Recovered hot: path,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+HotDBManager\s+-\s+idx=(?P<IDX>[^\s+]+)\s+Recovered\s+hot:\s+path=(?P<PATH>[^\s+]+)\s+\[id=(?P<ID1>[^\s+]+)\s+et=(?P<ET1>[^\s+]+)\s+lt=(?P<LT1>[^\s+]+),Active,EVENTTIME INFO  HotDBManager - idx=IDX Recovered hot: path=PATH [id=ID1 et=ET1 lt=LT1
EVENTTIME IPADDRESS ERROR_ID ROUTINES,error,1,HttpListener :Socket error :wrong version number,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+WARN\s+HttpListener\s+-\s+Socket\s+error\s+from\s+(?P<IPADDRESS>\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}[\#\:\-]\d+)\s+while\s+idling:\s+error:(?P<ERROR_ID>[0-9a-fA-F]+):SSL\s+routines:(?P<ROUTINES>\S+)wrong\s+version\s+number",Active,EVENTTIME WARN  HttpListener - Socket error from IPADDRESS while idling: error:ERROR_ID:SSL routines:ROUTINESwrong version number
EVENTTIME SOURCE BID,bringing,TRUE,CMSlave - bringing search files ,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+CMSlave\s+-\s+bringing\s+search\s+files\s+from\s+src=(?P<SOURCE>[^\s+]+)\s+bid=(?P<BID>[^\s+]+),Active,EVENTTIME INFO  CMSlave - bringing search files from src=SOURCE bid=BID
EVENTTIME,pipelines,1,,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+PipeFlusher\s+-\s+Flushing\s+pipelines...,Active,EVENTTIME INFO PipeFlusher - Flushing pipelines...
EVENTTIME,execution_interval,1,,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+ModularInputs\s+-\s+Endpoint\s+argument\s+settings\s+for\s+\""execution_interval\"":",Active,"EVENTTIME INFO ModularInputs - Endpoint argument settings for ""execution_interval"":"
EVENTTIME BID NODE HOST S2SPORT REASON,node,TRUE, BucketReplicator - Forcing hot bid to roll for target node,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+BucketReplicator\s+-\s+Forcing\s+hot\s+bid=(?P<BID>[^\s+]+)\s+to\s+roll\s+for\s+target\s+node=(?P<NODE>[^\s+]+)\s+host=(?P<HOST>[^\s+]+)\s+s2sport=(?P<S2SPORT>[^\s+]+)\s+reason=(?P<REASON>[^\s+]+)\s+Connection\s+closed.,Active,EVENTTIME INFO  BucketReplicator - Forcing hot bid=BID to roll for target node=NODE host=HOST s2sport=S2SPORT reason=REASON Connection closed.
EVENTTIME APPNAME,distributed,TRUE,ApplicationUpdater _ error reloading app name,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+ERROR\s+ApplicationUpdater\s+-\s+Error\s+reloading\s+(?P<APPNAME>\S+):\s+handler\s+for\s+distsearch\s+\(access_endpoints\s+/search/distributed/bundle-replication-files,\s+/search/distributed/peers\):\s+Payment\s+Required",Active,"EVENTTIME ERROR ApplicationUpdater - Error reloading APPNAME: handler for distsearch (access_endpoints /search/distributed/bundle-replication-files, /search/distributed/peers): Payment Required"
EVENTTIME,applicationlicense,TRUE, ApplicationLicense - app license disabled by conf setting.,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+ApplicationLicense\s+-\s+app\s+license\s+disabled\s+by\s+conf\s+setting.,Active,EVENTTIME INFO ApplicationLicense - app license disabled by conf setting.
EVENTTIME FEATURE,feature,1,DeploymentClient :cannot bring up Deployment client,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+WARN\s+DC:DeploymentClient\s+-\s+License\s+feature=(?P<FEATURE>[^\s+]+)\s+not\s+enabled;\s+cannot\s+bring\s+up\s+Deployment\s+client,Active,EVENTTIME WARN  DC:DeploymentClient - License feature=FEATURE not enabled; cannot bring up Deployment client
EVENTTIME BID,bid,TRUE,BucketReplicator - Starting replication of bucket bid,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+BucketReplicator\s+-\s+Starting\s+replication\s+of\s+bucket\s+bid=(?P<BID>[^\s+]+),Active,EVENTTIME INFO  BucketReplicator - Starting replication of bucket bid=BID
EVENTTIME,webui,1,,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+UiHttpListener\s+-\s+Restarting\s+webui\s+in\s+rolling\s+fashion,Active,EVENTTIME INFO UiHttpListener - Restarting webui in rolling fashion
EVENTTIME SID,sid,TRUE,DispatchManager - Cannot dispatch search,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+ERROR\s+DispatchManager\s+-\s+Cannot\s+dispatch\s+search\s+while\s+shutting\s+down\s+...\s+sid=(?P<SID>[^\s+]+),Active,EVENTTIME ERROR DispatchManager - Cannot dispatch search while shutting down ... sid=SID
EVENTTIME SECONDS,usage,TRUE, IntrospectionGenerator:resource_usage - data gathering,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+IntrospectionGenerator:resource_usage\s+-\s+RU_main\s+-\s+I-data\s+gathering\s+\(Resource\s+Usage\)\s+starting;\s+period=(?P<SECONDS>[^\s+]+),Active,EVENTTIME INFO  IntrospectionGenerator:resource_usage -   RU_main - I-data gathering (Resource Usage) starting; period=SECONDS
EVENTTIME,jit,1,,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+loader\s+-\s+Regex\s+JIT\s+enabled,Active,EVENTTIME INFO loader - Regex JIT enabled
EVENTTIME PATH,path,TRUE, IndexerIf - Successfully released lock for bucket with path,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+IndexerIf\s+-\s+Successfully\s+released\s+lock\s+for\s+bucket\s+with\s+path=(?P<PATH>[^\s+]+),Active,EVENTTIME INFO  IndexerIf - Successfully released lock for bucket with path=PATH
EVENTTIME PATH,recreate,TRUE,ConfObjectManagerDB - Failed to recreate,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+ERROR\s+ConfObjectManagerDB\s+-\s+Failed\s+to\s+recreate:\s+(?P<PATH>\S+):\s+Permission\s+denied,Active,EVENTTIME ERROR ConfObjectManagerDB - Failed to recreate: PATH: Permission denied
EVENTTIME,license,1,,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+LMStackMgr\s+-\s+Skipping\s+trial\s+license\s+as\s+alternative\s+license\s+type\s+in\s+use,Active,EVENTTIME INFO LMStackMgr - Skipping trial license as alternative license type in use
EVENTTIME IPADDRESS,closed,TRUE, HttpListener - Socket error from IPADDRESS: Connection closed by peer,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+WARN\s+HttpListener\s+-\s+Socket\s+error\s+from\s+(?P<IPADDRESS>\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}[\#\:\-]\d+):\s+Connection\s+closed\s+by\s+peer",Active,EVENTTIME WARN HttpListener - Socket error from IPADDRESS: Connection closed by peer
EVENTTIME,executor,TRUE, CMRepJob - asking for terminated executor,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+WARN\s+CMRepJob\s+-\s+asking\s+for\s+terminated\s+executor,Active,EVENTTIME WARN CMRepJob - asking for terminated executor
EVENTTIME DIR BUCKET,dir,TRUE,S2SFileReceiver - unable to remove dir,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+WARN\s+S2SFileReceiver\s+-\s+unable\s+to\s+remove\s+dir=(?P<DIR>[^\s+]+)\s+for\s+bucket=(?P<BUCKET>[^\s+]+),Active,EVENTTIME WARN  S2SFileReceiver - unable to remove dir=DIR for bucket=BUCKET
EVENTTIME GROUP NAME KBPS EPS ABG_KBPS TOT_PROCESSED KB EV,kb,TRUE, Metrics - group instantaneous_kbps,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+Metrics\s+-\s+group=(?P<GROUP>[^\s+]+)\s+name=(?P<NAME>[^\s+]+)\s+instantaneous_kbps=(?P<KBPS>[^\s+]+)\s+instantaneous_eps=(?P<EPS>[^\s+]+)\s+average_kbps=(?P<ABG_KBPS>[^\s+]+)\s+total_k_processed=(?P<TOT_PROCESSED>[^\s+]+)\s+kb=(?P<KB>[^\s+]+)\s+ev=(?P<EV>[^\s+]+),Active,EVENTTIME INFO  Metrics - group=GROUP name=NAME instantaneous_kbps=KBPS instantaneous_eps=EPS average_kbps=ABG_KBPS total_k_processed=TOT_PROCESSED kb=KB ev=EV
EVENTTIME HOSTNAME KERNEL_VERSION COPMILATION_NUMBER DEBIANVERSION DATE MACHINE_ARCH,smp,0,,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+loader\s+-\s+System\s+info:\s+Linux,\s+(?P<HOSTNAME>\S+),\s+(?P<KERNEL_VERSION>[^\s+]+)\s+#(?P<COPMILATION_NUMBER>\d+\.?\d*)\s+SMP\s+Debian\s+(?P<DEBIANVERSION>[^\s+]+)\s+\((?P<DATE>\d{4}\-\d{1,2}\-\d{1,2})\),\s+(?P<MACHINE_ARCH>[^\s+]+)",Active,"EVENTTIME INFO  loader - System info: Linux, HOSTNAME, KERNEL_VERSION #COPMILATION_NUMBER SMP Debian DEBIANVERSION (DATE), MACHINE_ARCH"
EVENTTIME GROUP ACTION TOTAL_SECONDS TOTAL_COUNT SLOWEST_APP SLOW_APP_SECS COLLECTIONS_SECONDS COLLECTIONS_COUNT MODINPUTS_SECONDS MODINPUTS_COUNT SECONDS SEARCH_COUNT WEB_SECONDS WEB_COUNT PROPS_SECONDS PROPS_COUNT TRANFROMS_SECONDS TRANFROMS_COUNT,web_seconds,0,,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+Metrics\s+-\s+group=(?P<GROUP>[^\s+]+)\s+action=(?P<ACTION>[^\s+]+)\s+total_seconds=(?P<TOTAL_SECONDS>[^\s+]+)\s+total_count=(?P<TOTAL_COUNT>[^\s+]+)\s+slowest_app=(?P<SLOWEST_APP>[^\s+]+)\s+slowest_app_seconds=(?P<SLOW_APP_SECS>[^\s+]+)\s+collections_seconds=(?P<COLLECTIONS_SECONDS>[^\s+]+)\s+collections_count=(?P<COLLECTIONS_COUNT>[^\s+]+)\s+modinputs_seconds=(?P<MODINPUTS_SECONDS>[^\s+]+)\s+modinputs_count=(?P<MODINPUTS_COUNT>[^\s+]+)\s+distsearch_seconds=(?P<SECONDS>\S+)\s+distsearch_count=(?P<SEARCH_COUNT>\S+), web_seconds=(?P<WEB_SECONDS>\S+), web_count=(?P<WEB_COUNT>\S+), props_seconds=(?P<PROPS_SECONDS>\S+), props_count=(?P<PROPS_COUNT>\S+), transforms_seconds=(?P<TRANFROMS_SECONDS>\S+), transforms_count=(?P<TRANFROMS_COUNT>\S+)",Active,"EVENTTIME INFO Metrics - group=GROUP action=ACTION total_seconds=TOTAL_SECONDS total_count=TOTAL_COUNT slowest_app=SLOWEST_APP slowest_app_seconds=SLOW_APP_SECS collections_seconds=COLLECTIONS_SECONDS collections_count=COLLECTIONS_COUNT modinputs_seconds=MODINPUTS_SECONDS modinputs_count=MODINPUTS_COUNT distsearch_seconds=SECONDS distsearch_count=SEARCH_COUNT, web_seconds=WEB_SECONDS, web_count=WEB_COUNT, props_seconds=PROPS_SECONDS, props_count=PROPS_COUNT, transforms_seconds=TRANFROMS_SECONDS, transforms_count=TRANFROMS_COUNT"
EVENTTIME READONLY RELOADING,readonly,TRUE,IndexProcessor - Initializing: readonly,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+IndexProcessor\s+-\s+Initializing:\s+readonly=(?P<READONLY>[^\s+]+)\s+reloading=(?P<RELOADING>[^\s+]+),Active,EVENTTIME INFO  IndexProcessor - Initializing: readonly=READONLY reloading=RELOADING
EVENTTIME GROUP USER HIST_SEARCHES REALTIME_SEARCHES,user,TRUE, Metrics - group  user  active_hist_searches,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+Metrics\s+-\s+group=(?P<GROUP>[^\s+]+)\s+user=(?P<USER>[^\s+]+)\s+active_hist_searches=(?P<HIST_SEARCHES>[^\s+]+)\s+active_realtime_searches=(?P<REALTIME_SEARCHES>[^\s+]+),Active,EVENTTIME INFO  Metrics - group=GROUP user=USER active_hist_searches=HIST_SEARCHES active_realtime_searches=REALTIME_SEARCHES
EVENTTIME GROUP MAX_INTERVAL MAX_USED AVG_RSV CAPACITY USED REP_USED,rep_used,TRUE, Metrics - group max_used_interval capacity,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+Metrics\s+-\s+group=(?P<GROUP>[^\s+]+)\s+max_used_interval=(?P<MAX_INTERVAL>[^\s+]+)\s+max_used=(?P<MAX_USED>[^\s+]+)\s+avg_rsv=(?P<AVG_RSV>[^\s+]+)\s+capacity=(?P<CAPACITY>[^\s+]+)\s+used=(?P<USED>[^\s+]+)\s+rep_used=(?P<REP_USED>[^\s+]+),Active,EVENTTIME INFO  Metrics - group=GROUP max_used_interval=MAX_INTERVAL max_used=MAX_USED avg_rsv=AVG_RSV capacity=CAPACITY used=USED rep_used=REP_USED
EVENTTIME,implicit,1,,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+LMTracker\s+-\s+enabling\s+implicit\s+feature\s+set,Active,EVENTTIME INFO LMTracker - enabling implicit feature set
EVENTTIME FROM TO,transitioning,TRUE,CMSlave - Transitioning ,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+CMSlave\s+-\s+Transitioning\s+from=(?P<FROM>[^\s+]+)\s+to=(?P<TO>[^\s+]+),Active,EVENTTIME INFO  CMSlave - Transitioning from=FROM to=TO
EVENTTIME MESSAGE_CODE REASON,messagesmanager,TRUE, MessagesManager - MessagesManager: Skipping message,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+WARN\s+MessagesManager\s+-\s+MessagesManager:\s+Skipping\s+message\s+'(?P<MESSAGE_CODE>.*)':\s+Unknown\s+capability\s+specified\s+\((?P<REASON>.*)\),Active,EVENTTIME WARN  MessagesManager - MessagesManager: Skipping message 'MESSAGE_CODE': Unknown capability specified (REASON)
EVENTTIME SLAVE,slave,TRUE,LMSlaveInfo - new slave created,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+LMSlaveInfo\s+-\s+new\s+slave=(?P<SLAVE>[^\s+]+)\s+created,Active,EVENTTIME INFO LMSlaveInfo - new slave=SLAVE created
EVENTTIME SSL_STATE ALERT_DESCRIPTION,ssl_state,1, SSLCommon - Received fatal SSL3 alert,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+WARN\s+SSLCommon\s+-\s+Received\s+fatal\s+SSL3\s+alert.\s+ssl_state=(?P<SSL_STATE>[^\s+]+)\s+read\s+client\s+hello\s+C',\s+alert_description=(?P<ALERT_DESCRIPTION>[^\s+]+)\s+failure'.",Active,"EVENTTIME WARN SSLCommon - Received fatal SSL3 alert. ssl_state=SSL_STATE read client hello C', alert_description=ALERT_DESCRIPTION failure'."
EVENTTIME CHARACTER EVENTTIME1 PATH,timestamp,TRUE, DateParserVerbose - Failed to parse timestamp,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+WARN\s+DateParserVerbose\s+-\s+Failed\s+to\s+parse\s+timestamp\s+in\s+first\s+MAX_EVENTTIME_LOOKAHEAD\s+\((?P<CHARACTER>\d+\.?\d*)\)\s+characters\s+of\s+event.\s+Defaulting\s+to\s+timestamp\s+of\s+previous\s+event\s+\((?P<EVENTTIME1>\w+\s+\w+\s+\d+\s+\d{2}:\d{2}:\d{2}\s+\d{4})\).\s+Context:\s+source=(?P<PATH>[^\s+]+),Active,EVENTTIME WARN  DateParserVerbose - Failed to parse timestamp in first MAX_EVENTTIME_LOOKAHEAD (CHARACTER) characters of event. Defaulting to timestamp of previous event (EVENTTIME1). Context: source=PATH
EVENTTIME IDX HOT_WARM_PATH PENDING_BUCKET REASON,reason,0,,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+DatabaseDirectoryManager\s+-\s+idx=(?P<IDX>[^\s+]+)\s+Writing\s+a\s+bucket\s+manifest\s+in\s+hotWarmPath=(?P<HOT_WARM_PATH>[^\s+]+)\s+pendingBucketUpdates=(?P<PENDING_BUCKET>[^\s+]+)\s+.\s+Reason='(?P<REASON>.*)',Active,EVENTTIME INFO DatabaseDirectoryManager - idx=IDX Writing a bucket manifest in hotWarmPath=HOT_WARM_PATH pendingBucketUpdates=PENDING_BUCKET . Reason='REASON'
EVENTTIME ID MINSECS CURRENTVALUE,minhotidlesecsbeforeforceroll,TRUE, HotDBManager - minHotIdleSecsBeforeForceRoll,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+HotDBManager\s+-\s+idx=(?P<ID>[^\s+]+)\s+minHotIdleSecsBeforeForceRoll=(?P<MINSECS>[^\s+]+)\s+initializing,\s+current\s+value=(?P<CURRENTVALUE>[^\s+]+)",Active,"EVENTTIME INFO  HotDBManager - idx=ID minHotIdleSecsBeforeForceRoll=MINSECS initializing, current value=CURRENTVALUE"
EVENTTIME CALL,pd,TRUE, IndexerIf - generating force roll pd caller,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+IndexerIf\s+-\s+generating\s+force\s+roll\s+pd\s+caller=(?P<CALL>[^\s+]+),Active,EVENTTIME INFO  IndexerIf - generating force roll pd caller=CALL
EVENTTIME META_FILE,metadata,1,DispatchSearchMetadata :could not read metadata file,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+WARN\s+DispatchSearchMetadata\s+-\s+could\s+not\s+read\s+metadata\s+file:\s+(?P<META_FILE>\S+),Active,EVENTTIME WARN  DispatchSearchMetadata - could not read metadata file: META_FILE
EVENTTIME,command_args,1,,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+ModularInputs\s+-\s+Endpoint\s+argument\s+settings\s+for\s+\""command_args\"":",Active,"EVENTTIME INFO ModularInputs - Endpoint argument settings for ""command_args"":"
EVENTTIME PERIOD HIGH_FREQUENCY,period,1,,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+IntrospectionGenerator:disk_objects\s+-\s+Summaries\s+gathering\s+starting;\s+period=(?P<PERIOD>[^\s+]+)\s+highfreqency=(?P<HIGH_FREQUENCY>[^\s+]+),Active,EVENTTIME INFO IntrospectionGenerator:disk_objects - Summaries gathering starting; period=PERIOD highfreqency=HIGH_FREQUENCY
EVENTTIME EVENT BID FROM TO,event,TRUE,S2SFileReceiver - event bid,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+S2SFileReceiver\s+-\s+event=(?P<EVENT>[^\s+]+)\s+bid=(?P<BID>[^\s+]+)\s+from=(?P<FROM>[^\s+]+)\s+to=(?P<TO>[^\s+]+),Active,EVENTTIME INFO  S2SFileReceiver - event=EVENT bid=BID from=FROM to=TO
EVENTTIME,recreateindexesthread,1,,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+IndexerService\s+-\s+starting\s+RecreateIndexesThread,Active,EVENTTIME INFO IndexerService - starting RecreateIndexesThread
EVENTTIME BID VSZ VET VLT,vsz,TRUE, CMSlave - bid vote,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+CMSlave\s+-\s+bid=(?P<BID>[^\s+]+)\s+vote=vsz=(?P<VSZ>[^\s+]+)\s+vet=(?P<VET>[^\s+]+)\s+vlt=(?P<VLT>[^\s+]+)\s+queued\s+streaming\s+success\s+job,Active,EVENTTIME INFO  CMSlave - bid=BID vote=vsz=VSZ vet=VET vlt=VLT queued streaming success job
EVENTTIME HOSTNAME,hostname,0,,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+ServerConfig\s+-\s+My\s+hostname\s+is\s+\""(?P<HOSTNAME>\S+)\"".",Active,"EVENTTIME INFO  ServerConfig - My hostname is ""HOSTNAME""."
EVENTTIME BID PATH,dstpath,TRUE, DatabaseDirectoryManager - addReplicatedBucket ,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+DatabaseDirectoryManager\s+-\s+addReplicatedBucket\s+bid=(?P<BID>[^\s+]+)\s+dstPath=(?P<PATH>[^\s+]+),Active,EVENTTIME INFO  DatabaseDirectoryManager - addReplicatedBucket bid=BID dstPath=PATH
EVENTTIME ID VARIABLE SLAVE,variable,TRUE,IndexWriter - idx Initializing variable,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+IndexWriter\s+-\s+idx=(?P<ID>[^\s+]+)\s+Initializing,\s+(?P<VARIABLE>[^\s+]+)\s+isSlave=(?P<SLAVE>[^\s+]+)",Active,"EVENTTIME INFO  IndexWriter - idx=ID Initializing, VARIABLE isSlave=SLAVE"
