CATEGORY,DESCRIPTION,NAME,PRIORITY,"TECHNICAL_NAME",seq
"ABAP Security Parameters","Profile parameter login/password_expiration_time to a value should be set between 30 and 90","Validity period of passwords (in days)",Medium,A0082,82
"Secure Configuration","The FORMTORFC ICF service should be deactivated due to known security vulnerabilities with the service.","FORMTORFC ICF service",Critical,A0083,83
"Secure Configuration","The IDOC ICF service should be deactivated due to known security vulnerabilities with the service.","IDOC ICF service",Critical,A0084,84
"Secure Configuration","The IDOC_XML ICF service should be deactivated due to known security vulnerabilities with the service.","IDOC_XML ICF service",Critical,A0085,85
"Secure Configuration","The ms/acl_info file should not contain a line with HOST=*","Message server hardening (acl_info content)",Critical,A0086,86
"Secure Configuration","The reginfo file must contain the following content:

#VERSION=2
P TP=* HOST=local
P TP=* HOST=internal
P TP=<authorized_tp> HOST=<authorized_host>","RFC gateway hardening (reginfo)",Critical,A0087,87
"Secure Configuration","The secinfo file must contain the following content:

#VERSION=2
#
P USER=* USER-HOST=local HOST=local TP=*
P USER=* USER-HOST=local HOST=internal TP=*
P USER=* USER-HOST=internal HOST=local TP=","RFC gateway hardening (secinfo)",Critical,A0088,88
"Secure Configuration","The SOAP RFC ICF service should be deactivated due to known security vulnerabilities with the service.","SOAP RFC ICF service",Critical,A0089,89
"Secure Configuration","The default password for the standard SAP* user should be changed, the user should be locked in all clients, and the user should be assigned to the SUPER user group","Secure SAP* user",Critical,A0090,90
"Secure Configuration","The WEBRFC ICF service should be deactivated due to known security vulnerabilities with the service.","WEBRFC ICF service",Critical,A0091,91
"Secure Configuration","The user table USH02 should be assigned to the table authorization group SPWD","Authorization group for table USH02",High,A0092,92
"Secure Configuration","The user table USH02_ARC_TMP should be assigned to the table authorization group SPWD","Authorization group for table USH02_ARC_TMP",High,A0093,93
"Secure Configuration","The user table USR02 should be assigned to the table authorization group SPWD","Authorization group for table USR02",High,A0094,94
"Secure Configuration","The user table USRPWDHISTORY should be assigned to the table authorization group SPWD","Authorization group for table USRPWDHISTORY",High,A0095,95
"Secure Configuration","The user table VUSER001 should be assigned to the table authorization group SPWD","Authorization group for table VUSER001",High,A0096,96
"Secure Configuration","The user table VUSR02_PWD should be assigned to the table authorization group SPWD","Authorization group for table VUSR02_PWD",High,A0097,97
"Secure Configuration","Productive clients should include the settings below to prevent unauthorized changes.  

Changes and Transports for Client-Specific Objects : No changes allowed (CCCORACTIV=2)
Cross-Client Object Changes : No Changes to Repository and cross-client Customizing obj (CCNOCLIIND=3)
Protection: Protection level 1 : No overwriting (CCCOPYLOCK=X or L)
CATT and eCATT Restrictions : eCAtt and CATT Not Allowed (CCIMAILDIS=NULL)","Client settings",High,A0098,98
"Secure Configuration","Profile parameter icm/server_port_4 should be set to the following value:

PROT=HTTPS,PORT=204$$,TIMEOUT=300,PROCTIMEOUT=600,SSLCONFIG=ssl_config_<m>","ICM server specification for HTTPS (icm/server_port)",High,A0099,99
"Secure Configuration","Profile parameter icm/ssl_config_1 should be set to the following value:

CRED=SAPSSLS_SAPADM.pse,VCLIENT=1","ICM server specification for HTTPS (icm/ssl_config)",High,A0100,100
"Secure Configuration","The default password for the standard DDIC user should be changed and the user should be assigned to the SUPER user group","Secure DDIC user",High,A0101,101
"Secure Configuration","The standard user EARLYWATCH should not exist in any client","Secure EARLYWATCH user",High,A0102,102
"Secure Configuration","The default password for the standard SAPCPIC user should be changed or the user should be deleted if not in use","Secure SAPCPIC user",High,A0103,103
"Secure Configuration","The default password for the standard TMSADM user should be changed and the user should only exist in client 000","Secure TMSADM user",High,A0104,104
"Secure Configuration","The table SSF_PSE_D MUST be assigned to the authorization group SPSE","Secure cryptographic keys",High,A0105,105
"Secure Configuration","System change settings should be set to Not Modifiable","System changes",High,A0106,106
"Secure Configuration","The BSP_MODEL ICF service should be deactivated due to known security vulnerabilities with the service.","BSP_MODEL ICF service",Medium,A0107,107
"Secure Configuration","The BSP_VERI ICF service should be deactivated due to known security vulnerabilities with the service.","BSP_VERI ICF service",Medium,A0108,108
"Secure Configuration","The CERTMAP ICF service should be deactivated due to known security vulnerabilities with the service.","CERTMAP ICF service",Medium,A0109,109
"Secure Configuration","The CERTREQ ICF service should be deactivated due to known security vulnerabilities with the service.","CERTREQ ICF service",Medium,A0110,110
"Secure Configuration","Client 001 should be removed to reduce the attack surface","Delete client 001",Medium,A0111,111
