Message,MessageID,Description,Triggers,Actions,"Data_fields"
"LOGIN_FAILED_INVALIDDOMAIN","AUTHENTICATION-210","Authentication Failed","Org/Realm does not exists","Use a valid Org/Realm","error_message"
"LOGIN_FAILED_ORGINACTIVE","AUTHENTICATION-211","Authentication Failed","Org/Realm is not active","Activate the Org/Realm","error_message"
"LOGIN_FAILED_SESSIONCREATEERROR","AUTHENTICATION-212","Authentication Failed","Cannot create a session","Ensure that session service is configured and maxsession is not reached","error_message"
"LOGIN_FAILED_USER","AUTHENTICATION-213","User based authentication failed","No authentication configuration (chain of one or more authentication modules) configured for user; Incorrect/invalid credentials presented; User locked out/not active","Configure authentication configuration (chain of one or more authentication modules) for user; Enter correct/valid credentials to required authentication module","error_message|authentication_type|user_name"
"LOGIN_FAILED_USER_INVALIDPASSWORD","AUTHENTICATION-214","Authentication Failed","User based Auth. Invalid credentials entered","Enter the correct password","error_message|authentication_type|user_name"
"LOGIN_FAILED_USER_NOCONFIG","AUTHENTICATION-215","Authentication Failed","Named Configuration (Auth Chain) does not exist for this user","Create and configure a named config for this user","error_message|authentication_type|user_name"
"LOGIN_FAILED_USER_NOUSERPROFILE","AUTHENTICATION-216","Authentication Failed","User based Auth. No user profile found for this user","User does not exist in the datastore plugin configured and hence configure the datastore plugin for this realm/org correctly","error_message|authentication_type|user_name"
"LOGIN_FAILED_USER_USERINACTIVE","AUTHENTICATION-217","Authentication Failed","User based Auth. This user is not active","Activate the user","error_message|authentication_type|user_name"
"LOGIN_FAILED_USER_LOCKEDOUT","AUTHENTICATION-218","Authentication Failed","User based Auth. Max number of failure attempts exceeded. User is Locked out","Contact system administrator","error_message|authentication_type|user_name"
"LOGIN_FAILED_USER_ACCOUNTEXPIRED","AUTHENTICATION-219","Authentication Failed","User based Auth. User account has expired","Contact system administrator","error_message|authentication_type|user_name"
"LOGIN_FAILED_USER_LOGINTIMEOUT","AUTHENTICATION-220","Authentication Failed","User based Auth. Login timed out","Try to login again","error_message|authentication_type|user_name"
"LOGIN_FAILED_USER_MODULEDENIED","AUTHENTICATION-221","Authentication Failed","User based Auth. Authentication module is denied","Configure this module or use some other module","error_message|authentication_type|user_name"
"LOGIN_FAILED_USER_MAXSESSIONREACHED","AUTHENTICATION-222","Authentication Failed","User based auth. Limit for maximum number of allowed session has been reached","Logout of a session or increase the limit","error_message|authentication_type|user_name"
"LOGIN_FAILED_USER_INVALIDDOMAIN","AUTHENTICATION-223","Authentication Failed","User based auth. Org/Realm does not exists","Use a valid Org/Realm","error_message|authentication_type|user_name"
"LOGIN_FAILED_USER_ORGINACTIVE","AUTHENTICATION-224","Authentication Failed","User based auth. Org/Realm is not active","Activate the Org/Realm","error_message|authentication_type|user_name"
"LOGIN_FAILED_USER_SESSIONCREATEERROR","AUTHENTICATION-225","Authentication Failed","User based auth. Cannot create a session","Ensure that session service is configured and maxsession is not reached","error_message|authentication_type|user_name"
"LOGIN_FAILED_ROLE","AUTHENTICATION-226","Role based authentication failed","No authentication configuration (chain of one or more authentication modules) configured for role; Incorrect/invalid credentials presented; User does not belong to this role; User locked out/not active","Configure authentication configuration (chain of one or more authentication modules) for role; Enter correct/valid credentials to required authentication module; Assign this role to the authenticating user","error_message|authentication_type|role_name"
"LOGIN_FAILED_ROLE_INVALIDPASSWORD","AUTHENTICATION-227","Authentication Failed","Role based Auth. Invalid credentials entered","Enter the correct password","error_message|authentication_type|role_name"
"LOGIN_FAILED_ROLE_NOCONFIG","AUTHENTICATION-228","Authentication Failed","Named Configuration (Auth Chain) does not exist for this role","Create and configure a named config for this role","error_message|authentication_type|role_name"
"LOGIN_FAILED_ROLE_NOUSERPROFILE","AUTHENTICATION-229","Authentication Failed","Role based Auth. No user profile found for this user","User does not exist in the datastore plugin configured and hence configure the datastore plugin for this realm/org correctly","error_message|authentication_type|role_name"
"LOGIN_FAILED_ROLE_USERINACTIVE","AUTHENTICATION-230","Authentication Failed","Role based Auth. This user is not active","Activate the user","error_message|authentication_type|role_name"
"LOGIN_FAILED_ROLE_LOCKEDOUT","AUTHENTICATION-231","Authentication Failed","Role based Auth. Max number of failure attempts exceeded. User is Locked out","Contact system administrator","error_message|authentication_type|role_name"
"LOGIN_FAILED_ROLE_ACCOUNTEXPIRED","AUTHENTICATION-232","Authentication Failed","Role based Auth. User account has expired","Contact system administrator","error_message|authentication_type|role_name"
"LOGIN_FAILED_ROLE_LOGINTIMEOUT","AUTHENTICATION-233","Authentication Failed","Role based Auth. Login timed out","Try to login again","error_message|authentication_type|role_name"
"LOGIN_FAILED_ROLE_MODULEDENIED","AUTHENTICATION-234","Authentication Failed","Role based Auth. Authentication module is denied","Configure this module or use some other module","error_message|authentication_type|role_name"
"LOGIN_FAILED_ROLE_MAXSESSIONREACHED","AUTHENTICATION-235","Authentication Failed","Role based auth. Limit for maximum number of allowed session has been reached","Logout of a session or increase the limit","error_message|authentication_type|role_name"
"LOGIN_FAILED_ROLE_INVALIDDOMAIN","AUTHENTICATION-236","Authentication Failed","Role based auth. Org/Realm does not exists","Use a valid Org/Realm","error_message|authentication_type|role_name"
"LOGIN_FAILED_ROLE_ORGINACTIVE","AUTHENTICATION-237","Authentication Failed","Role based auth. Org/Realm is not active","Activate the Org/Realm","error_message|authentication_type|role_name"
"LOGIN_FAILED_ROLE_SESSIONCREATEERROR","AUTHENTICATION-238","Authentication Failed","Role based auth. Cannot create a session","Ensure that session service is configured and maxsession is not reached","error_message|authentication_type|role_name"
"LOGIN_FAILED_ROLE_USERNOTFOUND","AUTHENTICATION-239","Authentication Failed","Role based auth. User does not belong to this role","Add the user to this role","error_message|authentication_type|role_name"
"LOGIN_FAILED_SERVICE","AUTHENTICATION-240","Service based authentication failed","No authentication configuration (chain of one or more authentication modules) configured for service; Incorrect/invalid credentials presented; User locked out/not active","Configure authentication configuration (chain of one or more authentication modules) for service; Enter correct/valid credentials to required authentication module","error_message|authentication_type|service_name"
"LOGIN_FAILED_SERVICE_INVALIDPASSWORD","AUTHENTICATION-241","Authentication Failed","Service based Auth. Invalid credentials entered","Enter the correct password","error_message|authentication_type|service_name"
"LOGIN_FAILED_SERVICE_NOCONFIG","AUTHENTICATION-242","Authentication Failed","Named Configuration (Auth Chain) does not exist with this service name","Create and configure a named config","error_message|authentication_type|service_name"
"LOGIN_FAILED_SERVICE_NOUSERPROFILE","AUTHENTICATION-243","Authentication Failed","Service based Auth. No user profile found for this user","User does not exist in the datastore plugin configured and hence configure the datastore plugin for this realm/org correctly","error_message|authentication_type|service_name"
"LOGIN_FAILED_SERVICE_USERINACTIVE","AUTHENTICATION-244","Authentication Failed","Service based Auth. This user is not active","Activate the user","error_message|authentication_type|service_name"
"LOGIN_FAILED_SERVICE_LOCKEDOUT","AUTHENTICATION-245","Authentication Failed","Service based Auth. Max number of failure attempts exceeded. User is Locked out","Contact system administrator","error_message|authentication_type|service_name"
"LOGIN_FAILED_SERVICE_ACCOUNTEXPIRED","AUTHENTICATION-246","Authentication Failed","Service based Auth. User account has expired","Contact system administrator","error_message|authentication_type|service_name"
"LOGIN_FAILED_SERVICE_LOGINTIMEOUT","AUTHENTICATION-247","Authentication Failed","Service based Auth. Login timed out","Try to login again","error_message|authentication_type|service_name"
"LOGIN_FAILED_SERVICE_MODULEDENIED","AUTHENTICATION-248","Authentication Failed","Service based Auth. Authentication module is denied","Configure this module or use some other module","error_message|authentication_type|service_name"
"LOGIN_FAILED_SERVICE_NOSERVICE","AUTHENTICATION-249","Authentication Failed","Service based Auth. Service does not exist","Please use only valid Service","error_message|authentication_type|service_name"
"LOGIN_FAILED_SERVICE_MAXSESSIONREACHED","AUTHENTICATION-250","Authentication Failed","Service based auth. Limit for maximum number of allowed session has been reached","Logout of a session or increase the limit","error_message|authentication_type|service_name"
"LOGIN_FAILED_SERVICE_INVALIDDOMAIN","AUTHENTICATION-251","Authentication Failed","Service based auth. Org/Realm does not exists","Use a valid Org/Realm","error_message|authentication_type|service_name"
"LOGIN_FAILED_SERVICE_ORGINACTIVE","AUTHENTICATION-252","Authentication Failed","Service based auth. Org/Realm is not active","Activate the Org/Realm","error_message|authentication_type|service_name"
"LOGIN_FAILED_SERVICE_SESSIONCREATEERROR","AUTHENTICATION-253","Authentication Failed","Service based auth. Cannot create a session","Ensure that session service is configured and maxsession is not reached","error_message|authentication_type|service_name"
"LOGIN_FAILED_LEVEL","AUTHENTICATION-254","Authentication level based authentication failed","There are no authentication module(s) having authentication level value greater than or equal to specified authentication level; Incorrect/invalid credentials presented to one or more authentication modules having authentication level greater than or equal to specified authentication level; User locked out/not active","Configure one or more authentication modules having authentication level value greater than or equal to required authentication level; Enter correct/valid credentials to one or more authentication modules having authentication level greater than or equal to specified authentication level","error_message|authentication_type|authentication_level_value"
"LOGIN_FAILED_LEVEL_INVALIDPASSWORD","AUTHENTICATION-255","Authentication Failed","Level based Auth. Invalid credentials entered","Enter the correct password","error_message|authentication_type|authentication_level_value"
"LOGIN_FAILED_LEVEL_NOCONFIG","AUTHENTICATION-256","Authentication Failed","Level based Auth. No Auth Configuration available","Create an auth configuration","error_message|authentication_type|authentication_level_value"
"LOGIN_FAILED_LEVEL_NOUSERPROFILE","AUTHENTICATION-257","Authentication Failed","Level based Auth. No user profile found for this user","User does not exist in the datastore plugin configured and hence configure the datastore plugin for this realm/org correctly","error_message|authentication_type|authentication_level_value"
"LOGIN_FAILED_LEVEL_USERINACTIVE","AUTHENTICATION-258","Authentication Failed","Level based Auth. This user is not active","Activate the user","error_message|authentication_type|authentication_level_value"
"LOGIN_FAILED_LEVEL_LOCKEDOUT","AUTHENTICATION-259","Authentication Failed","Level based Auth. Max number of failure attempts exceeded. User is Locked out","Contact system administrator","error_message|authentication_type|authentication_level_value"
"LOGIN_FAILED_LEVEL_ACCOUNTEXPIRED","AUTHENTICATION-260","Authentication Failed","Level based Auth. User account has expired","Contact system administrator","error_message|authentication_type|authentication_level_value"
"LOGIN_FAILED_LEVEL_LOGINTIMEOUT","AUTHENTICATION-261","Authentication Failed","Level based Auth. Login timed out","Try to login again","error_message|authentication_type|authentication_level_value"
"LOGIN_FAILED_LEVEL_MODULEDENIED","AUTHENTICATION-262","Authentication Failed","Level based Auth. Authentication module is denied","Configure this module or use some other module","error_message|authentication_type|authentication_level_value"
"LOGIN_FAILED_LEVEL_INCORRECTLEVEL","AUTHENTICATION-263","Authentication Failed","Level based Auth. Invalid Authg Level","Please specify valid auth level","error_message|authentication_type|authentication_level_value"
"LOGIN_FAILED_LEVEL_MAXSESSIONREACHED","AUTHENTICATION-264","Authentication Failed","Level based auth. Limit for maximum number of allowed session has been reached","Logout of a session or increase the limit","error_message|authentication_type|authentication_level_value"
"LOGIN_FAILED_LEVEL_INVALIDDOMAIN","AUTHENTICATION-265","Authentication Failed","Level based auth. Org/Realm does not exists","Use a valid Org/Realm","error_message|authentication_type|authentication_level_value"
"LOGIN_FAILED_LEVEL_ORGINACTIVE","AUTHENTICATION-266","Authentication Failed","Level based auth. Org/Realm is not active","Activate the Org/Realm","error_message|authentication_type|authentication_level_value"
"LOGIN_FAILED_LEVEL_SESSIONCREATEERROR","AUTHENTICATION-267","Authentication Failed","Level based auth. Cannot create a session","Ensure that session service is configured and maxsession is not reached","error_message|authentication_type|authentication_level_value"
"LOGIN_FAILED_MODULE_INSTANCE","AUTHENTICATION-268","Module based authentication failed","Module is not registered/configured under realm; Incorrect/invalid credentials presented; User locked out/not active","Register/configure authentication module under realm; Enter correct/valid credentials to authentication module","error_message|authentication_type|module_name"
"LOGIN_FAILED_MODULE_INSTANCE_INVALIDPASSWORD","AUTHENTICATION-269","Authentication Failed","Module based Auth. Invalid credentials entered","Enter the correct password","error_message|authentication_type|module_name"
"LOGIN_FAILED_MODULE_INSTANCE_NOUSERPROFILE","AUTHENTICATION-270","Authentication Failed","Module based Auth. No user profile found for this user","User does not exist in the datastore plugin configured and hence configure the datastore plugin for this realm/org correctly","error_message|authentication_type|module_name"
"LOGIN_FAILED_MODULE_INSTANCE_USERINACTIVE","AUTHENTICATION-271","Authentication Failed","Module based Auth. This user is not active","Activate the user","error_message|authentication_type|module_name"
"LOGIN_FAILED_MODULE_INSTANCE_LOCKEDOUT","AUTHENTICATION-272","Authentication Failed","Module based Auth. Max number of failure attempts exceeded. User is Locked out","Contact system administrator","error_message|authentication_type|module_name"
"LOGIN_FAILED_MODULE_INSTANCE_ACCOUNTEXPIRED","AUTHENTICATION-273","Authentication Failed","Module based Auth. User account has expired","Contact system administrator","error_message|authentication_type|module_name"
"LOGIN_FAILED_MODULE_INSTANCE_LOGINTIMEOUT","AUTHENTICATION-274","Authentication Failed","Module based Auth. Login timed out","Try to login again","error_message|authentication_type|module_name"
"LOGIN_FAILED_MODULE_INSTANCE_MODULEDENIED","AUTHENTICATION-275","Authentication Failed","Module based Auth. Authentication module is denied","Configure this module or use some other module","error_message|authentication_type|module_name"
"LOGIN_FAILED_MODULE_INSTANCE_MAXSESSIONREACHED","AUTHENTICATION-276","Authentication Failed","Module based auth. Limit for maximum number of allowed session has been reached","Logout of a session or increase the limit","error_message|authentication_type|module_name"
"LOGIN_FAILED_MODULE_INSTANCE_INVALIDDOMAIN","AUTHENTICATION-277","Authentication Failed","Module based auth. Org/Realm does not exists","Use a valid Org/Realm","error_message|authentication_type|module_name"
"LOGIN_FAILED_MODULE_INSTANCE_ORGINACTIVE","AUTHENTICATION-278","Authentication Failed","Module based auth. Org/Realm is not active","Activate the Org/Realm","error_message|authentication_type|module_name"
"LOGIN_FAILED_MODULE_INSTANCE_SESSIONCREATEERROR","AUTHENTICATION-279","Authentication Failed","Module based auth. Cannot create a session","Ensure that session service is configured and maxsession is not reached","error_message|authentication_type|module_name"
LOGOUT,"AUTHENTICATION-300","User logout is Successful","User logged out",,message
"LOGOUT_USER","AUTHENTICATION-301","User logout is successful from user based authentication","User logged out",,"message|authentication_type|user_name"
"LOGOUT_ROLE","AUTHENTICATION-302","User logout is successful from role based authentication","User belonging to this role logged out",,"message|authentication_type|role_name"
"LOGOUT_SERVICE","AUTHENTICATION-303","User logout is successful from service based authentication","User logged out of a configured service under realm",,"message|authentication_type|service_name"
"LOGOUT_LEVEL","AUTHENTICATION-304","User logout is successful from authentication level based authentication","User logged out of one or more authentication modules having authentication level value greater than or equal to specified authentication level",,"message|authentication_type|authentication_level_value"
"LOGOUT_MODULE_INSTANCE","AUTHENTICATION-305","User logout is successful from module based authentication","User logged out of authentication module under realm",,"message|authentication_type|module_name"
"CHANGE_USER_PASSWORD_FAILED","AUTHENTICATION-306","Change user password failed","Change user password in authentication screen due to directory server password policy","Enter password which meets directory server password policy","error_message"
"CHANGE_USER_PASSWORD_SUCCEEDED","AUTHENTICATION-307","Changing user password succeeded","Change user password in authentication screen due to directory server password policy",,message
"CREATE_USER_PROFILE_FAILED","AUTHENTICATION-308","Create user password failed","Create new user in Membership module","Make sure password entered meets directory server password policy","error_message|user_name"
"ATTEMPT_LOGIN","AMCLI-1","Attempt to login to execute the commandline","Run the Commandline tool",,"user_ID"
"SUCCEED_LOGIN","AMCLI-2","Login to execute the commandline","Run the Commandline tool",,"user_ID"
"FAILED_LOGIN","AMCLI-3","Failed to login","Run the Commandline tool","Check your user ID and password.; Look under debug file for more information","user_ID|error_message"
"ATTEMPT_LOAD_SCHEMA","AMCLI-20","Attempt to load schema to data store","Load Schema through Commandline interface",,"XML_file_name"
"SUCCESS_LOAD_SCHEMA","AMCLI-21","Schema is loaded to data store","Load Schema through Commandline interface",,"XML_file_name"
"FAILED_LOAD_SCHEMA","AMCLI-22","Schema is not loaded to data store","Load Schema through Commandline interface","Look under debug file for more information","XML_file_name|error_message"
"ATTEMPT_DELETE_SERVICE","AMCLI-30","Attempt to delete service from data store","Delete Service through Commandline interface",,"service_name"
"SUCCESS_DELETE_SERVICE","AMCLI-31","Deleted service from data store","Delete Service through Commandline interface",,"service_name"
"FAILED_DELETE_SERVICE","AMCLI-32","Schema is not loaded to data store","Delete Service Schema through Commandline interface","Look under debug file for more information","service_name|error_message"
"ATTEMPT_ADD_ATTRIBUTE_SCHEMA","AMCLI-40","Attempt to attribute schema to an existing service","Add attribute schema through Commandline interface",,"service_name|schema_type|XML_file_name"
"SUCCESS_ADD_ATTRIBUTE_SCHEMA","AMCLI-41","Added attribute schema to existing service","Add attribute schema through Commandline interface",,"service_name|schema_type|XML_file_name"
"FAILED_ADD_ATTRIBUTE_SCHEMA","AMCLI-42","Attribute schema is not added to existing service","Add attribute schema through Commandline interface","Check the service name, schema type and XML file.; Look under debug file for more information","service_name|schema_type|XML_file_name|error_message"
"ATTEMPT_ADD_RESOURCE_BUNDLE","AMCLI-50","Attempt to add resource bundle to data store","Add Resource Bundle through Commandline interface",,"resource_bundle_name|file_name|locale"
"SUCCEED_ADD_RESOURCE_BUNDLE","AMCLI-51","Resource bundle is added to data store","Add Resource Bundle through Commandline interface",,"resource_bundle_name|file_name|locale"
"FAILED_ADD_RESOURCE_BUNDLE","AMCLI-52","Failed to add resource bundle to data store","SDK for adding resource bundle failed","Look under debug file for more information","resource_bundle_name|file_name|locale|error_message"
"ATTEMPT_GET_RESOURCE_BUNDLE","AMCLI-60","Attempt to get resource bundle from data store","Get Resource Bundle through Commandline interface",,"resource_bundle_name|locale"
"SUCCEED_GET_RESOURCE_BUNDLE","AMCLI-61","Resource bundle retrieved from data store","Get Resource Bundle through Commandline interface",,"resource_bundle_name|locale"
"FAILED_GET_RESOURCE_BUNDLE","AMCLI-62","Failed to get resource bundle from data store","SDK for getting resource bundle failed","Look under debug file for more information","resource_bundle_name|locale|error_message"
"ATTEMPT_DELETE_RESOURCE_BUNDLE","AMCLI-70","Attempt to delete resource bundle from data store","Delete Resource Bundle through Commandline interface",,"resource_bundle_name|locale"
"SUCCEED_DELETE_RESOURCE_BUNDLE","AMCLI-71","Resource bundle deleted from data store","Delete Resource Bundle through Commandline interface",,"resource_bundle_name|locale"
"FAILED_DELETE_RESOURCE_BUNDLE","AMCLI-72","Failed to delete resource bundle from data store","SDK for deleting resource bundle failed","Look under debug file for more information","resource_bundle_name|locale|error_message"
"ATTEMPT_SESSION_DESTROY","AMCLI-100","Attempt to destroy Session destroyed","Administrator invalidates session via Commandline interface",,"name_of_user"
"SUCCEED_SESSION_DESTROY","AMCLI-101","Session destroyed","Administrator invalidates session via Commandline interface",,"name_of_user"
"FAILED_SESSION_DESTROY","AMCLI-102","Failed to destroy session","Session cannot be destroyed","Look under debug file for more information","name_of_user|error_message"
"ATTEMPT_MIGRATION_ENTRY","AMCLI-1000","Attempt to migration organization to realm/","Migration Commandline interface",,"distinguished_name_of_organization"
"SUCCEED_MIGRATION_ENTRY","AMCLI-1001","Migration completed","Migration Commandline interface",,"distinguished_name_of_organization"
"ATTEMPT_DELETE_REALM","AMCLI-2000","Attempt to delete realm/","Delete realm command through Commandline interface",,"name_of_realm|recursive"
"SUCCEED_DELETE_REALM","AMCLI-2001","Realm deleted","Delete realm command through Commandline interface",,"name_of_realm|recursive"
"FAILED_DELETE_REALM","AMCLI-2002","Failed to delete realm","Delete realm command through Commandline interface","Look under debug file for more information","name_of_realm|recursive|error_message"
"ATTEMPT_CREATE_REALM","AMCLI-2010","Attempt to create realm/","Create realm command through Commandline interface",,"name_of_realm"
"SUCCEED_CREATE_REALM","AMCLI-2011","Realm created","Create realm command through Commandline interface",,"name_of_realm"
"FAILED_CREATE_REALM","AMCLI-2012","Failed to create realm","Create realm command through Commandline interface","Look under debug file for more information","name_of_realm|error_message"
"ATTEMPT_SEARCH_REALM","AMCLI-3020","Attempt to search for realms by name","Search realms command through Commandline interface",,"name_of_realm|search_pattern|recursive
name_of_realm|name_of_service"
"SUCCEED_SEARCH_REALM","AMCLI-3021","Completed searching for realms","Search realms command through Commandline interface",,"name_of_realm|search_pattern|recursive
name_of_realm|name_of_service"
"FAILED_SEARCH_REALM","AMCLI-3022","Search for realms failed","Search realms command through Commandline interface","Look under debug file for more information","name_of_realm|search_pattern|recursive|error_message
name_of_realm|name_of_service|error_message"
"ATTEMPT_GET_ASSIGNABLE_SERVICES_OF_REALM","AMCLI-2020","Attempt to get assignable services of realm","Execute get assignable services of realm Commandline interface",,"name_of_realm"
"SUCCEED_GET_ASSIGNABLE_SERVICES_OF_REALM","AMCLI-2021","Assignable services command is serviced","Execute get assignable services of realm Commandline interface",,"name_of_realm"
"FAILED_GET_ASSIGNABLE_SERVICES_OF_REALM","AMCLI-2022","Unable to get assignable services of realm","Execute get assignable services of realm Commandline interface","Look under debug file for more information","name_of_realm|error_message"
"ATTEMPT_GET_ASSIGNED_SERVICES_OF_REALM","AMCLI-2030","Attempt to get services assigned to a realm","Execute get services assigned to realm Commandline interface",,"name_of_realm|include_mandatory_services"
"SUCCEED_GET_ASSIGNED_SERVICES_OF_REALM","AMCLI-2031","Assignable services command is serviced","Execute get services assigned to realm Commandline interface",,"name_of_realm|include_mandatory_services"
"FAILED_GET_ASSIGNED_SERVICES_OF_REALM","AMCLI-2032","Unable to get services assigned to realm","Execute get services assigned to realm Commandline interface","Look under debug file for more information","name_of_realm|include_mandatory_services|error_message"
"ATTEMPT_ASSIGN_SERVICE_TO_REALM","AMCLI-2040","Attempt to assign service to a realm","Execute assign service to realm Commandline interface",,"name_of_realm|name_of_service"
"SUCCEED_ASSIGN_SERVICE_TO_REALM","AMCLI-2041","Service is assigned to realm","Execute assign service to realm Commandline interface",,"name_of_realm|name_of_service"
"FAILED_ASSIGN_SERVICE_TO_REALM","AMCLI-2042","Unable to assign service to realm","Execute assign service to realm Commandline interface","Look under debug file for more information","name_of_realm|name_of_service|error_message"
"ATTEMPT_UNASSIGN_SERVICE_FROM_REALM","AMCLI-2050","Attempt to unassign service from a realm","Execute unassign service from realm Commandline interface",,"name_of_realm|name_of_service"
"SUCCEED_UNASSIGN_SERVICE_FROM_REALM","AMCLI-2051","Service is unassigned from realm","Execute unassign service from realm Commandline interface",,"name_of_realm|name_of_service"
"FAILED_UNASSIGN_SERVICE_FROM_REALM","AMCLI-2052","Unable to unassign service from realm","Execute unassign service from realm Commandline interface","Look under debug file for more information","name_of_realm|name_of_service|error_message"
"ATTEMPT_GET_REALM_SERVICE_ATTR_VALUES","AMCLI-2060","Attempt to get service attribute values from a realm","Execute get service attribute values from realm Commandline interface",,"name_of_realm|name_of_service"
"SUCCEED_GET_REALM_SERVICE_ATTR_VALUES","AMCLI-2061","Service attribute values of realm is returneed","Execute get service attribute values from realm Commandline interface",,"name_of_realm|name_of_service"
"FAILED_GET_REALM_SERVICE_ATTR_VALUES","AMCLI-2062","Unable to get service attribute values of realm","Execute get service attribute values from realm Commandline interface","Look under debug file for more information","name_of_realm|name_of_service|error_message"
"ATTEMPT_REMOVE_REALM_ATTRIBUTE","AMCLI-2070","Attempt to remove attribute from a realm","Execute remove attribute from realm Commandline interface",,"name_of_realm|name_of_service|name_of_attribute"
"SUCCEED_REMOVE_REALM_ATTRIBUTE","AMCLI-2071","Attribute of realm is removed","Execute remove attribute from realm Commandline interface",,"name_of_realm|name_of_service|name_of_attribute"
"FAILED_REMOVE_REALM_ATTRIBUTE","AMCLI-2072","Unable to remove attribute from realm","Execute remove attribute from realm Commandline interface","Look under debug file for more information","name_of_realm|name_of_service|name_of_attribute|error_message"
"ATTEMPT_MODIFY_SERVICE_REALM","AMCLI-2080","Attempt to modify service of realm","Execute modify service of realm Commandline interface",,"name_of_realm|name_of_service"
"SUCCEED_MODIFY_SERVICE_REALM","AMCLI-2081","Attribute of realm is modified","Execute modify service of realm Commandline interface",,"name_of_realm|name_of_service"
"FAILED_MODIFY_SERVICE_REALM","AMCLI-2082","Unable to modify service of realm","Execute modify service of realm Commandline interface","Look under debug file for more information","name_of_realm|name_of_service|error_message"
"ATTEMPT_ADD_ATTR_VALUES_REALM","AMCLI-2090","Attempt to add attribute value to realm","Execute add attribute values to realm Commandline interface",,"name_of_realm|name_of_service|name_of_attribute"
"SUCCEED_ADD_ATTR_VALUES_REALM","AMCLI-2091","Attribute values is added to realm","Execute add attribute values to realm Commandline interface",,"name_of_realm|name_of_service|name_of_attribute"
"FAILED_ADD_ATTR_VALUES_REALM","AMCLI-2092","Unable to add attribute values to realm","Execute add attribute values to realm Commandline interface","Look under debug file for more information","name_of_realm|name_of_service|name_of_attribute|error_message"
"ATTEMPT_SET_ATTR_VALUES_REALM","AMCLI-2100","Attempt to set attribute value to realm","Execute set attribute values to realm Commandline interface",,"name_of_realm|name_of_service"
"SUCCEED_SET_ATTR_VALUES_REALM","AMCLI-2101","Attribute values is set to realm","Execute set attribute values to realm Commandline interface",,"name_of_realm|name_of_service"
"FAILED_SET_ATTR_VALUES_REALM","AMCLI-2102","Unable to set attribute values to realm","Execute set attribute values to realm Commandline interface","Look under debug file for more information","name_of_realm|name_of_service|error_message"
"ATTEMPT_REMOVE_SCHEMA_ATTR_DEFAULTS","AMCLI-2110","Attempt to remove schema attribute defaults","Execute remove schema attribute defaults Commandline interface",,"name_of_service|schema_type|name_of_sub_schema|name_of_attribute"
"SUCCEED_REMOVE_SCHEMA_ATTR_DEFAULTS","AMCLI-2111","Schema attribute defaults is removed","Execute remove schema attribute defaults Commandline interface",,"name_of_service|schema_type|name_of_sub_schema|name_of_attribute"
"FAILED_REMOVE_SCHEMA_ATTR_DEFAULTS","AMCLI-2112","Unable to remove schema attribute defaults","Execute remove schema attribute defaults Commandline interface","Look under debug file for more information","name_of_service|schema_type|name_of_sub_schema|name_of_attribute|error_message"
"ATTEMPT_ADD_SCHEMA_ATTR_DEFAULTS","AMCLI-2120","Attempt to add schema attribute defaults","Execute add schema attribute defaults Commandline interface",,"name_of_service|schema_type|name_of_sub_schema|name_of_attribute"
"SUCCEED_ADD_SCHEMA_ATTR_DEFAULTS","AMCLI-2121","Schema attribute defaults is added","Execute add schema attribute defaults Commandline interface",,"name_of_service|schema_type|name_of_sub_schema|name_of_attribute"
"FAILED_ADD_SCHEMA_ATTR_DEFAULTS","AMCLI-2122","Unable to add schema attribute defaults","Execute add schema attribute defaults Commandline interface","Look under debug file for more information","name_of_service|schema_type|name_of_sub_schema|name_of_attribute|error_message"
"ATTEMPT_GET_SCHEMA_ATTR_DEFAULTS","AMCLI-2130","Attempt to get schema attribute defaults","Execute get schema attribute defaults Commandline interface",,"name_of_service|schema_type|name_of_sub_schema"
"SUCCEED_GET_SCHEMA_ATTR_DEFAULTS","AMCLI-2131","Schema attribute defaults is returned","Execute get schema attribute defaults Commandline interface",,"name_of_service|schema_type|name_of_sub_schema"
"FAILED_GET_SCHEMA_ATTR_DEFAULTS","AMCLI-2132","Unable to get schema attribute defaults","Execute get schema attribute defaults Commandline interface","Look under debug file for more information","name_of_service|schema_type|name_of_sub_schema|error_message"
"ATTEMPT_SET_SCHEMA_ATTR_DEFAULTS","AMCLI-2140","Attempt to set schema attribute defaults","Execute set schema attribute defaults Commandline interface",,"name_of_service|schema_type|name_of_sub_schema"
"SUCCEED_SET_SCHEMA_ATTR_DEFAULTS","AMCLI-2141","Schema attribute defaults is set","Execute set schema attribute defaults Commandline interface",,"name_of_service|schema_type|name_of_sub_schema"
"FAILED_SET_SCHEMA_ATTR_DEFAULTS","AMCLI-2142","Unable to set schema attribute defaults","Execute set schema attribute defaults Commandline interface","Look under debug file for more information","name_of_service|schema_type|name_of_sub_schema|error_message"
"ATTEMPT_ADD_ATTRIBUTE_SCHEMA_CHOICE_VALUES","AMCLI-2150","Attempt to add choice value to attribute schema","Execute add attribute schema choice values Commandline interface",,"name_of_service|schema_type|name_of_sub_schema|name_of_attribute_schema"
"SUCCEED_ADD_ATTRIBUTE_SCHEMA_CHOICE_VALUES","AMCLI-2151","Choice values are added","Execute add attribute schema choice values Commandline interface",,"name_of_service|schema_type|name_of_sub_schema|name_of_attribute_schema"
