PatternId,PatternName,have_dashboard,Category,Description,,,,,
D997B89027EE0345917D2839DA3E3862,Mandatory HANA Monitoring,0,Mandatory HANA Audit Policies,Issue an alert when log backup or recovery activities have happened.,,,,,
5A4E0727F03FDE47B16287FB2281E2C3,Dynamic Profile Parameter Change,0,Profile Parameter Maintenance,Monitor events indicating change a dynamic profile parameter in RZ11.,,,,,
291E99782D90CA499A5F03D237DCE92A,Static Profile Parameter Change,0,Profile Parameter Maintenance,Monitor events indicating change a static profile parameter in RZ10.,,,,,
49256DF8ACE89543915EF50082079198,Static Profile Parameter Deactivation,0,Profile Parameter Maintenance,Monitor events indicating deactivation a static profile parameter in RZ10.,,,,,
1F243D2C2A5B69438AC9208D53856377,Static Profile Parameter Deletion,0,Profile Parameter Maintenance,Monitor events indicating deletion a static profile parameter in RZ10.,,,,,
F398D1681C942544848F7BC5E6392377,Error during Static Profile Parameter Maintenance,0,Profile Parameter Maintenance,Monitor events indicating errors on static profile parameter maintenance.,,,,,
023D19ACC75D764BB7D32075F295E19A,S/4HANA Schema Access Data Protection & Privacy,0,S/4HANA Schema Access Log HANA Audit Policies,Issue an alert when direct access to data has happened.,,,,,
09FA5C7CCCCAF049808EA5DF768B5C61,Change of a Security Policy in a Critical System,0,Security Policy Maintenance,Monitor ABAP system events indicating change of a security policy by means of transaction SECPOL in a critical system.,,,,,
0913BE45EFA7A54A82D1AF9F4AB5F265,Change of a Critical Security Policy in a Critical System,0,Security Policy Maintenance,Monitor ABAP system events indicating change of a critical security policy by means of transaction SECPOL in a critical system.,,,,,
4D73143A3DA9974F8F24584F7B20C651,Assignment of a Sec. Policy to a User in a Critical System,0,Security Policy Maintenance,Monitor ABAP system events indicating assignment of a security policy to a user by means of transaction SU01 in a critical system.,,,,,
F78761958F65154B8439BEDA46A2E200,Assignment of Crit. Sec. Policy to a User in a Crit. System,0,Security Policy Maintenance,Monitor ABAP system events indicating assignment of a critical security policy to a user by means of transaction SU01 in a critical system.,,,,,
840C0E386666FD41AAFC318A7C05AB00,Change of Security Policy,0,Security Policy Maintenance,Monitor ABAP system events indicating change of a security policy by means of transaction SECPOL.,,,,,
383B2F577EC5D946A97BB2DDA40B57B4,Assignment of a Security Policy to a User,0,Security Policy Maintenance,Monitor ABAP system events indicating assignment of a security policy to a user by means of transaction SU01.,,,,,
6259E80892D03649BA84F9220C458E87,RECON,0,Vulnerable Services,The pattern detects use of vulnerability called the RECON bug (note 2947895).,,,,,
