kl_host,kl_first_seen,kl_popularity,kl_threat
yqco5.4lql29534dr.com,05.12.2012 13:08,2,CnC.Win32.Generic
casadoatirador.com.br,24.03.2014 11:02,2,Trojan-Spy.Win32.Zbot
nanoprotech.com.ua,17.03.2014 04:23,2,Trojan-Spy.Win32.Zbot
serralheriamachado.com.br,15.07.2013 08:19,2,CnC.Win32.Generic
elseve.comoj.com,06.06.2015 09:48,2,Worm.MSIL.Arcdoor
creatingchangecoaching.com.au,16.08.2014 05:48,2,Trojan-Spy.Win32.Zbot
trcore.com.tw,20.04.2017 01:12,2,Trojan-Spy.Win32.Zbot
cafs.co.in,08.06.2015 13:51,2,Trojan-Spy.Win32.Zbot
dpi-print.com.sg,18.02.2014 18:56,2,CnC.Win32.Generic
server8.hobohost.com,22.08.2014 01:28,2,Trojan-Spy.Win32.Zbot
5.128.237.59,25.02.2017 15:09,2,Backdoor.Win32.Hlux
menininhos.com.br,18.06.2014 00:12,2,Trojan-Spy.Win32.Zbot
mootje01.no-ip.org,27.09.2013 15:12,2,Trojan.Win32.Xtrat
limitlessstudios.co.uk,12.03.2015 14:58,2,Trojan-Spy.Win32.Zbot
proxy.us.pl,13.12.2012 13:43,2,Trojan.Win32.IRCbot
web-hosting.nazuka.net,15.06.2017 06:39,2,Backdoor.Win32.Albot
149.202.209.166,25.05.2017 01:30,2,Backdoor.Win32.Androm
engeforpavimentacao.com.br,03.02.2014 19:21,2,CnC.Win32.Generic
fazedordesite.com.br,20.05.2014 09:56,2,Trojan-Spy.Win32.Zbot
universalengineers.co.in,16.07.2014 02:45,2,Trojan-Spy.Win32.Zbot
rachelserodioadvogados.com.br,11.08.2014 14:19,2,Trojan-Spy.Win32.Zbot
immc.com.br,16.03.2017 06:00,2,Trojan.Win32.Inject
grupolz.com.br,17.02.2014 16:19,2,CnC.Win32.Generic
jdautocentergyn.com.br,19.08.2013 16:23,2,CnC.Win32.Generic
old.mediaport.info,09.09.2014 06:15,2,Trojan-Spy.MSIL.Banker
carpes.adv.br,13.03.2017 09:52,2,Trojan-PSW.Win32.Fareit
smartloja.com.br,17.01.2013 05:25,2,CnC.Win32.Generic
ibnossolar.org.br,01.10.2013 15:11,2,CnC.Win32.Generic
bps-plumbing.co.uk,29.12.2014 15:10,2,Trojan-Spy.Win32.Zbot
rainbowbbs.mywebcommunity.org,20.11.2014 15:40,2,CnC.Win32.Generic
autoban.phpnet.us,20.11.2014 15:40,2,CnC.Win32.Generic
rootca.000space.com,20.11.2014 15:40,2,CnC.Win32.Generic
lifestyle-therapies.co.uk,26.11.2016 13:23,2,CnC.Win32.Generic
sapeixoto.com.br,20.03.2014 18:20,2,Trojan-Spy.Win32.Zbot
on.noip.me,23.09.2014 22:31,2,Backdoor.Win32.Vernet
42.115.191.236,07.05.2017 12:08,2,Trojan.Win32.Agent
84.200.109.236,22.11.2016 05:24,2,Trojan.Win32.MSILBot
ifiteg.edu.br,16.05.2017 11:57,2,Trojan-PSW.Win32.Fareit
lawnmasters.com.au,01.11.2013 07:39,2,CnC.Win32.Generic
travelscapes.co.in,07.01.2013 00:22,2,Trojan-Spy.Win32.Zbot
shoctober.org.au,08.03.2017 01:10,2,Trojan-PSW.Win32.Fareit
southsideairconditioning.com.au,17.03.2014 22:15,2,CnC.Win32.Generic
weddings.dsvisuals.com,18.08.2014 12:03,2,Trojan-Spy.Win32.Zbot
720-armour.com.au,16.02.2015 13:54,2,Trojan-Spy.Win32.Zbot
fin.sleeptimellc.net,16.06.2017 03:41,2,Trojan-Spy.Win32.Zbot
web.googlemehard.net,06.06.2017 01:57,2,Trojan-Spy.Win32.Zbot
sbpv.org.br,07.06.2015 14:21,2,Trojan-Spy.Win32.Zbot
peterpanaupairs.co.uk,07.11.2014 10:05,2,Trojan-Spy.Win32.Zbot
righi.linkpc.net,31.08.2015 07:16,2,Worm.VBS.Dinihou
medoutil.zapto.org,17.10.2013 06:45,2,CnC.Win32.Generic
microsoftntdll.sytes.net,07.10.2013 13:19,2,Backdoor.Win32.Xtreme
org.publicvm.com,22.07.2014 07:12,2,Backdoor.MSIL.Bladabindi
62.109.19.114,22.12.2016 15:54,2,Trojan-Banker.Win32.NeverQuest
museudohumorcearense.com.br,26.11.2016 13:23,2,CnC.Win32.Generic
5.8.88.189,14.05.2017 17:19,2,Trojan-Spy.Win32.Panda
5.8.88.84,14.02.2017 13:10,2,Trojan-Spy.Win32.Panda
84.200.16.242,28.06.2017 10:07,2,CnC.Win32.Generic
informationspecialties.altervista.org,06.05.2015 18:18,2,CnC.Win32.Generic
airal.com.ua,25.02.2014 11:56,2,CnC.Win32.Generic
sfpanda.com.ar,07.05.2013 12:09,2,Trojan-Spy.Win32.Zbot
ir.funpic.de,20.03.2011 15:13,2,Worm.MSIL.Arcdoor
vx.no-ip.info,20.02.2015 17:02,2,Worm.VBS.Dinihou
tranlap.site11.com,06.06.2015 12:14,2,Trojan-PSW.Win32.Fareit
mgocsechia.hostoi.com,06.06.2015 09:48,2,Worm.MSIL.Arcdoor
ghonyyul.comze.com,06.06.2015 09:48,2,Worm.MSIL.Arcdoor
animalcia.com.br,04.06.2014 20:02,2,Backdoor.Win32.Napolar
bigimpressoes.com.br,01.11.2013 11:43,2,CnC.Win32.Generic
lalka.url.ph,30.04.2014 18:18,2,Trojan-PSW.Win32.Fareit
hacker20133.no-ip.org,21.10.2014 18:11,2,Backdoor.Win32.Xtreme
gopina.com.br,17.04.2014 08:25,2,CnC.Win32.Generic
5.45.66.161,06.06.2017 12:17,2,CnC.Win32.Generic
amblecote.dudley.sch.uk,11.12.2014 05:40,2,Trojan-Spy.Win32.Zbot
bamagoga3.no-ip.biz,26.03.2015 20:51,2,Backdoor.Win32.DarkKomet
lojadestak.com.br,03.07.2017 03:16,2,Trojan-PSW.Win32.Fareit
deffanogroup.co.id,07.10.2016 06:13,2,Trojan-PSW.Win32.Chisburg
marcellusrecepcoes.com.br,22.08.2013 20:34,2,CnC.Win32.Generic
mcmusinagem.com.br,29.07.2015 22:45,2,Trojan-Spy.Win32.Zbot
192.168.1.internetexpl.com,29.04.2017 12:53,2,Trojan.Win32.Agent
