"object-group",object,description
ltmFtpProfileGroup,ltmFtpProfileLogPublisher,"Specifies the name of the log publisher that logs ALG events, if any."
ltmFtpProfileGroup,ltmFtpProfileLogProfile,"Specifies the name of the log profile that control the logging of ALG events, if any."
ltmHttpProfileGroup,ltmHttpProfileNumber,"The number of ltmHttpProfile entries in the table."
ltmHttpProfileGroup,ltmHttpProfileName,"The name of a HTTP profile."
ltmHttpProfileGroup,ltmHttpProfileConfigSource,"The state that specifies whether this is a base/pre-configured profile or user defined profile."
ltmHttpProfileGroup,ltmHttpProfileDefaultName,"The name of the profile from which the specified profile derives its attribute default values."
ltmHttpProfileGroup,ltmHttpProfileBasicAuthRealm,"The basic authentication realm of the specified HTTP profile."
ltmHttpProfileGroup,ltmHttpProfileOneConnect,"The state that specifies whether OneConnect HTTP header transformation is used for the specified HTTP profile."
ltmHttpProfileGroup,ltmHttpProfileHeaderInsert,"The header to be inserted into the HTTP header for the specified HTTP profile."
ltmHttpProfileGroup,ltmHttpProfileHeaderErase,"The header to be erased into the HTTP header for the specified HTTP profile."
ltmHttpProfileGroup,ltmHttpProfileFallbackHost,"The fallback host name used in HTTP redirect for the specified HTTP profile."
ltmHttpProfileGroup,ltmHttpProfileCompressMode,"Deprecated! The state that specifies whether compression is enabled."
ltmHttpProfileGroup,ltmHttpProfileCompressMinSize,"Deprecated! The value that specifies the minimum length of the server responses (in bytes) to be considered acceptable for compression."
ltmHttpProfileGroup,ltmHttpProfileCompressBufferSize,"Deprecated! The value that specifies the maximum number of uncompressed bytes that the compression proxy will buffer before it decides whether or not to compress the server's response, in case the server's response headers don't specify the content length of the response."
ltmHttpProfileGroup,ltmHttpProfileCompressVaryHeader,"Deprecated! The state that specifies whether to insert the header 'Vary: Accept-Encoding' in the server response for responses that have been compressed. If the 'Vary:' header already exists in the server response, then the value 'Accept-Encoding' will be appended to it."
ltmHttpProfileGroup,ltmHttpProfileCompressAllowHttp10,"Deprecated! The state that specifies whether to allow compression on responses to HTTP 1.0 requests."
ltmHttpProfileGroup,ltmHttpProfileCompressGzipMemlevel,"Deprecated! The amount of memory that the proxy will use when doing compression. It must be an integer no less than 1 and no greater than 9. Higher values produce faster compression at the expense of more memory usage. The default memory level will be 8."
ltmHttpProfileGroup,ltmHttpProfileCompressGzipWindowsize,"Deprecated! The number of bits in the window size that the compression proxy will use when compressing the server response. It should be an integer no less than 8 and no greater than 15. Higher values produce better compression ratios at the expense of more memory usage. The default window size will be 15."
ltmHttpProfileGroup,ltmHttpProfileCompressGzipLevel,"Deprecated! The speed of compression that is applied to the response. Minimum value is 1, maximum is 9. The lower numbers give faster compression with lower ratios, and higher numbers give slower compression with higher ratios."
ltmHttpProfileGroup,ltmHttpProfileCompressKeepAcceptEncoding,"Deprecated! The state of the option to keep client-encoding header."
ltmHttpProfileGroup,ltmHttpProfileCompressBrowserWorkarounds,"Deprecated! The option to control whether or not to disable compression for known browsers that cannot handle certain types of compressed responses properly. If it's true, compression for known browsers will be disabled."
ltmHttpProfileGroup,ltmHttpProfileResponseChunking,"The HTTP chunk mode for the responses."
ltmHttpProfileGroup,ltmHttpProfileLwsMaxColumn,"The linear white space maximum column sizes used to support multi-line header insertion."
ltmHttpProfileGroup,ltmHttpProfileLwsSeparator,"The linear white space separator strings for the specified HTTP profile."
ltmHttpProfileGroup,ltmHttpProfileRedirectRewrite,"The HTTP redirect/rewrite mode for the responses."
ltmHttpProfileGroup,ltmHttpProfileMaxHeaderSize,"The maximum size of the headers."
ltmHttpProfileGroup,ltmHttpProfilePipelining,"Deprecated! The state indicating whether pipelining is enabled for this profile."
ltmHttpProfileGroup,ltmHttpProfileInsertXforwardedFor,"The state indicating whether inserting X-Forwarded-For is enabled for this profile."
ltmHttpProfileGroup,ltmHttpProfileMaxRequests,"The maximum connection requests allowed. The connection will be forced closed when this limit is reached."
ltmHttpProfileGroup,ltmHttpProfileCompressCpusaver,"Deprecated! The state indicating whether CPU saving mode is enable or not when doing compression."
ltmHttpProfileGroup,ltmHttpProfileCompressCpusaverHigh,"Deprecated! The CPU saver high threshold. When CPU utilization exceeds this value, compression is switched to NULL compression."
ltmHttpProfileGroup,ltmHttpProfileCompressCpusaverLow,"Deprecated! The CPU saver low threshold. When CPU utilization drops below this value, compression is switched to full throttle."
ltmHttpProfileGroup,ltmHttpProfileRamcache,"Deprecated! The state the whether RAM cache is enabled or not."
ltmHttpProfileGroup,ltmHttpProfileRamcacheSize,"Deprecated! The maximum cache size in MB's."
ltmHttpProfileGroup,ltmHttpProfileRamcacheMaxEntries,"Deprecated! The maximum cache entries."
ltmHttpProfileGroup,ltmHttpProfileRamcacheMaxAge,"Deprecated! The maximum age of cached object."
ltmHttpProfileGroup,ltmHttpProfileRamcacheObjectMinSize,"Deprecated! The minimum size requirement for cached object in bytes."
ltmHttpProfileGroup,ltmHttpProfileRamcacheObjectMaxSize,"Deprecated! The maximum size limitation for cached object in bytes."
ltmHttpProfileGroup,ltmHttpProfileRamcacheIgnoreClient,"Deprecated! The state that Ram cache ignores client cache."
ltmHttpProfileGroup,ltmHttpProfileRamcacheAgingRate,"Deprecated! The aging rate for the RAM cache."
ltmHttpProfileGroup,ltmHttpProfileRamcacheInsertAgeHeader,"Deprecated! The mode that indicates whether to insert the Age headers for RAM cache."
ltmHttpProfileGroup,ltmHttpProfileCompressPreferredMethod,"Deprecated! The option for preferred compression method."
ltmHttpProfileGroup,ltmHttpProfileServerAgentName,"The server header sent in responses that the BIG-IP itself generates. The default value is BigIP. If is no string is set as the value, then no server header will be added to such responses."
ltmHttpProfileGroup,ltmHttpProfilePassthroughPipeline,"The state indicating behavior on seeing pipelined data in this profile."
ltmHttpProfileGroup,ltmHttpProfileTruncatedRedirects,"The state indicating behavior on seeing a truncated redirect in this profile."
ltmHttpProfileGroup,ltmHttpProfilePassthroughOversizeClientHeaders,"The state indicating passthrough behavior on seeing oversize client headers in this profile."
ltmHttpProfileGroup,ltmHttpProfilePassthroughOversizeServerHeaders,"The state indicating passthrough behavior on seeing oversize server headers in this profile."
ltmHttpProfileGroup,ltmHttpProfilePassthroughExcessClientHeaders,"The state indicating passthrough behavior on seeing excess client headers in this profile."
ltmHttpProfileGroup,ltmHttpProfilePassthroughExcessServerHeaders,"The state indicating passthrough behavior on seeing excess server headers in this profile."
ltmHttpProfileGroup,ltmHttpProfilePassthroughUnknownMethod,"The state indicating behavior on seeing an unknown method in this profile."
ltmCompUriInclGroup,ltmCompUriInclNumber,"Deprecated! The number of ltmHttpProfileCompUriIncl entries in the table."
ltmCompUriInclGroup,ltmCompUriInclName,"The name of a HTTP profile."
ltmCompUriInclGroup,ltmCompUriInclIndex,"The index of the regular expression used to match the request URI part of the client requests during compression in 'include' fields for the specified HTTP profile."
ltmCompUriInclGroup,ltmCompUriInclUri,"The regular expression used to match the request URI part of the client requests during compression in 'include' fields for the specified HTTP profile."
ltmCompUriExclGroup,ltmCompUriExclNumber,"Deprecated! The number of ltmHttpProfileCompUriExcl entries in the table."
ltmCompUriExclGroup,ltmCompUriExclName,"The name of a HTTP profile."
ltmCompUriExclGroup,ltmCompUriExclIndex,"The index of the regular expression used to match the request URI part of the client requests during compression in 'exclude' fields for the specified HTTP profile."
ltmCompUriExclGroup,ltmCompUriExclUri,"The regular expression used to match the request URI part of the client requests during compression in 'exclude' fields for the specified HTTP profile."
ltmCompContTypeInclGroup,ltmCompContTypeInclNumber,"Deprecated! The number of ltmHttpProfileCompContTypeIncl entries in the table."
ltmCompContTypeInclGroup,ltmCompContTypeInclName,"The name of a HTTP profile."
ltmCompContTypeInclGroup,ltmCompContTypeInclIndex,"The index of the regular expression to match the MIME types in the server response's 'Content-Type:' headers in 'include' fields for the specified HTTP profile."
ltmCompContTypeInclGroup,ltmCompContTypeInclContentType,"The regular expression used to match the MIME types in the server response's 'Content-Type:' headers in 'include' fields for the specified HTTP profile."
ltmCompContTypeExclGroup,ltmCompContTypeExclNumber,"Deprecated! The number of ltmHttpProfileCompContTypeExcl entries in the table."
ltmCompContTypeExclGroup,ltmCompContTypeExclName,"The name of a HTTP profile."
ltmCompContTypeExclGroup,ltmCompContTypeExclIndex,"The index of the regular expression to match the MIME types in the server response's 'Content-Type:' headers in 'exclude' fields for the specified HTTP profile."
ltmCompContTypeExclGroup,ltmCompContTypeExclContentType,"The regular expression used to match the MIME types in the server response's 'Content-Type:' headers in 'exclude' fields for the specified HTTP profile."
ltmHttpProfileStatGroup,ltmHttpProfileStatResetStats,"The action to reset resettable statistics data in ltmHttpProfileStat. Setting this value to 1 will reset statistics data. Note, some statistics data may not be reset including data that are incremental counters."
ltmHttpProfileStatGroup,ltmHttpProfileStatNumber,"The number of ltmHttpProfileStat entries in the table."
ltmHttpProfileStatGroup,ltmHttpProfileStatName,"The name of a HTTP profile."
ltmHttpProfileStatGroup,ltmHttpProfileStatCookiePersistInserts,"The number of successful attempts to insert HTTP headers for cookie persistence (set-cookie header insertions)."
ltmHttpProfileStatGroup,ltmHttpProfileStatResp2xxCnt,"The number of server-side responses in range of 200 to 206 (successful responses)."
ltmHttpProfileStatGroup,ltmHttpProfileStatResp3xxCnt,"The number of server-side responses in range of 300 to 307 (redirection responses)."
ltmHttpProfileStatGroup,ltmHttpProfileStatResp4xxCnt,"The number of server-side responses in range of 400 to 417 (client errors)."
ltmHttpProfileStatGroup,ltmHttpProfileStatResp5xxCnt,"The number of server-side responses in range of 500 to 505 (server errors)."
ltmHttpProfileStatGroup,ltmHttpProfileStatNumberReqs,"The total number of HTTP requests."
ltmHttpProfileStatGroup,ltmHttpProfileStatGetReqs,"The total number of HTTP get requests."
ltmHttpProfileStatGroup,ltmHttpProfileStatPostReqs,"The total number of HTTP post requests."
ltmHttpProfileStatGroup,ltmHttpProfileStatV9Reqs,"The total number of version 9 requests."
ltmHttpProfileStatGroup,ltmHttpProfileStatV10Reqs,"The total number of version 10 requests."
ltmHttpProfileStatGroup,ltmHttpProfileStatV11Reqs,"The total number of version 11 requests."
ltmHttpProfileStatGroup,ltmHttpProfileStatV9Resp,"The total number of version 9 responses."
ltmHttpProfileStatGroup,ltmHttpProfileStatV10Resp,"The total number of version 10 responses."
ltmHttpProfileStatGroup,ltmHttpProfileStatV11Resp,"The total number of version 11 responses."
ltmHttpProfileStatGroup,ltmHttpProfileStatMaxKeepaliveReq,"The maximum number of requests made in a connection."
ltmHttpProfileStatGroup,ltmHttpProfileStatRespBucket1k,"The number of responses under 1k."
ltmHttpProfileStatGroup,ltmHttpProfileStatRespBucket4k,"The number of responses under 1 - 4k."
ltmHttpProfileStatGroup,ltmHttpProfileStatRespBucket16k,"The number of responses under 4 - 16k."
ltmHttpProfileStatGroup,ltmHttpProfileStatRespBucket32k,"The number of responses under 16 - 32k."
ltmHttpProfileStatGroup,ltmHttpProfileStatPrecompressBytes,"Deprecated! The number of response bytes before compression has taken place."
ltmHttpProfileStatGroup,ltmHttpProfileStatPostcompressBytes,"Deprecated! The number of response bytes after compression has taken place."
ltmHttpProfileStatGroup,ltmHttpProfileStatNullCompressBytes,"Deprecated! The number of bytes subjected to NULL compression (for license enforcement)."
ltmHttpProfileStatGroup,ltmHttpProfileStatHtmlPrecompressBytes,"Deprecated! The number of pre-compressed bytes for the MIME-Types: HTML."
ltmHttpProfileStatGroup,ltmHttpProfileStatHtmlPostcompressBytes,"Deprecated! The number of post-compressed bytes for the MIME-Types: HTML."
ltmHttpProfileStatGroup,ltmHttpProfileStatCssPrecompressBytes,"Deprecated! The number of pre-compressed bytes for the MIME-Types: CSS."
ltmHttpProfileStatGroup,ltmHttpProfileStatCssPostcompressBytes,"Deprecated! The number of post-compressed bytes for the MIME-Types: CSS."
ltmHttpProfileStatGroup,ltmHttpProfileStatJsPrecompressBytes,"Deprecated! The number of pre-compressed bytes for the MIME-Types: Javascript."
ltmHttpProfileStatGroup,ltmHttpProfileStatJsPostcompressBytes,"Deprecated! The number of post-compressed bytes for the MIME-Types: Javascript."
ltmHttpProfileStatGroup,ltmHttpProfileStatXmlPrecompressBytes,"Deprecated! The number of pre-compressed bytes for the MIME-Types: XML."
ltmHttpProfileStatGroup,ltmHttpProfileStatXmlPostcompressBytes,"Deprecated! The number of post-compressed bytes for the MIME-Types: XML."
ltmHttpProfileStatGroup,ltmHttpProfileStatSgmlPrecompressBytes,"Deprecated! The number of pre-compressed bytes for the MIME-Types: SGML."
ltmHttpProfileStatGroup,ltmHttpProfileStatSgmlPostcompressBytes,"Deprecated! The number of post-compressed bytes for the MIME-Types: SGML."
ltmHttpProfileStatGroup,ltmHttpProfileStatPlainPrecompressBytes,"Deprecated! The number of pre-compressed bytes for the MIME-Types: Plain."
ltmHttpProfileStatGroup,ltmHttpProfileStatPlainPostcompressBytes,"Deprecated! The number of post-compressed bytes for the MIME-Types: Plain."
ltmHttpProfileStatGroup,ltmHttpProfileStatOctetPrecompressBytes,"Deprecated! The number of pre-compressed bytes for the MIME-Types: Octet stream."
ltmHttpProfileStatGroup,ltmHttpProfileStatOctetPostcompressBytes,"Deprecated! The number of post-compressed bytes for the MIME-Types: Octet stream."
ltmHttpProfileStatGroup,ltmHttpProfileStatImagePrecompressBytes,"Deprecated! The number of pre-compressed bytes for the MIME-Types: Images."
ltmHttpProfileStatGroup,ltmHttpProfileStatImagePostcompressBytes,"Deprecated! The number of post-compressed bytes for the MIME-Types: Images."
ltmHttpProfileStatGroup,ltmHttpProfileStatVideoPrecompressBytes,"Deprecated! The number of pre-compressed bytes for the MIME-Types: Video files."
ltmHttpProfileStatGroup,ltmHttpProfileStatVideoPostcompressBytes,"Deprecated! The number of post-compressed bytes for the MIME-Types: Video files."
ltmHttpProfileStatGroup,ltmHttpProfileStatAudioPrecompressBytes,"Deprecated! The number of pre-compressed bytes for the MIME-Types: Audio files."
ltmHttpProfileStatGroup,ltmHttpProfileStatAudioPostcompressBytes,"Deprecated! The number of post-compressed bytes for the MIME-Types: Audio files."
ltmHttpProfileStatGroup,ltmHttpProfileStatOtherPrecompressBytes,"Deprecated! The number of pre-compressed bytes for the MIME-Types: other than HTML, CSS, Javascript, XML, SGML, Plain, Images, Video files, Audio files."
ltmHttpProfileStatGroup,ltmHttpProfileStatOtherPostcompressBytes,"Deprecated! The number of post-compressed bytes for the MIME-Types: other than HTML, CSS, Javascript, XML, SGML, Plain, Images, Video files, Audio files."
ltmHttpProfileStatGroup,ltmHttpProfileStatRamcacheHits,"Deprecated! The number of RAM cache hits."
ltmHttpProfileStatGroup,ltmHttpProfileStatRamcacheMisses,"Deprecated! The number of RAM cache misses, excluding un-cacheable data."
ltmHttpProfileStatGroup,ltmHttpProfileStatRamcacheMissesAll,"Deprecated! The total number of RAM cache misses."
ltmHttpProfileStatGroup,ltmHttpProfileStatRamcacheHitBytes,"Deprecated! The number of RAM cache hits in bytes."
ltmHttpProfileStatGroup,ltmHttpProfileStatRamcacheMissBytes,"Deprecated! The number of RAM cache misses in bytes, excluding un-cacheable data."
ltmHttpProfileStatGroup,ltmHttpProfileStatRamcacheMissBytesAll,"Deprecated! The total number of RAM cache misses in bytes."
ltmHttpProfileStatGroup,ltmHttpProfileStatRamcacheSize,"Deprecated! The Ram cache current size."
ltmHttpProfileStatGroup,ltmHttpProfileStatRamcacheCount,"Deprecated! The number of items stored in Ram cache."
ltmHttpProfileStatGroup,ltmHttpProfileStatRamcacheEvictions,"Deprecated! The number of Ram cache evictions."
ltmHttpProfileStatGroup,ltmHttpProfileStatRespBucket64k,"Deprecated! Please see the new larger bucket sizes."
ltmHttpProfileStatGroup,ltmHttpProfileStatPassthroughIrule,"The number of HTTP::disable's leading to pass through mode."
ltmHttpProfileStatGroup,ltmHttpProfileStatPassthroughConnect,"The number of CONNECT methods leading to pass through mode."
ltmHttpProfileStatGroup,ltmHttpProfileStatPassthroughWebSockets,"The number of 100 Switching Protocols leading to pass through mode."
ltmHttpProfileStatGroup,ltmHttpProfileStatPassthroughOversizeClientHeaders,"The number of too-large client headers requests causing pass through mode."
ltmHttpProfileStatGroup,ltmHttpProfileStatPassthroughOversizeServerHeaders,"The number of too-large server headers responses causing pass through mode."
ltmHttpProfileStatGroup,ltmHttpProfileStatPassthroughExcessClientHeaders,"The number of too many client headers requests causing pass through mode."
ltmHttpProfileStatGroup,ltmHttpProfileStatPassthroughExcessServerHeaders,"The number of too many server headers responses causing pass through mode."
ltmHttpProfileStatGroup,ltmHttpProfileStatPassthroughUnknownMethod,"The number of unknown methods leading to pass through mode."
ltmHttpProfileStatGroup,ltmHttpProfileStatPassthroughPipeline,"The number of pipelined requests leading to pass through mode."
ltmPersistProfileGroup,ltmPersistProfileNumber,"The number of ltmPersistProfile entries in the table."
ltmPersistProfileGroup,ltmPersistProfileName,"The name of a persist profile."
ltmPersistProfileGroup,ltmPersistProfileConfigSource,"The state that specifies whether this is a base/pre-configured profile or user defined profile."
ltmPersistProfileGroup,ltmPersistProfileDefaultName,"The name of the profile from which the specified profile derives its attribute default values."
ltmPersistProfileGroup,ltmPersistProfileMode,"The type of persistence."
ltmPersistProfileGroup,ltmPersistProfileMirror,"The state of mirror persistence records."
ltmPersistProfileGroup,ltmPersistProfileTimeout,"The value (in seconds) to timeout persist entry."
ltmPersistProfileGroup,ltmPersistProfileMaskType,"The IP address type of ltmPersistMask."
ltmPersistProfileGroup,ltmPersistProfileMask,"The source/destination address mask. It is interpreted within the context of a ltmPersistMaskType value."
ltmPersistProfileGroup,ltmPersistProfileCookieMethod,"The type of cookie persistence."
ltmPersistProfileGroup,ltmPersistProfileCookieName,"The name of cookie."
ltmPersistProfileGroup,ltmPersistProfileCookieExpiration,"The cookie expiration in seconds."
ltmPersistProfileGroup,ltmPersistProfileCookieHashOffset,"The offset of cookie for hash mode."
ltmPersistProfileGroup,ltmPersistProfileCookieHashLength,"The length of cookie for hash mode."
ltmPersistProfileGroup,ltmPersistProfileMsrdpNoSessionDir,"This object indicates MS terminal services has been configured without a session directory and causes the initial MSRDP connection to be load-balanced."
ltmPersistProfileGroup,ltmPersistProfileMapProxies,"This object indicates whether we should map known proxies when the persistence mode is src_addr."
ltmPersistProfileGroup,ltmPersistProfileAcrossServices,"This object indicates whether the persistence entries added under this profile are available across services."
ltmPersistProfileGroup,ltmPersistProfileAcrossVirtuals,"This object indicates whether the persistence entries added under this profile are available across virtuals."
ltmPersistProfileGroup,ltmPersistProfileAcrossPools,"This object indicates whether the persistence entries added under this profile are available across pools."
ltmPersistProfileGroup,ltmPersistProfileUieRule,"The rule name for UIE mode."
ltmPersistProfileGroup,ltmPersistProfileSipInfo,"The SIP header name for persisting in the specified profile."
ltmStreamProfileGroup,ltmStreamProfileNumber,"The number of ltmStreamProfile entries in the table."
ltmStreamProfileGroup,ltmStreamProfileName,"The name of a stream profile."
ltmStreamProfileGroup,ltmStreamProfileConfigSource,"The state that specifies whether this is a base/pre-configured profile or user defined profile."
ltmStreamProfileGroup,ltmStreamProfileDefaultName,"The name of the profile from which the specified profile derives its attribute default values."
ltmStreamProfileGroup,ltmStreamProfileSource,"The source string to search for."
ltmStreamProfileGroup,ltmStreamProfileTarget,"The target string to replace."
ltmStreamProfileStatGroup,ltmStreamProfileStatResetStats,"The action to reset resettable statistics data in ltmStreamProfileStat. Setting this value to 1 will reset statistics data. Note, some statistics data may not be reset including data that are incremental counters."
ltmStreamProfileStatGroup,ltmStreamProfileStatNumber,"The number of ltmStreamProfileStat entries in the table."
ltmStreamProfileStatGroup,ltmStreamProfileStatName,"The name of a stream profile."
ltmStreamProfileStatGroup,ltmStreamProfileStatReplaces,"The number of replace operations completed."
ltmTcpProfileGroup,ltmTcpProfileNumber,"The number of ltmTcpProfile entries in the table."
ltmTcpProfileGroup,ltmTcpProfileName,"The name of a TCP profile."
ltmTcpProfileGroup,ltmTcpProfileConfigSource,"The state that specifies whether this is a base/pre-configured profile or user defined profile."
ltmTcpProfileGroup,ltmTcpProfileDefaultName,"The name of the profile from which the specified profile derives its attribute default values."
ltmTcpProfileGroup,ltmTcpProfileResetOnTimeout,"The feature of reset for idle timeout. If true and a TCP connection exceeds its idle_timeout, send a reset in addition to deleting the connection."
ltmTcpProfileGroup,ltmTcpProfileTimeWaitRecycle,"Recycle connection when SYN is received in TIME-WAIT state."
ltmTcpProfileGroup,ltmTcpProfileDelayedAcks,"If true, Enable delayed ACK to allow coalescing of multiple ACK responses."
ltmTcpProfileGroup,ltmTcpProfileProxyMss,"Whether or not to proxy maximum segment size. If true, advertise the same mss to the server as was negotiated with the client."
ltmTcpProfileGroup,ltmTcpProfileProxyOptions,"Whether or not to proxy an option. If true, advertise an option (e.g. time-stamps) to the server only if it was negotiated with the client."
ltmTcpProfileGroup,ltmTcpProfileProxyBufferLow,"The proxy buffer level at which the receive window is opened."
ltmTcpProfileGroup,ltmTcpProfileProxyBufferHigh,"The proxy buffer level at which the receive window is closed."
ltmTcpProfileGroup,ltmTcpProfileIdleTimeout,"The number of seconds without traffic before a connection is eligible for deletion."
ltmTcpProfileGroup,ltmTcpProfileTimeWaitTimeout,"The milliseconds in TIME-WAIT before entering CLOSED state."
ltmTcpProfileGroup,ltmTcpProfileFinWaitTimeout,"The number of seconds to remain in FIN-WAIT or CLOSING state before giving up. Zero is forever (or until maxrtx of FIN)."
ltmTcpProfileGroup,ltmTcpProfileCloseWaitTimeout,"The number of seconds to remain in LAST-ACK state before giving up. Zero is forever (or until maxrtx of FIN)."
ltmTcpProfileGroup,ltmTcpProfileSndbuf,"Send buffer size in bytes."
ltmTcpProfileGroup,ltmTcpProfileRcvwnd,"Receive window size in bytes."
ltmTcpProfileGroup,ltmTcpProfileKeepAliveInterval,"Keep alive probe interval in milliseconds."
ltmTcpProfileGroup,ltmTcpProfileSynMaxrtx,"The maximum number of retransmissions of SYN segments."
ltmTcpProfileGroup,ltmTcpProfileMaxrtx,"The maximum number of retransmissions of data segments."
ltmTcpProfileGroup,ltmTcpProfileIpTosToClient,"The IP type of service set in packets sent to client. Default:None."
ltmTcpProfileGroup,ltmTcpProfileLinkQosToClient,"The link quality of service set in packets sent to client. Default:None."
ltmTcpProfileGroup,ltmTcpProfileDeferredAccept,"The state that if true, defers allocation of connection chain context until payload from client has been seen."
ltmTcpProfileGroup,ltmTcpProfileSelectiveAcks,"The state that if true, enable RFC2018 Selective Acknowledgements."
ltmTcpProfileGroup,ltmTcpProfileEcn,"The state that if true, enable RFC3168 Extended Congestion Notification (ECN)."
ltmTcpProfileGroup,ltmTcpProfileLimitedTransmit,"The state that if true, enables support for RFC3042 Limited Transmit Recovery."
ltmTcpProfileGroup,ltmTcpProfileHighPerfTcpExt,"Deprecated! Replaced by ltmTcpProfileTimestamps. The state that if true, enables support for RFC1323 timestamps and window scaling (high bandwidth TCP extensions)."
ltmTcpProfileGroup,ltmTcpProfileSlowStart,"The state if true, enable TCP slow-start by default. We use RFC3390 to slow-start rather than traditional congestion avoidance mechanisms."
ltmTcpProfileGroup,ltmTcpProfileBandwidthDelay,"Deprecated! The state if true, attempt to calculate the optimal bandwidth to use to the peer based on throughput and round-trip time, and don't exceed it."
ltmTcpProfileGroup,ltmTcpProfileNagle,"The state if true, delay sending data < MSS in size unless all prior data has been ACKed. This leads to less in-flight small-data, and less chance for drops, but can harm interactivity. Named after Nagle's algorithm."
ltmTcpProfileGroup,ltmTcpProfileAckOnPush,"The state if true, data-bearing in-order TCP segments will elicit immediate ACKs from us if they have the PUSH flag set, regardless of the setting of the delayed-ack profile option."
ltmTcpProfileGroup,ltmTcpProfileMd5Sig,"The state if true, use RFC2385 TCP-MD5 signatures to protect TCP traffic against intermediate tampering."
ltmTcpProfileGroup,ltmTcpProfileMd5SigPass,"This is a plaintext passphrase which may be between 1 and 80 characters in length, and is used in a shared-secret scheme to implement the spoof-prevention parts of RFC2385."
ltmTcpProfileGroup,ltmTcpProfileAbc,"The state that if it is true, count the number of bytes acked rather than the number of returning ACKs from the peer when in the linear congestion-window expansion phase of a TCP connection. This algorithm and its benefits are described in RFC3465 (Appropriate Byte Counting)."
ltmTcpProfileGroup,ltmTcpProfileCongestionCtrl,"The TCP congestion control mode, guiding cwnd growth: reno - RENO congestion control mode; newreno - new RENO congestion control mode; scalable - scalable congestion control mode. It will do MIMD on cwnd besides NewReno retransmission; highspeed - high-speed congestion control mode, per RFC3649; none - no congestion control; vegas - vegas congestion control, delay-based; illinois - illinois congestion control, hybrid loss and delay; woodside - woodside congestion control, hybrid loss and delay; chd - chd congestion control, queue-delay based; cdg - cdg congestion control, RTT based; cubic - cubic congestion control, optimzed for high latency, high bandwidth connections; westwood - westwood+ congestion control, bandwidth estimation."
ltmTcpProfileGroup,ltmTcpProfileDsack,"The state that if true, enable support for RFC2883 D-SACK (Duplicate Selective Acknowledgment)."
ltmTcpProfileGroup,ltmTcpProfileCmetricsCache,"The state that if true, use the routing table metrics cache to retrieve the last-known tcp congestion parameters (congestion window, round-trip-times, and slow-start threshold)."
ltmTcpProfileGroup,ltmTcpProfileVerifiedAccept,"The state that if true, the device must not respond to the clients SYN with a SYN-ACK until it receives a SYN-ACK from the server, indicating that the port is open."
ltmTcpProfileGroup,ltmTcpProfilePktLossIgnoreRate,"Specifies the threshold of packets lost per million at which the system should perform congestion control. Measured in packets per million. Valid values are from 0 to 1000000."
ltmTcpProfileGroup,ltmTcpProfilePktLossIgnoreBurst,"Specifies the likelihood of performing congestion control when multiple packets in a row are lost even if the loss threshold has not been exceeded. Valid values are from 0 to 32. Higher values decrease the likelihood of performing congestion control."
ltmTcpProfileGroup,ltmTcpProfileZeroWindowTimeout,"Specifies the timeout in milliseconds for terminating a connection with an effective zero length TCP transmit window. The timeout starts when the peer advertises a zero length TCP window or when enough data has been sent to fill the previously advertised window. The timer is canceled when a non-zero length window is received. The default is 20000 milliseconds."
ltmTcpProfileGroup,ltmTcpProfileInitCwnd,"Initial congestion window size for connections to this destination. Actual window size is this value multiplied by the MSS (Maximal Segment Size) for same connection. The default is zero, meaning to use the values specified in RFC2414. Allowed values are in the range of 0 to 16."
ltmTcpProfileGroup,ltmTcpProfileInitRwnd,"Initial receive window size for connections to this destination. The actual window size is this value multiplied by the MSS (Maximal Segment Size) of the connection. The default value is zero, meaning to use Slow Start value. Allowed values are in the range of 0 to 16."
ltmTcpProfileGroup,ltmTcpProfileDelayWindowControl,"If enabled, uses an estimate of queueing delay as a measure of congestion to control, in addition to the normal loss based control, the amount of data sent."
ltmTcpProfileGroup,ltmTcpProfileSynRtoBase,"Initial RTO (Retransmission TimeOut) base multiplier for SYN retransmission, specified in milliseconds. This value is modified by the exponential backoff table to select the interval for subsequent retransmissions."
ltmTcpProfileGroup,ltmTcpProfileTimestamps,"The state that if true, enables support for RFC1323 timestamps (high bandwidth TCP extension)."
ltmTcpProfileGroup,ltmTcpProfileMinRto,"Specifies the minimum TCP retransmission timeout in milliseconds. The timeout starts when the sender sends a packet containing data. The timer is canceled when all outstanding data has been acknowledged. The timer restarts when an ACK is received to acknowledge new data. The default is 0 milliseconds; which means using the TCP stack default. Maximum value is 5000 milliseconds."
ltmTcpProfileGroup,ltmTcpProfileMptcp,"The state that, if true, enabled all incoming flows handle by the MPTCP stack allowing for support of multipath enabled connections."
ltmTcpProfileGroup,ltmTcpProfileRatePace,"The state that, when true, enables pacing of data transmission."
ltmTcpProfileGroup,ltmTcpProfileMptcpCsum,"The state that, when true, enabled checksums support by this MPTCP enabled device."
ltmTcpProfileGroup,ltmTcpProfileMptcpCsumVerify,"The state that, when true, enables verifing incoming checksums, and checksum failure causes connection abort."
ltmTcpProfileGroup,ltmTcpProfileMptcpDebug,"The state that, when true, enables debug logging and statistics for MPTCP."
ltmTcpProfileGroup,ltmTcpProfileMptcpFallback,"The MPTCP fallback control mode: reboot - reboot control mode; retransmit - retransmit control mode; activeaccept - activeaccept control mode; accept - accept control mode."
