"sourcetype_name",vendor,product,category,domain,"data_type",apps,"data_model",description,support,docs,status,"use_cases",notes
"cisco:xdr:incidents",Cisco,"Cisco Security Cloud (XDR Threat Detection and Response)","Firewall|Security Fraud and Compliance",Security,"Alerts data",7404,"Alerts data|Event Signatures data","Cisco XDR changes the way security teams look at detection and response. Our cloud-based solution is designed to simplify security operations and empower security teams to detect, prioritize, and respond to the most sophisticated threats. Integrating with the broader Cisco security portfolio and select third-party offerings, Cisco XDR is one of the most comprehensive and flexible solutions on the market today.",cisco,"https://www.cisco.com/c/en/us/td/docs/security/cisco-secure-cloud-app/user-guide/cisco-security-cloud-user-guide/m_configure_cisco_products_in_cisco_security_cloud.html",Validated,,
"cisco:xdr:incidents",Cisco,"Cisco Security Cloud (XDR Threat Detection and Response)","Firewall|Security Fraud and Compliance",Security,"Event Signatures data",7404,"Alerts data|Event Signatures data","Cisco XDR changes the way security teams look at detection and response. Our cloud-based solution is designed to simplify security operations and empower security teams to detect, prioritize, and respond to the most sophisticated threats. Integrating with the broader Cisco security portfolio and select third-party offerings, Cisco XDR is one of the most comprehensive and flexible solutions on the market today.",cisco,"https://www.cisco.com/c/en/us/td/docs/security/cisco-secure-cloud-app/user-guide/cisco-security-cloud-user-guide/m_configure_cisco_products_in_cisco_security_cloud.html",Validated,,
"cisco:xdr:incidents",Cisco,"Cisco Security Cloud (XDR Threat Detection and Response)","Firewall|Security Fraud and Compliance",Security,"Threat Intelligence Platform data",7404,"Alerts data|Event Signatures data","Cisco XDR changes the way security teams look at detection and response. Our cloud-based solution is designed to simplify security operations and empower security teams to detect, prioritize, and respond to the most sophisticated threats. Integrating with the broader Cisco security portfolio and select third-party offerings, Cisco XDR is one of the most comprehensive and flexible solutions on the market today.",cisco,"https://www.cisco.com/c/en/us/td/docs/security/cisco-secure-cloud-app/user-guide/cisco-security-cloud-user-guide/m_configure_cisco_products_in_cisco_security_cloud.html",Validated,,
"cisco:xdr:incidents-summary",Cisco,"Cisco Security Cloud (Secure Network Analytics Network Analytics)","Firewall|Security Fraud and Compliance",Security,"Application data",7404,,"Analyze your existing network data to help detect threats that may have found a way to bypass your existing controls, before they can do serious damage.",cisco,"https://www.cisco.com/c/en/us/td/docs/security/cisco-secure-cloud-app/user-guide/cisco-security-cloud-user-guide/m_configure_cisco_products_in_cisco_security_cloud.html","Need to Validate",,
"cisco:xdr:incidents-summary:notable",Cisco,"Cisco Security Cloud (Secure Network Analytics Network Analytics)","Firewall|Security Fraud and Compliance",Security,"Application data",7404,,"Analyze your existing network data to help detect threats that may have found a way to bypass your existing controls, before they can do serious damage.",cisco,"https://www.cisco.com/c/en/us/td/docs/security/cisco-secure-cloud-app/user-guide/cisco-security-cloud-user-guide/m_configure_cisco_products_in_cisco_security_cloud.html","Need to Validate",,
"cisco:xdr:incidents:notable",Cisco,"Cisco Security Cloud (XDR Threat Detection and Response)","Firewall|Security Fraud and Compliance",Security,"Alerts data",7404,"Alerts data|Event Signatures data","Cisco XDR changes the way security teams look at detection and response. Our cloud-based solution is designed to simplify security operations and empower security teams to detect, prioritize, and respond to the most sophisticated threats. Integrating with the broader Cisco security portfolio and select third-party offerings, Cisco XDR is one of the most comprehensive and flexible solutions on the market today.",cisco,"https://www.cisco.com/c/en/us/td/docs/security/cisco-secure-cloud-app/user-guide/cisco-security-cloud-user-guide/m_configure_cisco_products_in_cisco_security_cloud.html",Validated,,
"cisco:xdr:incidents:notable",Cisco,"Cisco Security Cloud (XDR Threat Detection and Response)","Firewall|Security Fraud and Compliance",Security,"Event Signatures data",7404,"Alerts data|Event Signatures data","Cisco XDR changes the way security teams look at detection and response. Our cloud-based solution is designed to simplify security operations and empower security teams to detect, prioritize, and respond to the most sophisticated threats. Integrating with the broader Cisco security portfolio and select third-party offerings, Cisco XDR is one of the most comprehensive and flexible solutions on the market today.",cisco,"https://www.cisco.com/c/en/us/td/docs/security/cisco-secure-cloud-app/user-guide/cisco-security-cloud-user-guide/m_configure_cisco_products_in_cisco_security_cloud.html",Validated,,
"cisco:xdr:incidents:notable",Cisco,"Cisco Security Cloud (XDR Threat Detection and Response)","Firewall|Security Fraud and Compliance",Security,"Threat Intelligence Platform data",7404,"Alerts data|Event Signatures data","Cisco XDR changes the way security teams look at detection and response. Our cloud-based solution is designed to simplify security operations and empower security teams to detect, prioritize, and respond to the most sophisticated threats. Integrating with the broader Cisco security portfolio and select third-party offerings, Cisco XDR is one of the most comprehensive and flexible solutions on the market today.",cisco,"https://www.cisco.com/c/en/us/td/docs/security/cisco-secure-cloud-app/user-guide/cisco-security-cloud-user-guide/m_configure_cisco_products_in_cisco_security_cloud.html",Validated,,
"cisco_cdr_log",Cisco,"Cisco Unified CDR Analysis and Reporting","IT Operations|Investigative","Observability|Security","Call Detail Record data",669,,,developer,"https://splunkbase.splunk.com/app/669","Need to Validate",,
"cisco_cloud_security*",Cisco,"Cisco Cloud Security Umbrella","Security Fraud and Compliance|Utilities",Security,"Cloud Services data",3324,,,"not_supported","https://splunkbase.splunk.com/app/3324","Need to Validate",,
"cisco_esa",Cisco,,"Security Fraud and Compliance",Security,"Application data",4388,,,"not_supported","https://splunkbase.splunk.com/app/4388","Skip for now",,"savedsearches.conf"
"cisco_syslog",Cisco,Generic,"Network Security",Security,"Inventory data",,,"Automatically recognized and pretrained source types",splunk,"https://docs.splunk.com/Documentation/Splunk/latest/Data/Listofpretrainedsourcetypes",Validated,,"Standard Cisco syslog produced by all Cisco network devices including PIX firewalls, routers, ACS, and so on. Usually through remote syslog to a central log host. (Routers and firewalls)."
"cisco_syslog",Cisco,Generic,"Network Security",Security,"Network Firewall data",,,"Automatically recognized and pretrained source types",splunk,"https://docs.splunk.com/Documentation/Splunk/latest/Data/Listofpretrainedsourcetypes",Validated,,"Standard Cisco syslog produced by all Cisco network devices including PIX firewalls, routers, ACS, and so on. Usually through remote syslog to a central log host. (Routers and firewalls)."
"cisco_syslog",Cisco,Generic,"Network Security",Security,"Network Router data",,,"Automatically recognized and pretrained source types",splunk,"https://docs.splunk.com/Documentation/Splunk/latest/Data/Listofpretrainedsourcetypes",Validated,,"Standard Cisco syslog produced by all Cisco network devices including PIX firewalls, routers, ACS, and so on. Usually through remote syslog to a central log host. (Routers and firewalls)."
"cisco_wsa",Cisco,,"Security Fraud and Compliance",Security,"Web Proxy data",3358,,,"not_supported","https://splunkbase.splunk.com/app/3358","Skip for now",,
ciscoasapot,Cisco,,"Security Fraud and Compliance",Security,"Application data",4339,,,"not_supported","https://splunkbase.splunk.com/app/4339","Skip for now",,"inputs.conf"
ciscocws,Cisco,,"IT Operations|Security Fraud and Compliance","Observability|Security","Application data",2791,,,"not_supported","https://splunkbase.splunk.com/app/2791","Skip for now",,
"citrix:cvad:configlog:operations",Cisco,"Citrix Cloud","IT Operations|Security Fraud and Compliance","Observability|Security","Change data",6204,,,"not_supported","https://splunkbase.splunk.com/app/6204","Need to Validate",,
"citrix:netscaler",Cisco,"Cisco Citrix NetScaler","IT Operations|Security Fraud and Compliance","Observability|Security","Intrusion Detection data",2770,,"The add-on's internal logs are automatically source typed as citrix:netscaler",splunk,"https://docs.splunk.com/Documentation/AddOns/released/CitrixNetScaler/Source","Need to Validate",,
"citrix:netscaler:appfw",Cisco,"Cisco Citrix NetScaler","IT Operations|Security Fraud and Compliance","Observability|Security","Intrusion Detection data",2770,"Intrusion Detection data","Events including logins, logouts, firewall activity, device status changes, and network status changes. If you configure your Citrix NetScaler device to produce data over syslog, use this source type when you set up a UDP listener on your collector node.",splunk,"https://docs.splunk.com/Documentation/AddOns/released/CitrixNetScaler/Source",Validated,,
"citrix:netscaler:appfw:cef",Cisco,"Cisco Citrix NetScaler","IT Operations|Security Fraud and Compliance","Observability|Security","Intrusion Detection data",2770,"Intrusion Detection data","Events including logins, logouts, firewall activity, device status changes, and network status changes. If you configure your Citrix NetScaler device to produce data over syslog, use this source type when you set up a UDP listener on your collector node.",splunk,"https://docs.splunk.com/Documentation/AddOns/released/CitrixNetScaler/Source",Validated,,
"citrix:netscaler:ipfix",Cisco,"Cisco Citrix NetScaler","IT Operations|Security Fraud and Compliance","Observability|Security","Load Balancer data",2770,"Load Balancer data|Web Proxy data","Information about network sessions and connections, as well as syslog data for logins, logouts, device status changes, and network status changes.",splunk,"https://docs.splunk.com/Documentation/AddOns/released/CitrixNetScaler/Source",Validated,,
"citrix:netscaler:ipfix",Cisco,"Cisco Citrix NetScaler","IT Operations|Security Fraud and Compliance","Observability|Security","Web Proxy data",2770,"Load Balancer data|Web Proxy data","Information about network sessions and connections, as well as syslog data for logins, logouts, device status changes, and network status changes.",splunk,"https://docs.splunk.com/Documentation/AddOns/released/CitrixNetScaler/Source",Validated,,
"citrix:netscaler:ipfix:syslog",Cisco,"Cisco Citrix NetScaler","IT Operations|Security Fraud and Compliance","Observability|Security","Authentication data",2770,"Authentication data|Change data|Load Balancer data|Network Traffic data","Information about network sessions and connections, as well as syslog data for logins, logouts, device status changes, and network status changes.",splunk,"https://docs.splunk.com/Documentation/AddOns/released/CitrixNetScaler/Source",Validated,,
"citrix:netscaler:ipfix:syslog",Cisco,"Cisco Citrix NetScaler","IT Operations|Security Fraud and Compliance","Observability|Security","Change data",2770,"Authentication data|Change data|Load Balancer data|Network Traffic data","Information about network sessions and connections, as well as syslog data for logins, logouts, device status changes, and network status changes.",splunk,"https://docs.splunk.com/Documentation/AddOns/released/CitrixNetScaler/Source",Validated,,
"citrix:netscaler:ipfix:syslog",Cisco,"Cisco Citrix NetScaler","IT Operations|Security Fraud and Compliance","Observability|Security","Load Balancer data",2770,"Authentication data|Change data|Load Balancer data|Network Traffic data","Information about network sessions and connections, as well as syslog data for logins, logouts, device status changes, and network status changes.",splunk,"https://docs.splunk.com/Documentation/AddOns/released/CitrixNetScaler/Source",Validated,,
"citrix:netscaler:ipfix:syslog",Cisco,"Cisco Citrix NetScaler","IT Operations|Security Fraud and Compliance","Observability|Security","Network Traffic data",2770,"Authentication data|Change data|Load Balancer data|Network Traffic data","Information about network sessions and connections, as well as syslog data for logins, logouts, device status changes, and network status changes.",splunk,"https://docs.splunk.com/Documentation/AddOns/released/CitrixNetScaler/Source",Validated,,
"citrix:netscaler:nitro",Cisco,"Cisco Citrix NetScaler","IT Operations|Security Fraud and Compliance","Observability|Security","Inventory data",2770,"Inventory data|Load Balancer data","NITRO API",splunk,"https://docs.splunk.com/Documentation/AddOns/released/CitrixNetScaler/Source",Validated,,
"citrix:netscaler:nitro",Cisco,"Cisco Citrix NetScaler","IT Operations|Security Fraud and Compliance","Observability|Security","Load Balancer data",2770,"Inventory data|Load Balancer data","NITRO API",splunk,"https://docs.splunk.com/Documentation/AddOns/released/CitrixNetScaler/Source",Validated,,
