"use_case","use_case_type",classification,"sub_classification","lantern_data_type",category,"sub_category",domain,"data_model","data_type",apps,url,"parent_use_case","parent_url",vertical,docs,status,notes,"created_by","last_updated","related_use_cases",description
"Detecting brute force access behavior","Analytic Capability","Digital Resilience","Guided Insights",Authentication,"Threat Hunting",,Security,,"Microsoft:Windows Security Logs data",,"https://lantern.splunk.com/@go/page/549","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting cloud federated credential abuse in AWS","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Anomaly Detection",,Security,,"AWS:CloudTrail data",,"https://lantern.splunk.com/@go/page/2797","Anomaly Detection","https://lantern.splunk.com/Security/UCE/Guided_Insights/Anomaly_detection","Industry Neutral",,Active,"Use Cases can be comprised of other use cases and/or capabilities.",,,,
"Detecting cloud federated credential abuse in AWS","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Anomaly Detection",,Security,,"AWS:CloudWatch data",,"https://lantern.splunk.com/@go/page/2797","Anomaly Detection","https://lantern.splunk.com/Security/UCE/Guided_Insights/Anomaly_detection","Industry Neutral",,Active,"Use Cases can be comprised of other use cases and/or capabilities.",,,,
"Detecting cloud federated credential abuse in Windows","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Anomaly Detection",,Security,,"Endpoint data",,"https://lantern.splunk.com/@go/page/3023","Anomaly Detection","https://lantern.splunk.com/Security/UCE/Guided_Insights/Anomaly_detection","Industry Neutral",,Active,"Use Cases can be comprised of other use cases and/or capabilities.",,,,
"Detecting cloud federated credential abuse in Windows","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Anomaly Detection",,Security,,"Microsoft:365 data",,"https://lantern.splunk.com/@go/page/3023","Anomaly Detection","https://lantern.splunk.com/Security/UCE/Guided_Insights/Anomaly_detection","Industry Neutral",,Active,"Use Cases can be comprised of other use cases and/or capabilities.",,,,
"Detecting cloud federated credential abuse in Windows","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Anomaly Detection",,Security,,"Microsoft:Active Directory data",,"https://lantern.splunk.com/@go/page/3023","Anomaly Detection","https://lantern.splunk.com/Security/UCE/Guided_Insights/Anomaly_detection","Industry Neutral",,Active,"Use Cases can be comprised of other use cases and/or capabilities.",,,,
"Detecting consumer bank account takeovers","Analytic Capability","Digital Resilience","Guided Insights",Financial,"Anomaly Detection",,Security,,"Application data",,"https://lantern.splunk.com/@go/page/4383","Anomaly Detection","https://lantern.splunk.com/Security/UCE/Guided_Insights/Anomaly_detection","Industry Neutral",,Active,"Use Cases can be comprised of other use cases and/or capabilities.",,,,
"Detecting consumer bank account takeovers","Analytic Capability","Digital Resilience","Guided Insights",Financial,"Anomaly Detection",,Security,,"Financial data",,"https://lantern.splunk.com/@go/page/4383","Anomaly Detection","https://lantern.splunk.com/Security/UCE/Guided_Insights/Anomaly_detection","Industry Neutral",,Active,"Use Cases can be comprised of other use cases and/or capabilities.",,,,
"Detecting credit card fraud","Analytic Use Case",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Application data",,"https://lantern.splunk.com/@go/page/2262","Is Top Level Parent",,"Financial Services and Insurance",,Active,,,,,
"Detecting credit card fraud","Analytic Use Case",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Financial data",,"https://lantern.splunk.com/@go/page/2262","Is Top Level Parent",,"Financial Services and Insurance",,Active,,,,,
"Detecting data exfiltration activities","Technical Capability","Digital Resilience","Guided Insights","Data loss prevention","Anomaly Detection",,Security,,"Endpoint data",,"https://lantern.splunk.com/@go/page/3206","Anomaly Detection","https://lantern.splunk.com/Security/UCE/Guided_Insights/Anomaly_detection","Industry Neutral",,Active,"Anomaly Detection is the Use Case - Defined by Steering committee. Guided Insights",,,,
"Detecting data exfiltration activities","Technical Capability","Digital Resilience","Guided Insights","Data loss prevention","Anomaly Detection",,Security,,"Network Protocol data",,"https://lantern.splunk.com/@go/page/3206","Anomaly Detection","https://lantern.splunk.com/Security/UCE/Guided_Insights/Anomaly_detection","Industry Neutral",,Active,"Anomaly Detection is the Use Case - Defined by Steering committee. Guided Insights",,,,
"Detecting domain trust discovery attempts","Technical Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Endpoint data",,"https://lantern.splunk.com/@go/page/3213","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting financial fraud using the Splunk App for Behavioral Profiling",Capability,Platform,,,Industry,"Financial Services and Insurance",Platform,,,,"https://lantern.splunk.com/Splunk_Platform/UCE/Financial_Services_and_Insurance/Detecting_financial_fraud_using_the_Splunk_App_for_Behavioral_Profiling",,,,,,,,,,
"Detecting indicators of Remcos RAT malware","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Endpoint data",,"https://lantern.splunk.com/@go/page/2958","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting indicators of Remcos RAT malware","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Malware data",,"https://lantern.splunk.com/@go/page/2958","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting indicators of Remcos RAT malware","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/2958","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting malicious activities with Sigma rules","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Malware data",,"https://lantern.splunk.com/@go/page/5890","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting malicious activities with Sigma rules","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/5890","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting malicious activities with Sigma rules","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Network Firewall data",,"https://lantern.splunk.com/@go/page/5890","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting malicious activities with Sigma rules","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Network Traffic data",,"https://lantern.splunk.com/@go/page/5890","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting malicious activities with Sigma rules","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Network VPN data",,"https://lantern.splunk.com/@go/page/5890","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting malicious activities with Sigma rules","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Web Proxy data",,"https://lantern.splunk.com/@go/page/5890","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting malicious activities with Sigma rules","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Web Server data",,"https://lantern.splunk.com/@go/page/5890","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting malicious file obfuscation using certutil.exe","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Endpoint data",,"https://lantern.splunk.com/@go/page/3210","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting masquerading","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Endpoint data",,"https://lantern.splunk.com/@go/page/1549","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting masquerading","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"File Integrity Monitoring data",,"https://lantern.splunk.com/@go/page/1549","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting masquerading","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/1549","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting network and port scanning","Analytic Capability","Digital Resilience","Guided Insights","Network firewall","Threat Hunting",,Security,,"Network Firewall data",,"http://lantern.splunk.com/@go/cid/AdoptionBoardNetwork","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting non-privileged user accounts conducting privileged actions","Analytic Capability","Digital Resilience","Foundational Visibility","User activity logs",Compliance,,Security,,"Authentication data",,"https://lantern.splunk.com/@go/page/4223",Compliance,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance","Industry Neutral",,Active,,,,,
"Detecting non-privileged user accounts conducting privileged actions","Analytic Capability","Digital Resilience","Foundational Visibility","User activity logs",Compliance,,Security,,"Database data",,"https://lantern.splunk.com/@go/page/4223",Compliance,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance","Industry Neutral",,Active,,,,,
"Detecting password spraying attacks within Active Directory environments","Analytic Capability","Digital Resilience","Guided Insights","Event signatures","Threat Hunting",,Security,,"Microsoft:Active Directory data",,"https://lantern.splunk.com/@go/page/3025","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting password spraying attacks within Active Directory environments","Analytic Capability","Digital Resilience","Guided Insights","Event signatures","Threat Hunting",,Security,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/3025","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting print spooler attacks","Analytic Capability","Digital Resilience","Guided Insights",Printers,"Threat Hunting",,Security,,"Endpoint data",,"https://lantern.splunk.com/@go/page/1863","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting print spooler attacks","Analytic Capability","Digital Resilience","Guided Insights",Printers,"Threat Hunting",,Security,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/1863","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting privilege escalation in your AWS environment",Capability,"Digital Resilience Journey","Guided Insights",,"Anomaly Detection",,Security,,,,"https://lantern.splunk.com/Security/UCE/Guided_Insights/Anomaly_detection/Detecting_privilege_escalation_in_your_AWS_environment",,,,,,,,,,
"Detecting ransomware activities within AWS environments","Analytic Capability","Digital Resilience","Guided Insights",Change,"Threat Hunting",,Security,,"AWS:CloudTrail data",,"https://lantern.splunk.com/@go/page/2995","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting ransomware activities within AWS environments","Analytic Capability","Digital Resilience","Guided Insights",Change,"Threat Hunting",,Security,,"AWS:CloudWatch data",,"https://lantern.splunk.com/@go/page/2995","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting recurring malware on a host","Analytic Capability","Digital Resilience","Guided Insights",Malware,"Threat Hunting",,Security,,"Endpoint data",,"https://lantern.splunk.com/@go/page/367","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting recurring malware on a host","Analytic Capability","Digital Resilience","Guided Insights",Malware,"Threat Hunting",,Security,,"Malware data",,"https://lantern.splunk.com/@go/page/367","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting software supply chain attacks","Analytic Use Case","Digital Resilience","Guided Insights","Deep packet inspection","Threat Hunting",,Security,,"Deep Packet Inspection data",,"https://lantern.splunk.com/@go/page/2568","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting software supply chain attacks","Analytic Use Case","Digital Resilience","Guided Insights","Deep packet inspection","Threat Hunting",,Security,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/2568","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting suspicious activities within AWS cloud instances","Analytic Capability","Digital Resilience","Guided Insights","Configuration management","Anomaly Detection",,Security,,"AWS:CloudTrail data",,"https://lantern.splunk.com/@go/page/2801","Anomaly Detection","https://lantern.splunk.com/Security/UCE/Guided_Insights/Anomaly_detection","Industry Neutral",,Active,"Anomaly Detection is the Use Case - Defined by Steering committee. Guided Insights",,,,
"Detecting suspicious activities within AWS cloud instances","Analytic Capability","Digital Resilience","Guided Insights","Configuration management","Anomaly Detection",,Security,,"AWS:CloudWatch data",,"https://lantern.splunk.com/@go/page/2801","Anomaly Detection","https://lantern.splunk.com/Security/UCE/Guided_Insights/Anomaly_detection","Industry Neutral",,Active,"Anomaly Detection is the Use Case - Defined by Steering committee. Guided Insights",,,,
"Detecting the use of randomization in cyberattacks","Analytic Use Case","Digital Resilience","Guided Insights","Event signatures","Threat Hunting",,Security,,"Malware data",,"https://lantern.splunk.com/@go/page/735","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting the use of randomization in cyberattacks","Analytic Use Case","Digital Resilience","Guided Insights","Event signatures","Threat Hunting",,Security,,"Network Firewall data",,"https://lantern.splunk.com/@go/page/735","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Detecting unencrypted web communications","Technical Capability","Digital Resilience","Foundational Visibility","Network firewall",Compliance,,Security,,"Network Firewall data",,"https://lantern.splunk.com/@go/page/370",Compliance,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance","Industry Neutral",,Active,,,,,
"Detecting usage of popular Linux post-exploitation tools","Technical Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Linux and Unix data",,"https://lantern.splunk.com/@go/page/2966","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,"Threat Hunting is the Use Case - Defined by Steering committee. Under Guided Insights Classification.",,,,
"Detecting wire transfer fraud","Analytic Use Case",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Application data",,"https://lantern.splunk.com/@go/page/1597","Is Top Level Parent",,"Financial Services and Insurance",,Active,,,,,
"Detecting wire transfer fraud","Analytic Use Case",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Financial data",,"https://lantern.splunk.com/@go/page/1597","Is Top Level Parent",,"Financial Services and Insurance",,Active,,,,,
"Developing SOAR use cases using workbooks and playbooks",Capability,"Digital Resilience Journey","Proactive Response",,"Orchestrate Response Workflows",,Security,,,,"https://lantern.splunk.com/Security/UCE/Proactive_Response/Orchestrate_response_workflows/Developing_SOAR_use_cases_using_workbooks_and_playbooks",,,,,,,,,,
"Device owner identified using a MAC address","Analytic Capability","Digital Resilience","Foundational Visibility","IP address assignment",Compliance,,Security,,"Network Sessions data",,"https://lantern.splunk.com/@go/page/574","Processing DMCA notices","https://lantern.splunk.com/@go/page/529","Industry Neutral",,Active,,,,,
"Device with outdated anti-malware","Analytic Capability","Digital Resilience","Foundational Visibility",Endpoint,Compliance,,Security,,"Malware data",,"https://lantern.splunk.com/@go/page/548","Running common General Data Protection Regulation (GDPR) compliance searches","https://lantern.splunk.com/@go/page/521","Industry Neutral",,Active,,,,,
"Disabled AWS CloudTrail logging","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"AWS:CloudTrail data",,"https://lantern.splunk.com/@go/page/2846","Managing an Amazon Web Services environment","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/IT_Ops/Managing_an_Amazon_Web_Services_environment","Industry Neutral",,Active,,,,,
"Disabling a user account with Azure AD Graph connector",Capability,"Digital Resilience Journey","Proactive Response",,"Automate Containment and Response",,Security,,,,"https://lantern.splunk.com/Security/UCE/Proactive_Response/Automate_containment_and_response_actions/Disabling_a_user_account_with_Azure_AD_Graph_connector",,,,,,,,,,
"Disabling inactive user accounts in AWS","Technical Capability","Digital Resilience","Foundational Visibility",Authentication,"Incident Management",,Security,,"AWS:IAM data",,"https://lantern.splunk.com/@go/page/1157","Incident Management","https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Incident_management","Industry Neutral",,Active,,,,,
"Distribution of web traffic across servers","Analytic Capability",Platform,,"Load balancer",Industry,"Technology, Communications, and Media",Platform,,"Web Server data",,"https://lantern.splunk.com/@go/page/703","Managing web server performance","https://lantern.splunk.com/@go/page/634","Technology, Communications, and Media",,Active,,,,,
"EDI: Acknowledgement timing","Analytic Capability",Platform,,EDI,Industry,Manufacturing,Platform,,"EDI data",,"https://lantern.splunk.com/@go/page/8358",Manufacturing,"https://lantern.splunk.com/Splunk_Platform/UCE/Manufacturing",Manufacturing,,Active,,,,,
"EDI: Finding repeated failure patterns","Analytic Capability",Platform,,EDI,Industry,Manufacturing,Platform,,"EDI data",,"https://lantern.splunk.com/@go/page/8359",Manufacturing,"https://lantern.splunk.com/Splunk_Platform/UCE/Manufacturing",Manufacturing,,Active,,,,,
"EDI: Monitoring acknowledgements","Analytic Capability",Platform,,EDI,Industry,Manufacturing,Platform,,"EDI data",,"https://lantern.splunk.com/@go/page/8355",Manufacturing,"https://lantern.splunk.com/Splunk_Platform/UCE/Manufacturing",Manufacturing,,Active,,,,,
"EDI: Transmission errors and retry rates","Analytic Capability",Platform,,EDI,Industry,Manufacturing,Platform,,"EDI data",,"https://lantern.splunk.com/@go/page/8357",Manufacturing,"https://lantern.splunk.com/Splunk_Platform/UCE/Manufacturing",Manufacturing,,Active,,,,,
"EDI: Transmission success rates","Analytic Capability",Platform,,EDI,Industry,Manufacturing,Platform,,"EDI data",,"https://lantern.splunk.com/@go/page/8356",Manufacturing,"https://lantern.splunk.com/Splunk_Platform/UCE/Manufacturing",Manufacturing,,Active,,,,,
"ESXi host version identification","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"VMware data",,"https://lantern.splunk.com/@go/page/2822","Monitoring VMware virtualization infrastructure","https://lantern.splunk.com/@go/page/628","Industry Neutral",,Active,,,,,
"ESXi hosts with high CPU Ready summation value","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"VMware data",,"https://lantern.splunk.com/@go/page/682","Monitoring VMware virtualization infrastructure","https://lantern.splunk.com/@go/page/628","Industry Neutral",,Active,,,,,
"ESXi hosts with sustained high ballooning","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"VMware data",,"https://lantern.splunk.com/@go/page/681","Monitoring VMware virtualization infrastructure","https://lantern.splunk.com/@go/page/628","Industry Neutral",,Active,,,,,
"ESXi hosts with sustained high swapping","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"VMware data",,"https://lantern.splunk.com/@go/page/683","Monitoring VMware virtualization infrastructure","https://lantern.splunk.com/@go/page/628","Industry Neutral",,Active,,,,,
"Enhancing endpoint monitoring with threat intelligence","Technical Capability","Digital Resilience","Proactive Response","Threat intelligence","Automate Threat Analysis",,Security,,"Threat intelligence",,"https://lantern.splunk.com/@go/page/7556","Automate Threat Analysis","https://lantern.splunk.com/Security/UCE/Proactive_Response/Automate_threat_analysis","Industry Neutral",,Active,,,,,
"Enriching suspicious email domains","Technical Capability","Digital Resilience","Foundational Visibility",Email,"Incident Management",,Security,,Email,,"https://lantern.splunk.com/@go/page/1168","Incident Management","https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Incident_management","Industry Neutral",,Active,,,,,
"Error and failure events on a host","Analytic Capability","Digital Resilience","Foundational Visibility",Change,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Linux and Unix data",,"https://lantern.splunk.com/@go/page/1522","Recovering lost visibility of IT infrastructure","https://lantern.splunk.com/@go/page/1511","Industry Neutral",,Active,"Removed System Log data",,,,
"Error and failure events on a host","Analytic Capability","Digital Resilience","Foundational Visibility",Change,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/1522","Recovering lost visibility of IT infrastructure","https://lantern.splunk.com/@go/page/1511","Industry Neutral",,Active,"Removed System Log data",,,,
"Estimated generated call revenue","Analytic Capability",Platform,,"Call detail",Industry,"Technology, Communications, and Media",Platform,,"Call Detail Record data",,"https://lantern.splunk.com/@go/page/2376","Monitoring key telecommunications service metrics","https://lantern.splunk.com/@go/page/2350","Technology, Communications, and Media",,Active,,,,,
"Executable uploaded to a web server","Analytic Capability","Digital Resilience","Foundational Visibility","Web server","Incident Management",,Security,,"Web Server data",,"https://lantern.splunk.com/@go/page/786","Reconstructing a website defacement","https://lantern.splunk.com/@go/page/729","Industry Neutral",,Active,,,,,
"Expected *Nix process not running","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Linux and Unix data",,"https://lantern.splunk.com/@go/page/1751","Maintaining *nix systems with the Splunk platform","https://lantern.splunk.com/@go/page/630","Industry Neutral",,Active,,,,,
"Expected Windows process not running","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/1752","Maintaining Microsoft Windows systems with the Splunk platform","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/IT_Ops/Maintaining_Microsoft_Windows_systems_with_the_Splunk_platform","Industry Neutral",,Active,,,,,
"Expected Windows process not running","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Updates data",,"https://lantern.splunk.com/@go/page/1752","Maintaining Microsoft Windows systems with the Splunk platform","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/IT_Ops/Maintaining_Microsoft_Windows_systems_with_the_Splunk_platform","Industry Neutral",,Active,,,,,
"Expected host not reporting events","Analytic Capability","Digital Resilience","Foundational Visibility",Endpoint,Compliance,,Security,,"Linux and Unix data",,"https://lantern.splunk.com/@go/page/550","Running common General Data Protection Regulation (GDPR) compliance searches","https://lantern.splunk.com/@go/page/521","Industry Neutral",,Active,"Removed System Log data and used Windows and Linux data for now",,,,
"Expected host not reporting events","Analytic Capability","Digital Resilience","Foundational Visibility",Endpoint,Compliance,,Security,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/550","Running common General Data Protection Regulation (GDPR) compliance searches","https://lantern.splunk.com/@go/page/521","Industry Neutral",,Active,"Removed System Log data and used Windows and Linux data for now",,,,
"FQDN associated with an IP address","Analytic Capability","Digital Resilience","Foundational Visibility","Web server","Incident Management",,Security,,"Network Resolution data",,"https://lantern.splunk.com/@go/page/798","Investigating a ransomware attack","https://lantern.splunk.com/@go/page/725","Industry Neutral",,Active,,,,,
"FQDN associated with an IP address","Analytic Capability","Digital Resilience","Foundational Visibility","Web server","Incident Management",,Security,,"Web Server data",,"https://lantern.splunk.com/@go/page/798","Investigating a ransomware attack","https://lantern.splunk.com/@go/page/725","Industry Neutral",,Active,,,,,
"Failed Windows updates","Analytic Capability","Digital Resilience","Foundational Visibility",Updates,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/709","Maintaining Microsoft Windows systems with the Splunk platform","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/IT_Ops/Maintaining_Microsoft_Windows_systems_with_the_Splunk_platform","Industry Neutral",,Active,,,,,
"Failed Windows updates","Analytic Capability","Digital Resilience","Foundational Visibility",Updates,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Updates data",,"https://lantern.splunk.com/@go/page/709","Maintaining Microsoft Windows systems with the Splunk platform","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/IT_Ops/Maintaining_Microsoft_Windows_systems_with_the_Splunk_platform","Industry Neutral",,Active,,,,,
"Failed browser test diagnostics","Analytic Capability","Digital Resilience","Foundational Visibility","Synthetic monitoring","Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Synthetic Monitoring data",,"https://lantern.splunk.com/Observability/UCE/Proactive_response/Optimize_End-User_Experiences/Running_Synthetics_browser_tests/Failed_browser_test_diagnostics","Running Synthetics browser tests","https://lantern.splunk.com/Observability/UCE/Proactive_response/Optimize_End-User_Experiences/Running_Synthetics_browser_tests","Industry Neutral",,Active,,,,,
"Failed call metrics by geographic location","Analytic Capability",Platform,,"Call detail",Industry,"Technology, Communications, and Media",Platform,,"Call Detail Record data",,"https://lantern.splunk.com/@go/page/2377","Monitoring key telecommunications service metrics","https://lantern.splunk.com/@go/page/2350","Technology, Communications, and Media",,Active,,,,,
"Failed calls by destination and gateway","Analytic Capability",Platform,,"Call detail",Industry,"Technology, Communications, and Media",Platform,,"Call Detail Record data",,"https://lantern.splunk.com/@go/page/2354","Monitoring key telecommunications service metrics","https://lantern.splunk.com/@go/page/2350","Technology, Communications, and Media",,Active,,,,,
"Failed calls with enriched error information","Analytic Capability",Platform,,"Call detail",Industry,"Technology, Communications, and Media",Platform,,"Call Detail Record data",,"https://lantern.splunk.com/@go/page/2352","Monitoring key telecommunications service metrics","https://lantern.splunk.com/@go/page/2350","Technology, Communications, and Media",,Active,,,,,
"File added to the system through external media","Analytic Capability","Digital Resilience","Foundational Visibility",Endpoint,"Incident Management",,Security,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/795","Investigating a ransomware attack","https://lantern.splunk.com/@go/page/725","Industry Neutral",,Active,"Removed System Log data",,,,
"File downloaded to a machine from a website","Analytic Capability","Digital Resilience","Foundational Visibility","Deep packet inspection","Incident Management",,Security,,"Deep Packet Inspection data",,"https://lantern.splunk.com/@go/page/796","Investigating a ransomware attack","https://lantern.splunk.com/@go/page/725","Industry Neutral",,Active,,,,,
"File hashes associated with the Supernova trojanized DLL","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Endpoint data",,"https://lantern.splunk.com/@go/page/1773","Detecting Supernova web shell malware","https://lantern.splunk.com/@go/page/1768","Industry Neutral",,Active,,,,,
"File hashes associated with the Supernova trojanized DLL","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/1773","Detecting Supernova web shell malware","https://lantern.splunk.com/@go/page/1768","Industry Neutral",,Active,,,,,
