dashboard,capability,capability_description,domain,expanded_guidance,ext_link,ext_product,icon,name,level,practice_description,visible
CM_8-6_1_rmf,CM-8(6),System Component Inventory | Assessed Configurations and Approved Deviations,Configuration Management,,,,fas fa-user-lock,CM-8(6).1,,The organization includes assessed component configurations and any approved deviations to current deployed configurations in the information system component inventory.,TRUE
CM_8-7_1_rmf,CM-8(7),System Component Inventory | Centralized Repository,Configuration Management,,,,fas fa-user-lock,CM-8(7).1,,The organization provides a centralized repository for the inventory of information system components.,TRUE
CM_8-8_1_rmf,CM-8(8),System Component Inventory | Automated Location Tracking,Configuration Management,,,,fas fa-user-lock,CM-8(8).1,,The organization employs automated mechanisms to support tracking of information system components by geographic location.,TRUE
CM_8-9_1_rmf,CM-8(9),System Component Inventory | Assignment of Components to Systems,Configuration Management,,,,fas fa-user-lock,CM-8(9).1,,The organization defines the acquired information system components that are to be assigned to an information system.,TRUE
CM_8-9_2_rmf,CM-8(9),System Component Inventory | Assignment of Components to Systems,Configuration Management,,,,fas fa-user-lock,CM-8(9).2,,The organization assigns organization-defined acquired information system components to an information system.,TRUE
CM_8-9_3_rmf,CM-8(9),System Component Inventory | Assignment of Components to Systems,Configuration Management,,,,fas fa-user-lock,CM-8(9).3,,The organization receives an acknowledgement from the information system owner of the assignment of the acquired information system components to an information system.,TRUE
CM_8_1_rmf,CM-8,System Component Inventory,Configuration Management,,,,fas fa-user-lock,CM-8.1,,The organization develops an inventory of information system components that accurately reflects the current information system.,TRUE
CM_8_2_rmf,CM-8,System Component Inventory,Configuration Management,,,,fas fa-user-lock,CM-8.2,,The organization develops an inventory of information system components that includes all components within the authorization boundary of the information system.,TRUE
CM_8_3_rmf,CM-8,System Component Inventory,Configuration Management,,,,fas fa-user-lock,CM-8.3,,The organization develops an inventory of information system components that is at the level of granularity deemed necessary for tracking and reporting.,TRUE
CM_8_4_rmf,CM-8,System Component Inventory,Configuration Management,,,,fas fa-user-lock,CM-8.4,,The organization defines information deemed necessary to achieve effective information system component accountability.,TRUE
CM_8_5_rmf,CM-8,System Component Inventory,Configuration Management,,,,fas fa-user-lock,CM-8.5,,The organization develops an inventory of information system components that includes organization-defined information deemed necessary to achieve effective information system component accountability.,TRUE
CM_8_6_rmf,CM-8,System Component Inventory,Configuration Management,,,,fas fa-user-lock,CM-8.6,,The organization defines the frequency on which the information system component inventory is to be reviewed and updated.,TRUE
CM_8_7_rmf,CM-8,System Component Inventory,Configuration Management,,,,fas fa-user-lock,CM-8.7,,The organization reviews and updates the information system component inventory per organization-defined frequency.,TRUE
CM_9-1_1_rmf,CM-9(1),Configuration Management Plan | Assignment of Responsibility,Configuration Management,,,,fas fa-user-lock,CM-9(1).1,,The organization assigns responsibility for developing the configuration management process to organizational personnel that are not directly involved in information system development.,TRUE
CM_9_1_rmf,CM-9,Configuration Management Plan,Configuration Management,,,,fas fa-user-lock,CM-9.1,,"The organization develops a configuration management plan for the information system that addresses roles, responsibilities, and configuration management processes and procedures.",TRUE
CM_9_10_rmf,CM-9,Configuration Management Plan,Configuration Management,,,,fas fa-user-lock,CM-9.10,,The organization implements a configuration management plan for the information system that places the configuration items under configuration management.,TRUE
CM_9_11_rmf,CM-9,Configuration Management Plan,Configuration Management,,,,fas fa-user-lock,CM-9.11,,The organization develops and documents a configuration management plan for the information system that protects the configuration management plan from unauthorized disclosure and modification.,TRUE
CM_9_12_rmf,CM-9,Configuration Management Plan,Configuration Management,,,,fas fa-user-lock,CM-9.12,,The organization implements a configuration management plan for the information system that protects the configuration management plan from unauthorized disclosure and modification.,TRUE
CM_9_2_rmf,CM-9,Configuration Management Plan,Configuration Management,,,,fas fa-user-lock,CM-9.2,,"The organization implements a configuration management plan for the information system that addresses roles, responsibilities, and configuration management processes and procedures.",TRUE
CM_9_3_rmf,CM-9,Configuration Management Plan,Configuration Management,,,,fas fa-user-lock,CM-9.3,,The organization develops a configuration management plan for the information system that establishes a process for identifying configuration items throughout the system development life cycle.,TRUE
CM_9_4_rmf,CM-9,Configuration Management Plan,Configuration Management,,,,fas fa-user-lock,CM-9.4,,The organization implements a configuration management plan for the information system that establishes a process for identifying configuration items throughout the system development life cycle.,TRUE
CM_9_5_rmf,CM-9,Configuration Management Plan,Configuration Management,,,,fas fa-user-lock,CM-9.5,,The organization develops a configuration management plan for the information system that establishes a process for managing the configuration of the configuration items.,TRUE
CM_9_6_rmf,CM-9,Configuration Management Plan,Configuration Management,,,,fas fa-user-lock,CM-9.6,,The organization implements a configuration management plan for the information system that establishes a process for managing the configuration of the configuration items.,TRUE
CM_9_7_rmf,CM-9,Configuration Management Plan,Configuration Management,,,,fas fa-user-lock,CM-9.7,,The organization develops a configuration management plan for the information system that defines the configuration items for the information system.,TRUE
CM_9_8_rmf,CM-9,Configuration Management Plan,Configuration Management,,,,fas fa-user-lock,CM-9.8,,The organization implements a configuration management plan for the information system that defines the configuration items for the information system.,TRUE
CM_9_9_rmf,CM-9,Configuration Management Plan,Configuration Management,,,,fas fa-user-lock,CM-9.9,,The organization develops a configuration management plan for the information system that places the configuration items under configuration management.,TRUE
CP_1_1_rmf,CP-1,Policy and Procedures,Contingency Planning,,,,fas fa-user-lock,CP-1.1,,"The organization develops and documents a contingency planning policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",TRUE
CP_1_10_rmf,CP-1,Policy and Procedures,Contingency Planning,,,,fas fa-user-lock,CP-1.10,,The organization reviews and updates the current contingency planning procedures in accordance with the organization-defined frequency.,TRUE
CP_1_2_rmf,CP-1,Policy and Procedures,Contingency Planning,,,,fas fa-user-lock,CP-1.2,,The organization disseminates a contingency planning policy to organization-defined personnel or roles.,TRUE
CP_1_3_rmf,CP-1,Policy and Procedures,Contingency Planning,,,,fas fa-user-lock,CP-1.3,,The organization defines personnel or roles to whom the contingency planning policy is to be disseminated.,TRUE
CP_1_4_rmf,CP-1,Policy and Procedures,Contingency Planning,,,,fas fa-user-lock,CP-1.4,,The organization develops and documents procedures to facilitate the implementation of the contingency planning policy and associated contingency planning controls.,TRUE
CP_1_5_rmf,CP-1,Policy and Procedures,Contingency Planning,,,,fas fa-user-lock,CP-1.5,,The organization disseminates contingency planning procedures to organization-defined personnel or roles.,TRUE
CP_1_6_rmf,CP-1,Policy and Procedures,Contingency Planning,,,,fas fa-user-lock,CP-1.6,,The organization defines personnel or roles to whom the contingency planning procedures are disseminated.,TRUE
CP_1_7_rmf,CP-1,Policy and Procedures,Contingency Planning,,,,fas fa-user-lock,CP-1.7,,The organization defines the frequency with which to review and update the current contingency planning policy.,TRUE
CP_1_8_rmf,CP-1,Policy and Procedures,Contingency Planning,,,,fas fa-user-lock,CP-1.8,,The organization reviews and updates the current contingency planning policy in accordance with an organization-defined frequency.,TRUE
CP_1_9_rmf,CP-1,Policy and Procedures,Contingency Planning,,,,fas fa-user-lock,CP-1.9,,The organization defines the frequency with which to review and update the current contingency planning procedures.,TRUE
CP_10-2_1_rmf,CP-10(2),System Recovery and Reconstitution | Transaction Recovery,Contingency Planning,,,,fas fa-user-lock,CP-10(2).1,,The information system implements transaction recovery for systems that are transaction-based.,TRUE
CP_10-4_1_rmf,CP-10(4),System Recovery and Reconstitution | Restore Within Time Period,Contingency Planning,,,,fas fa-user-lock,CP-10(4).1,,"The organization defines restoration time periods within which to restore information system components from configuration-controlled and integrity-protected information representing a known, operational state for the components.",TRUE
CP_10-4_2_rmf,CP-10(4),System Recovery and Reconstitution | Restore Within Time Period,Contingency Planning,,,,fas fa-user-lock,CP-10(4).2,,"The organization provides the capability to restore information system components within organization-defined restoration time periods from configuration-controlled and integrity-protected information representing a known, operational state for the components.",TRUE
CP_10-6_1_rmf,CP-10(6),System Recovery and Reconstitution | Component Protection,Contingency Planning,,,,fas fa-user-lock,CP-10(6).1,,The organization protects backup and restoration hardware.,TRUE
CP_10-6_2_rmf,CP-10(6),System Recovery and Reconstitution | Component Protection,Contingency Planning,,,,fas fa-user-lock,CP-10(6).2,,The organization protects backup and restoration firmware.,TRUE
CP_10-6_3_rmf,CP-10(6),System Recovery and Reconstitution | Component Protection,Contingency Planning,,,,fas fa-user-lock,CP-10(6).3,,The organization protects backup and restoration software.,TRUE
CP_10_1_rmf,CP-10,System Recovery and Reconstitution,Contingency Planning,,,,fas fa-user-lock,CP-10.1,,The organization provides for the recovery and reconstitution of the information system to a known state after a disruption.,TRUE
CP_10_2_rmf,CP-10,System Recovery and Reconstitution,Contingency Planning,,,,fas fa-user-lock,CP-10.2,,The organization provides for the recovery and reconstitution of the information system to a known state after a compromise.,TRUE
CP_10_3_rmf,CP-10,System Recovery and Reconstitution,Contingency Planning,,,,fas fa-user-lock,CP-10.3,,The organization provides for the recovery and reconstitution of the information system to a known state after a failure.,TRUE
CP_11_1_rmf,CP-11,Alternate Communications Protocols,Contingency Planning,,,,fas fa-user-lock,CP-11.1,,The information system provides the capability to employ organization-defined alternative communications protocols in support of maintaining continuity of operations.,TRUE
CP_11_2_rmf,CP-11,Alternate Communications Protocols,Contingency Planning,,,,fas fa-user-lock,CP-11.2,,The organization defines the alternative communications protocols the information system must be capable of providing in support of maintaining continuity of operations.,TRUE
CP_12_1_rmf,CP-12,Safe Mode,Contingency Planning,,,,fas fa-user-lock,CP-12.1,,"The information system, when organization-defined conditions are detected, enters a safe mode of operation with organization-defined restrictions of safe mode of operation.",TRUE
CP_12_2_rmf,CP-12,Safe Mode,Contingency Planning,,,,fas fa-user-lock,CP-12.2,,"The organization defines the conditions that, when detected, the information system enters a safe mode of operation with organization-defined restrictions of safe mode of operation.",TRUE
CP_12_3_rmf,CP-12,Safe Mode,Contingency Planning,,,,fas fa-user-lock,CP-12.3,,The organization defines the restrictions of the safe mode of operation that the information system will enter when organization-defined conditions are detected.,TRUE
CP_13_1_rmf,CP-13,Alternative Security Mechanisms,Contingency Planning,,,,fas fa-user-lock,CP-13.1,,The organization employs organization-defined alternative or supplemental security mechanisms for satisfying organization-defined security functions when the primary means of implementing the security function is unavailable or compromised.,TRUE
CP_13_2_rmf,CP-13,Alternative Security Mechanisms,Contingency Planning,,,,fas fa-user-lock,CP-13.2,,The organization defines the alternative or supplemental security mechanisms that will be employed for satisfying organization-defined security functions when the primary means of implementing the security function is unavailable or compromised.,TRUE
CP_13_3_rmf,CP-13,Alternative Security Mechanisms,Contingency Planning,,,,fas fa-user-lock,CP-13.3,,The organization defines the security functions that must be satisfied when the primary means of implementing the security function is unavailable or compromised.,TRUE
CP_2-1_1_rmf,CP-2(1),Contingency Plan | Coordinate with Related Plans,Contingency Planning,,,,fas fa-user-lock,CP-2(1).1,,The organization coordinates contingency plan development with organizational elements responsible for related plans.,TRUE
CP_2-2_1_rmf,CP-2(2),Contingency Plan | Capacity Planning,Contingency Planning,,,,fas fa-user-lock,CP-2(2).1,,The organization conducts capacity planning so that necessary capacity for information processing exists during contingency operations.,TRUE
CP_2-2_2_rmf,CP-2(2),Contingency Plan | Capacity Planning,Contingency Planning,,,,fas fa-user-lock,CP-2(2).2,,The organization conducts capacity planning so that necessary capacity for telecommunications exists during contingency operations.,TRUE
CP_2-2_3_rmf,CP-2(2),Contingency Plan | Capacity Planning,Contingency Planning,,,,fas fa-user-lock,CP-2(2).3,,The organization conducts capacity planning so that necessary capacity for environmental support exists during contingency operations.,TRUE
CP_2-3_1_rmf,CP-2(3),Contingency Plan | Resume Mission and Business Functions,Contingency Planning,,,,fas fa-user-lock,CP-2(3).1,,The organization defines the time period for planning the resumption of essential missions as a result of contingency plan activation.,TRUE
CP_2-3_2_rmf,CP-2(3),Contingency Plan | Resume Mission and Business Functions,Contingency Planning,,,,fas fa-user-lock,CP-2(3).2,,The organization defines the time period for planning the resumption of essential business functions as a result of contingency plan activation.,TRUE
CP_2-3_3_rmf,CP-2(3),Contingency Plan | Resume Mission and Business Functions,Contingency Planning,,,,fas fa-user-lock,CP-2(3).3,,The organization plans for the resumption of essential missions within the organization-defined time period of contingency plan activation.,TRUE
CP_2-3_4_rmf,CP-2(3),Contingency Plan | Resume Mission and Business Functions,Contingency Planning,,,,fas fa-user-lock,CP-2(3).4,,The organization plans for the resumption of essential business functions within the organization-defined time period of contingency plan activation.,TRUE
CP_2-4_1_rmf,CP-2(4),Contingency Plan | Resume All Mission and Business Functions,Contingency Planning,,,,fas fa-user-lock,CP-2(4).1,,The organization defines the time period for planning the resumption of all missions as a result of contingency plan activation.,TRUE
CP_2-4_2_rmf,CP-2(4),Contingency Plan | Resume All Mission and Business Functions,Contingency Planning,,,,fas fa-user-lock,CP-2(4).2,,The organization defines the time period for planning the resumption of all business functions as a result of contingency plan activation.,TRUE
CP_2-4_3_rmf,CP-2(4),Contingency Plan | Resume All Mission and Business Functions,Contingency Planning,,,,fas fa-user-lock,CP-2(4).3,,The organization plans for the resumption of all missions within an organization-defined time period of contingency plan activation.,TRUE
CP_2-4_4_rmf,CP-2(4),Contingency Plan | Resume All Mission and Business Functions,Contingency Planning,,,,fas fa-user-lock,CP-2(4).4,,The organization plans for the resumption of all business functions within an organization-defined time period of contingency plan activation.,TRUE
CP_2-5_1_rmf,CP-2(5),Contingency Plan | Continue Mission and Business Functions,Contingency Planning,,,,fas fa-user-lock,CP-2(5).1,,The organization plans for the continuance of essential missions with little or no loss of operational continuity.,TRUE
CP_2-5_2_rmf,CP-2(5),Contingency Plan | Continue Mission and Business Functions,Contingency Planning,,,,fas fa-user-lock,CP-2(5).2,,The organization plans for the continuance of essential business functions with little or no loss of operational continuity.,TRUE
CP_2-5_3_rmf,CP-2(5),Contingency Plan | Continue Mission and Business Functions,Contingency Planning,,,,fas fa-user-lock,CP-2(5).3,,The organization sustains operational continuity of essential missions until full information system restoration at primary processing and/or storage sites.,TRUE
CP_2-5_4_rmf,CP-2(5),Contingency Plan | Continue Mission and Business Functions,Contingency Planning,,,,fas fa-user-lock,CP-2(5).4,,The organization sustains operational continuity of essential business functions until full information system restoration at primary processing and/or storage sites.,TRUE
CP_2-6_1_rmf,CP-2(6),Contingency Plan | Alternate Processing and Storage Sites,Contingency Planning,,,,fas fa-user-lock,CP-2(6).1,,The organization plans for the transfer of essential missions to alternate processing and/or storage sites with little or no loss of operational continuity.,TRUE
CP_2-6_2_rmf,CP-2(6),Contingency Plan | Alternate Processing and Storage Sites,Contingency Planning,,,,fas fa-user-lock,CP-2(6).2,,The organization plans for the transfer of essential business functions to alternate processing and/or storage sites with little or no loss of operational continuity.,TRUE
CP_2-6_3_rmf,CP-2(6),Contingency Plan | Alternate Processing and Storage Sites,Contingency Planning,,,,fas fa-user-lock,CP-2(6).3,,The organization sustains operational continuity of essential missions at alternate processing and/or storage sites until information system restoration at primary processing and/or storage sites.,TRUE
CP_2-6_4_rmf,CP-2(6),Contingency Plan | Alternate Processing and Storage Sites,Contingency Planning,,,,fas fa-user-lock,CP-2(6).4,,The organization sustains operational continuity of essential business functions at alternate processing and/or storage sites until information system restoration at primary processing and/or storage sites.,TRUE
CP_2-7_1_rmf,CP-2(7),Contingency Plan | Coordinate with External Service Providers,Contingency Planning,,,,fas fa-user-lock,CP-2(7).1,,The organization coordinates its contingency plan with the contingency plans of external service providers to ensure that contingency requirements can be satisfied.,TRUE
CP_2-8_1_rmf,CP-2(8),Contingency Plan | Identify Critical Assets,Contingency Planning,,,,fas fa-user-lock,CP-2(8).1,,The organization identifies critical information system assets supporting essential missions.,TRUE
CP_2-8_2_rmf,CP-2(8),Contingency Plan | Identify Critical Assets,Contingency Planning,,,,fas fa-user-lock,CP-2(8).2,,The organization identifies critical information system assets supporting essential business functions.,TRUE
CP_2_1_rmf,CP-2,Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-2.1,,The organization develops a contingency plan for the information system that identifies essential missions.,TRUE
CP_2_10_rmf,CP-2,Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-2.10,,The organization develops a contingency plan for the information system that addresses maintaining essential missions despite an information system compromise.,TRUE
CP_2_11_rmf,CP-2,Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-2.11,,The organization develops a contingency plan for the information system that addresses maintaining essential business functions despite an information system compromise.,TRUE
CP_2_12_rmf,CP-2,Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-2.12,,The organization develops a contingency plan for the information system that addresses maintaining essential missions despite an information system failure.,TRUE
CP_2_13_rmf,CP-2,Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-2.13,,The organization develops a contingency plan for the information system that addresses maintaining essential business functions despite an information system failure.,TRUE
CP_2_14_rmf,CP-2,Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-2.14,,"The organization develops a contingency plan for the information system that addresses eventual, full information system restoration without deterioration of the security safeguards originally planned and implemented.",TRUE
CP_2_15_rmf,CP-2,Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-2.15,,The organization develops a contingency plan for the information system that is reviewed and approved by organization-defined personnel or roles.,TRUE
CP_2_16_rmf,CP-2,Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-2.16,,The organization defines the personnel or roles who review and approve the contingency plan for the information system.,TRUE
CP_2_17_rmf,CP-2,Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-2.17,,The organization defines a list of key contingency personnel (identified by name and/or by role) and organizational elements designated to receive copies of the contingency plan.,TRUE
CP_2_18_rmf,CP-2,Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-2.18,,The organization distributes copies of the contingency plan to an organization-defined list of key contingency personnel (identified by name and/or by role) and organizational elements.,TRUE
CP_2_19_rmf,CP-2,Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-2.19,,The organization coordinates contingency planning activities with incident handling activities.,TRUE
CP_2_2_rmf,CP-2,Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-2.2,,The organization develops a contingency plan for the information system that identifies essential business functions.,TRUE
CP_2_20_rmf,CP-2,Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-2.20,,The organization defines the frequency with which to review the contingency plan for the information system.,TRUE
CP_2_21_rmf,CP-2,Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-2.21,,The organization reviews the contingency plan for the information system in accordance with organization-defined frequency.,TRUE
CP_2_22_rmf,CP-2,Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-2.22,,The organization updates the contingency plan to address changes to the organization.,TRUE
CP_2_23_rmf,CP-2,Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-2.23,,The organization updates the contingency plan to address changes to the information system.,TRUE
CP_2_24_rmf,CP-2,Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-2.24,,The organization updates the contingency plan to address changes to the environment of operation.,TRUE
CP_2_25_rmf,CP-2,Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-2.25,,"The organization updates the contingency plan to address problems encountered during contingency plan implementation, execution, or testing.",TRUE
CP_2_26_rmf,CP-2,Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-2.26,,The organization communicates contingency plan changes to an organization-defined list of key contingency personnel (identified by name and/or by role) and organizational elements.,TRUE
CP_2_27_rmf,CP-2,Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-2.27,,The organization defines a list of key contingency personnel (identified by name and/or by role) and organizational elements to whom contingency plan changes are to be communicated.,TRUE
CP_2_28_rmf,CP-2,Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-2.28,,The organization protects the contingency plan from unauthorized disclosure and modification.,TRUE
CP_2_3_rmf,CP-2,Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-2.3,,The organization develops a contingency plan for the information system that identifies associated contingency requirements.,TRUE
CP_2_4_rmf,CP-2,Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-2.4,,The organization develops a contingency plan for the information system that provides recovery objectives.,TRUE
CP_2_5_rmf,CP-2,Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-2.5,,The organization develops a contingency plan for the information system that provides restoration priorities.,TRUE
CP_2_6_rmf,CP-2,Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-2.6,,The organization develops a contingency plan for the information system that provides metrics.,TRUE
CP_2_7_rmf,CP-2,Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-2.7,,"The organization develops a contingency plan for the information system that addresses contingency roles, responsibilities, assigned individuals with contact information.",TRUE
CP_2_8_rmf,CP-2,Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-2.8,,The organization develops a contingency plan for the information system that addresses maintaining essential missions despite an information system disruption.,TRUE
CP_2_9_rmf,CP-2,Contingency Plan,Contingency Planning,,,,fas fa-user-lock,CP-2.9,,The organization develops a contingency plan for the information system that addresses maintaining essential business functions despite an information system disruption.,TRUE
CP_3-1_1_rmf,CP-3(1),Contingency Training | Simulated Events,Contingency Planning,,,,fas fa-user-lock,CP-3(1).1,,The organization incorporates simulated events into contingency training to facilitate effective response by personnel in crisis situations.,TRUE
CP_3-2_1_rmf,CP-3(2),Contingency Training | Mechanisms Used in Training Environments,Contingency Planning,,,,fas fa-user-lock,CP-3(2).1,,The organization employs automated mechanisms to provide a more thorough and realistic contingency training environment.,TRUE
CP_3_1_rmf,CP-3,Contingency Training,Contingency Planning,,,,fas fa-user-lock,CP-3.1,,The organization provides contingency training to information system users consistent with assigned roles and responsibilities within an organization-defined time period of assuming a contingency role or responsibility.,TRUE
CP_3_2_rmf,CP-3,Contingency Training,Contingency Planning,,,,fas fa-user-lock,CP-3.2,,The organization defines the time period that contingency training is to be provided to information system users consistent with assigned roles and responsibilities within assuming a contingency role or responsibility.,TRUE
CP_3_3_rmf,CP-3,Contingency Training,Contingency Planning,,,,fas fa-user-lock,CP-3.3,,The organization provides contingency training to information system users consistent with assigned roles and responsibilities when required by information system changes.,TRUE
CP_3_4_rmf,CP-3,Contingency Training,Contingency Planning,,,,fas fa-user-lock,CP-3.4,,The organization defines the frequency of refresher contingency training to information system users.,TRUE
CP_3_5_rmf,CP-3,Contingency Training,Contingency Planning,,,,fas fa-user-lock,CP-3.5,,The organization provides refresher contingency training to information system users consistent with assigned roles and responsibilities in accordance with organization-defined frequency.,TRUE
CP_4-1_1_rmf,CP-4(1),Contingency Plan Testing | Coordinate with Related Plans,Contingency Planning,,,,fas fa-user-lock,CP-4(1).1,,The organization coordinates contingency plan testing with organizational elements responsible for related plans.,TRUE
CP_4-2_1_rmf,CP-4(2),Contingency Plan Testing | Alternate Processing Site,Contingency Planning,,,,fas fa-user-lock,CP-4(2).1,,The organization tests the contingency plan at the alternate processing site to familiarize contingency personnel with the facility and available resources.,TRUE
CP_4-2_2_rmf,CP-4(2),Contingency Plan Testing | Alternate Processing Site,Contingency Planning,,,,fas fa-user-lock,CP-4(2).2,,The organization tests the contingency plan at the alternate processing site to evaluate the capabilities of the alternate processing site to support contingency operations.,TRUE
CP_4-3_1_rmf,CP-4(3),Contingency Plan Testing | Automated Testing,Contingency Planning,,,,fas fa-user-lock,CP-4(3).1,,The organization employs automated mechanisms to more thoroughly and effectively test the contingency plan.,TRUE
CP_4-4_1_rmf,CP-4(4),Contingency Plan Testing | Full Recovery and Reconstitution,Contingency Planning,,,,fas fa-user-lock,CP-4(4).1,,The organization includes a full recovery and reconstitution of the information system to a known state as part of contingency plan testing.,TRUE
CP_4_1_rmf,CP-4,Contingency Plan Testing,Contingency Planning,,,,fas fa-user-lock,CP-4.1,,The organization defines the frequency with which to test the contingency plan for the information system.,TRUE
CP_4_2_rmf,CP-4,Contingency Plan Testing,Contingency Planning,,,,fas fa-user-lock,CP-4.2,,The organization defines contingency plan tests to be conducted for the information system.,TRUE
CP_4_3_rmf,CP-4,Contingency Plan Testing,Contingency Planning,,,,fas fa-user-lock,CP-4.3,,The organization tests the contingency plan for the information system in accordance with organization-defined frequency using organization-defined tests to determine the effectiveness of the plan and the organizational readiness to execute the plan.,TRUE
CP_4_4_rmf,CP-4,Contingency Plan Testing,Contingency Planning,,,,fas fa-user-lock,CP-4.4,,The organization reviews the contingency plan test results.,TRUE
CP_4_5_rmf,CP-4,Contingency Plan Testing,Contingency Planning,,,,fas fa-user-lock,CP-4.5,,"The organization initiates corrective actions, if needed, after reviewing the contingency plan test results.",TRUE
CP_6-1_1_rmf,CP-6(1),Alternate Storage Site | Separation from Primary Site,Contingency Planning,,,,fas fa-user-lock,CP-6(1).1,,The organization identifies an alternate storage site that is separated from the primary storage site to reduce susceptibility to the same threats.,TRUE
CP_6-2_1_rmf,CP-6(2),Alternate Storage Site | Recovery Time and Recovery Point Objectives,Contingency Planning,,,,fas fa-user-lock,CP-6(2).1,,The organization configures the alternate storage site to facilitate recovery operations in accordance with recovery time and recovery point objectives.,TRUE
CP_6-3_1_rmf,CP-6(3),Alternate Storage Site | Accessibility,Contingency Planning,,,,fas fa-user-lock,CP-6(3).1,,The organization identifies potential accessibility problems to the alternate storage site in the event of an area-wide disruption or disaster.,TRUE
CP_6-3_2_rmf,CP-6(3),Alternate Storage Site | Accessibility,Contingency Planning,,,,fas fa-user-lock,CP-6(3).2,,The organization outlines explicit mitigation actions for organization identified accessibility problems to the alternate storage site in the event of an area-wide disruption or disaster.,TRUE
CP_6_1_rmf,CP-6,Alternate Storage Site,Contingency Planning,,,,fas fa-user-lock,CP-6.1,,The organization establishes an alternate storage site including necessary agreements to permit the storage and retrieval of information system backup information.,TRUE
CP_6_2_rmf,CP-6,Alternate Storage Site,Contingency Planning,,,,fas fa-user-lock,CP-6.2,,The organization ensures that the alternate storage site provides information security safeguards equivalent to that of the primary site.,TRUE
CP_7-1_1_rmf,CP-7(1),Alternate Processing Site | Separation from Primary Site,Contingency Planning,,,,fas fa-user-lock,CP-7(1).1,,The organization identifies an alternate processing site that is separated from the primary processing site to reduce susceptibility to the same threats.,TRUE
CP_7-2_1_rmf,CP-7(2),Alternate Processing Site | Accessibility,Contingency Planning,,,,fas fa-user-lock,CP-7(2).1,,The organization identifies potential accessibility problems to the alternate processing site in the event of an area-wide disruption or disaster.,TRUE
CP_7-2_2_rmf,CP-7(2),Alternate Processing Site | Accessibility,Contingency Planning,,,,fas fa-user-lock,CP-7(2).2,,The organization outlines explicit mitigation actions for organization-identified potential accessibility problems to the alternate processing site in the event of an area-wide disruption or disaster.,TRUE
CP_7-3_1_rmf,CP-7(3),Alternate Processing Site | Priority of Service,Contingency Planning,,,,fas fa-user-lock,CP-7(3).1,,The organization develops alternate processing site agreements that contain priority-of-service provisions in accordance with the organizational availability requirements (including recovery time objectives).,TRUE
CP_7-4_1_rmf,CP-7(4),Alternate Processing Site | Preparation for Use,Contingency Planning,,,,fas fa-user-lock,CP-7(4).1,,The organization prepares the alternate processing site so that it is ready to be used as the operational site supporting essential missions.,TRUE
CP_7-4_2_rmf,CP-7(4),Alternate Processing Site | Preparation for Use,Contingency Planning,,,,fas fa-user-lock,CP-7(4).2,,The organization prepares the alternate processing site so that it is ready to be used as the operational site supporting essential business functions.,TRUE
CP_7-6_1_rmf,CP-7(6),Alternate Processing Site | Inability to Return to Primary Site,Contingency Planning,,,,fas fa-user-lock,CP-7(6).1,,The organization plans for circumstances that preclude returning to the primary processing site.,TRUE
CP_7-6_2_rmf,CP-7(6),Alternate Processing Site | Inability to Return to Primary Site,Contingency Planning,,,,fas fa-user-lock,CP-7(6).2,,The organization prepares for circumstances that preclude returning to the primary processing site.,TRUE
CP_7_1_rmf,CP-7,Alternate Processing Site,Contingency Planning,,,,fas fa-user-lock,CP-7.1,,The organization defines the time period consistent with recovery time and recovery point objectives for essential missions/business functions to permit the transfer and resumption of organization-defined information system operations at an alternate processing site when the primary processing capabilities are unavailable.,TRUE
