dashboard,name,domain,capability_description,icon,practice_description,expanded_guidance,level,ext_product,ext_link,visible
24_omb,Endpoint Detection and Response (EDR),System Configuration and Performance,,fas fa-user-lock,Endpoint Detection and Response (EDR),,1,None,,TRUE
25_omb,Configuration Changes,System Configuration and Performance,,fas fa-user-lock,Configuration Changes,,1,None,,TRUE
26_omb,Administrative,Authentication and Authorization,,fas fa-user-lock,Administrative | Authentication Logons (Success/Failure) | Authentication Logoffs | Privilege Elevation (Success/Failure) | Security Related System Alerts and Failures | User and Group: Additions\Deletions\Modification to Permissions | Unauthorized Access Attempts to Critical Systems and File,,1,None,,TRUE
27_omb,Authorization,Authentication and Authorization,,fas fa-user-lock,Authorization All Privileged Operations,,1,None,,TRUE
28_omb,Content Filtering Policy Updates,"Email Filtering, Spam, and Phishing",,fas fa-boxes,Content Filtering Policy Updates,,1,None,,TRUE
29_omb,Anti-Virus and Behavior-Based Malware Protection,Anti-Virus and Behavior-Based Malware Protection,,fas fa-boxes,"Description of Malicious Code or Action and Severity | Identity or (Hash) Identifier of the File(s)  | Description of the Action Taken (Clean, Quarantine, Delete)  | Signature Updates",,1,None,,TRUE
30_omb,Indication of the Host that Connected to a Specific URL,Anti-Virus and Behavior-Based Malware Protection,,fas fa-user-circle,"Date and Time Storage  |  Based IP and Domain Reputation  |  URL Protection  |  Categorization",,1,None,,TRUE
31_omb,All Devices,Network Device Infrastructure,,fas fa-user-circle,All Devices | Hash of the Binary / Binaries Running on the Device | Hash of Configs | Firmware,,1,None,,TRUE
32_omb,Firewalls,Network Device Infrastructure,,fas fa-user-circle,"Firewall Events | Action Permit, Teardowns, Closes, Denies, and Drops | Interface  | Source | Destination | Protocol Type | URL, Associated User and User Agent | Date and Time",,1,None,,TRUE
33_omb,All Devices: IDS / IPS Alerts and Events,Network Device Infrastructure,,fas fa-user-circle,All Devices: IDs / IPs Alerts and Events | Date and Time | Source | Destination | Signature Triggered | Wi-Fi Channel | Wi-Fi Extended Service Set Identifier,,1,None,,TRUE
34_omb,VPN Gateway,Network Device Infrastructure,,fas fa-user-circle,VPN Gateway | Authentication Information | Change in Status of Connections / Tunnel Status | VPN Certificate Status Validation,,1,None,,TRUE
35_omb,All Events Related,PKI Infrastructure,,fas fa-user-circle,Generation | Revocation | Access | Update | Expiry | Recover | Authentication | LDAP Logs,,1,None,,TRUE
36_omb,Vulnerability Assessments,Vulnerability Assessments,,fas fa-user-circle,"Date and Time | Hostname, IP Address, and OS Version | Open Ports | Installed Applications | Version of Installed Applications | Vulnerabilities Listed in Installed Applications | Source of Vulnerability and Severity",,1,None,,TRUE
37_omb,Database Level,Database Level,,fas fa-user-circle,"Addition of New Users | Query Being Executed | Query, Status, and Traceback | Attempts to Elevate Privileges | Changes to the Database Structure | Changes to User Roles or Database Permissions | Database Administrator Actions | Database Logons | Failed Logons | Use of Executable Commands | CLI Commands against the Data Base | Database Configuration and Version | Access to Sensitive Information within the Databases",,1,None,,TRUE
38_omb,Web Applications,Application Level,,fas fa-user-circle,Web Applications | URL | Headers | HTTP Methods | HTTP Response with Body of Data,,1,None,,TRUE
39_omb,Web Application,Application Level,,fas fa-user-circle,Web Application | Database Queries | Response Codes,,1,None,,TRUE
