name,dashboard,domain,capability,icon,practice_description,level,expanded_guidance,visible
IR-2H: Escalate Cyber Security Events and Declare Incidents,IR_2H_aescsf,"Event and Incident Response, Continuity of Operations",Escalate Cyber Security Events and Declare Incidents,,Escalated Cyber Security events and declared Cyber Security incidents inform the common operating picture (SA-3a) for the function,MIL-3 SP-3,,TRUE
IR-2I: Escalate Cyber Security Events and Declare Incidents,IR_2I_aescsf,"Event and Incident Response, Continuity of Operations",Escalate Cyber Security Events and Declare Incidents,,"Escalated Cyber Security events and declared incidents are correlated to support the discovery of patterns, trends, and other common features",MIL-3 SP-3,,TRUE
IR-3A: Respond to Incidents and Escalated Cyber Security Events,IR_3A_aescsf,"Event and Incident Response, Continuity of Operations",Respond to Incidents and Escalated Cyber Security Events,,"Cyber Security event and incident response personnel are identified and roles are assigned, at least in an ad hoc manner",MIL-1 SP-1,,TRUE
IR-3B: Respond to Incidents and Escalated Cyber Security Events,IR_3B_aescsf,"Event and Incident Response, Continuity of Operations",Respond to Incidents and Escalated Cyber Security Events,,"Responses to escalated Cyber Security events and incidents are implemented, at least in an ad hoc manner, to limit impact to the function and restore normal operations",MIL-1 SP-1,,TRUE
IR-3C: Respond to Incidents and Escalated Cyber Security Events,IR_3C_aescsf,"Event and Incident Response, Continuity of Operations",Respond to Incidents and Escalated Cyber Security Events,,"Reporting of escalated Cyber Security events and incidents is performed (e.g., internal reporting, ACSC), at least in an ad hoc manner",MIL-1 SP-1,,TRUE
IR-3D: Respond to Incidents and Escalated Cyber Security Events,IR_3D_aescsf,"Event and Incident Response, Continuity of Operations",Respond to Incidents and Escalated Cyber Security Events,,"Cyber Security event and incident response is performed according to defined procedures that address all phases of the incident life cycle (e.g., triage, handling, communication, coordination, and closure)",MIL-2 SP-2,,TRUE
IR-3E: Respond to Incidents and Escalated Cyber Security Events,IR_3E_aescsf,"Event and Incident Response, Continuity of Operations",Respond to Incidents and Escalated Cyber Security Events,,Cyber Security event and incident response plans are exercised at an organisation- defined frequency,MIL-2 SP-1,,TRUE
IR-3F: Respond to Incidents and Escalated Cyber Security Events,IR_3F_aescsf,"Event and Incident Response, Continuity of Operations",Respond to Incidents and Escalated Cyber Security Events,,Cyber Security event and incident response plans address OT and IT assets important to the delivery of the function,MIL-2 SP-2,,TRUE
IR-3G: Respond to Incidents and Escalated Cyber Security Events,IR_3G_aescsf,"Event and Incident Response, Continuity of Operations",Respond to Incidents and Escalated Cyber Security Events,,Training is conducted for Cyber Security event and incident response teams,MIL-2 SP-2,,TRUE
IR-3H: Respond to Incidents and Escalated Cyber Security Events,IR_3H_aescsf,"Event and Incident Response, Continuity of Operations",Respond to Incidents and Escalated Cyber Security Events,,"Cyber Security event and incident root-cause analysis and lessons-learned activities are performed, and corrective actions are taken",MIL-3 SP-3,,TRUE
IR-3I: Respond to Incidents and Escalated Cyber Security Events,IR_3I_aescsf,"Event and Incident Response, Continuity of Operations",Respond to Incidents and Escalated Cyber Security Events,,"Cyber Security event and incident responses are coordinated with law enforcement and other government entities as appropriate, including support for evidence collection and preservation",MIL-3 SP-3,,TRUE
IR-3J: Respond to Incidents and Escalated Cyber Security Events,IR_3J_aescsf,"Event and Incident Response, Continuity of Operations",Respond to Incidents and Escalated Cyber Security Events,,"Cyber Security event and incident response personnel participate in joint Cyber Security exercises with other organisations (e.g., table top, simulated incidents)",MIL-3 SP-2,,TRUE
IR-3K: Respond to Incidents and Escalated Cyber Security Events,IR_3K_aescsf,"Event and Incident Response, Continuity of Operations",Respond to Incidents and Escalated Cyber Security Events,,Cyber Security event and incident response plans are reviewed and updated at an organisation-defined frequency,MIL-3 SP-2,,TRUE
IR-3L: Respond to Incidents and Escalated Cyber Security Events,IR_3L_aescsf,"Event and Incident Response, Continuity of Operations",Respond to Incidents and Escalated Cyber Security Events,,Cyber Security event and incident response activities are coordinated with relevant external entities,MIL-3 SP-3,,TRUE
IR-3M: Respond to Incidents and Escalated Cyber Security Events,IR_3M_aescsf,"Event and Incident Response, Continuity of Operations",Respond to Incidents and Escalated Cyber Security Events,,Cyber Security event and incident response plans are aligned with the function's risk criteria (RM-1c) and threat profile (TVM-1d),MIL-3 SP-3,,TRUE
IR-3N: Respond to Incidents and Escalated Cyber Security Events,IR_3N_aescsf,"Event and Incident Response, Continuity of Operations",Respond to Incidents and Escalated Cyber Security Events,,"Policy and procedures for reporting Cyber Security event and incident information to designated authorities conform with applicable laws, regulations, and contractual agreements",MIL-3 SP-3,,TRUE
IR-3O: Respond to Incidents and Escalated Cyber Security Events,IR_3O_aescsf,"Event and Incident Response, Continuity of Operations",Respond to Incidents and Escalated Cyber Security Events,,Restored assets are configured appropriately and inventory information is updated following execution of response plans,MIL-3 SP-2,,TRUE
IR-4A: Plan for Continuity,IR_4A_aescsf,"Event and Incident Response, Continuity of Operations",Plan for Continuity,,"The activities necessary to sustain minimum operations of the function are identified, at least in an ad hoc manner",MIL-1 SP-1,,TRUE
IR-4B: Plan for Continuity,IR_4B_aescsf,"Event and Incident Response, Continuity of Operations",Plan for Continuity,,"The sequence of activities necessary to return the function to normal operation is identified, at least in an ad hoc manner",MIL-1 SP-1,,TRUE
IR-4C: Plan for Continuity,IR_4C_aescsf,"Event and Incident Response, Continuity of Operations",Plan for Continuity,,"Continuity plans are developed, at least in an ad hoc manner, to sustain and restore operation of the function",MIL-1 SP-1,,TRUE
IR-4D: Plan for Continuity,IR_4D_aescsf,"Event and Incident Response, Continuity of Operations",Plan for Continuity,,Business impact analyses inform the development of continuity plans,MIL-2 SP-2,,TRUE
IR-4E: Plan for Continuity,IR_4E_aescsf,"Event and Incident Response, Continuity of Operations",Plan for Continuity,,Recovery time objectives (RTO) and recovery point objectives (RPO) for the function are incorporated into continuity plans,MIL-2 SP-2,,TRUE
IR-4F: Plan for Continuity,IR_4F_aescsf,"Event and Incident Response, Continuity of Operations",Plan for Continuity,,Continuity plans are evaluated and exercised,MIL-2 SP-2,,TRUE
IR-4G: Plan for Continuity,IR_4G_aescsf,"Event and Incident Response, Continuity of Operations",Plan for Continuity,,Business impact analyses are periodically reviewed and updated,MIL-3 SP-3,,TRUE
IR-4H: Plan for Continuity,IR_4H_aescsf,"Event and Incident Response, Continuity of Operations",Plan for Continuity,,Recovery time objectives (RTO) and recovery point objectives (RPO) are aligned with the function's risk criteria (RM-1c),MIL-3 SP-3,,TRUE
IR-4I: Plan for Continuity,IR_4I_aescsf,"Event and Incident Response, Continuity of Operations",Plan for Continuity,,"The results of continuity plan testing and/or activation are compared to recovery objectives, and plans are improved accordingly",MIL-3 SP-3,,TRUE
IR-4J: Plan for Continuity,IR_4J_aescsf,"Event and Incident Response, Continuity of Operations",Plan for Continuity,,Continuity plans are periodically reviewed and updated,MIL-3 SP-1,,TRUE
IR-4K: Plan for Continuity,IR_4K_aescsf,"Event and Incident Response, Continuity of Operations",Plan for Continuity,,Restored assets are configured appropriately and inventory information is updated following execution of continuity plans,MIL-3 SP-3,,TRUE
IR-AP1: IR Anti-Patterns,IR_AP1_aescsf,"Event and Incident Response, Continuity of Operations",IR Anti-Patterns,,Critical functions have not been identified,MIL-2 SP-1,,TRUE
IR-AP2: IR Anti-Patterns,IR_AP2_aescsf,"Event and Incident Response, Continuity of Operations",IR Anti-Patterns,,Services and assets that support the delivery of critical functions have not been identified (IR-AP1),MIL-2 SP-1,,TRUE
IR-AP3: IR Anti-Patterns,IR_AP3_aescsf,"Event and Incident Response, Continuity of Operations",IR Anti-Patterns,,Incident responders do not know which authorities (including law enforcement) should be contacted or how to contact them,MIL-3 SP-1,,TRUE
ISC-1A: Share Cyber Security Information,ISC_1A_aescsf,Information Sharing and Communications,Share Cyber Security Information,,"Information is collected from and provided to selected individuals and/or organisations, at least in an ad hoc manner",MIL-1 SP-1,,TRUE
ISC-1B: Share Cyber Security Information,ISC_1B_aescsf,Information Sharing and Communications,Share Cyber Security Information,,"Responsibility for Cyber Security reporting obligations are assigned to personnel (e.g., internal reporting to management, external reporting to government (e.g. ACSC) or law enforcement (e.g. AFP), at least in an ad hoc manner",MIL-1 SP-1,,TRUE
ISC-1C: Share Cyber Security Information,ISC_1C_aescsf,Information Sharing and Communications,Share Cyber Security Information,,"Information-sharing stakeholders are identified based on their relevance to the continued operation of the function (e.g., connected utilities, vendors, sector organisations, regulators, internal entities)",MIL-2 SP-1,,TRUE
ISC-1D: Share Cyber Security Information,ISC_1D_aescsf,Information Sharing and Communications,Share Cyber Security Information,,Information is collected from and provided to identified information-sharing stakeholders,MIL-2 SP-2,,TRUE
ISC-1E: Share Cyber Security Information,ISC_1E_aescsf,Information Sharing and Communications,Share Cyber Security Information,,Technical sources are identified that can be consulted on Cyber Security issues,MIL-2 SP-2,,TRUE
ISC-1F: Share Cyber Security Information,ISC_1F_aescsf,Information Sharing and Communications,Share Cyber Security Information,,Provisions are established and maintained to enable secure sharing of sensitive or classified information,MIL-2 SP-2,,TRUE
ISC-1G: Share Cyber Security Information,ISC_1G_aescsf,Information Sharing and Communications,Share Cyber Security Information,,Information-sharing practices address both standard operations and emergency operations,MIL-2 SP-2,,TRUE
ISC-1H: Share Cyber Security Information,ISC_1H_aescsf,Information Sharing and Communications,Share Cyber Security Information,,Information-sharing stakeholders are identified based on shared interest in and risk to critical infrastructure,MIL-3 SP-3,,TRUE
ISC-1I: Share Cyber Security Information,ISC_1I_aescsf,Information Sharing and Communications,Share Cyber Security Information,,The function or the organisation participates with information sharing and analysis centres,MIL-3 SP-3,,TRUE
ISC-1J: Share Cyber Security Information,ISC_1J_aescsf,Information Sharing and Communications,Share Cyber Security Information,,Information-sharing requirements have been defined for the function and address timely dissemination of Cyber Security information,MIL-3 SP-3,,TRUE
ISC-1K: Share Cyber Security Information,ISC_1K_aescsf,Information Sharing and Communications,Share Cyber Security Information,,Procedures are in place to analyse and de-conflict received information,MIL-3 SP-3,,TRUE
ISC-1L: Share Cyber Security Information,ISC_1L_aescsf,Information Sharing and Communications,Share Cyber Security Information,,A network of internal and external trust relationships (formal and/or informal) has been established to vet and validate information about Cyber events,MIL-3 SP-3,,TRUE
RM-1A: Establish Cyber Security Risk Management Strategy,RM_1A_aescsf,Risk Management,Establish Cyber Security Risk Management Strategy,,There is a documented Cyber Security risk management strategy,MIL-2 SP-1,,TRUE
RM-1B: Establish Cyber Security Risk Management Strategy,RM_1B_aescsf,Risk Management,Establish Cyber Security Risk Management Strategy,,"The Cyber Security risk management strategy provides an approach for risk prioritisation, including consideration of impact",MIL-2 SP-2,,TRUE
RM-1C: Establish Cyber Security Risk Management Strategy,RM_1C_aescsf,Risk Management,Establish Cyber Security Risk Management Strategy,,"Organisational risk criteria (objective criteria that the organisation uses for evaluating, categorising, and prioritising operational risks based on impact, tolerance for risk, and risk response approaches) are defined and available",MIL-3 SP-3,,TRUE
RM-1D: Establish Cyber Security Risk Management Strategy,RM_1D_aescsf,Risk Management,Establish Cyber Security Risk Management Strategy,,The Cyber Security risk management strategy is periodically updated to reflect the current threat environment,MIL-3 SP-3,,TRUE
RM-1E: Establish Cyber Security Risk Management Strategy,RM_1E_aescsf,Risk Management,Establish Cyber Security Risk Management Strategy,,An organisation-specific risk taxonomy is documented and is used in risk management activities,MIL-3 SP-3,,TRUE
RM-2A: Manage Cyber Security Risk,RM_2A_aescsf,Risk Management,Manage Cyber Security Risk,,"Cyber Security risks are identified, at least in an ad hoc manner",MIL-1 SP-1,,TRUE
RM-2B: Manage Cyber Security Risk,RM_2B_aescsf,Risk Management,Manage Cyber Security Risk,,"Identified Cyber Security risks are mitigated, accepted, tolerated, or transferred, at least in an ad hoc manner",MIL-1 SP-1,,TRUE
RM-2C: Manage Cyber Security Risk,RM_2C_aescsf,Risk Management,Manage Cyber Security Risk,,Cyber Security risk assessments are performed to identify risks in accordance with the risk management strategy,MIL-2 SP-1,,TRUE
RM-2D: Manage Cyber Security Risk,RM_2D_aescsf,Risk Management,Manage Cyber Security Risk,,Identified Cyber Security risks are documented,MIL-2 SP-1,,TRUE
RM-2E: Manage Cyber Security Risk,RM_2E_aescsf,Risk Management,Manage Cyber Security Risk,,Identified Cyber Security risks are analysed to prioritise response activities in accordance with the Cyber Security risk management strategy,MIL-2 SP-2,,TRUE
RM-2F: Manage Cyber Security Risk,RM_2F_aescsf,Risk Management,Manage Cyber Security Risk,,Identified Cyber Security risks are monitored in accordance with the Cyber Security risk management strategy,MIL-2 SP-2,,TRUE
RM-2G: Manage Cyber Security Risk,RM_2G_aescsf,Risk Management,Manage Cyber Security Risk,,Cyber Security risk analysis is informed by network (IT and/or OT) architecture,MIL-2 SP-2,,TRUE
RM-2H: Manage Cyber Security Risk,RM_2H_aescsf,Risk Management,Manage Cyber Security Risk,,The Cyber Security risk management program defines and operates risk management policies and procedures that implement the Cyber Security risk management strategy,MIL-3 SP-3,,TRUE
RM-2I: Manage Cyber Security Risk,RM_2I_aescsf,Risk Management,Manage Cyber Security Risk,,A current Cyber Security architecture is used to inform Cyber Security risk analysis,MIL-3 SP-3,,TRUE
RM-2J: Manage Cyber Security Risk,RM_2J_aescsf,Risk Management,Manage Cyber Security Risk,,A Cyber Security risk register (a structured repository of identified risks) is used to support Cyber Security risk management activities,MIL-3 SP-3,,TRUE
RM-AP1: RM Anti-Patterns,RM_AP1_aescsf,Risk Management,RM Anti-Patterns,,Identified risks are not periodically reviewed,MIL-2 SP-2,,TRUE
RM-AP2: RM Anti-Patterns,RM_AP2_aescsf,Risk Management,RM Anti-Patterns,,Identified cyber security risks remain untreated for long periods of time,MIL-2 SP-2,,TRUE
RM-AP3: RM Anti-Patterns,RM_AP3_aescsf,Risk Management,RM Anti-Patterns,,Assets are risk-assessed in isolation. Interdependencies with other assets are not considered,MIL-2 SP-2,,TRUE
RM-AP4: RM Anti-Patterns,RM_AP4_aescsf,Risk Management,RM Anti-Patterns,,Cyber security risk management activities are not informed and supported by organisational risk criteria (RM-1C),MIL-3 SP-3,,TRUE
SA-1A: Perform Logging,SA_1A_aescsf,Situational Awareness,Perform Logging,,"Logging is occurring, at least in an ad hoc manner, for assets important to the function, where possible",MIL-1 SP-1,,TRUE
SA-1B: Perform Logging,SA_1B_aescsf,Situational Awareness,Perform Logging,,"Logging requirements have been defined for all assets important to the function (e.g., scope of activity and coverage of assets, Cyber Security requirements [confidentiality, integrity, availability])",MIL-2 SP-1,,TRUE
SA-1C: Perform Logging,SA_1C_aescsf,Situational Awareness,Perform Logging,,Log data are being aggregated within the function,MIL-2 SP-2,,TRUE
SA-1D: Perform Logging,SA_1D_aescsf,Situational Awareness,Perform Logging,,Logging requirements are based on the risk to the function,MIL-3 SP-3,,TRUE
SA-1E: Perform Logging,SA_1E_aescsf,Situational Awareness,Perform Logging,,"Log data support other business and Security processes (e.g., incident response, asset management)",MIL-3 SP-3,,TRUE
SA-2A: Perform Monitoring,SA_2A_aescsf,Situational Awareness,Perform Monitoring,,"Cyber Security monitoring activities are performed (e.g., periodic reviews of log data), at least in an ad hoc manner",MIL-1 SP-1,,TRUE
SA-2B: Perform Monitoring,SA_2B_aescsf,Situational Awareness,Perform Monitoring,,"Operational environments are monitored, at least in an ad hoc manner, for anomalous behaviour that may indicate a Cyber Security event",MIL-1 SP-1,,TRUE
SA-2C: Perform Monitoring,SA_2C_aescsf,Situational Awareness,Perform Monitoring,,Monitoring and analysis requirements have been defined for the function and address timely review of event data,MIL-2 SP-2,,TRUE
SA-2D: Perform Monitoring,SA_2D_aescsf,Situational Awareness,Perform Monitoring,,Alarms and alerts are configured to aid in the identification of Cyber Security events (IR-1b),MIL-2 SP-1,,TRUE
SA-2E: Perform Monitoring,SA_2E_aescsf,Situational Awareness,Perform Monitoring,,Indicators of anomalous activity have been defined and are monitored across the operational environment,MIL-2 SP-2,,TRUE
SA-2F: Perform Monitoring,SA_2F_aescsf,Situational Awareness,Perform Monitoring,,Monitoring activities are aligned with the function's threat profile (TVM-1d),MIL-2 SP-2,,TRUE
SA-2G: Perform Monitoring,SA_2G_aescsf,Situational Awareness,Perform Monitoring,,Monitoring requirements are based on the risk to the function,MIL-3 SP-2,,TRUE
SA-2H: Perform Monitoring,SA_2H_aescsf,Situational Awareness,Perform Monitoring,,"Monitoring is integrated with other business and Security processes (e.g., incident response, asset management)",MIL-3 SP-3,,TRUE
SA-2I: Perform Monitoring,SA_2I_aescsf,Situational Awareness,Perform Monitoring,,Continuous monitoring is performed across the operational environment to identify anomalous activity,MIL-3 SP-3,,TRUE
SA-2J: Perform Monitoring,SA_2J_aescsf,Situational Awareness,Perform Monitoring,,Risk register (RM-2j) content is used to identify indicators of anomalous activity,MIL-3 SP-3,,TRUE
SA-2K: Perform Monitoring,SA_2K_aescsf,Situational Awareness,Perform Monitoring,,Alarms and alerts are configured according to indicators of anomalous activity,MIL-3 SP-3,,TRUE
SA-3A: Establish and Maintain a Common Operating Picture,SA_3A_aescsf,Situational Awareness,Establish and Maintain a Common Operating Picture,,Methods of communicating the current state of Cyber Security for the function are established and maintained,MIL-2 SP-1,,TRUE
SA-3B: Establish and Maintain a Common Operating Picture,SA_3B_aescsf,Situational Awareness,Establish and Maintain a Common Operating Picture,,"Monitoring data are aggregated to provide an understanding of the operational state of the function (i.e., a common operating picture; a COP may or may not include visualisation or be presented graphically)",MIL-2 SP-2,,TRUE
SA-3C: Establish and Maintain a Common Operating Picture,SA_3C_aescsf,Situational Awareness,Establish and Maintain a Common Operating Picture,,Information from across the organisation is available to enhance the common operating picture,MIL-2 SP-2,,TRUE
SA-3D: Establish and Maintain a Common Operating Picture,SA_3D_aescsf,Situational Awareness,Establish and Maintain a Common Operating Picture,,Monitoring data are aggregated to provide near-real-time understanding of the Cyber Security state for the function to enhance the common operating picture,MIL-3 SP-2,,TRUE
SA-3E: Establish and Maintain a Common Operating Picture,SA_3E_aescsf,Situational Awareness,Establish and Maintain a Common Operating Picture,,Information from outside the organisation is collected to enhance the common operating picture,MIL-3 SP-3,,TRUE
SA-3F: Establish and Maintain a Common Operating Picture,SA_3F_aescsf,Situational Awareness,Establish and Maintain a Common Operating Picture,,Predefined states of operation are defined and invoked (manual or automated process) based on the common operating picture,MIL-3 SP-3,,TRUE
SA-AP1: SA Anti-Patterns,SA_AP1_aescsf,Situational Awareness,SA Anti-Patterns,,Operational assets are monitored only for performance and not for cyber security events,MIL-2 SP-2,,TRUE
SA-AP2: SA Anti-Patterns,SA_AP2_aescsf,Situational Awareness,SA Anti-Patterns,,Logging data is only monitored when a cyber security incident occurs,MIL-1 SP-1,,TRUE
SA-AP3: SA Anti-Patterns,SA_AP3_aescsf,Situational Awareness,SA Anti-Patterns,,Normal asset operation is not sufficiently baselined to support the identification of abnormal asset operation,MIL-2 SP-2,,TRUE
SA-AP4: SA Anti-Patterns,SA_AP4_aescsf,Situational Awareness,SA Anti-Patterns,,Alerts and alarms are not configured to include security events,MIL-2 SP-2,,TRUE
SA-AP5: SA Anti-Patterns,SA_AP5_aescsf,Situational Awareness,SA Anti-Patterns,,Logging data is not time synchronised,MIL-2 SP-2,,TRUE
SA-AP6: SA Anti-Patterns,SA_AP6_aescsf,Situational Awareness,SA Anti-Patterns,,Logging data from critical assets is only stored on the asset and not centralised,MIL-2 SP-2,,TRUE
SA-AP7: SA Anti-Patterns,SA_AP7_aescsf,Situational Awareness,SA Anti-Patterns,,Identities (users) have edit (write) access to centralised logging data without a confirmed need,MIL-2 SP-1,,TRUE
SA-AP8: SA Anti-Patterns,SA_AP8_aescsf,Situational Awareness,SA Anti-Patterns,,Third party vendors or services have privileged access that is not logged,MIL-2 SP-1,,TRUE
SA-AP9: SA Anti-Patterns,SA_AP9_aescsf,Situational Awareness,SA Anti-Patterns,,Indicators of Compromise (IOCs) are only monitored and considered during or after a cyber security incident,MIL-2 SP-2,,TRUE
SA-AP10: SA Anti-Patterns,SA_AP10_aescsf,Situational Awareness,SA Anti-Patterns,,Logging data from impacted assets cannot be inspected when investigating a cyber security event,MIL-3 SP-3,,TRUE
SA-AP11: SA Anti-Patterns,SA_AP11_aescsf,Situational Awareness,SA Anti-Patterns,,Indicators of Compromise cannot be added to security monitoring solutions that monitor critical assets,MIL-3 SP-2,,TRUE
TVM-1A: Identify and Respond to Threats,TVM_1A_aescsf,Threat and Vulnerability Management,Identify and Respond to Threats,,"Information sources to support threat management activities are identified, at least in an ad hoc manner.",MIL-1 SP-1,,TRUE
TVM-1B: Identify and Respond to Threats,TVM_1B_aescsf,Threat and Vulnerability Management,Identify and Respond to Threats,,"Cyber Security threat information is gathered and interpreted for the function, at least in an ad hoc manner",MIL-1 SP-1,,TRUE
TVM-1C: Identify and Respond to Threats,TVM_1C_aescsf,Threat and Vulnerability Management,Identify and Respond to Threats,,"Threats that are considered important to the function are addressed (e.g., implement mitigating controls, monitor threat status), at least in an ad hoc manner",MIL-1 SP-1,,TRUE
TVM-1D: Identify and Respond to Threats,TVM_1D_aescsf,Threat and Vulnerability Management,Identify and Respond to Threats,,"A threat profile for the function is established that includes characterisation of likely intent, capability, and target of threats to the function",MIL-2 SP-2,,TRUE
TVM-1E: Identify and Respond to Threats,TVM_1E_aescsf,Threat and Vulnerability Management,Identify and Respond to Threats,,Threat information sources that address all components of the threat profile are prioritised and monitored,MIL-2 SP-2,,TRUE
TVM-1F: Identify and Respond to Threats,TVM_1F_aescsf,Threat and Vulnerability Management,Identify and Respond to Threats,,Identified threats are analysed and prioritised,MIL-2 SP-2,,TRUE
TVM-1G: Identify and Respond to Threats,TVM_1G_aescsf,Threat and Vulnerability Management,Identify and Respond to Threats,,Threats are addressed according to the assigned priority,MIL-2 SP-2,,TRUE
TVM-1H: Identify and Respond to Threats,TVM_1H_aescsf,Threat and Vulnerability Management,Identify and Respond to Threats,,The threat profile for the function is validated at an organisation-defined frequency,MIL-3 SP-3,,TRUE
TVM-1I: Identify and Respond to Threats,TVM_1I_aescsf,Threat and Vulnerability Management,Identify and Respond to Threats,,Analysis and prioritisation of threats are informed by the function's (or organisation's) risk criteria (RM-1c),MIL-3 SP-3,,TRUE
TVM-1J: Identify and Respond to Threats,TVM_1J_aescsf,Threat and Vulnerability Management,Identify and Respond to Threats,,Threat information is added to the risk register (RM-2j),MIL-3 SP-3,,TRUE
TVM-2A: Reduce Cyber Security Vulnerabilities,TVM_2A_aescsf,Threat and Vulnerability Management,Reduce Cyber Security Vulnerabilities,,"Information sources to support Cyber Security vulnerability discovery are identified (e.g. industry associations, vendors, federal briefings, internal assessments), at least in an ad hoc manner",MIL-1 SP-1,,TRUE
TVM-2B: Reduce Cyber Security Vulnerabilities,TVM_2B_aescsf,Threat and Vulnerability Management,Reduce Cyber Security Vulnerabilities,,"Cyber Security vulnerability information is gathered and interpreted for the function, at least in an ad hoc manner",MIL-1 SP-1,,TRUE
TVM-2C: Reduce Cyber Security Vulnerabilities,TVM_2C_aescsf,Threat and Vulnerability Management,Reduce Cyber Security Vulnerabilities,,"Cyber Security vulnerabilities that are considered important to the function are addressed (e.g., implement mitigating controls, apply Cyber Security patches), at least in an ad hoc manner",MIL-1 SP-1,,TRUE
TVM-2D: Reduce Cyber Security Vulnerabilities,TVM_2D_aescsf,Threat and Vulnerability Management,Reduce Cyber Security Vulnerabilities,,Cyber Security vulnerability information sources that address all assets important to the function are monitored,MIL-2 SP-2,,TRUE
TVM-2E: Reduce Cyber Security Vulnerabilities,TVM_2E_aescsf,Threat and Vulnerability Management,Reduce Cyber Security Vulnerabilities,,"Cyber Security vulnerability assessments are performed (e.g., architectural reviews, penetration testing, Cyber Security exercises, vulnerability identification tools)",MIL-2 SP-2,,TRUE
TVM-2F: Reduce Cyber Security Vulnerabilities,TVM_2F_aescsf,Threat and Vulnerability Management,Reduce Cyber Security Vulnerabilities,,Identified Cyber Security vulnerabilities are analysed and prioritised,MIL-2 SP-2,,TRUE
TVM-2G: Reduce Cyber Security Vulnerabilities,TVM_2G_aescsf,Threat and Vulnerability Management,Reduce Cyber Security Vulnerabilities,,Cyber Security vulnerabilities are addressed according to the assigned priority,MIL-2 SP-1,,TRUE
TVM-2H: Reduce Cyber Security Vulnerabilities,TVM_2H_aescsf,Threat and Vulnerability Management,Reduce Cyber Security Vulnerabilities,,Operational impact to the function is evaluated prior to deploying Cyber Security patches,MIL-2 SP-1,,TRUE
TVM-2I: Reduce Cyber Security Vulnerabilities,TVM_2I_aescsf,Threat and Vulnerability Management,Reduce Cyber Security Vulnerabilities,,"Cyber Security vulnerability assessments are performed for all assets important to the delivery of the function, at an organisation-defined frequency",MIL-3 SP-3,,TRUE
TVM-2J: Reduce Cyber Security Vulnerabilities,TVM_2J_aescsf,Threat and Vulnerability Management,Reduce Cyber Security Vulnerabilities,,Cyber Security vulnerability assessments are informed by the function's (or organisation's) risk criteria (RM-1c),MIL-3 SP-3,,TRUE
TVM-2K: Reduce Cyber Security Vulnerabilities,TVM_2K_aescsf,Threat and Vulnerability Management,Reduce Cyber Security Vulnerabilities,,Cyber Security vulnerability assessments are performed by parties that are independent of the operations of the function,MIL-3 SP-3,,TRUE
TVM-2L: Reduce Cyber Security Vulnerabilities,TVM_2L_aescsf,Threat and Vulnerability Management,Reduce Cyber Security Vulnerabilities,,Analysis and prioritisation of Cyber Security vulnerabilities are informed by the function's (or organisation's) risk criteria (RM-1c),MIL-3 SP-3,,TRUE
TVM-2M: Reduce Cyber Security Vulnerabilities,TVM_2M_aescsf,Threat and Vulnerability Management,Reduce Cyber Security Vulnerabilities,,Cyber Security vulnerability information is added to the risk register (RM-2j),MIL-3 SP-3,,TRUE
TVM-2N: Reduce Cyber Security Vulnerabilities,TVM_2N_aescsf,Threat and Vulnerability Management,Reduce Cyber Security Vulnerabilities,,"Risk monitoring activities validate the responses to Cyber Security vulnerabilities (e.g., deployment of patches or other activities)",MIL-3 SP-3,,TRUE
TVM-AP1: TVM Anti-Patterns,TVM_AP1_aescsf,Threat and Vulnerability Management,TVM Anti-Patterns,,"Where technical or business reasons restrict the ability to remediate an identified vulnerability, no mitigating or compensating controls are investigated and applied",MIL-1 SP-1,,TRUE
TVM-AP2: TVM Anti-Patterns,TVM_AP2_aescsf,Threat and Vulnerability Management,TVM Anti-Patterns,,Internet-facing assets are not periodically assessed for cyber security vulnerabilities,MIL-2 SP-2,,TRUE
TVM-AP3: TVM Anti-Patterns,TVM_AP3_aescsf,Threat and Vulnerability Management,TVM Anti-Patterns,,Controls are not updated in response to new and emerging high priority cyber threats,MIL-2 SP-2,,TRUE
WM-1A: Assign Cyber Security Responsibilities,WM_1A_aescsf,Workforce Management,Assign Cyber Security Responsibilities,,"Cyber Security responsibilities for the function are identified, at least in an ad hoc manner",MIL-1 SP-1,,TRUE
WM-1B: Assign Cyber Security Responsibilities,WM_1B_aescsf,Workforce Management,Assign Cyber Security Responsibilities,,"Cyber Security responsibilities are assigned to specific people, at least in an ad hoc manner",MIL-1 SP-1,,TRUE
WM-1C: Assign Cyber Security Responsibilities,WM_1C_aescsf,Workforce Management,Assign Cyber Security Responsibilities,,"Cyber Security responsibilities are assigned to specific roles, including external service providers",MIL-2 SP-2,,TRUE
WM-1D: Assign Cyber Security Responsibilities,WM_1D_aescsf,Workforce Management,Assign Cyber Security Responsibilities,,"Cyber Security responsibilities are documented (e.g., in position descriptions)",MIL-2 SP-1,,TRUE
WM-1E: Assign Cyber Security Responsibilities,WM_1E_aescsf,Workforce Management,Assign Cyber Security Responsibilities,,Cyber Security responsibilities and job requirements are reviewed and updated as appropriate,MIL-3 SP-2,,TRUE
WM-1F: Assign Cyber Security Responsibilities,WM_1F_aescsf,Workforce Management,Assign Cyber Security Responsibilities,,Cyber Security responsibilities are included in job performance evaluation criteria,MIL-3 SP-3,,TRUE
