capability,"capability_description",dashboard,domain,icon,level,name,"practice_description",visible
"CP-2","Contingency Plan | Identify Critical Assets","CP_2-8_fisma","Contingency Planning","fas fa-user-lock","Medium-High","CP-2(8)","The organization identifies critical information system assets supporting essential business functions.",TRUE
"CP-3","Contingency Training","CP_3_fisma","Contingency Planning","fas fa-user-lock","Low-Medium-High","CP-3","The organization provides refresher contingency training to information system users consistent with assigned roles and responsibilities in accordance with organization-defined frequency.",TRUE
"CP-3","Contingency Training | Simulated Events","CP_3-1_fisma","Contingency Planning","fas fa-user-lock",High,"CP-3(1)","The organization incorporates simulated events into contingency training to facilitate effective response by personnel in crisis situations.",TRUE
"CP-4","Contingency Plan Testing","CP_4_fisma","Contingency Planning","fas fa-user-lock","Low-Medium-High","CP-4","The organization initiates corrective actions, if needed, after reviewing the contingency plan test results.",TRUE
"CP-4","Contingency Plan Testing | Coordinate with Related Plans","CP_4-1_fisma","Contingency Planning","fas fa-user-lock","Medium-High","CP-4(1)","The organization coordinates contingency plan testing with organizational elements responsible for related plans.",TRUE
"CP-4","Contingency Plan Testing | Alternate Processing Site","CP_4-2_fisma","Contingency Planning","fas fa-user-lock",High,"CP-4(2)","The organization tests the contingency plan at the alternate processing site to familiarize contingency personnel with the facility and available resources.",TRUE
"CP-6","Alternate Storage Site","CP_6_fisma","Contingency Planning","fas fa-user-lock","Medium-High","CP-6","The organization ensures that the alternate storage site provides information security safeguards equivalent to that of the primary site.",TRUE
"CP-6","Alternate Storage Site | Separation from Primary Site","CP_6-1_fisma","Contingency Planning","fas fa-user-lock","Medium-High","CP-6(1)","The organization identifies an alternate storage site that is separated from the primary storage site to reduce susceptibility to the same threats.",TRUE
"CP-6","Alternate Storage Site | Recovery Time and Recovery Point Objectives","CP_6-2_fisma","Contingency Planning","fas fa-user-lock",High,"CP-6(2)","The organization configures the alternate storage site to facilitate recovery operations in accordance with recovery time and recovery point objectives.",TRUE
"CP-6","Alternate Storage Site | Accessibility","CP_6-3_fisma","Contingency Planning","fas fa-user-lock","Medium-High","CP-6(3)","The organization outlines explicit mitigation actions for organization identified accessibility problems to the alternate storage site in the event of an area-wide disruption or disaster.",TRUE
"CP-7","Alternate Processing Site","CP_7_fisma","Contingency Planning","fas fa-user-lock","Medium-High","CP-7","The organization ensures that the alternate processing site provides information security safeguards equivalent to that of the primary site.",TRUE
"CP-7","Alternate Processing Site | Separation from Primary Site","CP_7-1_fisma","Contingency Planning","fas fa-user-lock","Medium-High","CP-7(1)","The organization identifies an alternate processing site that is separated from the primary processing site to reduce susceptibility to the same threats.",TRUE
"CP-7","Alternate Processing Site | Accessibility","CP_7-2_fisma","Contingency Planning","fas fa-user-lock","Medium-High","CP-7(2)","The organization outlines explicit mitigation actions for organization-identified potential accessibility problems to the alternate processing site in the event of an area-wide disruption or disaster.",TRUE
"CP-7","Alternate Processing Site | Priority of Service","CP_7-3_fisma","Contingency Planning","fas fa-user-lock","Medium-High","CP-7(3)","The organization develops alternate processing site agreements that contain priority-of-service provisions in accordance with the organizational availability requirements (including recovery time objectives).",TRUE
"CP-7","Alternate Processing Site | Preparation for Use","CP_7-4_fisma","Contingency Planning","fas fa-user-lock",High,"CP-7(4)","The organization prepares the alternate processing site so that it is ready to be used as the operational site supporting essential missions.",TRUE
"CP-8","Telecommunications Services","CP_8_fisma","Contingency Planning","fas fa-user-lock","Medium-High","CP-8","The organization defines the information system operations to be resumed for essential business functions within the organization-defined time period when the primary telecommunications capabilities are unavailable at either the primary or alternate processing or storage sites.",TRUE
"CP-8","Telecommunications Services | Priority of Service Provisions","CP_8-1_fisma","Contingency Planning","fas fa-user-lock","Medium-High","CP-8(1)","The organization develops primary telecommunications service agreements that contain priority-of-service provisions in accordance with the organization^s availability requirements (including recovery time objectives).",TRUE
"CP-8","Telecommunications Services | Single Points of Failure","CP_8-2_fisma","Contingency Planning","fas fa-user-lock","Medium-High","CP-8(2)","The organization obtains alternate telecommunications services to reduce the likelihood of sharing a single point of failure with primary telecommunications services.",TRUE
"CP-8","Telecommunications Services | Separation of Primary and Alternate Providers","CP_8-3_fisma","Contingency Planning","fas fa-user-lock",High,"CP-8(3)","The organization obtains alternate telecommunications services from providers that are separated from primary service providers to reduce susceptibility to the same threats.",TRUE
"CP-8","Telecommunications Services | Provider Contingency Plan","CP_8-4_fisma","Contingency Planning","fas fa-user-lock",High,"CP-8(4)","The organization requires primary telecommunications service providers to have contingency plans.",TRUE
"CP-9","System Backup","CP_9_fisma","Contingency Planning","fas fa-user-lock","Low-Medium-High","CP-9","The organization protects the confidentiality, integrity, and availability of backup information at storage locations.",TRUE
"CP-9","System Backup | Testing for Reliability and Integrity","CP_9-1_fisma","Contingency Planning","fas fa-user-lock","Medium-High","CP-9(1)","The organization defines the frequency with which to test backup information to verify media reliability and information integrity.",TRUE
"CP-9","System Backup | Test Restoration Using Sampling","CP_9-2_fisma","Contingency Planning","fas fa-user-lock",High,"CP-9(2)","The organization uses a sample of backup information in the restoration of selected information system functions as part of contingency plan testing.",TRUE
"CP-9","System Backup | Separate Storage for Critical Information","CP_9-3_fisma","Contingency Planning","fas fa-user-lock",High,"CP-9(3)","The organization stores backup copies of organization-defined critical information system software and other security-related information in a separate facility or in a fire-rated container that is not collocated with the operational system.",TRUE
"CP-9","System Backup | Transfer to Alternate Storage Site","CP_9-5_fisma","Contingency Planning","fas fa-user-lock",High,"CP-9(5)","The organization defines the time period and transfer rate of the information system backup information to the alternate storage site consistent with the recovery time and recovery point objectives.",TRUE
"CP-9","System Backup | Cryptographic Protection","CP_9-8_fisma","Contingency Planning","fas fa-user-lock","Medium-High","CP-9(8)","The organization enforces dual authorization for the deletion or destruction of organization-defined backup information.",TRUE
"CP-10","System Recovery and Reconstitution | Transaction Recovery","CP_10-2_fisma","Contingency Planning","fas fa-user-lock","Medium-High","CP-10(2)","The information system implements transaction recovery for systems that are transaction-based.",TRUE
"CP-10","System Recovery and Reconstitution | Restore Within Time Period","CP_10-4_fisma","Contingency Planning","fas fa-user-lock",High,"CP-10(4)","The organization defines restoration time periods within which to restore information system components from configuration-controlled and integrity-protected information representing a known, operational state for the components.",TRUE
"CP-10","System Recovery and Reconstitution","CP_10_fisma","Contingency Planning","fas fa-user-lock","Low-Medium-High","CP-10","The organization provides for the recovery and reconstitution of the information system to a known state after a failure.",TRUE
"IA-1","Policy and Procedures","IA_1_fisma","Identification and Authentication","fas fa-user-lock","Low-Medium-High","IA-1","The organization defines the personnel or roles to be recipients of the identification and authentication policy and the procedures to facilitate the implementation of the identification and authentication policy and associated identification and authentication controls.",TRUE
"IA-2","Identification and Authentication (Organizational Users)","IA_2_fisma","Identification and Authentication","fas fa-user-lock","Low-Medium-High","IA-2","The information system uniquely identifies and authenticates organizational users (or processes acting on behalf of organizational users).",TRUE
"IA-2","Identification and Authentication (Organizational Users) | Multi-factor Authentication to Privileged Accounts","IA_2-1_fisma","Identification and Authentication","fas fa-user-lock","Low-Medium-High","IA-2(1)","The information system implements multifactor authentication for network access to privileged accounts.",TRUE
"IA-2","Identification and Authentication (Organizational Users) | Acceptance of PIV Credentials","IA_2-12_fisma","Identification and Authentication","fas fa-user-lock","Low-Medium-High","IA-2(12)","The information system electronically verifies Personal Identity Verification (PIV) credentials.",TRUE
"IA-2","Identification and Authentication (Organizational Users) | Multi-factor Authentication to Non-privileged Accounts","IA_2-2_fisma","Identification and Authentication","fas fa-user-lock","Low-Medium-High","IA-2(2)","The information system implements multifactor authentication for network access to non-privileged accounts.",TRUE
"IA-2","Identification and Authentication (Organizational Users) | Individual Authentication with Group Authentication","IA_2-5_fisma","Identification and Authentication","fas fa-user-lock",High,"IA-2(5)","The organization requires individuals to be authenticated with an individual authenticator when a group authenticator is employed.",TRUE
"IA-2","Identification and Authentication (Organizational Users) | Access to Accounts ? Replay Resistant","IA_2-8_fisma","Identification and Authentication","fas fa-user-lock","Low-Medium-High","IA-2(8)","The information system implements replay-resistant authentication mechanisms for network access to privileged accounts.",TRUE
"IA-3","Device Identification and Authentication","IA_3_fisma","Identification and Authentication","fas fa-user-lock","Medium-High","IA-3","The information system authenticates an organization-defined list of specific and/or types of devices before establishing a local, remote, or network connection.",TRUE
"IA-4","Identifier Management","IA_4_fisma","Identification and Authentication","fas fa-user-lock","Low-Medium-High","IA-4","The organization manages information system identifiers by disabling the identifier after an organization-defined time period of inactivity.",TRUE
"IA-4","Identifier Management | Identify User Status","IA_4-4_fisma","Identification and Authentication","fas fa-user-lock","Medium-High","IA-4(4)","The organization manages individual identifiers by uniquely identifying each individual by organization-defined characteristics identifying individual status.",TRUE
"IA-5","Authenticator Management","IA_5_fisma","Identification and Authentication","fas fa-user-lock","Low-Medium-High","IA-5","The organization manages information system authenticators by implementing administrative procedures for lost/compromised authenticators.",TRUE
"IA-5","Authenticator Management | Password-based Authentication","IA_5-1_fisma","Identification and Authentication","fas fa-user-lock","Low-Medium-High","IA-5(1)","The information system enforces password complexity by the minimum number of upper case characters used.",TRUE
"IA-5","Authenticator Management | Public Key-based Authentication","IA_5-2_fisma","Identification and Authentication","fas fa-user-lock","Medium-High","IA-5(2)","The information system, for PKI-based authentication, enforces authorized access to the corresponding private key.",TRUE
"IA-5","Authenticator Management | Protection of Authenticators","IA_5-6_fisma","Identification and Authentication","fas fa-user-lock","Medium-High","IA-5(6)","The organization protects authenticators commensurate with the security category of the information to which use of the authenticator permits access.",TRUE
"IA-6","Authentication Feedback","IA_6_fisma","Identification and Authentication","fas fa-user-lock","Low-Medium-High","IA-6","The information system obscures feedback of authentication information during the authentication process to protect the information from possible exploitation/use by unauthorized individuals.",TRUE
"IA-7","Cryptographic Module Authentication","IA_7_fisma","Identification and Authentication","fas fa-user-lock","Low-Medium-High","IA-7","The information system implements mechanisms for authentication to a cryptographic module that meet the requirements of applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance for such authentication.",TRUE
"IA-8","Identification and Authentication (Non-organizational Users)","IA_8_fisma","Identification and Authentication","fas fa-user-lock","Low-Medium-High","IA-8","The information system uniquely identifies and authenticates non-organizational users (or processes acting on behalf of non-organizational users).",TRUE
"IA-8","Identification and Authentication (Non-organizational Users) | Acceptance of PIV Credentials from Other Agencies","IA_8-1_fisma","Identification and Authentication","fas fa-user-lock","Low-Medium-High","IA-8(1)","The information system accepts Personal Identity Verification (PIV) credentials from other federal agencies.",TRUE
"IA-8","Identification and Authentication (Non-organizational Users) | Acceptance of External Authenticators","IA_8-2_fisma","Identification and Authentication","fas fa-user-lock","Low-Medium-High","IA-8(2)","The information system accepts FICAM-approved third-party credentials.",TRUE
"IA-8","Identification and Authentication (Non-organizational Users) | Use of Defined Profiles","IA_8-4_fisma","Identification and Authentication","fas fa-user-lock","Low-Medium-High","IA-8(4)","The information system conforms to FICAM-issued profiles.",TRUE
"IA-11","Re-authentication","IA_11_fisma","Identification and Authentication","fas fa-user-lock","Low-Medium-High","IA-11","The organization defines the circumstances or situations under which users will be required to reauthenticate.",TRUE
"IR-1","Policy and Procedures","IR_1_fisma","Incident Response","fas fa-user-lock","Low-Medium-High","IR-1","The organization defines the personnel or roles to whom the incident response policy is disseminated.",TRUE
"IR-2","Incident Response Training","IR_2_fisma","Incident Response","fas fa-user-lock","Low-Medium-High","IR-2","The organization provides incident response training to information system users consistent with assigned roles and responsibilities when required by information system changes.",TRUE
"IR-2","Incident Response Training | Simulated Events","IR_2-1_fisma","Incident Response","fas fa-user-lock",High,"IR-2(1)","The organization incorporates simulated events into incident response training to facilitate effective response by personnel in crisis situations.",TRUE
"IR-2","Incident Response Training | Automated Training Environments","IR_2-2_fisma","Incident Response","fas fa-user-lock",High,"IR-2(2)","The organization employs automated mechanisms to provide a more thorough and realistic incident response training environment.",TRUE
"IR-3","Incident Response Testing","IR_3_fisma","Incident Response","fas fa-user-lock","Medium-High","IR-3","The organization documents the results of incident response tests.",TRUE
"IR-3","Incident Response Testing | Coordination with Related Plans","IR_3-2_fisma","Incident Response","fas fa-user-lock","Medium-High","IR-3(2)","The organization coordinates incident response testing with organizational elements responsible for related plans.",TRUE
"IR-4","Incident Handling","IR_4_fisma","Incident Response","fas fa-user-lock","Low-Medium-High","IR-4","The organization implements the resulting incident handling activity changes to incident response procedures, training, and testing/exercises accordingly.",TRUE
"IR-4","Incident Handling | Automated Incident Handling Processes","IR_4-1_fisma","Incident Response","fas fa-user-lock","Medium-High","IR-4(1)","The organization employs automated mechanisms to support the incident handling process.",TRUE
"IR-4","Incident Handling | Information Correlation","IR_4-4_fisma","Incident Response","fas fa-user-lock",High,"IR-4(4)","The organization correlates incident information and individual incident responses to achieve an organization-wide perspective on incident awareness and response.",TRUE
"IR-4","Incident Handling | Integrated Incident Response Team","IR_4-11_fisma","Incident Response","fas fa-user-lock",High,"IR-4(11)","Establish and maintain an integrated incident response team that can be deployed to any location identified by the organization in [Assignment: organization-defined time period].",TRUE
"IR-5","Incident Monitoring","IR_5_fisma","Incident Response","fas fa-user-lock","Low-Medium-High","IR-5","The organization tracks and documents information system security incidents.",TRUE
"IR-5","Incident Monitoring | Automated Tracking, Data Collection, and Analysis","IR_5-1_fisma","Incident Response","fas fa-user-lock",High,"IR-5(1)","The organization employs automated mechanisms to assist in the tracking of security incidents.",TRUE
"IR-6","Incident Reporting","IR_6_fisma","Incident Response","fas fa-user-lock","Low-Medium-High","IR-6","The organization defines authorities to whom security incident information is reported.",TRUE
"IR-6","Incident Reporting | Automated Reporting","IR_6-1_fisma","Incident Response","fas fa-user-lock","Medium-High","IR-6(1)","The organization employs automated mechanisms to assist in the reporting of security incidents.",TRUE
"IR-6","Incident Reporting | Supply Chain Coordination","IR_6-3_fisma","Incident Response","fas fa-user-lock","Medium-High","IR-6(3)","The organization provides security incident information to other organizations involved in the supply chain for information systems or information system components related to the incident.",TRUE
"IR-7","Incident Response Assistance","IR_7_fisma","Incident Response","fas fa-user-lock","Low-Medium-High","IR-7","The organization provides an incident response support resource, integral to the organizational incident response capability, that offers advice and assistance to users of the information system for the handling and reporting of security incidents.",TRUE
"IR-7","Incident Response Assistance | Automation Support for Availability of Information and Support","IR_7-1_fisma","Incident Response","fas fa-user-lock","Medium-High","IR-7(1)","The organization employs automated mechanisms to increase the availability of incident response-related information and support.",TRUE
"IR-8","Incident Response Plan | Breaches","IR_8_fisma","Incident Response","fas fa-user-lock","Low-Medium-High","IR-8","The organization defines personnel or roles to review and approve the incident response plan.",TRUE
"MA-1","Policy and Procedures","MA_1_fisma",Maintenance,"fas fa-user-lock","Low-Medium-High","MA-1","The organization defines the personnel or roles to whom a system maintenance policy is disseminated.",TRUE
"MA-2","Controlled Maintenance","MA_2_fisma",Maintenance,"fas fa-user-lock","Low-Medium-High","MA-2","The organization approves and monitors all maintenance activities, whether performed on site or remotely and whether the equipment is serviced on site or removed to another location.",TRUE
"MA-2","Controlled Maintenance | Automated Maintenance Activities","MA_2-2_fisma",Maintenance,"fas fa-user-lock",High,"MA-2(2)","The organization employs automated mechanisms to schedule, conduct, and document repairs.",TRUE
"MA-3","Maintenance Tools","MA_3_fisma",Maintenance,"fas fa-user-lock","Medium-High","MA-3","The organization monitors information system maintenance tools.",TRUE
"MA-3","Maintenance Tools | Inspect Tools","MA_3-1_fisma",Maintenance,"fas fa-user-lock","Medium-High","MA-3(1)","The organization inspects the maintenance tools carried into a facility by maintenance personnel for improper or unauthorized modifications.",TRUE
"MA-3","Maintenance Tools | Inspect Media","MA_3-2_fisma",Maintenance,"fas fa-user-lock","Medium-High","MA-3(2)","The organization checks media containing diagnostic and test programs for malicious code before the media are used in the information system.",TRUE
"MA-3","Maintenance Tools | Prevent Unauthorized Removal","MA_3-3_fisma",Maintenance,"fas fa-user-lock","Medium-High","MA-3(3)","The organization defines the personnel or roles who can provide an exemption that explicitly authorizes removal of equipment from the facility.",TRUE
"MA-3","Maintenance Tools | Restricted Tool Use","MA_3-4_fisma",Maintenance,"fas fa-user-lock","Medium-High","MA-3(4)","The information system restricts the use of maintenance tools to authorized personnel only.",TRUE
"MA-4","Nonlocal Maintenance","MA_4_fisma",Maintenance,"fas fa-user-lock","Low-Medium-High","MA-4","The organization terminates sessions and network connections when nonlocal maintenance is completed.",TRUE
"MA-4","Nonlocal Maintenance | Comparable Security and Sanitization","MA_4-3_fisma",Maintenance,"fas fa-user-lock",High,"MA-4(3)","The organization, before removal from organizational facilities, and after the service is performed, inspects and sanitizes the component (with regard to potentially malicious software) before reconnecting the component to the information system.",TRUE
"MA-5","Maintenance Personnel","MA_5_fisma",Maintenance,"fas fa-user-lock","Low-Medium-High","MA-5","The organization designates organizational personnel with required access authorizations and technical competence to supervise the maintenance activities of personnel who do not possess the required access authorizations.",TRUE
"MA-5","Maintenance Personnel | Individuals Without Appropriate Access","MA_5-1_fisma",Maintenance,"fas fa-user-lock",High,"MA-5(1)","The organization implements procedures for the use of maintenance personnel that lack appropriate security clearances or are not U.S. citizens.",TRUE
"MA-6","Timely Maintenance","MA_6_fisma",Maintenance,"fas fa-user-lock","Medium-High","MA-6","The organization defines a time period for obtaining maintenance support and/or spare parts for organization-defined information system components after a failure.",TRUE
"MP-1","Policy and Procedures","MP_1_fisma","Media Protection","fas fa-user-lock","Low-Medium-High","MP-1","The organization develops and documents a media protection policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",TRUE
"MP-2","Media Access","MP_2_fisma","Media Protection","fas fa-user-lock","Low-Medium-High","MP-2","The organization restricts access to organization-defined types of digital and/or non-digital media to organization-defined personnel or roles.",TRUE
"MP-3","Media Marking","MP_3_fisma","Media Protection","fas fa-user-lock","Medium-High","MP-3","The organization marks information system media indicating the distribution limitations, handling caveats, and applicable security markings (if any) of the information.",TRUE
"MP-4","Media Storage","MP_4_fisma","Media Protection","fas fa-user-lock","Medium-High","MP-4","The organization protects information system media until the media are destroyed or sanitized using approved equipment, techniques, and procedures.",TRUE
"MP-5","Media Transport","MP_5_fisma","Media Protection","fas fa-user-lock","Medium-High","MP-5","The organization restricts the activities associated with the transport of information system media to authorized personnel.",TRUE
"MP-6","Media Sanitization","MP_6_fisma","Media Protection","fas fa-user-lock","Low-Medium-High","MP-6","The organization employs sanitization mechanisms with the strength and integrity commensurate with the security category or classification of the information.",TRUE
"MP-6","Media Sanitization | Review, Approve, Track, Document, and Verify","MP_6-1_fisma","Media Protection","fas fa-user-lock",High,"MP-6(1)","The organization reviews and approves media sanitization.",TRUE
"MP-6","Media Sanitization | Equipment Testing","MP_6-2_fisma","Media Protection","fas fa-user-lock",High,"MP-6(2)","The organization defines a frequency for testing sanitization equipment and procedures to verify that the intended sanitization is being achieved.",TRUE
"MP-6","Media Sanitization | Nondestructive Techniques","MP_6-3_fisma","Media Protection","fas fa-user-lock",High,"MP-6(3)","The organization applies nondestructive sanitization techniques to portable storage devices prior to connecting such devices to the information system in accordance with organization-defined circumstances requiring sanitization of portable storage devices.",TRUE
"MP-7","Media Use","MP_7_fisma","Media Protection","fas fa-user-lock","Low-Medium-High","MP-7","The organization restricts or prohibits the use of organization-defined types of information system media on organization-defined information systems or system components using organization-defined security safeguards.",TRUE
"PS-1","Policy and Procedures","PS_1_fisma","Personnel Security","fas fa-user-lock","Low-Medium-High","PS-1","The organization defines the personnel or roles to whom a personnel security policy is disseminated.",TRUE
"PS-2","Position Risk Designation","PS_2_fisma","Personnel Security","fas fa-user-lock","Low-Medium-High","PS-2","The organization assigns a risk designation to all organizational positions.",TRUE
"PS-3","Personnel Screening","PS_3_fisma","Personnel Security","fas fa-user-lock","Low-Medium-High","PS-3","The organization defines the frequency for rescreening individuals with authorized access to the information system when organization-defined conditions requiring rescreening are met.",TRUE
"PS-4","Personnel Termination","PS_4_fisma","Personnel Security","fas fa-user-lock","Low-Medium-High","PS-4","The organization, upon termination of individual employment, disables information system access within an organization-defined time period.",TRUE
"PS-4","Personnel Termination | Automated Actions","PS_4-2_fisma","Personnel Security","fas fa-user-lock",High,"PS-4(2)","The organization employs automated mechanisms to notify organization-defined personnel or roles upon termination of an individual.",TRUE
"PS-5","Personnel Transfer","PS_5_fisma","Personnel Security","fas fa-user-lock","Low-Medium-High","PS-5","The organization reviews and confirms the ongoing operational need for current logical and physical access authorizations to information systems/facilities when individuals are reassigned or transferred to other positions within the organization.",TRUE
"PS-6","Access Agreements","PS_6_fisma","Personnel Security","fas fa-user-lock","Low-Medium-High","PS-6","The organization develops and documents access agreements for organizational information systems.",TRUE
"PS-7","External Personnel Security","PS_7_fisma","Personnel Security","fas fa-user-lock","Low-Medium-High","PS-7","The organization establishes personnel security requirements including security roles and responsibilities for third-party providers.",TRUE
"PS-8","Personnel Sanctions","PS_8_fisma","Personnel Security","fas fa-user-lock","Low-Medium-High","PS-8","The organization employs a formal sanctions process for individuals failing to comply with established information security policies and procedures.",TRUE
"PS-9","Position Descriptions","PS_9_fisma","Personnel Security","fas fa-user-lock","Low-Medium-High","PS-9","Incorporate security and privacy roles and responsibilities into organizational position descriptions.",TRUE
"PE-1","Policy and Procedures","PE_1_fisma","Physical and Environmental Protection","fas fa-user-lock","Low-Medium-High","PE-1","The organization defines the personnel or roles to whom a physical and environmental protection policy is disseminated.",TRUE
"PE-2","Physical Access Authorizations","PE_2_fisma","Physical and Environmental Protection","fas fa-user-lock","Low-Medium-High","PE-2","The organization develops a list of individuals with authorized access to the facility where the information system resides.",TRUE
"PE-3","Physical Access Control","PE_3_fisma","Physical and Environmental Protection","fas fa-user-lock","Low-Medium-High","PE-3","The organization enforces physical access authorizations at organization-defined entry/exit points to the facility where the information system resides.",TRUE
"PE-3","Physical Access Control | System Access","PE_3-1_fisma","Physical and Environmental Protection","fas fa-user-lock",High,"PE-3(1)","The organization enforces physical access authorizations to the information system in addition to the physical access controls for the facility where the information system resides at organization-defined physical spaces containing one or more components of the information system.",TRUE
"PE-4","Access Control for Transmission","PE_4_fisma","Physical and Environmental Protection","fas fa-user-lock","Medium-High","PE-4","The organization controls physical access to organization-defined information system distribution and transmission lines within organizational facilities using organization-defined security safeguards.",TRUE
"PE-5","Access Control for Output Devices","PE_5_fisma","Physical and Environmental Protection","fas fa-user-lock","Medium-High","PE-5","The organization controls physical access to information system output devices to prevent unauthorized individuals from obtaining the output.",TRUE
"PE-6","Monitoring Physical Access","PE_6_fisma","Physical and Environmental Protection","fas fa-user-lock","Low-Medium-High","PE-6","The organization coordinates results of reviews and investigations with the organization^s incident response capability.",TRUE
"PE-6","Monitoring Physical Access | Intrusion Alarms and Surveillance Equipment","PE_6-1_fisma","Physical and Environmental Protection","fas fa-user-lock","Medium-High","PE-6(1)","The organization monitors physical intrusion alarms and surveillance equipment.",TRUE
"PE-6","Monitoring Physical Access | Monitoring Physical Access to Systems","PE_6-4_fisma","Physical and Environmental Protection","fas fa-user-lock",High,"PE-6(4)","The organization monitors physical access to the information system in addition to the physical access monitoring of the facility as organization-defined physical spaces containing one or more components of the information system.",TRUE
"PE-8","Visitor Access Records","PE_8_fisma","Physical and Environmental Protection","fas fa-user-lock","Low-Medium-High","PE-8","The organization defines the frequency with which to review the visitor access records for the facility where the information system resides.",TRUE
"PE-8","Visitor Access Records | Automated Records Maintenance and Review","PE_8-1_fisma","Physical and Environmental Protection","fas fa-user-lock",High,"PE-8(1)","The organization employs automated mechanisms to facilitate the maintenance and review of access records.",TRUE
"PE-9","Power Equipment and Cabling","PE_9_fisma","Physical and Environmental Protection","fas fa-user-lock","Medium-High","PE-9","The organization protects power equipment and power cabling for the information system from damage and destruction.",TRUE
"PE-10","Emergency Shutoff","PE_10_fisma","Physical and Environmental Protection","fas fa-user-lock","Medium-High","PE-10","The organization provides the capability of shutting off power to the information system or individual system components in emergency situations.",TRUE
"PE-11","Emergency Power | Alternate Power Supply ? Minimal Operational Capability","PE_11-1_fisma","Physical and Environmental Protection","fas fa-user-lock",High,"PE-11(1)","The organization provides a long-term alternate power supply for the information system that is capable of maintaining minimally required operational capability in the event of an extended loss of the primary power source.",TRUE
"PE-11","Emergency Power","PE_11_fisma","Physical and Environmental Protection","fas fa-user-lock","Medium-High","PE-11","The organization provides a short-term uninterruptible power supply to facilitate an orderly shutdown of the information system and/or transition of the information system to long-term alternate power in the event of a primary power source loss.",TRUE
"PE-12","Emergency Lighting","PE_12_fisma","Physical and Environmental Protection","fas fa-user-lock","Low-Medium-High","PE-12","The organization employs and maintains automatic emergency lighting for the information system that activates in the event of a power outage or disruption and that covers emergency exits and evacuation routes within the facility.",TRUE
"PE-13","Fire Protection | Detection Systems ? Automatic Activation and Notification","PE_13-1_fisma","Physical and Environmental Protection","fas fa-user-lock","Medium-High","PE-13(1)","The organization employs fire detection devices/systems for the information system that activate automatically.",TRUE
"PE-13","Fire Protection | Suppression Systems ? Automatic Activation and Notification","PE_13-2_fisma","Physical and Environmental Protection","fas fa-user-lock",High,"PE-13(2)","The organization employs fire suppression devices/systems for the information system that provide automatic notification of any activation to organization-defined personnel or roles and organization-defined emergency responders.",TRUE
"PE-13","Fire Protection","PE_13_fisma","Physical and Environmental Protection","fas fa-user-lock","Low-Medium-High","PE-13","The organization employs and maintains fire suppression and detection devices/systems for the information system that are supported by an independent energy source.",TRUE
"PE-14","Environmental Controls","PE_14_fisma","Physical and Environmental Protection","fas fa-user-lock","Low-Medium-High","PE-14","The organization maintains temperature and humidity levels within the facility where the information system resides at organization-defined acceptable levels.",TRUE
"PE-15","Water Damage Protection | Automation Support","PE_15-1_fisma","Physical and Environmental Protection","fas fa-user-lock",High,"PE-15(1)","The organization employs automated mechanisms to detect the presence of water in the vicinity of the information system and alerts organization-defined personnel or roles.",TRUE
"PE-15","Water Damage Protection","PE_15_fisma","Physical and Environmental Protection","fas fa-user-lock","Low-Medium-High","PE-15","The organization protects the information system from damage resulting from water leakage by providing master shutoff or isolation valves that are accessible.",TRUE
"PE-16","Delivery and Removal","PE_16_fisma","Physical and Environmental Protection","fas fa-user-lock","Low-Medium-High","PE-16","The organization authorizes organization-defined types of information system components entering and exiting the facility.",TRUE
"PE-17","Alternate Work Site","PE_17_fisma","Physical and Environmental Protection","fas fa-user-lock","Medium-High","PE-17","The organization employs organization-defined security controls at alternate work sites.",TRUE
"PE-18","Location of System Components","PE_18_fisma","Physical and Environmental Protection","fas fa-user-lock",High,"PE-18","The organization positions information system components within the facility to minimize potential damage from organization-defined physical and environmental hazards.",TRUE
"PL-1","Policy and Procedures","PL_1_fisma",Planning,"fas fa-user-lock","Low-Medium-High","PL-1","The organization defines the personnel or roles to whom a security planning policy is disseminated.",TRUE
"PL-2","System Security and Privacy Plans","PL_2_fisma",Planning,"fas fa-user-lock","Low-Medium-High","PL-2","The organization develops a security plan for the information system.",TRUE
"PL-4","Rules of Behavior","PL_4_fisma",Planning,"fas fa-user-lock","Low-Medium-High","PL-4","The organization establishes the rules describing the responsibilities and expected behavior, with regard to information and information system usage, for individuals requiring access to the information system.",TRUE
"PL-4","Rules of Behavior | Social Media and External Site/Application Usage Restrictions","PL_4-1_fisma",Planning,"fas fa-user-lock","Low-Medium-High","PL-4(1)","The organization includes in the rules of behavior explicit restrictions on the use of social media/networking sites.",TRUE
"PL-8","Security and Privacy Architectures","PL_8_fisma",Planning,"fas fa-user-lock","Medium-High","PL-8","The organization develops an information security architecture for the information system.",TRUE
"RA-1","Policy and Procedures","RA_1_fisma","Risk Assessment","fas fa-user-lock","Low-Medium-High","RA-1","The organization defines the personnel or roles to whom the risk assessment policy is disseminated.",TRUE
"RA-2","Security Categorization","RA_2_fisma","Risk Assessment","fas fa-user-lock","Low-Medium-High","RA-2","The organization categorizes information and the information system in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.",TRUE
