type,tier,max_size,region,location,rate,currency
E40,StandardSSD_LRS,2048,IN South,N/A,114.479462,GBP
E40,StandardSSD_LRS,N/A,AU Central,N/A,0.280981,GBP
P80,Premium_LRS,32767,AU Central 2,N/A,2686.175619,GBP
P80,StandardSSD_LRS,N/A,JA East,N/A,1.97805,GBP
P80,Premium_LRS,N/A,AU Southeast,N/A,26.659702,GBP
P80,StandardSSD_LRS,N/A,DE North,N/A,0.037787,GBP
P80,Premium_LRS,N/A,EU West,westeurope,23.811877,GBP
E80,StandardSSD_LRS,32767,IN South,N/A,1831.671398,GBP
E20,StandardSSD_LRS,512,ZA West,N/A,48.081374,GBP
S10,Standard_LRS,128,EU North,N/A,4.388379,GBP
S10,Premium_LRS,N/A,IN South,N/A,27.658416,GBP
S10,Premium_LRS,N/A,AP East,N/A,28.391055,GBP
E6,StandardSSD_LRS,64,SE South,N/A,5.366224,GBP
E6,Premium_LRS,N/A,NO West,N/A,303.4302,GBP
P20,Premium_LRS,512,US West,N/A,54.571524,GBP
S6,Standard_LRS,64,AU East,N/A,3.587023,GBP
E70,StandardSSD_LRS,16384,AE North,N/A,1099.002839,GBP
P4,Premium_LRS,32,KR Central,N/A,3.934858,GBP
P4,Premium_LRS,N/A,FR Central,N/A,0.838472,GBP
P4,Premium_LRS,N/A,AE North,N/A,0.059028,GBP
P4,StandardSSD_LRS,N/A,IN West Jio,N/A,0.490413,GBP
P4,Premium_LRS,N/A,SE Central,N/A,0.350295,GBP
S80,Standard_LRS,32767,JA East,N/A,976.891412,GBP
S80,Premium_LRS,N/A,US Gov AZ,N/A,6.120477,GBP
S80,Premium_LRS,N/A,US West 2,N/A,20.033905,GBP
S80,StandardSSD_LRS,N/A,US South Central,N/A,195.867205,GBP
S80,StandardSSD_LRS,N/A,BR South,N/A,0.70059,GBP
S6,Standard_LRS,64,IN Central,N/A,2.466078,GBP
S6,Premium_LRS,N/A,US West 2,N/A,1.360188,GBP
S6,StandardSSD_LRS,N/A,ZA West,N/A,0.664815,GBP
S6,StandardSSD_LRS,N/A,US North Central,N/A,0.026831,GBP
S6,Premium_LRS,N/A,IN West Jio,N/A,0.031302,GBP
S6,Premium_LRS,N/A,NO West,N/A,4225.164174,GBP
S6,StandardSSD_LRS,N/A,NO West,N/A,35.399941,GBP
S6,Premium_LRS,N/A,CH North,N/A,3.500716,GBP
S6,Premium_LRS,N/A,ZA West,N/A,1.609867,GBP
P70,Premium_LRS,16384,AU East,N/A,1343.091536,GBP
S50,Standard_LRS,4096,AP East,N/A,122.111426,GBP
S50,Standard_LRS,4096,AU Southeast,N/A,195.378282,GBP
P60,Premium_LRS,8192,BR South,N/A,1218.133029,GBP
P60,Premium_LRS,N/A,UK South,uksouth,204.028338,GBP
S10,Standard_LRS,128,US West 3,N/A,4.388379,GBP
S10,StandardSSD_LRS,N/A,AU East,N/A,0.03242,GBP
E70,StandardSSD_LRS,16384,US East 2,N/A,1373.753548,GBP
S10,Standard_LRS,128,CA Central,N/A,4.827366,GBP
S10,Premium_LRS,N/A,SE South,N/A,0.19378,GBP
P4,Premium_LRS,32,ZA North,N/A,4.793827,GBP
P4,StandardSSD_LRS,N/A,US West 3,N/A,0.447185,GBP
P4,StandardSSD_LRS,N/A,EU North,N/A,0.447185,GBP
E15,StandardSSD_LRS,256,AU Central 2,N/A,19.461508,GBP
E15,Premium_LRS,N/A,CA East,N/A,2.938008,GBP
E15,Premium_LRS,N/A,IN South,N/A,0.067524,GBP
S15,Standard_LRS,256,EU West,westeurope,8.44286,GBP
P40,Premium_LRS,2048,AP Southeast,N/A,193.069091,GBP
P40,Premium_LRS,N/A,US West 2,N/A,0.003726,GBP
S4,Standard_LRS,32,AU Central 2,N/A,1.831671,GBP
P70,Premium_LRS,16384,JA East,N/A,1544.794511,GBP
S4,Standard_LRS,32,US West 2,N/A,1.144794,GBP
P20,Premium_LRS,512,AE North,N/A,59.52932,GBP
P10,Premium_LRS,128,CA Central,N/A,14.691531,GBP
S15,Standard_LRS,256,SE Central,N/A,8.44286,GBP
E80,StandardSSD_LRS,32767,US West,N/A,1831.671398,GBP
E80,StandardSSD_LRS,N/A,NO West,N/A,1.27895,GBP
P40,Premium_LRS,2048,SE South,N/A,276.07604,GBP
P40,StandardSSD_LRS,N/A,IN West,N/A,0.267565,GBP
P40,Premium_LRS,N/A,SE Central,N/A,1.767872,GBP
P40,Premium_LRS,N/A,AP Southeast,N/A,2.325364,GBP
E30,StandardSSD_LRS,1024,CA East,N/A,62.963704,GBP
E30,Premium_LRS,N/A,NO East,N/A,3.501461,GBP
E30,Premium_LRS,N/A,DE West Central,N/A,24.755438,GBP
E30,StandardSSD_LRS,N/A,BR South,N/A,0.178874,GBP
S30,Standard_LRS,1024,BR South,N/A,73.266855,GBP
S30,Premium_LRS,N/A,CA Central,N/A,45.702347,GBP
S30,Premium_LRS,N/A,IN Central,N/A,0.949523,GBP
E40,StandardSSD_LRS,2048,US South Central,N/A,114.479462,GBP
E40,Premium_LRS,N/A,US South Central,N/A,0.813877,GBP
E40,Premium_LRS,N/A,ZA North,N/A,27.802261,GBP
E30,StandardSSD_LRS,1024,US Gov,N/A,62.963703,GBP
S50,Standard_LRS,4096,IN West Jio,N/A,134.322569,GBP
S20,Standard_LRS,512,US Gov,N/A,17.839716,GBP
P80,Premium_LRS,32767,EU West,westeurope,2954.658281,GBP
P80,Premium_LRS,N/A,ZA North,N/A,0.130429,GBP
P80,StandardSSD_LRS,N/A,UK West,N/A,3.212281,GBP
E6,StandardSSD_LRS,64,BR Southeast,N/A,10.045572,GBP
E6,StandardSSD_LRS,N/A,AU Central,N/A,3.555123,GBP
E6,Premium_LRS,N/A,AP East,N/A,0.138627,GBP
E6,StandardSSD_LRS,N/A,CH North,N/A,122.417003,GBP
P80,Premium_LRS,32767,US North Central,N/A,2686.175619,GBP
E30,StandardSSD_LRS,1024,US Gov TX,N/A,62.963703,GBP
P50,Premium_LRS,4096,IN Central,N/A,369.349576,GBP
P50,Premium_LRS,N/A,NO East,N/A,3250.128581,GBP
P50,StandardSSD_LRS,N/A,CH North,N/A,7.34502,GBP
E4,StandardSSD_LRS,32,JA East,N/A,1.788741,GBP
P4,Premium_LRS,32,IN West Jio,N/A,3.934858,GBP
P4,Premium_LRS,N/A,AP East,N/A,2.108479,GBP
P70,Premium_LRS,16384,AE North,N/A,1465.337118,GBP
P80,Premium_LRS,32767,BR Southeast,N/A,6032.662965,GBP
P80,Premium_LRS,N/A,KR South,N/A,0.004658,GBP
S40,Standard_LRS,2048,US South Central,N/A,61.055713,GBP
S40,StandardSSD_LRS,N/A,ZA West,N/A,1.287148,GBP
S40,Premium_LRS,N/A,EU North,N/A,42.496773,GBP
E10,StandardSSD_LRS,128,UK South,uksouth,7.870463,GBP
P40,Premium_LRS,2048,CA East,N/A,193.088693,GBP
P40,StandardSSD_LRS,N/A,US Central,N/A,0.110305,GBP
P40,Premium_LRS,N/A,KR South,N/A,102.017895,GBP
S60,Standard_LRS,8192,FR South,N/A,244.222853,GBP
S60,Premium_LRS,N/A,SE Central,N/A,49.510876,GBP
E50,StandardSSD_LRS,4096,US Gov,N/A,251.854816,GBP
E50,Premium_LRS,N/A,IN West,N/A,0.061711,GBP
P40,Premium_LRS,2048,ZA North,N/A,235.21952,GBP
E10,StandardSSD_LRS,128,ZA West,N/A,12.020343,GBP
E10,Premium_LRS,N/A,US East 2,N/A,0.089437,GBP
P30,Premium_LRS,1024,DE West Central,N/A,110.812542,GBP
P20,Premium_LRS,512,IN West Jio,N/A,54.571524,GBP
P20,Premium_LRS,N/A,AU Southeast,N/A,0.626059,GBP
S80,Standard_LRS,32767,CA East,N/A,1074.579063,GBP
S80,Premium_LRS,N/A,AU Southeast,N/A,13.710704,GBP
S80,StandardSSD_LRS,N/A,IN South,N/A,7.39421,GBP
S80,StandardSSD_LRS,N/A,UK South,uksouth,0.983807,GBP
P40,Premium_LRS,2048,CH West,N/A,303.686377,GBP
P40,Premium_LRS,N/A,IN West,N/A,0.483705,GBP
P40,Premium_LRS,N/A,EU West,westeurope,1.162682,GBP
P40,StandardSSD_LRS,N/A,IN West Jio,N/A,0.125211,GBP
P40,Premium_LRS,N/A,NO West,N/A,34.050932,GBP
P40,Premium_LRS,2048,KR Central,N/A,193.069102,GBP
P40,Premium_LRS,2048,US East 2,N/A,175.535175,GBP
P40,StandardSSD_LRS,N/A,US East 2,N/A,1.341556,GBP
P40,Premium_LRS,N/A,KR South,N/A,0.111796,GBP
P40,StandardSSD_LRS,N/A,SE Central,N/A,212.189472,GBP
P30,Premium_LRS,1024,IN Central Jio,N/A,100.743417,GBP
P80,Premium_LRS,32767,IN West Jio,N/A,2686.175619,GBP
P80,StandardSSD_LRS,N/A,AU East,N/A,55.22367,GBP
P80,StandardSSD_LRS,N/A,AE North,N/A,1.073244,GBP
P80,StandardSSD_LRS,N/A,JA West,N/A,0.223592,GBP
P80,Premium_LRS,N/A,EU North,N/A,289.604718,GBP
P80,Premium_LRS,N/A,UK South,uksouth,23.803678,GBP
E4,StandardSSD_LRS,32,UK South,uksouth,2.951423,GBP
S15,Standard_LRS,256,NO East,N/A,9.287295,GBP
S15,StandardSSD_LRS,N/A,AU East,N/A,14.200372,GBP
S15,Premium_LRS,N/A,AU East,N/A,118.340163,GBP
E10,StandardSSD_LRS,128,IN West Jio,N/A,7.870463,GBP
P30,Premium_LRS,1024,,N/A,0.0,GBP
P30,Premium_LRS,N/A,JA West,N/A,2.108479,GBP
E15,StandardSSD_LRS,256,UK South,uksouth,23.611389,GBP
S20,Standard_LRS,512,AU East,N/A,25.948678,GBP
S20,Premium_LRS,N/A,EU North,N/A,2.938008,GBP
S20,StandardSSD_LRS,N/A,AU Central 2,N/A,0.280981,GBP
E50,StandardSSD_LRS,4096,AP Southeast,N/A,228.958924,GBP
E80,StandardSSD_LRS,32767,US West 2,N/A,2747.507097,GBP
S30,Standard_LRS,1024,US Central,N/A,30.527856,GBP
S30,StandardSSD_LRS,N/A,AU East,N/A,0.608172,GBP
P20,Premium_LRS,512,US West 2,N/A,49.607767,GBP
E15,StandardSSD_LRS,256,AU Southeast,N/A,19.461508,GBP
E15,Premium_LRS,N/A,US Gov AZ,N/A,0.242225,GBP
E15,Premium_LRS,N/A,AP East,N/A,0.693137,GBP
E15,Premium_LRS,N/A,AP East,N/A,0.542584,GBP
S80,Standard_LRS,32767,US Gov TX,N/A,1074.459813,GBP
P15,Premium_LRS,256,NO West,N/A,44.562025,GBP
P15,Premium_LRS,N/A,EU West,westeurope,1.767872,GBP
P15,Premium_LRS,N/A,AP Southeast,N/A,1.162682,GBP
P15,Premium_LRS,N/A,AP Southeast,N/A,3.182469,GBP
E15,StandardSSD_LRS,256,SE Central,N/A,14.309932,GBP
E15,StandardSSD_LRS,N/A,SE South,N/A,2.30524,GBP
S70,Standard_LRS,16384,DE North,N/A,571.481476,GBP
S30,Standard_LRS,1024,AU Central 2,N/A,48.84457,GBP
S30,Premium_LRS,N/A,SE Central,N/A,106.094736,GBP
S80,Standard_LRS,32767,IN Central,N/A,1074.579063,GBP
S80,Premium_LRS,N/A,KR South,N/A,6.120477,GBP
S80,StandardSSD_LRS,N/A,DE North,N/A,1.162682,GBP
S80,Premium_LRS,N/A,US Gov TX,N/A,102.017895,GBP
S80,StandardSSD_LRS,N/A,AU Central 2,N/A,0.064841,GBP
E80,StandardSSD_LRS,32767,SE Central,N/A,2747.507097,GBP
E80,StandardSSD_LRS,N/A,UK West,N/A,6.414874,GBP
E80,Premium_LRS,N/A,US West 2,N/A,19.042644,GBP
S20,Standard_LRS,512,NO West,N/A,23.19178,GBP
E20,StandardSSD_LRS,512,FR Central,N/A,31.481852,GBP
E20,StandardSSD_LRS,N/A,BR South,N/A,1.356462,GBP
S30,Standard_LRS,1024,AP Southeast,N/A,30.527856,GBP
E4,StandardSSD_LRS,32,US West 2,N/A,2.683112,GBP
S40,Standard_LRS,2048,IN Central,N/A,67.161284,GBP
P30,Premium_LRS,1024,JA West,N/A,100.743417,GBP
P4,Premium_LRS,32,AE North,N/A,4.293069,GBP
P40,Premium_LRS,2048,IN South,N/A,173.76216,GBP
P40,Premium_LRS,N/A,US Gov,N/A,1.632226,GBP
P10,Premium_LRS,128,AU Central,N/A,14.69004,GBP
P6,Premium_LRS,64,IN Central Jio,N/A,7.607368,GBP
P80,Premium_LRS,32767,FR Central,N/A,3250.128581,GBP
P80,StandardSSD_LRS,N/A,IN Central Jio,N/A,0.949523,GBP
P80,StandardSSD_LRS,N/A,AP East,N/A,3.801075,GBP
P50,Premium_LRS,4096,,N/A,0.0,GBP
P70,Premium_LRS,16384,CA Central,N/A,1343.225692,GBP
P70,Premium_LRS,N/A,US West,N/A,0.058134,GBP
S20,Standard_LRS,512,AU Central 2,N/A,25.948678,GBP
E60,StandardSSD_LRS,8192,US East,N/A,457.917849,GBP
P10,Premium_LRS,128,KR Central,N/A,14.69004,GBP
P10,StandardSSD_LRS,N/A,US West,N/A,49.510876,GBP
P60,Premium_LRS,8192,US Central,N/A,705.121938,GBP
E6,StandardSSD_LRS,64,US East 2,N/A,3.577483,GBP
E6,StandardSSD_LRS,N/A,US West 3,N/A,0.089437,GBP
P80,Premium_LRS,32767,NO East,N/A,3250.121127,GBP
P80,StandardSSD_LRS,N/A,ZA West,N/A,9.294003,GBP
P80,Standard_LRS,N/A,US West 2,N/A,732.668559,GBP
E40,StandardSSD_LRS,2048,US Gov,N/A,125.927407,GBP
E40,StandardSSD_LRS,N/A,EU West,westeurope,0.670778,GBP
E60,StandardSSD_LRS,8192,EU West,westeurope,457.917849,GBP
P4,Premium_LRS,32,EU West,westeurope,4.328158,GBP
E70,StandardSSD_LRS,16384,JA East,N/A,915.835699,GBP
E70,Premium_LRS,N/A,US West 3,N/A,2.44834,GBP
E70,Premium_LRS,N/A,IN Central Jio,N/A,0.125211,GBP
E70,StandardSSD_LRS,N/A,AU Southeast,N/A,1.909481,GBP
P15,Premium_LRS,256,US West 3,N/A,25.757879,GBP
P15,StandardSSD_LRS,N/A,SE South,N/A,0.591775,GBP
P4,Premium_LRS,32,CH North,N/A,4.760974,GBP
S50,Standard_LRS,4096,IN Central,N/A,134.322569,GBP
E6,StandardSSD_LRS,64,UK West,N/A,3.935231,GBP
E4,StandardSSD_LRS,32,AU East,N/A,2.432688,GBP
E80,StandardSSD_LRS,32767,US Central,N/A,1831.671398,GBP
E80,StandardSSD_LRS,N/A,US West,N/A,0.89437,GBP
E80,Premium_LRS,N/A,AE Central,N/A,0.076766,GBP
E80,Premium_LRS,N/A,FR Central,N/A,0.558981,GBP
E30,StandardSSD_LRS,1024,US West 3,N/A,57.239731,GBP
P80,Premium_LRS,32767,US Gov TX,N/A,2686.175619,GBP
S60,Standard_LRS,8192,US Gov TX,N/A,268.611955,GBP
P40,Premium_LRS,2048,UK South,uksouth,233.60287,GBP
P40,StandardSSD_LRS,N/A,US East 2,N/A,0.19378,GBP
P40,StandardSSD_LRS,N/A,US West Central,N/A,0.223592,GBP
P40,StandardSSD_LRS,N/A,AE North,N/A,50.272582,GBP
P40,StandardSSD_LRS,N/A,US East 2,N/A,38.085289,GBP
P40,Premium_LRS,N/A,JA West,N/A,0.005776,GBP
P60,Premium_LRS,8192,AE Central,N/A,1000.092881,GBP
E40,StandardSSD_LRS,2048,US East 2,N/A,114.479462,GBP
S30,Standard_LRS,1024,CH West,N/A,43.655108,GBP
S30,Premium_LRS,N/A,JA West,N/A,252.99514,GBP
S40,Standard_LRS,2048,KR Central,N/A,61.055713,GBP
S40,StandardSSD_LRS,N/A,AU East,N/A,0.280981,GBP
S40,StandardSSD_LRS,N/A,FR South,N/A,0.639475,GBP
E15,StandardSSD_LRS,256,DE North,N/A,18.602912,GBP
E50,StandardSSD_LRS,4096,US East,N/A,343.438387,GBP
E50,Premium_LRS,N/A,DE North,N/A,0.591775,GBP
E50,Premium_LRS,N/A,AE Central,N/A,3808.946363,GBP
E50,StandardSSD_LRS,N/A,EU North,N/A,1.341556,GBP
E50,Premium_LRS,N/A,IN West Jio,N/A,2.504238,GBP
S15,Standard_LRS,256,AU Southeast,N/A,13.508576,GBP
S20,Standard_LRS,512,IN South,N/A,16.217923,GBP
S20,Premium_LRS,N/A,US West 2,N/A,1.341556,GBP
S60,Standard_LRS,8192,AU Southeast,N/A,390.758055,GBP
S60,StandardSSD_LRS,N/A,US Gov TX,N/A,6.120477,GBP
S60,Premium_LRS,N/A,CA East,N/A,0.232536,GBP
P70,Premium_LRS,16384,NO East,N/A,1625.06429,GBP
E70,StandardSSD_LRS,16384,CA East,N/A,1007.419269,GBP
E6,StandardSSD_LRS,64,CH West,N/A,5.1158,GBP
E6,Premium_LRS,N/A,AU Central 2,N/A,27.612207,GBP
E6,Premium_LRS,N/A,EU North,N/A,11.411426,GBP
E6,StandardSSD_LRS,N/A,IN Central,N/A,53.319405,GBP
E6,StandardSSD_LRS,N/A,CA East,N/A,0.232536,GBP
S30,Standard_LRS,1024,US East,N/A,30.527856,GBP
S30,StandardSSD_LRS,N/A,US West,N/A,24.755438,GBP
E20,StandardSSD_LRS,512,JA East,N/A,28.619865,GBP
E20,Premium_LRS,N/A,JA East,N/A,2.593675,GBP
P6,Premium_LRS,64,IN West,N/A,7.607368,GBP
P30,Premium_LRS,1024,KR Central,N/A,100.743417,GBP
P30,Premium_LRS,N/A,IN Central Jio,N/A,25.643101,GBP
P30,Premium_LRS,N/A,JA West,N/A,0.138627,GBP
P15,Premium_LRS,256,US North Central,N/A,28.330791,GBP
P15,Premium_LRS,N/A,IN West,N/A,0.030855,GBP
P15,Premium_LRS,N/A,US South Central,N/A,97.933602,GBP
E20,StandardSSD_LRS,512,DE West Central,N/A,28.619865,GBP
P15,Premium_LRS,256,ZA North,N/A,34.515259,GBP
P15,Premium_LRS,N/A,US West Central,N/A,0.053662,GBP
P15,Premium_LRS,N/A,US Gov TX,N/A,23.803678,GBP
P15,StandardSSD_LRS,N/A,IN Central,N/A,0.983807,GBP
P15,Premium_LRS,N/A,FR Central,N/A,0.004658,GBP
P50,Premium_LRS,4096,US Gov,N/A,369.349576,GBP
P15,Premium_LRS,256,AU Central,N/A,28.330685,GBP
E15,StandardSSD_LRS,256,US South Central,N/A,21.464899,GBP
E15,Premium_LRS,N/A,CH North,N/A,0.067077,GBP
E15,StandardSSD_LRS,N/A,JA East,N/A,0.064841,GBP
E10,StandardSSD_LRS,128,KR South,N/A,7.154966,GBP
E10,Premium_LRS,N/A,AP East,N/A,2.772549,GBP
E10,Premium_LRS,N/A,BR Southeast,N/A,0.009689,GBP
E40,StandardSSD_LRS,2048,CA Central,N/A,125.927408,GBP
E30,StandardSSD_LRS,1024,ZA North,N/A,83.571498,GBP
E30,StandardSSD_LRS,N/A,DE West Central,N/A,0.8817,GBP
E30,Premium_LRS,N/A,UK West,N/A,106.907122,GBP
E30,Premium_LRS,N/A,ZA West,N/A,0.367437,GBP
E30,Premium_LRS,N/A,AP Southeast,N/A,0.8817,GBP
S30,Standard_LRS,1024,KR Central,N/A,30.527856,GBP
S30,Premium_LRS,N/A,AU Southeast,N/A,1.904264,GBP
S30,Premium_LRS,N/A,US West 3,N/A,0.089437,GBP
S30,StandardSSD_LRS,N/A,US Gov AZ,N/A,0.242225,GBP
S30,StandardSSD_LRS,N/A,US North Central,N/A,0.107324,GBP
S60,Standard_LRS,8192,NO East,N/A,268.646629,GBP
S10,Standard_LRS,128,AE Central,N/A,5.704893,GBP
S10,StandardSSD_LRS,N/A,US Gov AZ,N/A,0.111796,GBP
S50,Standard_LRS,4096,UK South,uksouth,117.517729,GBP
S50,StandardSSD_LRS,N/A,US North Central,N/A,11.752032,GBP
P70,Premium_LRS,16384,IN West,N/A,1343.091536,GBP
E6,StandardSSD_LRS,64,US South Central,N/A,3.577483,GBP
S6,Standard_LRS,64,SE South,N/A,2.914456,GBP
S6,StandardSSD_LRS,N/A,DE West Central,N/A,12.731368,GBP
S6,Premium_LRS,N/A,AU Central,N/A,0.983807,GBP
S6,StandardSSD_LRS,N/A,AU Central,N/A,1.52043,GBP
S6,StandardSSD_LRS,N/A,CH North,N/A,0.134155,GBP
E70,StandardSSD_LRS,16384,UK South,uksouth,1511.128903,GBP
E70,Premium_LRS,N/A,CH West,N/A,0.377871,GBP
P15,Premium_LRS,256,IN South,N/A,25.497712,GBP
P15,StandardSSD_LRS,N/A,EU North,N/A,0.00149,GBP
P15,StandardSSD_LRS,N/A,US Gov,N/A,0.438241,GBP
P15,Premium_LRS,N/A,FR Central,N/A,0.242225,GBP
S80,Standard_LRS,32767,AE North,N/A,937.814861,GBP
S80,Premium_LRS,N/A,AU Central 2,N/A,0.5083,GBP
E4,StandardSSD_LRS,32,SE South,N/A,2.683112,GBP
E4,Premium_LRS,N/A,NO West,N/A,0.006931,GBP
E4,StandardSSD_LRS,N/A,JA East,N/A,236.672872,GBP
E4,StandardSSD_LRS,N/A,KR Central,N/A,0.261603,GBP
E4,StandardSSD_LRS,N/A,US Gov,N/A,102.017895,GBP
P70,Premium_LRS,16384,US West 3,N/A,1221.114265,GBP
P70,Premium_LRS,N/A,IN West Jio,N/A,0.949523,GBP
E4,StandardSSD_LRS,32,UK West,N/A,1.967615,GBP
E4,StandardSSD_LRS,N/A,US Central,N/A,1.341556,GBP
E4,StandardSSD_LRS,N/A,US Gov AZ,N/A,102.017895,GBP
S6,Standard_LRS,64,IN West,N/A,2.466078,GBP
S6,Premium_LRS,N/A,US East,N/A,18.316713,GBP
S30,Standard_LRS,1024,US Gov,N/A,33.580642,GBP
E40,StandardSSD_LRS,2048,EU West,westeurope,114.479462,GBP
E70,StandardSSD_LRS,16384,IN West,N/A,1007.419269,GBP
E70,Premium_LRS,N/A,IN South,N/A,1.350499,GBP
E50,StandardSSD_LRS,4096,KR South,N/A,228.958924,GBP
E50,Premium_LRS,N/A,AU East,N/A,0.064841,GBP
E40,StandardSSD_LRS,2048,US West 2,N/A,171.719193,GBP
E70,StandardSSD_LRS,16384,UK South,uksouth,1007.419269,GBP
P6,Premium_LRS,64,DE North,N/A,10.877784,GBP
P6,StandardSSD_LRS,N/A,FR South,N/A,0.569416,GBP
P6,Premium_LRS,N/A,CA East,N/A,0.026831,GBP
S4,Standard_LRS,32,US Gov TX,N/A,1.144794,GBP
S10,Standard_LRS,128,NO East,N/A,4.827366,GBP
S10,Premium_LRS,N/A,KR South,N/A,22.895892,GBP
S10,StandardSSD_LRS,N/A,NO East,N/A,0.277254,GBP
S10,StandardSSD_LRS,N/A,US South Central,N/A,0.107324,GBP
S10,Premium_LRS,N/A,US East,N/A,19.042644,GBP
E40,StandardSSD_LRS,2048,US East 2,N/A,171.719193,GBP
E40,StandardSSD_LRS,N/A,AP Southeast,N/A,0.058134,GBP
E40,Premium_LRS,N/A,AU Central 2,N/A,7.099813,GBP
E40,StandardSSD_LRS,N/A,EU West,westeurope,0.455383,GBP
S4,Standard_LRS,32,KR South,N/A,1.144794,GBP
S30,Standard_LRS,1024,US North Central,N/A,30.527856,GBP
E20,StandardSSD_LRS,512,BR South,N/A,53.423749,GBP
S50,Standard_LRS,4096,CA Central,N/A,134.319587,GBP
E10,StandardSSD_LRS,128,US East 2,N/A,7.154966,GBP
E4,StandardSSD_LRS,32,US East,N/A,1.788741,GBP
E4,StandardSSD_LRS,N/A,IN Central Jio,N/A,0.490413,GBP
E4,Premium_LRS,N/A,DE North,N/A,0.037787,GBP
E4,StandardSSD_LRS,N/A,ZA West,N/A,0.751271,GBP
E4,StandardSSD_LRS,32,IN South,N/A,1.788741,GBP
E15,StandardSSD_LRS,256,CH North,N/A,17.171919,GBP
E15,Premium_LRS,N/A,IN West,N/A,0.123721,GBP
P80,Premium_LRS,32767,UK West,N/A,3250.128581,GBP
P80,Premium_LRS,N/A,US East,N/A,0.447185,GBP
P80,StandardSSD_LRS,N/A,US West,N/A,12.731368,GBP
E30,StandardSSD_LRS,1024,SE South,N/A,74.41165,GBP
E30,StandardSSD_LRS,N/A,US East 2,N/A,9.79336,GBP
S70,Standard_LRS,16384,NO West,N/A,698.473782,GBP
S70,StandardSSD_LRS,N/A,IN West,N/A,112.623642,GBP
S6,Standard_LRS,64,US West 3,N/A,2.241889,GBP
S6,StandardSSD_LRS,N/A,AU Central 2,N/A,55.22367,GBP
S6,Premium_LRS,N/A,IN Central Jio,N/A,13.710704,GBP
S6,Premium_LRS,N/A,AE Central,N/A,31.431171,GBP
S6,Premium_LRS,N/A,US West Central,N/A,0.026831,GBP
S6,StandardSSD_LRS,N/A,CH West,N/A,0.639475,GBP
E70,StandardSSD_LRS,16384,AU Central 2,N/A,1245.538041,GBP
E70,Premium_LRS,N/A,JA East,N/A,0.064841,GBP
E70,StandardSSD_LRS,N/A,US West 2,N/A,0.670778,GBP
S60,Standard_LRS,8192,US East 2,N/A,244.222853,GBP
P60,Premium_LRS,8192,CA Central,N/A,705.196469,GBP
S80,Standard_LRS,32767,KR Central,N/A,976.891412,GBP
S80,StandardSSD_LRS,N/A,IN South,N/A,0.033762,GBP
S80,Premium_LRS,N/A,AU East,N/A,55.22367,GBP
S80,StandardSSD_LRS,N/A,KR Central,N/A,51.415141,GBP
S15,Standard_LRS,256,BR Southeast,N/A,26.341455,GBP
S15,Premium_LRS,N/A,AE North,N/A,12.927384,GBP
S80,Standard_LRS,32767,UK West,N/A,1074.444907,GBP
S80,Premium_LRS,N/A,KR South,N/A,0.055898,GBP
S80,Premium_LRS,N/A,,N/A,0.0,GBP
S80,Premium_LRS,N/A,ZA North,N/A,0.283217,GBP
P20,Premium_LRS,512,EU North,N/A,54.571524,GBP
P20,Premium_LRS,N/A,IN West Jio,N/A,26.659702,GBP
S70,Standard_LRS,16384,NO East,N/A,537.293258,GBP
S70,StandardSSD_LRS,N/A,JA East,N/A,0.447185,GBP
E6,StandardSSD_LRS,64,KR South,N/A,3.577483,GBP
E6,StandardSSD_LRS,N/A,JA East,N/A,55.22367,GBP
E6,StandardSSD_LRS,N/A,IN South,N/A,123.22939,GBP
P40,Premium_LRS,2048,AE Central,N/A,273.834874,GBP
P15,Premium_LRS,256,ZA West,N/A,43.273385,GBP
P15,StandardSSD_LRS,N/A,US West 2,N/A,0.350295,GBP
E20,StandardSSD_LRS,512,IN Central,N/A,31.481852,GBP
E20,StandardSSD_LRS,N/A,EU North,N/A,1.636698,GBP
P50,Premium_LRS,4096,US Gov TX,N/A,369.349576,GBP
S30,Standard_LRS,1024,UK West,N/A,33.580642,GBP
E6,StandardSSD_LRS,64,CH North,N/A,4.292979,GBP
E6,Premium_LRS,N/A,IN West Jio,N/A,0.490413,GBP
E4,StandardSSD_LRS,32,IN Central,N/A,1.967615,GBP
E4,StandardSSD_LRS,N/A,AE North,N/A,0.268311,GBP
E4,StandardSSD_LRS,N/A,US West 2,N/A,38.085289,GBP
P15,Premium_LRS,256,NO East,N/A,34.278996,GBP
E40,StandardSSD_LRS,2048,AU Southeast,N/A,155.692068,GBP
E40,Premium_LRS,N/A,IN West,N/A,0.267565,GBP
E10,StandardSSD_LRS,128,US Central,N/A,10.732449,GBP
E10,StandardSSD_LRS,128,AP East,N/A,7.154966,GBP
E10,Premium_LRS,N/A,ZA North,N/A,14.298007,GBP
P15,Premium_LRS,256,US Central,N/A,28.330791,GBP
E4,StandardSSD_LRS,32,US Central,N/A,2.683112,GBP
E4,Premium_LRS,N/A,UK West,N/A,2.343251,GBP
E4,StandardSSD_LRS,N/A,CA East,N/A,195.867205,GBP
E4,Premium_LRS,N/A,AE North,N/A,2.361138,GBP
E4,Premium_LRS,N/A,IN Central,N/A,2.504238,GBP
E4,Premium_LRS,N/A,US East,N/A,1.788741,GBP
S10,Standard_LRS,128,AU East,N/A,7.021407,GBP
S50,Standard_LRS,4096,US Central,N/A,122.111426,GBP
