display_name,id,description,risk_level,recommendation,resource_type,service_type,detector,detector_labels,candidate_responder_rules,managed_list_types,lifecycle_details,lifecycle_state,time_created,time_update
Block Volume is encrypted with Oracle-managed key,BLOCK_VOLUME_ENCRYPTED_WITH_ORACLE_MANAGED_KEY,Encryption of volumes provides an additional level of security on your data. Management of encryption keys is critical to protecting and accessing protected data. Some customers want to identify Block Volumes encrypted Oracle-managed keys in order to apply their own key lifecycle management to the volume.,MINOR,Assign a vault key to this volume,BlockVolume,Storage,IAAS_CONFIGURATION_DETECTOR,"['Storage', 'KMS']",[],['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Block Volume is not attached,BLOCK_VOLUME_NOT_ATTACHED,Detaching a block volume decouples the volume from its associated instance and could affect data available. This could affect data availability from business-critical data to point-in-time copies of volumes as backups.,MEDIUM,Ensure that the block volume is not required to be attached to a compute instance for proper operation.,BlockVolume,Storage,IAAS_CONFIGURATION_DETECTOR,['Storage'],[],['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Object Storage bucket is encrypted with Oracle-managed key,BUCKET_ENCRYPTED_WITH_ORACLE_MANAGED_KEY,Encryption of storage buckets provides an additional level of security on your data. Management of encryption keys is critical to protecting and accessing protected data. Some customers want to identify storage buckets encrypted Oracle-managed keys in order to apply their own key lifecycle management to the bucket.,MINOR,Assign a vault key to this bucket,Bucket,Storage,IAAS_CONFIGURATION_DETECTOR,"['CIS_OCI_V1.1_OBJECTSTORAGE', 'ObjectStorage', 'KMS']",[],['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Bucket is public,BUCKET_IS_PUBLIC,"Object Storage supports anonymous, unauthenticated access to a bucket. A public bucket that has read access enabled for anonymous users allows anyone to obtain object metadata, download bucket objects, and optionally list bucket contents.",CRITICAL,"Ensure that the bucket is sanctioned for public access, and if not, direct the OCI administrator to restrict the bucket policy to allow only specific users access to the resources required to accomplish their job functions.",Bucket,Storage,IAAS_CONFIGURATION_DETECTOR,"['CIS_OCI_V1.1_OBJECTSTORAGE', 'ObjectStorage']","[{  ""display_name"": null,  ""id"": ""MAKE_BUCKET_PRIVATE"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Database is not backed up automatically,DATABASE_HAS_NO_AUTO_BACKUP,"Enabling automatic backup ensures that you will be able to restore the database with minimal data loss, if there is a catastrophic hardware failure.",HIGH,Ensure that automatic backup is enabled.,DB System,Database,IAAS_CONFIGURATION_DETECTOR,['Database'],"[{  ""display_name"": null,  ""id"": ""ENABLE_DB_BACKUP"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Database System has public IP address,DATABASE_HAS_PUBLIC_IP,Use of a public IP address to access a database increases your exposure to potential security and business continuity risks.,HIGH,Ensure that the database system does not have a public IP address.,ExadataBareMetalVM,Database,IAAS_CONFIGURATION_DETECTOR,['Database'],[],['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Database patch is not applied,DATABASE_PATCH_NOT_APPLIED,"Database patches address functionality, security, and performance issues. The vast majority of security breaches can be prevented by applying available patches.",MEDIUM,Oracle recommends that released patches be applied to the database as soon as possible.,DB System,Database,IAAS_CONFIGURATION_DETECTOR,['Database'],[],['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Database system patch is not applied,DATABASE_SYSTEM_PATCH_NOT_APPLIED,"Database system patches often include updates that eliminate known security vulnerabilities. Raise a problem when a database system is discovered which has one or more patches, available for 90 days or more, that have not been applied.",MEDIUM,Oracle recommends that released patches be applied to the DB system as soon as possible.,DB System,Database,IAAS_CONFIGURATION_DETECTOR,['Database'],[],['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Database System version is not sanctioned,DATABASE_SYSTEM_VERSION_NOT_SANCTIONED,"Running unsanctioned versions of DB Systems may increase your chances of a security breach, putting your data confidentiality, integrity, and availability at risk.",CRITICAL,Oracle recommends that the deployed Database system version is approved and tested.,ExadataBareMetalVM,Database,IAAS_CONFIGURATION_DETECTOR,['Database'],[],['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Database version is not sanctioned,DATABASE_VERSION_NOT_SANCTIONED,The sanctioned version of a database has the most recent security features and vulnerability patches.,CRITICAL,Oracle recommends that the deployed Database version is approved and tested.,ExadataBareMetalVM,Database,IAAS_CONFIGURATION_DETECTOR,['Database'],[],['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Instance is not running an Oracle public image,INSTANCE_NOT_RUNNING_OPC,This identifies all instances not built from Oracle public images. Custom Images and Boot volumes are considered as non-public Oracle images.,LOW,Ensure that your instances are all running sanctioned images from trusted sources.,Instance,Compute,IAAS_CONFIGURATION_DETECTOR,['Compute'],"[{  ""display_name"": null,  ""id"": ""STOP_INSTANCE"",  ""is_preferred"": true}, {  ""display_name"": null,  ""id"": ""TERMINATE_INSTANCE"",  ""is_preferred"": false}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Instance is publicly accessible,INSTANCE_PUBLICLY_ACCESSIBLE,"This detector rule identifies all instances that have a public IP assigned and reside on a public subnet reachable via an Internet Gateway and allows traffic from ""All protocols""",CRITICAL,"Carefully consider allowing internet access to any instances. For an instance to be publicly addressable, it must have a public IP, exist in a public VCN subnet or in VCN NSG ingress security rule, the VCN must have an Internet Gateway enabled and be configured for outbound traffic and the security list for the subnet must be configured for all IPs and all ports (0.0.0.0/0).",Instance,Compute,IAAS_CONFIGURATION_DETECTOR,"['CIS_OCI_V1.0_NETWORK', 'CIS_OCI_V1.1_NETWORK', 'Compute']","[{  ""display_name"": null,  ""id"": ""DELETE_PUBLIC_IP"",  ""is_preferred"": true}, {  ""display_name"": null,  ""id"": ""STOP_INSTANCE"",  ""is_preferred"": false}, {  ""display_name"": null,  ""id"": ""TERMINATE_INSTANCE"",  ""is_preferred"": false}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Instance is running an Oracle public image,INSTANCE_RUNNING_OPC,"This identifies all instances built from Oracle public images. Platform Images, Oracle Images and Partner images are considered as Oracle public images.",LOW,Ensure that your instances are all running sanctioned images from trusted sources.,Instance,Compute,IAAS_CONFIGURATION_DETECTOR,['Compute'],"[{  ""display_name"": null,  ""id"": ""STOP_INSTANCE"",  ""is_preferred"": true}, {  ""display_name"": null,  ""id"": ""TERMINATE_INSTANCE"",  ""is_preferred"": false}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Instance is running without required Tags,INSTANCE_WITHOUT_REQUIRED_TAGS,"If your OCI tenancy uses tags as a control for your environment, this control will alert when an instance is running without required tags.",MEDIUM,Ensure that the instances are using required tags.,Instance,Compute,IAAS_CONFIGURATION_DETECTOR,"['CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'TAGS']","[{  ""display_name"": null,  ""id"": ""STOP_INSTANCE"",  ""is_preferred"": true}, {  ""display_name"": null,  ""id"": ""TERMINATE_INSTANCE"",  ""is_preferred"": false}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Instance has a public IP address,INSTANCE_WITH_PUBLIC_IP,Checks public IP only,HIGH,"Carefully consider allowing internet access to any instances. For example, you do not want to accidentally allow internet access to sensitive database instances.",Instance,Compute,IAAS_CONFIGURATION_DETECTOR,"['CIS_OCI_V1.0_NETWORK', 'CIS_OCI_V1.1_NETWORK', 'COMPUTE']","[{  ""display_name"": null,  ""id"": ""DELETE_PUBLIC_IP"",  ""is_preferred"": true}, {  ""display_name"": null,  ""id"": ""STOP_INSTANCE"",  ""is_preferred"": false}, {  ""display_name"": null,  ""id"": ""TERMINATE_INSTANCE"",  ""is_preferred"": false}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Key has not been rotated,KEY_NOT_ROTATED,"For information security, you should periodically change or rotate, passwords, keys, and cryptographic materials. Rotating your keys in vault reduces the impact and probability of key compromise.",MEDIUM,Ensure that you rotate the vault keys regularly.,VaultKey,Vault,IAAS_CONFIGURATION_DETECTOR,"['CIS_OCI_V1.1_MONITORING', 'KMS']","[{  ""display_name"": null,  ""id"": ""ROTATE_VAULT_KEY"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Load balancer SSL certificate expiring soon,LB_CERTIFICATE_EXPIRING_SOON,"To ensure continuous security and usability, SSL certificates must be rotated in OCI.",CRITICAL,Ensure that certificates are rotated on a timely basis.,LoadBalancer,Networking,IAAS_CONFIGURATION_DETECTOR,['Network'],[],['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Load balancer has no back-end set,LB_NO_BACK_END_SET,"A back-end set is a logical entity defined by a load balancing policy, a health check policy, and a list of back-end servers.",LOW,Ensure that you configure load balancers with back-end sets to control the health and access to a load balancer by defined instances.,LoadBalancer,Networking,IAAS_CONFIGURATION_DETECTOR,['Network'],[],['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Load balancer has no inbound rules or listeners,LB_NO_INBOUND_RULES_OR_LISTENERS,"OCI load balancers enable end-to-end TLS connections between a client's applications and your VCN. A listener is a logical entity that checks for incoming traffic on the load balancer's IP address. To handle TCP, HTTP, and HTTPS traffic, you must configure at least one listener per traffic type.",MINOR,Ensure that your OCI load balancers use inbound rules or listeners to only allow access from known resources.,LoadBalancer,Networking,IAAS_CONFIGURATION_DETECTOR,['Network'],[],['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Load balancer allows weak cipher suite,LB_WEAK_CIPHER_SUITE,"This detector rule triggers a problem when the cipher suite configured for the load balancer's listener is oci-wider-compatible-ssl-cipher-suite-v1. This cipher suite includes algorithms like DES and RC4, which are largely considered weak and are prone to attacks. This detector is only applicable for predefined Cipher suites and not the Custom cipher suite values.",MEDIUM,Recommended to use default/modern/compatible cipher suites that support stronger encryption.,LoadBalancer,Networking,IAAS_CONFIGURATION_DETECTOR,['Network'],[],['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Load balancer allows weak SSL communication,LB_WEAK_SSL_COMMUNICATION,This detector rule triggers a problem when the protocol configured as part of SSL policy for the load balancer's listener includes any version lesser than TLS 1.2. Older versions of Transport Layer Security are extremely risky and vulnerable to many attacks. The use of TLS 1.2+ is strongly encouraged by several standards like PCI-DSS and NIST.,HIGH,Ensure that the SSL policy version configured for load balancer's listener is at least TLS1.2.,LoadBalancer,Networking,IAAS_CONFIGURATION_DETECTOR,['Network'],[],['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
User does not have MFA enabled,NO_MFA_ENABLED_FOR_USER,"Multifactor authentication provides an additional layer of security, on top of user name and password. A second verification factor is required each time a user logs in. During the authentication process, users can enable a single device as a trusted device for a maximum period of one day. The email passcode must not be valid for more than 10 minutes. All this provides a degree of protection from password spraying, credential stuffing, and account takeover attacks.",MEDIUM,"Enable MFA for all users, using the Oracle Mobile Authenticator (OMA) application on each user's mobile device and the one-time passcode (OTP) sent to the user's registered email address.",User,IAM,IAAS_CONFIGURATION_DETECTOR,"['CIS_OCI_V1.0_IAM', 'CIS_OCI_V1.1_IAM', 'IAM']",[],['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
IAM group has too few members,OCI_IAM_GRP_FEW_MEMBERS_FOUND,"IAM group membership frequently grants access to resources and features. Group memberships that have too few members may represent excess privileges being ""orphaned"".",LOW,Review the group membership related privileges to ensure that excessive or orphaned privileges are not present.,Group,IAM,IAAS_CONFIGURATION_DETECTOR,['IAM'],[],['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
IAM group has too many members,OCI_IAM_GRP_TOO_MANY_MEMBERS_FOUND,IAM group membership frequently grants access to resources and features. Group memberships that have too many members may represent overly permissive privileges being given to too many users.,MEDIUM,Review the group membership and related privileges to ensure that excessive privileges or overly broad memberships to privileges are not present.,Group,IAM,IAAS_CONFIGURATION_DETECTOR,['IAM'],[],['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Password policy does not meet complexity requirements,PASSWORD_POLICY_NOT_COMPLEX,Complex passwords are harder to guess and can decrease the chances of unauthorized access or compromised data.,LOW,"Oracle recommends that a strong password policy include combination of the lower and upper case alphabets, numbers and special characters with appropriate password length. Enable right policy rules under Identity -> Authentication settings",Policy,IAM,IAAS_CONFIGURATION_DETECTOR,"['CIS_OCI_V1.1_IAM', 'CIS_OCI_V1.0_IAM', 'IAM']",[],['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Password is too old,PASSWORD_TOO_OLD,"Changing IAM passwords at least every 90 days is a security best practice. The longer that IAM credentials remain unchanged, the greater the risk that they can become compromised.",MEDIUM,"Rotate IAM passwords regularly, at least every 90 days.",User,IAM,IAAS_CONFIGURATION_DETECTOR,"['CIS_OCI_V1.0_IAM', 'CIS_OCI_V1.1_IAM', 'IAM']",[],['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Policy gives too many privileges,POLICY_GIVES_MANY_PRIVILEGES,"IAM policies give access and control of resources. If an IAM policy entry grants management (full control) of a family of resources or all resources to either the tenancy OR a compartment (e.g., allow <user|group> to manage <some-resource|all-resources> [in tenancy|in compartment]) and that group’s OCID or the policy OCID is NOT exempted from this check, a problem is created.",MEDIUM,Ensure that the policy is restricted to allow only specific users to access the resources required to accomplish their job functions.,Policy,IAM,IAAS_CONFIGURATION_DETECTOR,"['CIS_OCI_V1.1_IAM', 'CIS_OCI_V1.0_IAM', 'IAM']","[{  ""display_name"": null,  ""id"": ""DELETE_IAM_POLICY"",  ""is_preferred"": false}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Tenancy admin privilege granted to group,POLICY_TENANCY_ADMIN_GROUP_PRIVILEGES,Default tenancy administrator group members can perform any action on all resources in that tenancy. This high-privilege entitlement must be controlled and restricted to only those users who need it to perform their job functions.,MEDIUM,Verify with the OCI administrator that this entitlement grant was sanctioned and that the membership of the group remains valid after the grant of the administrator privilege.,Policy,IAM,IAAS_CONFIGURATION_DETECTOR,"['CIS_OCI_V1.1_IAM', 'CIS_OCI_V1.0_IAM', 'IAM']","[{  ""display_name"": null,  ""id"": ""DELETE_IAM_POLICY"",  ""is_preferred"": false}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Resource is not tagged appropriately,RESOURCE_NOT_TAGGED,"Untagged resources in OCI indicate that infrastructure has been created without the use of corporate-sanctioned tags. Uncontrolled infrastructure can result in a weakened security posture. Alert if an untagged resource is found. Resource types that will trigger an alert if untagged: compute images (IMAGE), compute instances (INSTANCE), database systems (DB_SYSTEM), VCNs (VCN), object storage (BUCKET), and storage block volumes (VOLUME).",LOW,"Verify that the configured tags are in use for compute images, compute instances, database systems, VCNs, object storage, and storage block volumes.",ResourceTag,ResourceTag,IAAS_CONFIGURATION_DETECTOR,"['CIS_OCI_V1.0_MONITORING', 'CIS_OCI_V1.1_MONITORING', 'TAGS']",[],['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Scanned host has open ports,SCANNED_HOST_OPEN_PORTS,Prerequisite: Create a Host Scan Recipe and a Host Scan Target in the Scanning service. The Scanning service scans compute hosts to identify open ports. This detector triggers a problem when the Scanning service has reported that an instance has one or more open ports. Certain ports are required for operation and delivery of services but any open port beyond the intended list can potentially be used to exploit the services. You can modify the default list of allowed ports or disallowed ports in Input Settings within the detector.,CRITICAL,Review if identified ports should be open on this host and close them if they are not required to be open.,HostPortScan,Scanning,IAAS_CONFIGURATION_DETECTOR,['VSS'],[],['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
Scanned host has vulnerabilities,SCANNED_HOST_VULNERABILITY,"Prerequisite: Create a Host Scan Recipe and a Host Scan Target in the Scanning service. The Scanning service scans compute hosts to identify known cybersecurity vulnerabilities related to applications, libraries, operating systems, and services. This detector triggers a problem when the Scanning service has reported that an instance has one or more CRITICAL (or lower severity, based on the Input Settings within the detector config) vulnerabilities.",CRITICAL,Patch the reported CVE's detected on host by performing actions recommended for each CVE.,HostAgentScan,Scanning,IAAS_CONFIGURATION_DETECTOR,['VSS'],[],['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
VCN Security list allows traffic to restricted port,SECURITY_LISTS_OPEN_PORTS,"This detector rule triggers a problem when traffic is allowed to certain restricted ports (see Input Settings, Restricted Protocol:Ports List) as part of the Security list ingress rule. If ""Restricted Protocol:Ports List"" includes port values that are identified or allowed for your workloads, then modify the list of ports in Input Settings accordingly.",CRITICAL,"Additional details section of the problem provides a list of open Restricted ports that triggered this problem. Ensure that your OCI VCNs use security lists with ingress or inbound rules to only allow traffic access to identified ports. Review if detected ports should be open on this security list Ingress rule and close them if they are not required to be open. It is also recommended to check the ""Restricted Protocol:Ports List"" in the Input setting of this detector rule and modify it to allow certain required ports and thus notifying Cloud Guard to not detect a problem for those ports.",VCN,Networking,IAAS_CONFIGURATION_DETECTOR,"['CIS_OCI_V1.0_NETWORK', 'CIS_OCI_V1.1_NETWORK', 'Network']",[],['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
VCN Security list allows traffic to non-public port from all sources (0.0.0.0/0),SECURITY_LISTS_OPEN_SOURCE,"Use VCN security lists to restrict network access to instances in a subnet. To prevent unauthorized access or attacks on compute instances, Oracle recommends that you use a VCN security list to allow SSH or RDP access only from authorized ICIDR blocks, rather than leaving them open to the internet (0.0.0.0/0)",CRITICAL,"To prevent unauthorized access or attacks on compute instances, Oracle recommends that you use a VCN security list to allow SSH or RDP access only from authorized CIDR blocks, rather than leaving them open to the internet (0.0.0.0/0).",VCN,Networking,IAAS_CONFIGURATION_DETECTOR,"['CIS_OCI_V1.0_NETWORK', 'CIS_OCI_V1.1_NETWORK', 'Network']",[],['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
User has API keys,USER_HAS_API_KEYS,IAM API keys are credentials used to grant programmatic access to resources. ,LOW,Ensure that OCI access by administrators via API keys is performed as an exception. Do not hard code IAM credentials directly in software or documents to a wide audience.,User,IAM,IAAS_CONFIGURATION_DETECTOR,"['CIS_OCI_V1.0_IAM', 'CIS_OCI_V1.1_IAM', 'IAM']",[],['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
VCN has InternetGateway attached,VCN_HAS_INTERNET_GATEWAY_ATTACHED,Gateways provide external connectivity to hosts in a VCN. They include Internet Gateway (IGW) for Internet connectivity. ,LOW,"Ensure that internet gateways are authorized to be attached to a VCN, and that this attachment doesn’t expose resources to the internet. Ensure that security lists with ingress / inbound rules and those security lists are not configured to allow access from all IP addresses 0.0.0.0/0.",VCN,Networking,IAAS_CONFIGURATION_DETECTOR,['Network'],"[{  ""display_name"": null,  ""id"": ""DELETE_INTERNET_GATEWAY"",  ""is_preferred"": true}]",['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
VCN has Local Peering Gateway attached,VCN_HAS_LPG_ATTACHED,Gateways provide external connectivity to hosts in a VCN. They include Local Peering Gateway (LPG) for connectivity to peered VCN. ,LOW,"Ensure that local peering gateways are authorized to be attached to a VCN, and that this attachment doesn’t expose resources to the internet.",VCN,Networking,IAAS_CONFIGURATION_DETECTOR,['Network'],[],['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
VCN has no inbound Security List,VCN_NO_INBOUND_SECURITY_LIST,Security lists provide stateful and stateless firewall capability to control network access to your instances. A security list is configured at the subnet level and enforced at the instance level. You can apply multiple security lists to a subnet where a network packet is allowed if it matches any rule in the security lists.,MEDIUM,Ensure that your OCI VCNs use security lists with ingress or inbound rules to only allow access from known resources.,VCN,Networking,IAAS_CONFIGURATION_DETECTOR,['Network'],[],['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
NSG egress rule contains disallowed IP/port,VCN_NSG_EGRESS_RULE_PORTS_CHECK,Network security groups (NSGs) act as a virtual firewall for compute instances and other kinds of resources. NSGs outbound (egress) security rules apply to a set of virtual NICs in a VCN to allow access to specific ports and IP addresses.,MEDIUM,Ensure that the egress rules for communication with the IP/port are permitted for this NSG.,NSG,Networking,IAAS_CONFIGURATION_DETECTOR,"['CIS_OCI_V1.0_NETWORK', 'CIS_OCI_V1.1_NETWORK', 'Network']",[],['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
NSG ingress rule contains disallowed IP/port,VCN_NSG_INGRESS_RULE_PORTS_CHECK,Network security groups (NSGs) act as a virtual firewall for compute instances and other kinds of resources. NSGs inbound (ingress) security rules apply to a set of virtual NICs in a VCN to allow access to specific ports and IP addresses.,HIGH,Ensure that the ingress rules for communication with the IP/port are permitted for this NSG.,NSG,Networking,IAAS_CONFIGURATION_DETECTOR,"['CIS_OCI_V1.0_NETWORK', 'CIS_OCI_V1.1_NETWORK', 'Network']",[],['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
VNIC without associated network security group,VNIC_WITHOUT_NETWORK_SECURITY_GROUP,A virtual network interface card (VNIC) is a networking component that enables a resource such as a compute instance to connect to a virtual cloud network (VCN). The VNIC determines how the instance connects with endpoints inside and outside the VCN. Each VNIC resides in a subnet in a VCN. An VNIC with an NSG may trigger a connectivity issue.,MINOR,Ensure that the missing NSG association from this VNIC is expected.,Instance,Compute,IAAS_CONFIGURATION_DETECTOR,"['COMPUTE', 'Network']",[],['RESOURCE_OCID'],,ACTIVE,2021-06-25 00:03:46.503000+00:00,2021-06-25 00:03:46.503000+00:00
