repository_full_name,pusher_id,pull_request_id,action,ref,release_id,issue_state,forkee_id,repository_watchers_count,commits_0_id,commits_0_author_username,commits_0_added,commits_0_modified,commits_0_removed,commits_0_message,before,after,commits_0_url,commits_1_url,commits_2_url,commits_3_url,commits_4_url,commits_0_timestamp,_time,pusher_login,sender_username,issue_created_at,issue_id,issue_title,issue_body,comment_id,comment_body,issue_updated_at,comment_html_url,pull_request_user_username,pull_request_state,pull_request_base_repo_updated_at,pull_request_number,pull_request_title,pull_request_merged_at,forkee_name,forkee_description,forkee_owner_username,release_created_at,release_name,release_author_username,release_body,repository_updated_at,repository_size,repository_created_at
,12,,,refs/heads/ajith,,,,,,,,,,"""Migrated",,a4083aa37d1434afef993d9fe1168d0c21ee3557,,,,,,,1592590132,ajith,,,,,,,,,,,,,,,,,,,,,,,,,
Avotrix/Splunk-Deployment,,173,assigned,,,,,16,,,,,,,,,,,,,,,1591628299,,ajith,,,,,,,,,ajith,open,2020-06-08T20:12:50+05:30,127,Avo_login_monitoring conf and csv changes to remove orphaned user,None,,,,,,,,2020-06-08T20:12:50+05:30,76110848,2019-12-19T02:18:29+05:30
,,,,,,,,,,,,,,,,,http://repo.avotrix.com:3000/Avotrix/Splunk-Deployment/commit/f2d396e2d7eba3a3b45a3dd4157f9b4d0e9a746f,,,,,2020-06-08T20:12:28+05:30,1591627348,,,,,,,,,,,,,,,,,,,,,,,,,,
Avotrix/Splunk-Deployment,12,,,refs/heads/ajith,,,,16,f2d396e2d7eba3a3b45a3dd4157f9b4d0e9a746f,ajith,,deployment-apps/Avo_Login_Monitoring/default/savedsearches.conf,,"""Modified",3a7c211e871accde3f44df44174f44ad956323cc,f2d396e2d7eba3a3b45a3dd4157f9b4d0e9a746f,,,,,,,1591627371,ajith,ajith,,,,,,,,,,,,,,,,,,,,,,2020-06-06T02:56:33+05:30,76110848,2019-12-19T02:18:29+05:30
splunk/DS,,,,,,,26,2,,,,,,,,,,,,,,,1592924500,,vikram,,,,,,,,,,,,,,,HP,This is a HP directory where all the deployment servers app will be stored and processes.,vikram,,,,,2020-06-23T20:19:01+05:30,52984832,2019-11-14T01:30:08+05:30
Avotrix/Splunk-Deployment,,187,opened,,,,,14,,,,,,,,,,,,,,,1592492180,,vignesh,,,,,,,,,vignesh,open,2020-06-18T20:25:39+05:30,141,Integrity Issue,None,,,,,,,,2020-06-18T20:25:39+05:30,80462848,2019-12-19T02:18:29+05:30
Avotrix/Splunk-Deployment,5,,,refs/heads/vignesh,,,,14,d0b6a08bd764e249ca2ee1999d9cfaeb4f153b8a,vignesh,deployment-apps/README,,,Solving Integrity issue,96726277ec5a79b412befc5454b7ca377bb78fe4,d0b6a08bd764e249ca2ee1999d9cfaeb4f153b8a,http://repo.avotrix.com:3000/Avotrix/Splunk-Deployment/commit/d0b6a08bd764e249ca2ee1999d9cfaeb4f153b8a,,,,,2020-06-18T20:25:12+05:30,1592492139,vignesh,vignesh,,,,,,,,,,,,,,,,,,,,,,2020-06-18T01:29:26+05:30,80462848,2019-12-19T02:18:29+05:30
Avotrix/Splunk-Deployment,2,,,refs/heads/ashvin,,,,14,136c07392969d6934c6f9b530e6bce7409e754df,ashvin,deployment-apps/Avo_Telegraf_Collet_Parse/default/app.conf,deployment-apps/Avo_IN_Indexes/default/indexes.conf,,added new app and changed index name from iot telegraf,f3e38083e72ada6502aa65c9308653caa95baf45,136c07392969d6934c6f9b530e6bce7409e754df,http://repo.avotrix.com:3000/Avotrix/Splunk-Deployment/commit/136c07392969d6934c6f9b530e6bce7409e754df,,,,,2020-06-09T00:36:45+05:30,1591643326,ashvin,ashvin,,,,,,,,,,,,,,,,,,,,,,2020-06-08T20:12:50+05:30,76118016,2019-12-19T02:18:29+05:30
Avotrix/Splunk-Deployment,,173,opened,,,,,16,,,,,,,,,,,,,,,1591627485,,ajith,,,,,,,,,ajith,open,2020-06-08T20:12:50+05:30,127,Avo_login_monitoring conf and csv changes to remove orphaned user,None,,,,,,,,2020-06-08T20:12:50+05:30,76110848,2019-12-19T02:18:29+05:30
Avotrix/Splunk-Deployment,25,,,refs/heads/master,,,,14,ee0a7b74fa4413f22cca8bf5eb6ed0d0d0b63ac2,diksha,,,,"Merge branch \'diksha\' of Avotrix/Splunk-Deployment into master
verified",f62347478b7b1c67cb484ef1414749f544e8bdb7,ee0a7b74fa4413f22cca8bf5eb6ed0d0d0b63ac2,http://repo.avotrix.com:3000/Avotrix/Splunk-Deployment/commit/ee0a7b74fa4413f22cca8bf5eb6ed0d0d0b63ac2,http://repo.avotrix.com:3000/Avotrix/Splunk-Deployment/commit/d33b07d6c884ad41c05bf704d1842144de9b1480,,,,2020-06-23T19:47:59+05:30,1592921880,Avotrix,diksha,,,,,,,,,,,,,,,,,,,,,,2020-06-23T19:37:42+05:30,80480256,2019-12-19T02:18:29+05:30
Avotrix/Splunk-Deployment,,190,closed,,,,,14,,,,,,,,,,,,,,,1592921880,,diksha,,,,,,,,,diksha,closed,2020-06-23T19:37:42+05:30,144,sourcetype iis,2020-06-23T19:47:59.8882639+05:30,,,,,,,,2020-06-23T19:37:42+05:30,80480256,2019-12-19T02:18:29+05:30
Avotrix/Splunk-Deployment,,190,opened,,,,,14,,,,,,,,,,,,,,,1592921855,,diksha,,,,,,,,,diksha,open,2020-06-23T19:37:42+05:30,144,sourcetype iis,None,,,,,,,,2020-06-23T19:37:42+05:30,80480256,2019-12-19T02:18:29+05:30
Avotrix/Splunk-Deployment,15,,,refs/heads/diksha,,,,14,d33b07d6c884ad41c05bf704d1842144de9b1480,diksha,,deployment-apps/SMTP/default/inputs.conf,,comments,c5a18a1256b4d544dd33d7e201a0f92d4be84140,d33b07d6c884ad41c05bf704d1842144de9b1480,http://repo.avotrix.com:3000/Avotrix/Splunk-Deployment/commit/d33b07d6c884ad41c05bf704d1842144de9b1480,http://repo.avotrix.com:3000/Avotrix/Splunk-Deployment/commit/f62347478b7b1c67cb484ef1414749f544e8bdb7,,,,2020-06-23T19:37:29+05:30,1592921262,diksha,diksha,,,,,,,,,,,,,,,,,,,,,,2020-06-23T03:01:10+05:30,80480256,2019-12-19T02:18:29+05:30
Avotrix/Splunk-Deployment,25,,,refs/heads/master,,,,14,05043b3c6b72cf876964bf39ef67bfb26b461b05,mahesh,,,,"Merge branch \'mahesh\' of Avotrix/Splunk-Deployment into master
Approved",ea9c79db6b4c0d4b5bfaceb3fee9c4b5356461ab,05043b3c6b72cf876964bf39ef67bfb26b461b05,http://repo.avotrix.com:3000/Avotrix/Splunk-Deployment/commit/05043b3c6b72cf876964bf39ef67bfb26b461b05,http://repo.avotrix.com:3000/Avotrix/Splunk-Deployment/commit/243352c4db7dcbc0fd9a88d322ffc089c7545c06,,,,2020-06-18T01:31:42+05:30,1592424103,Avotrix,mahesh,,,,,,,,,,,,,,,,,,,,,,2020-06-18T01:29:26+05:30,80459776,2019-12-19T02:18:29+05:30
Avotrix/Splunk-Deployment,,186,closed,,,,,14,,,,,,,,,,,,,,,1592424103,,mahesh,,,,,,,,,mahesh,closed,2020-06-18T01:29:26+05:30,140,Add openldap add on,2020-06-18T01:31:43.4781693+05:30,,,,,,,,2020-06-18T01:29:26+05:30,80459776,2019-12-19T02:18:29+05:30
