"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Kiribati","KIR","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","322","402","504","685","765","846","920","1000","1100","",
"St. Kitts and Nevis","KNA","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","2000","4400","6500","8800","9600","11104","13000","14600","12600","13000","13300","",
"Korea, Rep.","KOR","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","14000","278000","3870000","7806000","10399597","11173663","11917906","12188024","14041283","14709617","15474079","16347716","17193570","17859003","18252201","18737125","",
"Kosovo","","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kuwait","KWT","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5000","10500","13000","20000","25000","30000","35000","40000","45000","46000","47000","47000","47000","",
"Latin America & Caribbean (developing only)","LAC","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","130353","535882","1302715","2021552","5496296","7424655","11605736","18165114","24997006","29964063","35587952","41980110","46511252","51398834","",
"Lao PDR","LAO","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","25","50","314","741","1135","2896","4317","5651","6325","7547","9000","",
"Lebanon","LBN","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","35000","70000","80000","130000","190000","192000","195000","197000","303000","371000","451000","480000","",
"Liberia","LBR","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","110","150","186","63","0","0","",
"Libya","LBY","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","46242","63000","72800","70000","67300","64700","",
"St. Lucia","LCA","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1400","3800","7000","7176","11078","15527","18586","20491","21340","24573","25000","",
"Latin America & Caribbean (all income levels)","LCN","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","138232","609170","1522117","2470666","6148095","8378642","12968701","19924056","27297741","32669146","38580873","45291768","50124083","55260911","",
"Least developed countries: UN classification","LDC","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","1375","4234","13166","30613","69966","218494","291728","613222","846588","1056833","1484170","2345504","",
"Low income","LIC","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","771","2968","8107","13067","23404","50723","138975","160347","487065","647055","833151","1204923","1978887","",
"Liechtenstein","LIE","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1437","1500","4741","8617","10000","14200","15550","15983","15250","14532","11189","12000","",
"Sri Lanka","LKA","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","327","592","3417","20450","21000","22895","63263","101922","169600","228316","359000","354000","423522","",
"Lower middle income","LMC","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77991","205189","365720","697382","2510145","4799508","8165428","13438219","19778632","26235409","30678568","35685015","38443500","",
"Low & middle income","LMY","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160641","1004070","5029740","14502667","32820898","51596772","75446981","105966682","138970302","175574469","214814399","260784716","293651166","320211917","",
"Lesotho","LSO","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","22","45","","110","140","400","400","1339","1451","2275","",
"Lithuania","LTU","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","2427","20000","66790","129051","234081","368715","507572","530678","564285","590631","620878","640305","664063","",
"Luxembourg","LUX","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","1215","5827","15351","36500","70100","98930","128680","143200","156120","168368","169753","169700","177618","",
"Latvia","LVA","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","284","3235","10000","19533","49147","60770","109674","320657","395610","436966","434876","457422","481100","506000","",
"Macao SAR, China","MAC","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3731","9788","16954","27774","45218","68030","92217","110498","121569","126142","132081","137661","144596","151796","",
"St. Martin (French part)","MAF","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","2000","2712","64660","249138","391857","477360","483867","475767","498682","588989","681568","836110","",
"Monaco","MCO","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800","2658","4904","6535","7606","9500","11000","12300","13000","13400","13800","15920","16258","16896","",
"Moldova","MDA","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","239","418","597","2429","10395","21792","52537","115127","186973","269067","355099","417177","467072","",
"Madagascar","MDG","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","1361","2354","3488","4558","5359","6852","8667","13911","",
"Maldives","MDV","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","190","503","717","3260","6274","10350","15359","15331","15148","17440","17858","20140","",
"Middle East & North Africa (all income levels)","MEA","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82647","423878","927526","1462785","2271398","3306409","4716650","6322413","7836718","9501887","11677336","14516989","17050471","",
"Mexico","MEX","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","15000","50000","231486","428371","1057282","1922352","3020000","4468417","7426717","9283529","11100883","11868397","12717139","13626600","",
"Marshall Islands","MHL","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","","","","","","",
"Middle income","MIC","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","160641","1003299","5026772","14494560","32807831","51573368","75396258","105827707","138809955","175087404","214167344","259951565","292446243","318233030","",
"Macedonia, FYR","MKD","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","12436","36485","100507","181012","218651","237828","259220","288406","330798","",
"Mali","MLI","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","3085","3200","2661","3009","2314","2367","3196","2909","",
"Malta","MLT","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1656","9157","17679","22736","37642","51409","52948","83033","95327","109843","121229","125168","132821","140550","",
"Myanmar","MMR","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","243","3961","6466","9995","20365","22950","18321","63859","95329","",
"Middle East & North Africa (developing only)","MNA","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1075","107317","169517","273758","","1238199","1893360","2683864","3669912","5026182","6783629","9053770","11241356","",
"Montenegro","MNE","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","7665","","16145","34229","53058","57370","64712","69608","79441","",
"Mongolia","MNG","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49","90","500","900","1800","3500","7395","32504","36742","71709","88878","104867","139729","",
"Northern Mariana Islands","MNP","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","","","","0","",
"Mozambique","MOZ","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","","5743","10191","12502","14633","21204","20484","17983","",
"Mauritania","MRT","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","164","973","4000","5876","6775","5809","6120","6697","7532","",
"Mauritius","MUS","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","285","1184","2564","5398","27895","22367","46754","68837","93000","116800","139000","156000","",
"Malawi","MWI","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","69","138","404","","934","986","1034","1085","1140","1197","2854","",
"Malaysia","MYS","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","4000","19302","110402","252500","483100","751000","1025000","1318500","1541700","1835700","2137600","2459900","2443100","",
"North America","NAC","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","845900","3336286","8480806","15628812","23396549","32257342","42768520","58178837","68305344","79310121","85583258","88369000","93276986","97376877","101655190","103092000","",
"Namibia","NAM","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","134","198","256","320","430","9423","18499","26598","29776","",
"New Caledonia","NCL","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","132","700","1668","5146","9600","15601","20315","25455","33115","38196","42767","47900","53600","",
"Niger","NER","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","77","212","347","482","617","1000","1500","2114","3669","6400","",
"Nigeria","NGA","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","500","","53594","67776","81958","99108","","14279","15045","",
"Nicaragua","NIC","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","700","1604","2319","4403","5001","10534","19042","27550","43212","78678","73279","85092","101312","131687","",
"Netherlands","NLD","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75500","","260000","466200","1170966","1988000","3206000","4100000","5192200","5507000","5805000","6129000","6329000","6498007","6654000","6716922","",
"High income: nonOECD","NOC","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36000","147834","750894","2069173","3599766","5439859","7179902","9425461","11992147","15784481","21943125","26796795","30651356","33272429","37402312","41238183","",
"Norway","NOR","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","23297","88541","205307","398758","671666","991349","1244536","1435976","1549975","1633017","1688055","1744572","1814144","1837022","",
"Nepal","NPL","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","963","10957","12000","15561","58435","94656","171152","208773","",
"New Zealand","NZL","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","4658","17267","43500","83000","191695","321000","470200","853020","914961","980335","1050000","1140000","1240000","1316000","",
"High income: OECD","OEC","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","991788","3959564","14979287","33996007","57437564","83789699.33","118118165","158931481","197049241","224666815","249962196","265778267","281086626","293949367","305426939","312908386","",
"OECD members","OED","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","991788","3959564","14997687","34088306","57801713","84681705.33","120164489","163095290","204042116","235270813","264819925","283385054","301333021","315606418","328283337","337318942","",
"Oman","OMN","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","97","136","668","13240","20065","20177","32447","41114","51369","52562","71214","95248","",
"Other small states","OSS","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","481","1866","4635","21836","42705","63421","124310","178281","235403","300112","348088","400669","",
"Pakistan","PAK","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","14600","26611","45153","148470","302829","531787","737778","926922","1077970","",
"Panama","PAN","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7771","12235","15039","16746","17567","112738","150283","196190","234381","258292","282843","294681","297827","",
"Peru","PER","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","75","1078","","37401","93908","227610","352622","484899","570218","725563","809615","911620","1190352","1422773","1574223","",
"Philippines","PHL","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","10000","21000","55000","89000","123000","265030","496151","1045716","1722407","1722400","1791000","2146600","2572800","",
"Palau","PLW","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","74","100","97","101","111","142","239","518","916","1600","",
"Papua New Guinea","PNG","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","2987","4453","6100","7500","9200","11300","",
"Poland","POL","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","12000","121684","195752","875865","945159","2911152","4174003","3985385","4798105","4960528","5622367","5954666","5964800","",
"Puerto Rico","PRI","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2427","22732","54337","86303","118268","150233","182198","426310","480293","551520","558054","573035","600045","",
"Korea, Dem. Rep.","PRK","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","",
"Portugal","PRT","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","297","25154","99316","260591","502030","838371","1165440","1423687","1512394","1613725","1888240","2104277","2242578","2390203","2528625","",
"Paraguay","PRY","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150","300","500","500","3050","5600","6000","8600","12800","15800","28147","61824","79658","107788","",
"Pacific island small states","PSS","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","11","43","739","8837","10820","14531","16698","17537","29895","29205","19924","20082","",
"French Polynesia","PYF","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","32","946","4551","11000","18234","23600","27671","30030","32247","36000","40200","44900","",
"Qatar","QAT","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","228","2991","10915","25609","46773","86959","104235","141315","144057","163000","183680","215487","",
"Romania","ROU","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6000","15800","196106","104265","377090","1090000","1920000","2490000","2790000","2980000","3263000","3518000","3760000","",
"Russian Federation","RUS","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","11000","343000","675000","1589000","2900000","4900000","9280000","12900000","15700000","17420161","20703653","23734354","",
"Rwanda","RWA","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","1148","1180","1704","2543","1120","2214","2640","4994","2716","2781","",
"South Asia","SAS","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","50327","83191","144282","256367","1387080","2357243","3303933","5610311","8570108","12248430","15042157","17068659","17281907","",
"Saudi Arabia","SAU","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","14000","34782","45982","68700","67798","218176","623116","1048098","1342838","1496607","1576976","1965751","2111829","",
"Sudan","SDN","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","793","1269","2065","42500","44625","","13500","17430","24789","44662","",
"Senegal","SEN","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1200","2383","7665","18028","28926","38132","47358","58720","78647","92713","95561","106733","",
"Singapore","SGP","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","10000","30000","69000","151000","270000","417100","545200","656200","787900","896200","1023800","1170800","1268800","1330000","1349200","1390800","",
"Solomon Islands","SLB","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","200","450","650","1000","1500","2000","2522","2430","2132","1884","",
"Sierra Leone","SLE","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","","","",
"El Salvador","SLV","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","19601","29321","42314","61484","89761","123469","149406","175274","206000","242100","282339","",
"San Marino","SMR","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","600","1076","1220","1480","1599","4900","5446","5992","6538","9902","10231","",
"Somalia","SOM","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","","","","40000","60000","",
"Serbia","SRB","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33486","121727","325730","457181","590586","801587","916653","1001964","1073502","",
"Sub-Saharan Africa (developing only)","SSA","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","802","7120","32232","86389","221379","478512","659263","784270","896831","1279641","1551624","1989341","2892510","",
"South Sudan","SSD","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","4","17","100","",
"Sub-Saharan Africa (all income levels)","SSF","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","802","7120","32232","86389","221559","478692","659443","784450","897011","1280827","1552970","1990821","2896028","",
"Small states","SST","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7635","21689","58406","95769","164485","240652","331407","474314","615350","720614","807740","890159","1001799","",
"Sao Tome and Principe","STP","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","125","308","344","443","585","737","778","978","",
"Suriname","SUR","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","94","216","420","1107","2656","4205","5754","8565","15143","23160","29268","37095","",
"Slovak Republic","SVK","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4083","22461","78764","181538","304615","472020","519883","627722","694414","746727","798387","845997","",
"Slovenia","SVN","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5500","56735","57992","115069","196650","279814","344677","425294","449030","467369","487648","501973","517260","",
"Sweden","SWE","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","249000","587000","840000","1095000","1410000","2522000","2489000","2775626","2898937","2941648","2996707","3024739","3069880","3115700","",
"Swaziland","SWZ","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","772","1504","1970","2778","3429","4200","",
"Sint Maarten (Dutch part)","SXM","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Seychelles","SYC","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","349","948","2475","2856","2740","3929","6278","9000","10189","12013","",
"Syrian Arab Republic","SYR","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","600","2700","5218","6957","11055","34657","69817","121300","242154","346146","",
"Turks and Caicos Islands","TCA","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","297","331","15799","19454","14790","",
"Togo","TGO","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","1201","1911","2693","3852","5181","7026","6915","",
"Thailand","THA","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","1613","","11611","164775","555495","893548","1293341","2072799","2624278","3251851","3822000","4352000","4926000","",
"Tajikistan","TJK","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","10","","","","3645","3658","4400","4700","5020","5400","5800","",
"Turkmenistan","TKM","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","465","723","1100","1400","1800","",
"Timor-Leste","TLS","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","9","13","22","29","50","71","471","500","550","600","700","",
"Tonga","TON","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","11","22","334","645","633","780","721","1000","1100","1300","1500","1700","",
"Trinidad and Tobago","TTO","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","176","884","4233","10803","20613","35491","85447","125565","145028","154987","183957","195212","",
"Tunisia","TUN","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","26","259","2839","17573","43845","95916","227303","372818","481810","558943","527915","524631","",
"Turkey","TUR","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","10915","21205","199324","577931","1589768","2773685","4753757","5749891","6443212","7087694","7580562","7858170","8382811","",
"Tuvalu","TUV","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","50","150","250","270","290","100","240","450","550","700","",
"Tanzania","TZA","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1495","1795","2154","2585","2841","3150","26943","39805","51903","",
"Uganda","UGA","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","850","1210","1860","4798","6000","14000","35514","38400","41500","",
"Ukraine","UKR","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","130000","520000","800000","1600000","1906725","2954556","3169396","3643460","3994831","",
