BugcheckCode,BugcheckCodeDisplayName
332,FATAL_ABNORMAL_RESET_ERROR
333,EXCEPTION_SCOPE_INVALID
334,SOC_CRITICAL_DEVICE_REMOVED
335,PDC_WATCHDOG_TIMEOUT
336,TCPIP_AOAC_NIC_ACTIVE_REFERENCE_LEAK
337,UNSUPPORTED_INSTRUCTION_MODE
338,INVALID_PUSH_LOCK_FLAGS
339,KERNEL_LOCK_ENTRY_LEAKED_ON_THREAD_TERMINATION
340,UNEXPECTED_STORE_EXCEPTION
341,OS_DATA_TAMPERING
342,WINSOCK_DETECTED_HUNG_CLOSESOCKET_LIVEDUMP
343,KERNEL_THREAD_PRIORITY_FLOOR_VIOLATION
344,ILLEGAL_IOMMU_PAGE_FAULT
345,HAL_ILLEGAL_IOMMU_PAGE_FAULT
346,SDBUS_INTERNAL_ERROR
347,WORKER_THREAD_RETURNED_WITH_SYSTEM_PAGE_PRIORITY_ACTIVE
348,PDC_WATCHDOG_TIMEOUT_LIVEDUMP
351,CONNECTED_STANDBY_WATCHDOG_TIMEOUT_LIVEDUMP
352,WIN32K_ATOMIC_CHECK_FAILURE
353,LIVE_SYSTEM_DUMP
354,KERNEL_AUTO_BOOST_INVALID_LOCK_RELEASE
355,WORKER_THREAD_TEST_CONDITION
356,WIN32K_CRITICAL_FAILURE
364,INVALID_RUNDOWN_PROTECTION_FLAGS
365,INVALID_SLOT_ALLOCATOR_FLAGS
366,ERESOURCE_INVALID_RELEASE
373,PREVIOUS_FATAL_ABNORMAL_RESET_ERROR
376,ELAM_DRIVER_DETECTED_FATAL_ERROR
391,VIDEO_DWMINIT_TIMEOUT_FALLBACK_BDD
392,CLUSTER_CSVFS_LIVEDUMP
393,BAD_OBJECT_HEADER
395,SECURE_KERNEL_ERROR
400,WIN32K_CRITICAL_FAILURE_LIVEDUMP
401,PF_DETECTED_CORRUPTION
402,KERNEL_AUTO_BOOST_LOCK_ACQUISITION_WITH_RAISED_IRQL
403,VIDEO_DXGKRNL_LIVEDUMP
405,SMB_SERVER_LIVEDUMP
406,LOADER_ROLLBACK_DETECTED
407,WIN32K_SECURITY_FAILURE
408,UFX_LIVEDUMP
409,KERNEL_STORAGE_SLOT_IN_USE
410,WORKER_THREAD_RETURNED_WHILE_ATTACHED_TO_SILO
411,TTM_FATAL_ERROR
412,WIN32K_POWER_WATCHDOG_TIMEOUT
413,CLUSTER_SVHDX_LIVEDUMP
452,DRIVER_VERIFIER_DETECTED_VIOLATION_LIVEDUMP
453,IO_THREADPOOL_DEADLOCK_LIVEDUMP
3070,BC_BLUETOOTH_VERIFIER_FAULT
3071,BC_BTHMINI_VERIFIER_FAULT
131073,HYPERVISOR_ERROR
268435582,SYSTEM_THREAD_EXCEPTION_NOT_HANDLED_M
268435583,UNEXPECTED_KERNEL_MODE_TRAP_M
268435598,KERNEL_MODE_EXCEPTION_NOT_HANDLED_M
268435690,THREAD_STUCK_IN_DEVICE_DRIVER_M
1073741962,THREAD_TERMINATE_HELD_MUTEX
3221226008,STATUS_CANNOT_LOAD_REGISTRY_FILE
3221226010,STATUS_SYSTEM_PROCESS_TERMINATED
3221226017,STATUS_IMAGE_CHECKSUM_MISMATCH
3735936685,MANUALLY_INITIATED_CRASH1
