event,trigger,dataset_name,action,change_type,type,status
group_policy_changed,"An existing group policy's priority level has changed, and the change has been saved.",change,modified,policy,,success
group_policy_member_added,"A new member has been added to a group policy, and the policy has been saved.",change,updated,policy,,success
group_policy_member_removed,"An existing member has been removed from a group policy, and the policy has been saved.",change,modified,policy,,success
group_policy_remove_from_jump_group_added ,A Jump Group has been added to a group policy's Remove From Jump Groups list.,change,modified,policy,,success
group_policy_remove_from_jump_group_removed,A Jump Group has been removed from a group policy's Remove From Jump Groups  list.,change,modified,policy,,success
group_policy_remove_from_jumpoint_added,A Jumpoint has been added to a group policy's Remove From Jumpoints list.,change,modified,policy,,success
group_policy_remove_from_jumpoint_removed ,A Jumpoint has been removed from a group policy's Remove From Jumpoints list.,change,modified,policy,,success
group_policy_remove_from_support_teams_added ,A team has been added to a group policy's Remove From Teams list.,change,modified,policy,,success
group_policy_remove_from_support_teams_removed,A team has been removed from a group policy's Remove From Teams list.,change,modified,policy,,success
group_policy_removed,An existing group policy has been deleted.,change,deleted,policy,,success
jump_item_role_added,A new Jump Item Role has been created and saved.,change,created,role,,success
jump_item_role_changed,An existing Jump Item Role has been modified and saved.,change,modified,role,,success
jump_item_role_removed,An existing Jump Item Role has been deleted.,change,deleted,role,,success
jump_policy:schedule_entry_added,"A new schedule entry has been added to a Jump Policy, and the policy has been saved.",change,modified,policy,,success
jump_policy:schedule_entry_removedIbid.,"An existing schedule entry has been removed from a Jump Policy, and the policy has been saved.",change,modified,policy,,success
jump_policy_added,A new Jump Policy has been created and saved.,change,created,policy,,success
jump_policy_changed,An existing Jump Policy has been modified and saved.,change,modified,policy,,success
jump_policy_removed,An existing Jump Policy has been deleted.,change,deleted,policy,,success
jumpoint_cluster_added,A new Jumpoint or Jumpoint cluster has been created and saved.,change,created,jumpoint,,success
jumpoint_cluster_changed,An existing Jumpoint or Jumpoint cluster has been changed.,change,modified,jumpoint,,success
