assessment_objective,assessment_objective_id,assessment_objective_letter,control,control_ace,control_ccm,control_cmmc_level,control_dod_weight,control_evidence_found,control_family,control_group,control_operator,control_owner,control_prereq_met,control_review_due,control_review_message,control_review_overdue,control_review_status,control_review_time,control_status,control_supercedes_until,control_update_message,control_update_time,cui_system_id,cui_system_name,cui_system_splunk_id,status_type
audit logging tools are protected from unauthorized deletion.,3.3.8[f],f,AU.L2-3.3.8,TRUE,TRUE,2,1,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
a subset of privileged users granted access to manage audit logging functionality is defined.,3.3.9[a],a,AU.L2-3.3.9,TRUE,FALSE,2,1,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
management of audit logging functionality is limited to the defined subset of privileged users.,3.3.9[b],b,AU.L2-3.3.9,TRUE,TRUE,2,1,0,CMMC ML 1,Audit and Accountability (AU),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
a baseline configuration is established.,3.4.1[a],a,CM.L2-3.4.1,FALSE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the baseline configuration includes hardware,3.4.1[b],b,CM.L2-3.4.1,FALSE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the baseline configuration is maintained (reviewed and updated) throughout the system development life cycle.,3.4.1[c],c,CM.L2-3.4.1,FALSE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
a system inventory is established.,3.4.1[d],d,CM.L2-3.4.1,TRUE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the system inventory includes hardware,3.4.1[e],e,CM.L2-3.4.1,TRUE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the inventory is maintained (reviewed and updated) throughout the system development life cycle.,3.4.1[f],f,CM.L2-3.4.1,TRUE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
security configuration settings for information technology products employed in the system are established and included in the baseline configuration.,3.4.2[a],a,CM.L2-3.4.2,FALSE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
security configuration settings for information technology products employed in the system are enforced.,3.4.2[b],b,CM.L2-3.4.2,FALSE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
changes to the system are tracked.,3.4.3[a],a,CM.L2-3.4.3,FALSE,FALSE,2,1,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
changes to the system are reviewed.,3.4.3[b],b,CM.L2-3.4.3,FALSE,FALSE,2,1,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
changes to the system are approved or disapproved.,3.4.3[c],c,CM.L2-3.4.3,FALSE,FALSE,2,1,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
changes to the system are logged.,3.4.3[d],d,CM.L2-3.4.3,FALSE,FALSE,2,1,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
Determine if the security impact of changes to the system is analyzed prior to implementation.,3.4.4[a],a,CM.L2-3.4.4,FALSE,FALSE,2,1,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
physical access restrictions associated with changes to the system are defined.,3.4.5[a],a,CM.L2-3.4.5,FALSE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
physical access restrictions associated with changes to the system are documented.,3.4.5[b],b,CM.L2-3.4.5,FALSE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
physical access restrictions associated with changes to the system are approved.,3.4.5[c],c,CM.L2-3.4.5,FALSE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
physical access restrictions associated with changes to the system are enforced.,3.4.5[d],d,CM.L2-3.4.5,FALSE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
logical access restrictions associated with changes to the system are defined.,3.4.5[e],e,CM.L2-3.4.5,FALSE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
logical access restrictions associated with changes to the system are documented.,3.4.5[f],f,CM.L2-3.4.5,FALSE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
logical access restrictions associated with changes to the system are approved.,3.4.5[g],g,CM.L2-3.4.5,FALSE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
logical access restrictions associated with changes to the system are enforced.,3.4.5[h],h,CM.L2-3.4.5,FALSE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
essential system capabilities are defined based on the principle of least functionality.,3.4.6[a],a,CM.L2-3.4.6,TRUE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the system is configured to provide only the defined essential capabilities.,3.4.6[b],b,CM.L2-3.4.6,TRUE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
essential programs are defined.,3.4.7[a],a,CM.L2-3.4.7,TRUE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the use of nonessential programs is defined.,3.4.7[b],b,CM.L2-3.4.7,FALSE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the use of nonessential programs is restricted,3.4.7[c],c,CM.L2-3.4.7,TRUE,TRUE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
essential functions are defined.,3.4.7[d],d,CM.L2-3.4.7,TRUE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the use of nonessential functions is defined.,3.4.7[e],e,CM.L2-3.4.7,FALSE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the use of nonessential functions is restricted,3.4.7[f],f,CM.L2-3.4.7,TRUE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
essential ports are defined.,3.4.7[g],g,CM.L2-3.4.7,FALSE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the use of nonessential ports is defined.,3.4.7[h],h,CM.L2-3.4.7,FALSE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the use of nonessential ports is restricted,3.4.7[i],i,CM.L2-3.4.7,TRUE,TRUE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
essential protocols are defined.,3.4.7[j],j,CM.L2-3.4.7,FALSE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the use of nonessential protocols is defined.,3.4.7[k],k,CM.L2-3.4.7,FALSE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the use of nonessential protocols is restricted,3.4.7[l],l,CM.L2-3.4.7,TRUE,TRUE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
essential services are defined.,3.4.7[m],m,CM.L2-3.4.7,FALSE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the use of nonessential services is defined.,3.4.7[n],n,CM.L2-3.4.7,FALSE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the use of nonessential services is restricted,3.4.7[o],o,CM.L2-3.4.7,TRUE,TRUE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
a policy specifying whether whitelisting or blacklisting is to be implemented is specified.,3.4.8[a],a,CM.L2-3.4.8,FALSE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the software allowed to execute under whitelisting or denied use under blacklisting is specified.,3.4.8[b],b,CM.L2-3.4.8,TRUE,FALSE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
whitelisting to allow the execution of authorized software or blacklisting to prevent the use of unauthorized software is implemented as specified.,3.4.8[c],c,CM.L2-3.4.8,TRUE,TRUE,2,5,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
a policy for controlling the installation of software by users is established.,3.4.9[a],a,CM.L2-3.4.9,FALSE,FALSE,2,1,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
installation of software by users is controlled based on the established policy.,3.4.9[b],b,CM.L2-3.4.9,FALSE,FALSE,2,1,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
installation of software by users is monitored.,3.4.9[c],c,CM.L2-3.4.9,TRUE,FALSE,2,1,0,CMMC ML 1,Configuration Management (CM),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
system users are identified.,3.5.1[a],a,IA.L1-3.5.1,FALSE,FALSE,1,5,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
processes acting on behalf of users are identified.,3.5.1[b],b,IA.L1-3.5.1,TRUE,FALSE,1,5,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
devices accessing the system are identified.,3.5.1[c],c,IA.L1-3.5.1,TRUE,FALSE,1,5,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the identity of each user is authenticated or verified as a prerequisite to system access.,3.5.2[a],a,IA.L1-3.5.2,FALSE,FALSE,1,5,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
the identity of each process acting on behalf of a user is authenticated or verified as a prerequisite to system access.,3.5.2[b],b,IA.L1-3.5.2,TRUE,FALSE,1,5,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
the identity of each device accessing or connecting to the system is authenticated or verified as a prerequisite to system access.,3.5.2[c],c,IA.L1-3.5.2,TRUE,FALSE,1,5,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
privileged accounts are identified.,3.5.3[a],a,IA.L2-3.5.3,FALSE,FALSE,2,5,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
multifactor authentication is implemented for local access to privileged accounts.,3.5.3[b],b,IA.L2-3.5.3,TRUE,TRUE,2,5,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
multifactor authentication is implemented for network access to privileged accounts.,3.5.3[c],c,IA.L2-3.5.3,TRUE,TRUE,2,5,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
multifactor authentication is implemented for network access to non-privileged accounts.,3.5.3[d],d,IA.L2-3.5.3,TRUE,TRUE,2,5,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,Met,0,No message yet,0,default_system,Default System,default_system,objective
Determine if replay-resistant authentication mechanisms are implemented for network account access to privileged and non-privileged accounts.,3.5.4[a],a,IA.L2-3.5.4,FALSE,FALSE,2,1,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
a period within which identifiers cannot be reused is defined.,3.5.5[a],a,IA.L2-3.5.5,FALSE,FALSE,2,1,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
reuse of identifiers is prevented within the defined period.,3.5.5[b],b,IA.L2-3.5.5,FALSE,FALSE,2,1,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
a period of inactivity after which an identifier is disabled is defined.,3.5.6[a],a,IA.L2-3.5.6,FALSE,FALSE,2,1,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
identifiers are disabled after the defined period of inactivity.,3.5.6[b],b,IA.L2-3.5.6,TRUE,TRUE,2,1,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
password complexity requirements are defined.,3.5.7[a],a,IA.L2-3.5.7,FALSE,FALSE,2,1,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
password change of character requirements are defined.,3.5.7[b],b,IA.L2-3.5.7,FALSE,FALSE,2,1,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
minimum password complexity requirements as defined are enforced when new passwords are created.,3.5.7[c],c,IA.L2-3.5.7,FALSE,FALSE,2,1,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
minimum password change of character requirements as defined are enforced when new passwords are created.,3.5.7[d],d,IA.L2-3.5.7,FALSE,FALSE,2,1,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the number of generations during which a password cannot be reused is specified.,3.5.8[a],a,IA.L2-3.5.8,FALSE,FALSE,2,1,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
reuse of passwords is prohibited during the specified number of generations.,3.5.8[b],b,IA.L2-3.5.8,FALSE,FALSE,2,1,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
Determine if an immediate change to a permanent password is required when a temporary password is used for system logon.,3.5.9[a],a,IA.L2-3.5.9,TRUE,FALSE,2,1,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
passwords are cryptographically protected in storage.,3.5.10[a],a,IA.L2-3.5.10,FALSE,FALSE,2,5,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
passwords are cryptographically protected in transit.,3.5.10[b],b,IA.L2-3.5.10,TRUE,FALSE,2,5,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
Determine if authentication information is obscured during the authentication process.,3.5.11[a],a,IA.L2-3.5.11,FALSE,FALSE,2,1,0,CMMC ML 1,Identification and Authentication (IA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
an operational incident-handling capability is established.,3.6.1[a],a,IR.L2-3.6.1,FALSE,FALSE,2,5,0,CMMC ML 1,Incident Response (IR),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the operational incident-handling capability includes preparation.,3.6.1[b],b,IR.L2-3.6.1,FALSE,FALSE,2,5,0,CMMC ML 1,Incident Response (IR),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the operational incident-handling capability includes detection.,3.6.1[c],c,IR.L2-3.6.1,FALSE,FALSE,2,5,0,CMMC ML 1,Incident Response (IR),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the operational incident-handling capability includes analysis.,3.6.1[d],d,IR.L2-3.6.1,FALSE,FALSE,2,5,0,CMMC ML 1,Incident Response (IR),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the operational incident-handling capability includes containment.,3.6.1[e],e,IR.L2-3.6.1,FALSE,FALSE,2,5,0,CMMC ML 1,Incident Response (IR),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the operational incident-handling capability includes recovery.,3.6.1[f],f,IR.L2-3.6.1,FALSE,FALSE,2,5,0,CMMC ML 1,Incident Response (IR),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the operational incident-handling capability includes user response activities.,3.6.1[g],g,IR.L2-3.6.1,FALSE,FALSE,2,5,0,CMMC ML 1,Incident Response (IR),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
incidents are tracked.,3.6.2[a],a,IR.L2-3.6.2,FALSE,FALSE,2,5,0,CMMC ML 1,Incident Response (IR),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
incidents are documented.,3.6.2[b],b,IR.L2-3.6.2,FALSE,FALSE,2,5,0,CMMC ML 1,Incident Response (IR),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
authorities to whom incidents are to be reported are identified.,3.6.2[c],c,IR.L2-3.6.2,FALSE,FALSE,2,5,0,CMMC ML 1,Incident Response (IR),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
organizational officials to whom incidents are to be reported are identified.,3.6.2[d],d,IR.L2-3.6.2,FALSE,FALSE,2,5,0,CMMC ML 1,Incident Response (IR),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
identified authorities are notified of incidents.,3.6.2[e],e,IR.L2-3.6.2,FALSE,FALSE,2,5,0,CMMC ML 1,Incident Response (IR),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
identified organizational officials are notified of incidents.,3.6.2[f],f,IR.L2-3.6.2,FALSE,FALSE,2,5,0,CMMC ML 1,Incident Response (IR),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
Determine if the incident response capability is tested.,3.6.3[a],a,IR.L2-3.6.3,FALSE,FALSE,2,1,0,CMMC ML 1,Incident Response (IR),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
Determine if system maintenance is performed.,3.7.1[a],a,MA.L2-3.7.1,TRUE,FALSE,2,3,0,CMMC ML 1,Maintenance (MA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
tools used to conduct system maintenance are controlled.,3.7.2[a],a,MA.L2-3.7.2,FALSE,FALSE,2,5,0,CMMC ML 1,Maintenance (MA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
techniques used to conduct system maintenance are controlled.,3.7.2[b],b,MA.L2-3.7.2,FALSE,FALSE,2,5,0,CMMC ML 1,Maintenance (MA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
mechanisms used to conduct system maintenance are controlled.,3.7.2[c],c,MA.L2-3.7.2,FALSE,FALSE,2,5,0,CMMC ML 1,Maintenance (MA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
personnel used to conduct system maintenance are controlled.,3.7.2[d],d,MA.L2-3.7.2,FALSE,FALSE,2,5,0,CMMC ML 1,Maintenance (MA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
Determine if equipment to be removed from organizational spaces for off-site maintenance is sanitized of any CUI.,3.7.3[a],a,MA.L2-3.7.3,FALSE,FALSE,2,1,0,CMMC ML 1,Maintenance (MA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
Determine if media containing diagnostic and test programs are checked for malicious code before being used in organizational systems that process,3.7.4[a],a,MA.L2-3.7.4,FALSE,FALSE,2,3,0,CMMC ML 1,Maintenance (MA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
multifactor authentication is used to establish nonlocal maintenance sessions via external network connections.,3.7.5[a],a,MA.L2-3.7.5,TRUE,TRUE,2,5,0,CMMC ML 1,Maintenance (MA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
nonlocal maintenance sessions established via external network connections are terminated when nonlocal maintenance is complete.,3.7.5[b],b,MA.L2-3.7.5,TRUE,TRUE,2,5,0,CMMC ML 1,Maintenance (MA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
Determine if maintenance personnel without required access authorization are supervised during maintenance activities.,3.7.6[a],a,MA.L2-3.7.6,FALSE,FALSE,2,1,0,CMMC ML 1,Maintenance (MA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
paper media containing CUI is physically controlled.,3.8.1[a],a,MP.L2-3.8.1,FALSE,FALSE,2,3,0,CMMC ML 1,Media Protection (MP),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
digital media containing CUI is physically controlled.,3.8.1[b],b,MP.L2-3.8.1,FALSE,FALSE,2,3,0,CMMC ML 1,Media Protection (MP),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
paper media containing CUI is securely stored.,3.8.1[c],c,MP.L2-3.8.1,FALSE,FALSE,2,3,0,CMMC ML 1,Media Protection (MP),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
digital media containing CUI is securely stored.,3.8.1[d],d,MP.L2-3.8.1,FALSE,FALSE,2,3,0,CMMC ML 1,Media Protection (MP),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
Determine if access to CUI on system media is limited to authorized users.,3.8.2[a],a,MP.L2-3.8.2,FALSE,FALSE,2,3,0,CMMC ML 1,Media Protection (MP),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
system media containing CUI is sanitized or destroyed before disposal.,3.8.3[a],a,MP.L1-3.8.3,FALSE,FALSE,1,5,0,CMMC ML 1,Media Protection (MP),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
system media containing CUI is sanitized before it is released for reuse.,3.8.3[b],b,MP.L1-3.8.3,FALSE,FALSE,1,5,0,CMMC ML 1,Media Protection (MP),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
media containing CUI is marked with applicable CUI markings.,3.8.4[a],a,MP.L2-3.8.4,FALSE,FALSE,2,1,0,CMMC ML 1,Media Protection (MP),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
media containing CUI is marked with distribution limitations.,3.8.4[b],b,MP.L2-3.8.4,FALSE,FALSE,2,1,0,CMMC ML 1,Media Protection (MP),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
