"assessment_objective","assessment_objective_id","nist_control","raw_list","status_type"
"security functions are identified.","3.1.5[c]","3.1.5","3.1.5[c] security functions are identified.",objective
"access to security functions is authorized in accordance with the principle of least privilege.","3.1.5[d]","3.1.5","3.1.5[d] access to security functions is authorized in accordance with the principle of least privilege.",objective
"nonsecurity functions are identified.","3.1.6[a]","3.1.6","3.1.6[a] nonsecurity functions are identified.",objective
"users are required to use non-privileged accounts or roles when accessing nonsecurity functions.","3.1.6[b]","3.1.6","3.1.6[b] users are required to use non-privileged accounts or roles when accessing nonsecurity functions.",objective
"privileged functions are defined.","3.1.7[a]","3.1.7","3.1.7[a] privileged functions are defined.",objective
"non-privileged users are defined.","3.1.7[b]","3.1.7","3.1.7[b] non-privileged users are defined.",objective
"non-privileged users are prevented from executing privileged functions.","3.1.7[c]","3.1.7","3.1.7[c] non-privileged users are prevented from executing privileged functions.",objective
"the execution of privileged functions is captured in audit logs.","3.1.7[d]","3.1.7","3.1.7[d] the execution of privileged functions is captured in audit logs.",objective
"the means of limiting unsuccessful logon attempts is defined.","3.1.8[a]","3.1.8","3.1.8[a] the means of limiting unsuccessful logon attempts is defined.",objective
"the defined means of limiting unsuccessful logon attempts is implemented.","3.1.8[b]","3.1.8","3.1.8[b] the defined means of limiting unsuccessful logon attempts is implemented.",objective
"privacy and security notices required by CUI-specified rules are identified","3.1.9[a]","3.1.9","3.1.9[a] privacy and security notices required by CUI-specified rules are identified",objective
"privacy and security notices are displayed.","3.1.9[b]","3.1.9","3.1.9[b] privacy and security notices are displayed.",objective
"the period of inactivity after which the system initiates a session lock is defined.","3.1.10[a]","3.1.10","3.1.10[a] the period of inactivity after which the system initiates a session lock is defined.",objective
"access to the system and viewing of data is prevented by initiating a session lock after the defined period of inactivity.","3.1.10[b]","3.1.10","3.1.10[b] access to the system and viewing of data is prevented by initiating a session lock after the defined period of inactivity.",objective
"previously visible information is concealed via a pattern-hiding display after the defined period of inactivity.","3.1.10[c]","3.1.10","3.1.10[c] previously visible information is concealed via a pattern-hiding display after the defined period of inactivity.",objective
"conditions requiring a user session to terminate are defined.","3.1.11[a]","3.1.11","3.1.11[a] conditions requiring a user session to terminate are defined.",objective
"a user session is automatically terminated after any of the defined conditions occur.","3.1.11[b]","3.1.11","3.1.11[b] a user session is automatically terminated after any of the defined conditions occur.",objective
"remote access sessions are permitted.","3.1.12[a]","3.1.12","3.1.12[a] remote access sessions are permitted.",objective
"the types of permitted remote access are identified.","3.1.12[b]","3.1.12","3.1.12[b] the types of permitted remote access are identified.",objective
"remote access sessions are controlled.","3.1.12[c]","3.1.12","3.1.12[c] remote access sessions are controlled.",objective
"remote access sessions are monitored.","3.1.12[d]","3.1.12","3.1.12[d] remote access sessions are monitored.",objective
"cryptographic mechanisms to protect the confidentiality of remote access sessions are identified.","3.1.13[a]","3.1.13","3.1.13[a] cryptographic mechanisms to protect the confidentiality of remote access sessions are identified.",objective
"cryptographic mechanisms to protect the confidentiality of remote access sessions are implemented.","3.1.13[b]","3.1.13","3.1.13[b] cryptographic mechanisms to protect the confidentiality of remote access sessions are implemented.",objective
"managed access control points are identified and implemented.","3.1.14[a]","3.1.14","3.1.14[a] managed access control points are identified and implemented.",objective
"remote access is routed through managed network access control points.","3.1.14[b]","3.1.14","3.1.14[b] remote access is routed through managed network access control points.",objective
