_time,process_path,process_name,dest,user,action,count,process,storedTime
1610990688,"C:\Users\roman\Downloads\RemoteDLLInjector","RemoteDLLInjector64.exe","DESKTOP-I6468Q2",roman,allowed,1,"RemoteDLLInjector64.exe",1610990688
1610990590,"C:\Users\roman\Downloads\Kaperski","kavremover.exe","DESKTOP-I6468Q2",roman,allowed,1,"kavremover.exe",1610990590
1610991585,"C:\Users\roman\Downloads\Kaperski","kavremover.exe","DESKTOP-I6468Q2",roman,allowed,1,"kavremover.exe",1610991585
1610991571,"C:\Users\roman\Downloads\RemoteDLLInjector","RemoteDLLInjector64.exe","DESKTOP-I6468Q2",roman,allowed,1,"RemoteDLLInjector64.exe",1610991571
1610991000,"C:\Users\sydvishus\Downloads\RemoteDLLInjector","SolarWinds.Agent.exe",sygahertz,sydvishus,blocked,1,"SolarWinds.Agent.exe",1610991676
1610991000,"\\novax\pub\Upload\Kapersky","kavremover.exe",sygahertz,sydvishus,blocked,1,"kavremover.exe",1610991667
1610992191,"C:\Users\roman\Downloads\Kaperski","kavremover.exe","DESKTOP-I6468Q2",roman,allowed,1,"kavremover.exe",1610992191
1610992170,"C:\Users\roman\Downloads\RemoteDLLInjector","RemoteDLLInjector64.exe","DESKTOP-I6468Q2",roman,allowed,1,"RemoteDLLInjector64.exe",1610992170
1610992747,"C:\Users\roman\Downloads\Kaperski","kavremover.exe","DESKTOP-I6468Q2",roman,allowed,1,"kavremover.exe",1610992747
1610992728,"C:\Users\roman\Downloads\RemoteDLLInjector","RemoteDLLInjector64.exe","DESKTOP-I6468Q2",roman,allowed,1,"RemoteDLLInjector64.exe",1610992728
1610992800,"C:\Users\sydvishus\Downloads\RemoteDLLInjector","SolarWinds.Agent.exe",sygahertz,sydvishus,blocked,1,"SolarWinds.Agent.exe",1610992882
1610992800,"\\novax\pub\Upload\Kapersky","kavremover.exe",sygahertz,sydvishus,blocked,1,"kavremover.exe",1610992825
1610993205,"C:\Users\roman\Downloads\Kaperski","kavremover.exe","sw-win10",roman,allowed,1,"kavremover.exe",1610993205
1610992800,"C:\Users\roman\Downloads\RemoteDLLInjector","RemoteDLLInjector64.exe","sw-win10",roman,allowed,2,"RemoteDLLInjector64.exe",1610993185
1610993698,"C:\Users\roman\Downloads\RemoteDLLInjector","RemoteDLLInjector64.exe","sw-win10",roman,allowed,1,"RemoteDLLInjector64.exe",1610993698
1610993663,"C:\Users\roman\Downloads\Kaperski","kavremover.exe","sw-win10",roman,allowed,1,"kavremover.exe",1610993663
1610993640,"C:\Users\sydvishus\Downloads\RemoteDLLInjector","SolarWinds.Agent.exe",sygahertz,sydvishus,blocked,1,"SolarWinds.Agent.exe",1610993640
1610993637,"\\novax\pub\Upload\Kapersky","kavremover.exe",sygahertz,sydvishus,blocked,1,"kavremover.exe",1610993637
1610994462,"C:\Users\roman\Downloads\Kaperski","kavremover.exe","sw-win10",roman,allowed,1,"kavremover.exe",1610994462
1610994443,"C:\Users\roman\Downloads\RemoteDLLInjector","RemoteDLLInjector64.exe","sw-win10",roman,allowed,1,"RemoteDLLInjector64.exe",1610994443
1610994428,"\\novax\pub\Upload\Kapersky","kavremover.exe",sygahertz,sydvishus,blocked,1,"kavremover.exe",1610994428
1610994412,"C:\Users\sydvishus\Downloads\RemoteDLLInjector","SolarWinds.Agent.exe",sygahertz,sydvishus,blocked,1,"SolarWinds.Agent.exe",1610994412
1610995331,"C:\Users\roman\Downloads\RemoteDLLInjector","RemoteDLLInjector64.exe","sw-win10",roman,allowed,1,"RemoteDLLInjector64.exe",1610995331
1610995300,"C:\Users\roman\Downloads\Kaperski","kavremover.exe","sw-win10",roman,allowed,1,"kavremover.exe",1610995300
1610994600,"C:\Users\sydvishus\Downloads\RemoteDLLInjector","SolarWinds.Agent.exe",sygahertz,sydvishus,blocked,1,"SolarWinds.Agent.exe",1610995284
1610994600,"\\novax\pub\Upload\Kapersky","kavremover.exe",sygahertz,sydvishus,blocked,1,"kavremover.exe",1610995282
1611006535,"C:\Users\roman\Downloads\Kaperski","kavremover.exe","sw-win10",roman,allowed,1,"kavremover.exe",1611006535
1611006515,"C:\Users\roman\Downloads\RemoteDLLInjector","RemoteDLLInjector64.exe","sw-win10",roman,allowed,1,"RemoteDLLInjector64.exe",1611006515
1611006500,"\\novax\pub\Upload\Kapersky","kavremover.exe",sygahertz,sydvishus,blocked,1,"kavremover.exe",1611006500
1611006475,"C:\Users\sydvishus\Downloads\RemoteDLLInjector","SolarWinds.Agent.exe",sygahertz,sydvishus,blocked,1,"SolarWinds.Agent.exe",1611006475
1611079136,"C:\Users\roman\Downloads\RemoteDLLInjector","RemoteDLLInjector64.exe","sw-win10",roman,allowed,1,"RemoteDLLInjector64.exe",1611079136
1611077400,"\\novax\pub\Upload\Kapersky","kavremover.exe",sygahertz,sydvishus,blocked,1,"kavremover.exe",1611078957
1611077400,"C:\Users\sydvishus\Downloads\RemoteDLLInjector","SolarWinds.Agent.exe",sygahertz,sydvishus,blocked,1,"SolarWinds.Agent.exe",1611078936
1611082451,"C:\Users\roman\Downloads\RemoteDLLInjector","RemoteDLLInjector64.exe","sw-win10",roman,allowed,1,"RemoteDLLInjector64.exe",1611082451
1611082782,"C:\Users\roman\Downloads\RemoteDLLInjector\Gears5","gears5.exe","sw-win10",roman,allowed,1,"gears5.exe",1611082782
1611082651,"C:\Users\sydvishus\Downloads\RemoteDLLInjector","SolarWinds.Agent.exe",sygahertz,sydvishus,blocked,1,"SolarWinds.Agent.exe",1611082651
1611082643,"\\novax\pub\Upload\Kapersky","kavremover.exe",sygahertz,sydvishus,blocked,1,"kavremover.exe",1611082643
1611081000,"C:\Users\roman\Downloads\RemoteDLLInjector","RemoteDLLInjector64.exe","sw-win10",roman,allowed,2,"RemoteDLLInjector64.exe",1611082573
1611081000,"C:\Users\roman\Downloads\Kaperski","kavremover.exe","sw-win10",roman,allowed,1,"kavremover.exe",1611082561
1611084492,"C:\Users\roman\Downloads\Kaperski","kavremover.exe","sw-win10",roman,allowed,1,"kavremover.exe",1611084492
1611084469,"C:\Users\roman\Downloads\RemoteDLLInjector\Gears5","gears5.exe","sw-win10",roman,allowed,1,"gears5.exe",1611084469
1611084458,"C:\Users\sydvishus\Downloads\RemoteDLLInjector","SolarWinds.Agent.exe",sygahertz,sydvishus,blocked,1,"SolarWinds.Agent.exe",1611084458
1611084455,"\\novax\pub\Upload\Kapersky","kavremover.exe",sygahertz,sydvishus,blocked,1,"kavremover.exe",1611084455
1611086400,"C:\Users\sydvishus\Downloads\RemoteDLLInjector","SolarWinds.Agent.exe",sygahertz,sydvishus,blocked,1,"SolarWinds.Agent.exe",1611086743
1611088369,"C:\Users\sydvishus\Downloads\RemoteDLLInjector","SolarWinds.Agent.exe",sygahertz,sydvishus,blocked,1,"SolarWinds.Agent.exe",1611088369
1611088323,"C:\Users\roman\Downloads\RemoteDLLInjector\Gears5","gears5.exe","sw-win10",roman,allowed,1,"gears5.exe",1611088323
1611089647,"C:\Users\roman\Downloads\Kaperski","kavremover.exe","sw-win10",roman,allowed,1,"kavremover.exe",1611089647
1611089563,"C:\Users\roman\Downloads\RemoteDLLInjector\Gears5","gears5.exe","sw-win10",roman,allowed,1,"gears5.exe",1611089563
1611089552,"C:\Users\sydvishus\Downloads\RemoteDLLInjector","SolarWinds.Agent.exe",sygahertz,sydvishus,blocked,1,"SolarWinds.Agent.exe",1611089552
