asn,asname
22018,"Taunton Municipal Lighting Plant"
22020,"Magpie Internet Communications, Corp."
22022,"Hub Group, Inc."
22023,"Machine Zone, Inc."
22024,Splunk
22027,"WORKNET INC."
22028,"Texas Life Insurance Company"
22030,Zipcon
22032,"Ocean Reef Club, Inc."
22034,"MCMASTER CARR SUPPLY COMPANY"
22035,"SAVE THE CHILDREN"
22036,"Dealertrack, Inc."
22038,"New Prime, Inc."
22039,SAM
22040,"Linxus Internet, LLC"
22041,"Comtech EF Data"
22042,"Flow Traders US LLC"
22043,"STERIS Corporation"
22044,"Ladder Capital Finance LLC"
22046,"Corserva, Inc."
22047,"VTR BANDA ANCHA S.A."
22048,"Whole Foods Market, Inc."
22049,"InternetNamesForBusiness.com"
22050,"School District of Lancaster"
22051,"Bristol Tennessee Essential Services"
22053,"Arena One, LLC"
22054,"Hood Canal Communications"
22055,"Banco Central do Brasil"
22056,Sitel
22057,"SAP America Inc."
22058,"SUMMIT-VOICE"
22060,"Netspectrum Wireless Internet Solutions"
22062,"GeoStar, LLC."
22063,
22064,"FX Alliance, LLC"
22065,"LPL Financial"
22066,"City of Eau Claire"
22067,"AMERIPRISE FINANCIAL SERVICES, INC."
22068,"Tyler Junior College"
22069,"CCT Global Communications"
22070,"Blue Ridge Websoft, LLC"
22071,"TradingScreen INC"
22073,"City of Glendale"
22075,"Outbrain, Inc."
22076,"NewsBank Inc."
22077,"Renaissance Technologies Corp."
22079,"Alaska Power & Telephone Company"
22080,"Broadbandtech S. A."
22081,CITILAB
22082,"Digital Site Systems, Inc."
22083,"Memorial Health Care System"
22084,"John Hagee Ministries"
22085,"Claro S/A"
22087,"Sears Holdings Management Corporation"
22088,"City of Edmonds"
22089,"Hallmark Cards Inc."
22092,"TELEFÔNICA BRASIL S.A"
22093,"Cleveland Clinic Foundation"
22096,"UNITED WATER"
22097,"K&L Gates, LLP"
22098,"The Capital Group Companies, Inc."
22101,"Cyber Point International, LLC"
22102,"Texas Broadband Inc."
22103,"Nextiva, Inc."
22104,"Gelber Group, LLC"
22106,"Samsung SDS America, Inc."
22107,CollabNet
22108,"Research International Ltd."
22109,"Universal Insurance Group"
22110,"Ligtel Communications"
22111,"Mattersight Corporation"
22112,"Standard Register Co."
22113,"Belair Technologies"
22115,"AS-YOUMAKER"
22116,"Xcast Labs Inc"
22119,"LEE-EQ1"
22120,"LifeWay Christian Resources"
22121,"Topsham Communications LLC"
22122,"Universidad Autónoma de Yucatán"
22123,"Yampa Valley Medical Center"
22124,"Finnegan, Henderson, Farabow, Garrett &Dunner, LLP"
22125,"PNC Bank"
22127,"Honda Aircraft Company LLC"
22128,"Grupo Editorial Sinos S/A"
22129,"Task Software Ltda"
22130,"Doctor's Associates Inc."
22132,"Internap Corporation"
22133,"Octet Brasil Ltda"
22134,"PetSmart, Inc."
22135,"Skechers USA"
22136,"New York Connect"
22137,"Blood Center of Wisconsin, Inc."
22138,"Farm to Market Broadband, LP"
22140,"T-Mobile USA, Inc."
22142,"Fiserv Solutions Inc."
22143,"Apptio, Inc."
22144,"Chapman and Cutler"
22145,"Rurbanc Data Services, Inc."
22146,"LandAmerica Financial Group, Inc."
22147,"Open Contributors Corporation for Advanced Internet Development, Inc."
22148,"MPS Informatica"
22150,"Carrierhouse Corp."
22151,"Brean Murray & Co., Inc."
22152,"Vertex Telecom, Inc."
22153,"Pacxa Holding"
22154,"Nu Tech Software Solutions, Inc."
22155,"Mine Safety Appliances"
22156,"MediaNet Digital, Inc."
22157,mGage
22159,"State University of New York, Central"
22160,"First Communications LLC"
22163,"Texas A&M University System Health Science Center"
22164,"Clark County School District"
22167,Fintech
22169,"Omnis Network, LLC"
22171,"IP Services"
22172,"Mitchell International"
22174,"State University of New York College ofTechnology at Alfred"
22177,"Transit do Brasil S/A"
22178,"Senate of Pennsylvania"
22179,"Links Technology Solutions, Inc."
22180,"POWER POINT COMPUTER CENTERS"
22181,"IV NET, LLP"
22182,"LSG Sky Chefs"
22184,"IRIDIUM SATELLITE,LLC"
22185,"TELEFONICA-UNIDAD LARGA DISTANCIA"
22186,"CenturyLink Communications, LLC"
22187,"Rauland-Borg Corporation"
22188,"Solantic Corporation"
22190,"Knight Capital Group, Inc"
22191,"Wilkes Communications, Inc."
22192,"Pennsylvania State System of Higher Education"
22196,"NeuLion, Inc."
22197,"Apps Communications"
22198,"Lafayette College"
22199,"MegaPath Corporation"
22200,"Bloomingdale Communications Inc."
22202,"Confirmit, Inc."
22203,"Navitaire, Inc."
22204,"Aceto Corporation"
22205,"DataPipe, Inc."
22206,"Evangelical Lutheran Good Samaritan Society"
22208,"Chicago Trading Company"
22209,"RUDYS INFLIGHT CATERING"
22210,"Republic Wireless"
22211,"Internap Corporation"
22213,"Salk Institute"
22215,"Black Hills State University"
22216,"Siemens Corporation"
22217,"Calvin College"
22218,"ITC Global"
22220,"Electronic Arts, Inc."
22221,"National General Management Corp."
22222,"Omaha Steaks"
22223,"MVTV Wireless"
22225,"Prestige Brands, Inc."
22226,"San Francisco Unified School District"
22227,"BAC International Bank"
22228,"Tokyo Electron U.S. Holdings, Inc."
22229,"WORLDPAC INC."
22230,NetDocuments
22231,"Entercom Communications Corporation"
22232,"NuNet Inc."
22233,"City National Bank of Florida"
22234,"The Related Companies, Inc."
22235,AccountabillT
22236,"The Citizens Savings Bank"
22237,"Innovative Communications, Inc."
22238,"Defense Advanced Research Projects Agency(DARPA)"
22239,"Trading Technologies Intl, Inc."
22241,IC2NET
22243,"CentraComm Communications"
22244,"Motorola, Inc."
22245,"Wichita State University"
22246,"Nasdaq, Inc."
22247,"LeTourneau University"
22249,"MAXELL CORPORATION OF AMERICA"
22250,"ABRANET- Associação Brasileira de Internet"
22251,REMC
22252,"The City of New York"
22253,"IHIRE LLC"
22255,"Allegheny Health Network"
22257,1025Connect
22258,"Comcast Cable Communications, LLC"
22259,"Vita-Mix Corporation"
22260,"The Bank of New York Mellon Corporation"
22261,"San Diego County Water Authority"
22262,IdenTrust
22263,"Norman Regional Health System"
22264,"BlackMesh Inc."
22265,"GENESIS SYSTEMS, LLC"
22266,"KNIGHT TRANSPORTATION"
22268,"LEVEL365 HOLDINGS LLC"
22270,"Bangor Savings Bank"
22271,"Cablevision Systems Corp."
22272,
22273,"Great West Casualty Company"
22274,"SMP-VIR"
22275,"Securenet Systems, Inc."
22276,"BankUnited NA"
22280,"MCI Communications Services, Inc. d/b/a Verizon Business"
22281,"VirtualComplete, LLC"
22282,"The Cosmopolitan of Las Vegas"
22283,"Sidley Austin Brown & Wood"
22284,
22288,"Republic First Bancorp, Inc."
22289,CEFCU
22290,"Ventas, Inc."
22291,"Charter Communications"
22292,"McDonald's Corporation"
22293,"InfoSpace Holdings, LLC"
22294,"ROTECH-HEALTHCARE"
22295,"MCI Communications Services, Inc. d/b/a Verizon Business"
22297,"Jelecos LLC"
22299,"GCR Company/GCR Online"
22300,"Wikia, Inc."
22301,"MDA Information Systems, Inc."
22302,"INOC, LLC"
22303,"SUNY College at New Paltz"
22304,"City of Marietta"
22306,"eGov Jamaica Limited"
22308,"Vidyo, Inc."
22309,"Kitsap Credit Union"
22310,"LIFE Outreach International"
22312,"TECO Energy, Inc."
22313,Supercable
22314,"Communications Corporation of America"
22315,"San Bernardino County Superintendent of Schools"
22316,"COTC Connections"
22317,"F5 Networks, Inc."
22319,"Fogo Data Centers"
22320,"Miami Valley Educational Computer Association"
22321,PlumChoice
22322,"CABLE CO-OP"
22323,"University of California, Merced"
22324,"XTEL Communications"
22326,"D.R.Horton, Inc"
22328,"Cedars-Sinai Health Systems"
22330,"Catalina Marketing Corporation"
22332,"Western Digital Corporation"
22333,ABE
22334,"Ferguson Enterprises, Inc."
22335,"Metropolitan Research and Education Network"
22336,"Pella Corporation"
22337,"DVS Solutions"
22338,
22339,"Connect First Credit Union"
22340,"ACTIONTEC ELECTRONICS, INC."
22341,"Rede de Telecomunicações para o Mercado Ltda"
22342,"The Commonwealth Medical College"
22343,"Telesphere Networks Ltd."
22344,"ABC Supply Co."
22345,"Solix, Inc."
22346,"Newroads Telecom"
22347,"Dorsey & Whitney LLP"
22348,"Glenview State Bank"
22349,"DCS Corporation"
22350,"ECMD INC."
22351,"INTELSAT GLOBAL SERVICE CORPORATION"
22352,"Applied Technology Group Inc."
22353,"Taylor Telephone Cooperative, Inc."
22354,"UNIV-DAR"
22355,FROGFOOT
22356,"Durand do Brasil Ltda"
22357,"Health Diagnostic Laboratory, Inc."
22358,"VERDUGO-FIRE-COMM-CENTER-1"
22359,"AT&T Services, Inc."
22360,"REDHAT-2"
22361,"Believe Wireless, LLC."
22362,"Global Tel*link Corporation"
22363,"Powerhouse Management, Inc."
22364,"Telefonica USA, Inc."
22366,Flanders
22368,"TELEBUCARAMANGA S.A. E.S.P."
22369,"Ace Cash Express"
22370,"SAP America, Inc."
22372,"Halifax International Airport Authority"
22375,"First Advantage Membership Services INC."
22377,"American Traffic Solutions, Inc"
22378,"Matrix Consulting, LLC"
22379,"Manifold Services Inc"
22381,"Megatelecom Telecomunicacoes Ltda"
22384,"NationalNet, Inc."
22385,"Janney Montgomery Scott, LLC"
22386,SARB
22388,"Indiana University"
22389,COURSERA
22390,"XEROX CORPORATION"
22391,"Bexar County - Information Services"
22393,"Halifax Regional Municipality"
22394,"Cellco Partnership DBA Verizon Wireless"
22395,"Tornado Computer Systems, Inc."
22396,"Lanvera Ltd"
22397,"Skyline Broadband Service"
22398,"NT&T"
22399,"Commerzbank AG"
22400,"Web2Objects LLC"
22401,"Public Financial Management, Inc."
22402,"Nextera Communications LLC"
22403,"TRINICOM COMMUNICATIONS"
22404,"NUCLEUS-INC-2"
22405,"Westchester Jewish Community Services"
22406,"Harte-Hanks/Direct"
22407,"Acesso a Internet Rápido Ltda."
22408,"West Ky Networks"
22411,"WIGO S.A."
22412,ADVGLOBAL
22413,"empower, Delivered by Craighead Electric"
22414,"Craigslist, Inc."
22415,"AvantWireless LLC"
22416,"Level 3 Parent, LLC"
22417,"New York Central Mutual Fire Insurance Company"
22418,Cologuard
22419,"ACN, INC"
22420,"Resorts World Casino New York City"
22421,"TCC Networks LLC"
22422,"Board of Elections in the City of New York"
22423,"Altima Telecom"
22424,"Corporation of The District of North Vancouver"
22425,"Finish Line"
22426,"Intrinium, Inc."
22430,"LSV Advisors, L.L.C"
22431,"SERVICOS TELECOM DES E COM SOFT LTDA"
22432,"INSURANCE DATA PROCESSING, INC."
22433,"Human Resource Management Center, Inc."
22435,"Oracle Corporation"
22436,"SonicNet Inc."
22438,"Clear Rate Communications, Inc."
22439,"Perfect International, Inc"
22441,"Whitworth University"
22442,"Phonoscope, Inc."
22444,USCOLD
22445,"Mohawk Industries, Inc."
22446,"Medline Industries"
22447,"Sleepy's LLC."
22448,"Microcomputer Specialists, Inc."
22449,"Earth Networks, Inc."
22450,"Xobee Networks Inc."
22451,"Halifax Regional Hospital"
22452,"Nominum, Inc"
22455,"ESL Federal Credit Union"
22457,"Corridor Communications, INC."
22458,"NetSource Communications, Inc."
22460,"PepsiCo, Inc."
22461,"Mercedes Independent School District"
22462,"NOLA BROADBAND INC"
22463,"CDK Global, LLC"
22464,"Northeast Louisiana Telephone Company, Inc."
22466,"Wallowa Valley Networks, LLC"
22469,"PRIMEDIA, INC."
22470,"National Board of Medical Examiners"
22471,"Mote Marine Laboratory"
22472,"Florida Supreme Court"
22473,"Salt Lake City Corporation"
22474,"Saint Luke's Health System"
22475,"MVP Health Plan Inc."
22476,"Communication Nunetworx Inc."
22478,"LS Power Development, LLC"
22479,"SUNY Westchester Community College"
22480,"Beulahland Communications, Inc"
22481,"Audio Visual Services Group, Inc. (AVSG)"
22482,"Towerstream I, Inc."
22483,IXI
22484,"NTT America, Inc."
22485,"Montana Opticom, LLC"
22487,"Valencia College"
22488,"Cengage Learning Inc"
22489,"Castle Access Inc"
22490,"The Nerdery, LLC"
22491,"The Travel Corporation (Canada) Ltd."
22494,"7098693 Canada Inc."
22495,"Simon Property Group LP"
22496,"Lime Brokerage, LLC"
22497,EXOSPEC
22498,"Pinellas County Government"
22500,"MAW COMMUNICATIONS"
22501,"Cooperativa Telefonica Carlos Tejedor Ltda."
22502,"Covance Central Laboratory Services Inc."
22504,"LORETTO COMMUNICATION SERVICES, INC."
22505,"Izaak Walton Killam Health Centre"
22506,"EnteroMedics Inc."
22507,"Sprouts Farmers Market"
22509,Banfield
22510,"Braintree Payment Solutions, LLC"
22511,"Presidio Networked Solutions, Inc."
22512,OpenBSD
22515,"DEPARTAMENTO DE POLICIA FEDERAL"
22517,"Pinger, Inc"
22518,"Pandora Media, Inc"
22522,"United Launch Alliance, LLC"
22523,"State of NM Administrative Office of the Courts"
22524,"Spartanburg Steel Holdings, Inc"
22525,"Atalanta Sosnoff Capital, LLC"
22527,"Safeway, Inc."
22528,"M/A/R/C INC"
22530,"Dialink Corporation"
22532,"SHORCAN BROKERS LIMITED"
22534,"CS Technologies"
22535,"EPL INC"
22536,"Telerent Leasing Corporation"
22537,"Albemarle Corp"
22538,"Level 3 Parent, LLC"
22539,
22540,"Vaisala, Inc."
22541,MegaLink
22542,GRAEB
22546,"Weyerhaeuser Company"
22547,"VeriSign Global Registry Services"
22548,"Núcleo de Inf. e Coord. do Ponto BR - NIC."
22549,"PBX-Change"
22550,"EXP-TOR2007A"
22551,"Municipality of Anchorage"
22552,"eSited Solutions"
22553,"The Economist Group"
22554,"The Pew Charitable Trusts"
22555,"Smart Networks,LLC"
22556,"Blackboard Inc."
22557,"Rightside Group LTD"
22559,"Genomics Institute of the Novartis Research Foundation"
22561,"CenturyLink Communications, LLC"
22562,"Computer Sciences Corporation"
22564,"Trabon Solutions"
22565,Yahoo
22566,"Maxcom Telecomunicaciones, S.A.B. de C.V."
22567,"CWGS ENTERPRISES, LLC"
22568,"AS-SKYFI"
22569,"ADS-17-22569"
22571,"DataBank Holdings, Ltd."
22572,"INFOSAT-IP"
22573,"Northwestel Inc."
22574,"CocoNet Corporation"
22575,"MassMutual Financial Services"
22576,"DataPipe, Inc."
22578,"Kollective Technology, Inc."
22579,"Butler Memorial Hospital"
22580,"GUARD INSURANCE GROUP"
22581,"Broadband VI, LLC"
22582,"Luminex Corporation"
22584,"Shentel Communications, LLC"
22585,"VIP COMMUNICATIONS INC"
22586,"Gulfstream Aerospace Corporation"
22587,DotsConnect
22588,"DOMINION ENTERPRISES"
22589,"QC Holdings, Inc."
22590,"SKAGIT-COUNTY-PUBLIC-HOSPITAL-DISTRICT-2"
22591,"Decho Corporation"
22592,"HBP, Inc."
22593,"Blue Cross and Blue Shield of North Carolina"
22594,"University of Northern Iowa"
22596,"Marketing Software Company"
22598,"ALENCO COMMUNICATIONS, INC"
22599,"MARATHON HEALTH LLC"
22600,"San Francisco Superior Court"
22601,"Bonneville Power Administration"
22602,"Experient Inc."
22603,"Inetking Internet Services"
22604,"Disney Streaming Services"
22605,"RACKBUNKER-PRIMARY-01"
22606,"ExactTarget, Inc."
22607,"Des Moines University"
22608,"Public Utility District No. 1 of Okanogan County"
22609,"Intertape Polymer Corp"
22610,"CVH-NETBLK-1"
22611,"InMotion Hosting, Inc."
22612,"Namecheap, Inc."
22613,
22615,"Monroe County Community School Corporation"
22616,"ZSCALER, INC."
22617,"Superior Court of California, County of Sacramento"
22618,"Gannett Welsh & Kotler LLC"
22620,"The Board of Pensions of the Presbyterian Church (USA)"
22621,"UniGroup, INC"
22623,"FortisAlberta Inc."
22624,"Fremont Bank"
22625,FORTRUST
22626,"Virtual Citadel Inc."
22629,"NORTHWESTERN CORPORATION"
22630,"EMMA-TECH-SOL"
22631,"SURFAIRWIRELESS-IN-01"
22632,"DakotaPro.biz"
22633,"Fisher Brothers"
22634,"Ubisoft Entertainment"
22635,"AliMed, Inc."
22636,"Nova Scotia Power, Inc."
22637,Arialink
22638,"The Philadelphia Orchestra Association"
22639,"Cooptel Coop de Telecommunication"
22640,"Hansen ICC, LLC"
22641,NNPI
22643,WestEd
22644,"Thomas Jefferson University Hospitals"
22645,"North Texas GigaPOP"
22646,"Hargray Communications Group, Inc."
22647,"Fairpoint Communications"
22648,"Southwest Gas Corporation"
22649,"Aftermarket Technologies Corp"
22650,Citigroup
22651,"AKRF, Inc."
22652,"Fibrenoire Inc."
22653,"Cyber Wurx LLC"
22654,"Novani, LLC"
22655,"AGDATA, LP"
22656,"SINE-NOMINE-ASSC"
22657,Proxios
22658,"Earthnet, Inc."
22659,KK8880
22660,"Cleveland Indians Baseball Company Limited Partnership"
22662,"ASSIA, INC."
22663,"Prominic.NET, Inc."
22664,"Custom Network Solutions"
22666,"Glenbrook High School District"
22667,"Vista Broadband Networks, Inc."
22668,"SPARTA-COMMUNITY-HOSPITAL"
22669,"CNA National Warranty Corporation"
22671,"American Association for the Advancement of Science"
22673,"Turbine Inc."
22674,"Southern Wine & Spirits of America, Inc."
22675,"MASTERBRAND CABINETS, INC."
22676,Telentia
22678,OSDE
22680,"Align Technology, Inc."
22681,"Blue Nile, Inc"
22682,"PRAIRIE-SKY-WIRELESS"
22683,"Koninklijke Philips N.V."
22684,"SSI Micro Ltd."
22686,"University of Winnipeg"
22687,"L3 NETWORKS INC"
22688,"Dollar General Corporation"
22689,"Sercomtel Participações S.A."
22690,"AxiomNET-AS"
22691,"ISPnet, Inc."
22693,"Albany Schoharie Schenectady BOCES"
22694,"Kentucky Educational Computing Network"
22695,"Playground Global, LLC"
22696,"CB&I"
22697,Roblox
22698,"AVANTEL SAS"
22699,"First Data Conosur S.A."
22700,"University of San Francisco"
22702,"X5 Solutions, Inc."
22703,"Anthem Blue Cross Blue Shield"
22704,"CEI-COLLEGE-OF-EASTERN-IDAHO"
22705,"Placements Montrusco Bolton Investments"
22706,"Matsunaka & Matsunaka Ltda - ME"
22707,"TECTURA CORPORATION"
22708,"CAVALIERS OPERATING CO LLC."
22709,"North State Telephone Co."
22711,"Genworth North America Corporation"
22712,"POSHMARK Inc."
22713,"Credit Acceptance Corporation"
22714,"SJC-ASN-01"
22716,"LOGIC-32-22716"
22717,"Halliburton Company"
22718,"Brownsville Public Utilities Board"
22720,"Rackspace Hosting"
22721,"Saint Peter's University"
22722,"SevOne, Inc."
22723,"United Nations"
22724,"PUNTONET S.A."
22725,"HOME-COMMUNICATIONS-INC"
22726,"C.A. Vencemos"
22727,"US Data Net"
22728,"Software Information Systems, LLC"
22731,MTB
22732,"Kitsap Regional Library"
22733,"West Georgia Medical Center"
22734,"DeVry University"
22735,"Govt-Namibia"
22736,
22738,"LanLogic,Inc."
22739,"Brigham Young University Hawaii"
22740,"Level 3 Parent, LLC"
22741,"LAURENS-ELECTRIC"
22742,"Connecticut Education Network"
22743,"CenturyLink Communications, LLC"
22744,"WRIGHT EXPRESS CORPORATION"
22746,"Lincoln County Telephone System, Inc."
22747,TulsaConnect
22748,"SkyNet Canada Wireless Network Inc."
22750,BCSNET
22751,"Mothic Technologies LLC"
22752,"MCJUNKIN CORPORATION"
22753,"Red Hat, Inc."
22754,"General Atlantic Service Corp."
22755,"Davis Vision Inc."
22757,"City of Akron"
22758,"Sapient Corporation"
22759,"Wave Broadband"
22760,ECNMEDIA
22761,"Corsair Components, Inc."
22762,"OppenheimerFunds, Inc."
22763,"DUCKS UNLIMITED, INC."
22764,"Fluor Enterprises, Inc."
22765,"Nelsonville TV Cable Inc"
22766,"The Ontario Educational Communications Authority"
22767,"National Aeronautics and Space Administration"
22768,"SYNERGY BROADBAND"
22769,"DDOSING NETWORK"
22770,"Wheels Inc."
22771,"The Common Fund"
22772,"Login, Inc."
22773,"Cox Communications Inc."
22774,"MCI Communications Services, Inc. d/b/a Verizon Business"
22775,"Moore Capital Management"
22776,"Continental Resources"
22778,"Amarr Garage Doors"
22779,"Asgaard Holdings, LLC"
22781,"Strong Technology, LLC."
22782,"Texas A&M University"
22783,"WebPower, Inc."
22784,"SOUTH-ISLAND-NET"
22785,"GLACIER BANCORP INC"
22787,"Arris Group, Inc"
22788,"Katy Independent School District"
22790,"Advanced Computer Technologies, LLC"
22791,"MSD Capital, L.P."
22792,MOUNTAINET
22793,"PTS Data Center Solutions, Inc"
22794,"AQR CAPITAL MANAGEMENT LLC"
22795,"ABOUT, INC."
22796,"Campus Crusade for Christ, Inc."
22798,"RED LINK S.A."
22799,"Delta Cable Communications Ltd."
22800,"IRVINE COMMUNITY TELEVISION"
22801,"Boston Colocation, Inc."
22802,"Amerisure Mutual Insurance Company"
22803,"National Oilwell Varco, Inc."
22804,"Ideal Integrations, Inc."
22805,"CNL Financial Group Inc."
22807,"CINEMARK USA, INC"
22808,"LION RESOURCES, INC."
22809,"American Family Insurance"
22810,"Brooks Automation Inc."
22811,"Wilson, Sonsini, Goodrich & Rosati, Professional Corporation"
22812,"Automatic Data Processing, Inc."
22813,"ROMAN CATHOLIC ARCHDIOCESE BOSTON"
22814,"Franchise Services, Inc."
22815,"Kelly and Associates Insurance Group"
22817,"Compass Bank"
22819,"Fundação Universidade de Caxias do Sul"
22820,"Cybera, Inc."
22821,AIPSO
22822,"Limelight Networks, Inc."
22825,"RCLS-INTERNET"
22826,"Caliper Corporation"
22827,"Smart City Networks, L.P."
22828,"Parklawn Computer Center / DIMES HQ"
22829,FreedomNet
22830,
22831,"THE SCIENTIFIC CONSULTING GROUP, INC"
22834,"Boston College"
22835,"Beveridge & Diamond, P.C."
22837,"Mighty Oak Technology"
22838,"CONOPCO, INC."
22840,"ATC IP LLC"
22841,"Northampton Community College"
22842,"Butler County Community College"
22843,"Proofpoint, Inc."
22844,"TRADER JOE'S COMPANY"
22845,"Virginia Community College System"
22846,"DIRECTV Latin America, LLC"
22847,"Bowdoin College"
22848,"XLIT Ltd."
22851,"Northern State University"
22854,"Catawba College"
22855,"Cardinal Health, Inc."
22857,"Constellation Brands, Inc."
22860,"SERVICIOS INTERNET LTDA"
22861,"Camp Communication Services, INC"
22863,"NBS Payment Solutions Inc."
22864,"The University of Texas - Pan American"
22866,AECOM
22867,"Hearst Connect Corporation"
22868,"BDP International"
22869,"CABLECOLOR S.A."
22870,"Syniverse Technologies, LLC"
22871,CHA
22873,"Neighbourhood Connect"
22875,"Life University, INC."
22876,"JOHNSON & JOHNSON BR IND.COM.PR.SAUDE LT"
22877,"University of Maryland University College"
22878,"ACENET, INC."
22879,"Sirus, Inc"
22880,"PRIMED MANAGEMENT CONSULTING INC"
22881,"USBANCORP-2"
22882,"CEMEX Central, S.A. de C.V."
22883,"CondeNast Publications"
22884,"TOTAL PLAY TELECOMUNICACIONES SA DE CV"
22885,"Advertising Specialty Institute"
22886,Incomm
22887,"Western Illinois University"
22888,"Sistema Universitario Ana G. Mendez"
22890,"Nebraska Colocation Centers, LLC"
22891,"Standard Insurance Company"
22892,"Air Speed Internet"
22893,"Trinus Technologies Inc."
22894,"Network Information Center México S.C."
22895,"CMR LLC"
22897,"84 LUMBER COMPANY"
22898,"ATLINK SERVICES, LLC"
22899,"Utica Mutual Insurance Company"
22900,ITRON
22903,"Databank Holdings, Ltd"
22904,"Winning Strategies ITS"
22905,"SoftCom America Inc."
22906,FRIT
22907,"Conduent Business Services, LLC"
22908,"Sixsigma Networks Mexico, S.A. de C.V."
22909,"Comcast Cable Communications, LLC"
22910,"Loblaw Companies Limited"
22911,"SINAP-TIX, LLC"
22912,"CITGO PETROLEUM"
22913,"Computer Sales & Services, Inc."
22914,"Big River Telephone"
22915,"FutureQuest, Inc."
22916,"Providence Health & Services"
22917,Olshan
22918,"VMWare, Inc."
22919,"Portland Community College"
22920,"Bureau of Indian Affairs Office of IndianEducation"
22921,"Metroplex Communications, Inc."
22922,"AppCard, Inc"
22923,"Yesup Ecommerce Solutions Inc."
22925,"Allied Telecom Group, LLC"
22926,"Wisper ISP, Inc."
22927,"Telefonica de Argentina"
22928,"CMR LLC"
22931,"Huron Consulting Group, Inc."
22933,"Cable and Wireless, Turks and Caicos"
22934,"Starmount Insurance Agency, Inc."
22935,"Wayne Finger-Lakes BOCES"
22936,"Integra Telecom, Inc."
22937,"ACT USA"
22938,"Big City Networks, Inc."
22940,"Silver Lake Technology Management, L.L.C."
22941,"AS-NOCMGT-01"
22943,"Insurance Services Office"
22944,"Kentucky Community and Technical College System"
22945,"Parkland Health & Hospital System"
22947,"Automic Software, Inc"
22948,"Walnut Valley Unified School District"
22949,"Grinnell College"
22950,"University of Saskatchewan"
22952,CHCCW
22953,"Calcul Quebec"
22954,"WQN, Inc."
22955,"Children's Hospital & Health System, Inc."
22956,"American Stock Transfer & Trust Co."
22958,"Fidelity Access Networks, LLC"
22959,"NOROC BROADBAND, LLC"
22962,"The Kennedy Center"
22963,"US Signal Company, L.L.C."
22964,"ISP Telecom"
22965,"VMWare, Inc."
22966,"Goshen College"
22968,"Miami University"
22969,"Zayo Bandwidth"
22970,"Maine Technical College System"
22972,"Northwest Hospital"
22973,"Norwest Venture Partners"
22975,"Banco de Chile"
22976,"First Citizens Bank"
22977,"Lamar Institute of Technology"
22978,"Governors State University"
22980,"Apogee Telecom Inc."
22983,"FISERV-INC"
22984,"Econotek Communications"
22985,"University of Louisiana at Lafayette"
22986,"SONIC FOUNDRY"
22987,BrightRidge
22989,"Free Software Foundation, Inc."
22990,"University at Albany, State University of New York"
22991,"SPE-199-26-202"
22992,"SecureWorks Corp"
22993,"Advantage Sales & Marketing LLC"
22994,"Chadbourne & Parke"
22995,"Xplornet Communications Inc."
22996,"BIDS Trading L.P."
22998,"Southwestern Energy Company"
23000,"Wescom Credit Union"
23002,"Primesys Soluções Empresariais S.A"
23003,"Metropolitan Washington Airports Authority"
23004,"VIEWTRADE SECURITIES"
23005,"SWITCH, LTD"
23007,"Universidad de Los Andes"
23008,NORC
23010,"Fried, Frank, Harris, Shriver & Jacobson"
23011,"WideVoice Communications, Inc."
23012,"HeatSeeker Technology Partners, Inc."
23013,FORTANIX
23014,"Computer Central of Wilson Inc"
23015,"Cambridge Mercantile Corp."
23016,"Security Benefit"
23018,"CareSource Management Group, Co."
23019,"BANK OF HAWAII"
23021,"The Bermuda Telephone Company, Limited."
23022,"DELAWARE STATE UNIVERSITY"
23023,"Intuitive Surgical, Inc."
23024,"Orange County Department of Education"
23025,"City of St. Louis"
23026,"SETEC-ASTRONOMY"
23027,"Boingo Wireless, Inc."
23028,"Team Cymru Inc."
23029,"E Street"
23030,"University of Houston - Downtown"
23031,"UNILINKMASTER S.A"
23032,"FCS Industries"
23033,"Wowrack.com"
23034,"The Descartes Systems Group Inc."
23036,"Northwest Minnesota Special Access, LLC"
23037,"HCACA-RMCANNISTON-1"
23038,"City of Hillsboro"
23039,"Bell Ambulance, Inc."
23041,PENNHIGHLANDSCC
23042,"San Juan Regional Medical Center Inc."
23043,"Rover Wireless, Inc."
23045,"Kohler Co."
23046,"The Standard Life Assurance Company of Canada"
23047,"Mckinsey & Company"
23049,"Ecolab, Inc."
23050,"Eaton Vance Management"
23051,"FHI 360"
23053,"Selective Insurance Company of America"
23057,"DART TRANSIT COMPANY"
23058,"DHN-BGP-AS2002"
23059,"Limelight Networks, Inc."
23060,"CGGVeritas Services (US) Inc."
23061,"Level 3 Parent, LLC"
23062,"J W Pepper and Son, Inc."
23065,"Santa Barbara County Education Office"
23066,"COKeM International, LTD."
23067,"Orange County Network Operations"
23068,MEIJER
23069,"Berenson & Company, LLC"
23070,"Valley County Health System"
23071,"HUNTING ENERGY SERVICES, INC."
23074,"Petróleo Brasileiro S/A - Petrobras"
23078,"County of Loudoun Virginia"
23079,"Arvest Bank Operations"
23080,"Eurofins NSC, INC."
23081,"Venture Technologies"
23082,"Michigan Public Health Institute"
23083,"Ironcore, Inc."
23084,"Continental Casualty Co. (CNA)"
23085,"Allergan, Inc."
23086,"Pound Bang Incorporated"
23087,"Communications Data Group"
23088,"The Blackstone Group"
