alert_message,alert_type,alert_message_snpm_trap,alert_code,severity,recommended_action
Power supply power loss,PSU_POWER_LOST,Chassis.Psu.Power_Lost,SIO09.02.0000003,5 (Error),Check the power outlet/ power feed to the server.
Unable to connect to ESRS Gateway,ESRS_CONNECTIVITY_ERROR,Esrs.Esrs.CONNECTIVITY_ERROR,SIO10.01.0000001,5 (Critical),Check the network's connectivity to the ESRS Gateway.
The system is not registered to ESRS,ESRS_NOT_REGISTERED,Esrs.Esrs.NOT_REGISTERED,SIO10.01.0000004,2 (Warning),The system is not registered to ESRS and will not send Alerts to EMC for monitoring. Contact your Support \ Sales representative to get an EMC ESRS support package.
ESRS number of messages received has been reached. No more messages will be sent in the next 8 hours,ESRS_REACHED_CAPACITY_LIMIT,Esrs.Esrs.REACHED_CAPACITY_LIMIT,SIO10.01.0000005,5 (Critical),"ESRS has a limit of receiving up to 200 alerts per 8 hours. The limit has been reached, so no ESRS messages will be sent in the following 8 hours."
Network Adapter Link is down,NIC_PORT_DOWN,Nic.Nic_Port.Nic_Port_Down,SIO11.01.0000001,5 (Critical),"The network link is down in the network adapter. Verify that the network adapter is enabled in the operating system, and verify that the network cable is connected properly at both ends."
"Device media type mismatch: device %s is an %s device, but its media type has been configured as an %s device",DEVICE_MEDIA_TYPE_MISMATCH,Device.MediaType.Mismatch,SIO12.01.0000002,2 (Warning),Verify the device media type and re-set accordingly.
The automatic log collection directory is full,AUTOMATIC_LOGS_COLLECT_DIRECTORY_ABOVE_HIGH_THRESHOLD,System.Automatic_Collect_Logs.REACHED_CAPACITY_LIMIT,SIO12.01.0000003,2 (Warning),Delete some files from the directory: (Linux) /opt/emc/scaleio/gateway/temp/scaleio-auto-collect-logs/ or (Windows) C:\Program Files\EMC\ScaleIO\Gateway\Temp\scaleio-auto-collect-logs\
There is not enough disk space to run automatic log collection,AUTOMATIC_LOGS_COLLECT_NOT_ENOUGH_DISK_SPACE,System.Automatic_Collect_Logs.NOT_ENOUGH_DISK_SPACE,SIO12.01.0000004,5 (Critical),Delete some files from your disk
"Auto Collect logs started working, while cluster contains 1 or more ESX ips, with no credentials configured",AUTOMATIC_LOGS_COLLECT_MISSING_ESX_CREDENTIALS,System.Automatic_Collect_Logs.MISSING_ESX_CREDENTIALS,SIO12.01.0000005,2 (Warning),"Configure ESX credentials in lockbox, or by using the IM option."
One SDC is disconnected from one SDS,ONE_SDC_DISCONNECTED_FROM_ONE_SDS,System.SDC.One_Sdc_Disconnected_From_One_Sds,SIO01.07.0000001,5 (Critical),Check the network links between the affected SDS and SDC
One SDC is disconnected from one SDS IP address,ONE_SDC_DISCONNECTED_FROM_ONE_SDS_IP,System.SDC.One_Sdc_Disconnected_From_One_Sds_Ip,SIO01.07.0000002,2 (Warning),Check the network links between the affected SDC and SDS IP addresses.
One SDC is disconnected from all SDSs,ONE_SDC_DISCONNECTED_FROM_ALL_SDS,System.SDC.One_Sdc_Disconnected_From_All_Sds,SIO01.07.0000003,5 (Critical),Check the network links between the affected SDC and all SDSs.
All SDCs are disconnected from one SDS,ALL_SDC_DISCONNECTED_FROM_ONE_SDS,System.SDC.All_Sdc_Disconnected_From_One_Sds,SIO01.07.0000004,5 (Critical),Check the network links between all SDCs and the affected SDS.
All SDCs are disconnected from one SDS IP address,ALL_SDC_DISCONNECTED_FROM_ONE_SDS_IP,System.SDC.All_Sdc_Disconnected_From_One_Sds_Ip,SIO01.07.0000005,2 (Warning),Check the network links between all SDCs and the affected SDS IP address.
All SDCs are disconnected from all SDSs,ALL_SDC_DISCONNECTED_FROM_ALL_SDS,System.SDC.All_Sdc_Disconnected_From_All_Sds,SIO01.07.0000006,5 (Critical),Check the network links between all SDCs and SDSs.
Disconnected network links between SDCs and SDSs.,SDC_MULTIPLE_DISCONNECTIONS_FROM_SDS,System.SDC.Sdc_Multiple_Disconnections_From_Sds,SIO01.07.0000007,5 (Critical),Check the network links between all SDCs and SDSs.
This SDC has not been approved,SDC_NOT_APPROVED,System.SDC.Sdc_Not_Approved,SIO01.07.0000008,2 (Warning),Add the IP address for this SDC to the list of approved IP addresses.
This SDC does not have an approved IP address,SDC_DOES_NOT_HAVE_APPROVED_IPS,System.SDC.Sdc_Does_Not_Have_Approved_Ips,SIO01.07.0000009,2 (Warning),Update the list of approved IP addresses for this SDC.
Policy has been paused,SNAPSHOT_POLICY_PAUSED,SnapshotPolicy.Snapshot_Policy_Paused,SIO13.01.0000001,2 (Warning),Policy has been paused. You can resume policy.
Auto snapshot creation failed,SNAPSHOT_POLICY_LAST_AUTO_SNAPSHOT_FAILURE_IN_FIRST_LEVEL,Snapshotpolicy.lastAutoSnapshotFailureInFirstLevel,SIO13.01.0000002,2 (Warning),
Drive is ready to be removed,PHYSICAL_DRIVE_REMOVED_FROM_OS,Node.Physical_Drive.Ready_For_Removal,SIO07.06.0000001,2(Warning),The drive is ready to be removed from the node.
BOSS is not configured with expected Raid Level 1,STORAGE_CONTROLLER_INVALID_BOSS_RAID_LEVEL,Node.Boot_Drive.Invalid_Boss_Raid_Level,SIO07.01.0000002,5 (Critical),Check the BOSS setup configuration
Interleave must be disabled in BIOS when NVDIMM devices are present,NVDIMM_INTERLEAVE_ENABLED,Node.Ram.Invalid_Interleave_Bios_setting,SIO07.04.0000004,5 (Critical),Disable NVDIMM interleave in BIOS settings.
Persistent Memory must be enabled in BIOS when NVDIMM devices are present,NVDIMM_PERSISTENT_MEMORY_DISABLED,Node.Ram.Invalid_Persistent_Memory_Bios_setting,SIO07.04.0000005,5 (Critical),Enable Persistent Memory in BIOS settings
NVDIMM battery state is low.,NVDIMM_BATTERY_INVALID_STATE,Node.Ram.NVDIMM_Battery.Invalid_State,SIO07.04.0000006,5 (Critical) 3 (Error),Check the NVDIMM battery status. A fault in the battery will impact the NVDIMM persistent memory. Persistent memory will not function if battery is faulty.
Install or check GPU drivers,GPUCARD_MONITORING_ERROR,Node.Gpu.Monitoring_Error,SIO07.06.0000001,2(Warning),Check that the GPU drivers are properly installed on the node.
Replace DIMM,DIMM_IN_ERROR_STATE,Node.Ram.Error_State,SIO07.04.0000007,3 (Error),Replace DIMM
DIMM reports Degraded state,DIMM_IN_DEGRADED_STATE,Node.Ram.Degraded_State,SIO07.04.0000008,2(Warning),Replace DIMM as soon as possible
SDC has an IP address that is not approved by the MDM,SDC_HAS_UNAPPROVED_IP,System.SDC.Sdc_Has_Unapproved_Ips,SIO01.07.0000010,3 (Error),Add the IP address for this SDC to the list of approved IP addresses.
The V-Tree migration is paused due to internal error,VTREE_PAUSED_MIGRATION_ERROR,Storage_Pool.Volume.VTree_Paused_Migration_Error,SIO14.01.0000001,3 (Error),
The V-Tree migration is paused as either the source or destination Protection Domain is inactive,VTREE_PAUSED_INACTIVE_PROTECTION_DOMAIN,Storage_Pool.Volume.VTree_Paused_Inactive_Protection_Domain,SIO14.01.0000002,2(Warning),Activate the Protection Domain to resume the migration
The V-Tree migration is paused as either the source or destination Protection Domain has degraded capacity,VTREE_PAUSED_DEGRADED_CAPACITY_IN_PROTECTION_DOMAIN,Storage_Pool.Volume.VTree_Paused_Degraded_Capacity_In_Protection_Domain,SIO14.01.0000003,3 (Error),Resolve the issue causing the degraded capacity to resume the migration
The V-Tree migration is paused as there is not enough space in the destination Storage Pool,VTREE_PAUSED_NO_SPACE_IN_DESTINATION_STORAGE_POOL,Storage_Pool.Volume.VTree_Paused_No_Space_In_Destination_Storage_Pool,SIO14.01.0000004,3 (Error),Add capacity or remove volume to resume the migration
The V-Tree migration is paused as there is unavailable capacity in the source Storage Pool,VTREE_PAUSED_UNAVAILABLE_CAPACITY_IN_SOURCE_STORAGE_POOL,Storage_Pool.Volume.VTree_Paused_Unavailable_Capacity_In_Source_Storage_Pool,SIO14.01.0000005,3 (Error),Resolve the issue causing the unavailable capacity to resume the migration
Multiple V-Tree migrations are paused due to internal error,VTREES_PAUSED_MIGRATION_ERROR,MDM.Storage_Pool.VTrees_Paused_Migration_Error,SIO02.04.0000015,3 (Error),
Multiple V-Tree migrations are paused as either the source or destination Protection Domain is inactive,VTREES_PAUSED_INACTIVE_PROTECTION_DOMAIN,MDM.Protection_Domain.VTrees_Paused_Inactive_Protection_Domain,SIO02.02.0000002,2(Warning),Activate the Protection Domain to resume the migration
Multiple V-Tree migrations are paused as the Protection Domain has degraded capacity,VTREES_PAUSED_DEGRADED_CAPACITY_IN_PROTECTION_DOMAIN,MDM.Protection_Domain.VTrees_Paused_Degraded_Capacity_In_Protection_Domain,SIO02.02.0000003,3 (Error),Resolve the issue causing the degraded capacity to resume the migration
Multiple V-Tree migrations are paused as there is not enough space in this destination Storage Pool,VTREES_PAUSED_NO_SPACE_IN_DESTINATION_STORAGE_POOL,MDM.Storage_Pool.VTrees_Paused_No_Space_In_Destination_Storage_Pool,SIO02.04.0000016,3 (Error),Add capacity or remove volume to resume the migration
Multiple V-Tree migrations are paused as there is unavailable capacity in the this source Storage Pool,VTREES_PAUSED_UNAVAILABLE_CAPACITY_IN_SOURCE_STORAGE_POOL,MDM.Storage_Pool.VTrees_Paused_Unavailable_Capacity_In_Source_Storage_Pool,SIO02.04.0000017,3 (Error),Resolve the issue causing the unavailable capacity to resume the migration
The Storage Pool has reached a high threshold for device capacity utilization,NET_CAPACITY_HIGH_USAGE,MDM.Storage_Pool.Net_Capacity_High_Usage,SIO02.04.0000018,3 (Error),"Remove unneeded volumes and snapshots, if possible, or add devices to the Storage Pool"
The Storage Pool has reached a critical threshold for device capacity utilization,NET_CAPACITY_CRITICAL_USAGE,MDM.Storage_Pool.Net_Capacity_Critical_Usage,SIO02.04.0000019,5 (Critical),"Remove unneeded volumes and snapshots, if possible, or add devices to the Storage Pool"
The Storage Pool physical capacity is full and cannot serve new write requests,NET_CAPACITY_FULL_USAGE,MDM.Storage_Pool.Net_Capacity_Full_Usage,SIO02.04.0000020,5 (Critical),"Remove unneeded volumes and snapshots, if possible, or add devices to the Storage Pool"
The Storage Pool has reached a high threshold for user data capacity utilization,USER_DATA_HIGH_USAGE,MDM.Storage_Pool.User_Data_High_Usage,SIO02.04.0000021,3 (Error),"Remove unneeded volumes and snapshots, if possible, or add devices to the Storage Pool"
The Storage Pool has reached a critical threshold for user data capacity utilization,USER_DATA_CRITICAL_USAGE,MDM.Storage_Pool.User_Data_Critical_Usage,SIO02.04.0000022,5 (Critical),"Remove unneeded volumes and snapshots, if possible, or add devices to the Storage Pool"
The Storage Pool user data capacity is full and cannot serve new write requests,USER_DATA_FULL_USAGE,MDM.Storage_Pool.User_Data_Full_Usage,SIO02.04.0000023,5 (Critical),"Remove unneeded volumes and snapshots, if possible, or add devices to the Storage Pool"
The V-Tree address space allocated for this Storage Pool is almost full. You may not be able to create new volumes in this Storage Pool.,VTAS_CRITICAL_USAGE_CAPACITY_LIMIT,MDM.Storage_Pool.VTAS_Critical_Usage_Capacity_Limit,SIO02.04.0000025,2(Warning),Consider adding capacity to the Storage Pool or removing some V-Trees from the Storage Pool
"The V-Tree address space allocated for this Storage Pool is full. You cannot create new volumes, or enlarge volumes capacity in this Storage Pool.",VTAS_FULL_USAGE_CAPACITY_LIMIT,MDM.Storage_Pool.VTAS_Full_Usage_Capacity_Limit,SIO02.04.0000026,2(Warning),Consider adding capacity to the Storage Pool or removing some V-Trees from the Storage Pool
The V-Tree address space allocated for this Storage Pool is almost full. You may not be able to create new volumes in this Storage Pool.,VTAS_CRITICAL_USAGE_STORAGE_POOL_LIMIT,MDM.Storage_Pool.VTAS_Critical_Usage_Storage_Pool_Limit,SIO02.04.0000027,2(Warning),Consider removing some V-Trees from the Storage Pool
"The V-Tree address space allocated for this Storage Pool is full. You cannot create new volumes, or enlarge volumes capacity in this Storage Pool.",VTAS_FULL_USAGE_STORAGE_POOL_LIMIT,MDM.Storage_Pool.VTAS_Full_Usage_Storage_Pool_Limit,SIO02.04.0000028,2(Warning),Consider removing some V-Trees from the Storage Pool
The V-Tree address space allocated in the system is almost full. You may not be able to create new volumes in the system.,SYSTEM_VTAS_CRITICAL_USAGE,System.VTAS.System_VTAS_Critical_Usage,SIO01.07.0000001,2(Warning),Consider removing some V-Trees from the system
"The V-Tree address space allocated for the system is full. You cannot create new volumes, or enlarge volume capacity in the system.",SYSTEM_VTAS_FULL_USAGE,System.VTAS.System_VTAS_Full_Usage,SIO01.07.0000002,3 (Error),Consider removing some V-Trees from the system
The Storage Pool contains one or more devices with unexpected media types,SP_DEVICE_MEDIA_TYPE_MISMATCH,MDM.Storage_Pool.Device_Media_Type_Mismatch,SIO02.04.0000029,2(Warning),Update the Storage Pool media type or replace the mismatched devices
The Storage Pool has external acceleration configured without DAS Cache enabled,SP_EXTERNAL_ACCELERATION_WITHOUT_DAS_CACHE,MDM.Storage_Pool.External_Acceleration_without_Das_Cache,SIO02.04.0000030,2(Warning),Update the Storage Pool cache settings
The Storage Pool has DAS Cache enabled without external acceleration defined,SP_DAS_CACHE_WITHOUT_EXTERNAL_ACCELERATION,MDM.Storage_Pool.Das_Cache_without_External_Acceleration,SIO02.04.0000031,2(Warning),Update the Storage Pool cache settings
The Protection Domain has unbalanced data path support,PROTECTION_DOMAIN_HAS_UNBALANCED_DATA_IPS,MDM.Protection_Domain.Protection_Unbalanced,SIO02.02.0000004,2(Warning),Verify consistent Data Path configurations for all Host SDSs that support this Protection Domain
The network interface %s is down in the SVM,NODE_SVM_NIC_PORT_DOWN,Node.Node.SVM_NIC_Port_Down,SIO07.05.0000028,5(Critical),A network interface is down in the SVM. Verify that the network interface is configured and enabled in the SVM operating system.
System needs SVM Replacement,SYSTEM_REPLACE_SVM_NEEDED,System.Node.ReplaceSVM_Needed,SIO01.07.0000012,2(Warning),System node VMs are of an outdated OS version. Perform SVM Replacement
Node needs SVM Replacement,NODE_REPLACE_SVM_NEEDED,Node.Node.ReplaceSVM_Needed,SIO07.05.0000023,2(Warning),This node has not yet undergone SVM Replacement procedure
Inconsistent Read Flash Cache configuration,INCONSISTENT_RFCACHE_CONFIGURATION,MDM.Storage_Pool.Inconsistent_Rfcache_configuration,SIO02.04.0000032,2(Warning),One or more of the Storage Pool devices belong to an SDS that does not have Read Flash Cache devices. Make sure all SDSs with devices belonging to this Storage Pool have Read Flash Cache devices.
System log collection is in progress,LOG_COLLECTION_IN_PROGRESS,System.Log_Collection.LOG_COLLECTION_IN_PROGRESS,SIO01.08.0000001,2 (Warning),Monitor the log collection process. You should not start another one before this one is completed.
"An unrecoverable state has been reported on the device: All I/O to the device will be stopped, and the data will be relocated to another device. The SDS does not recognize the internal signature on the device.",DEVICE_ERROR_UNRECOVERABLE,SDS.Device.Device_ErrorUNRecoverable,SIO03.02.0000016,5 (Critical),"An unrecoverable state has been reported on the device: All I/O to the device will be stopped, and the data will be relocated to another device. The SDS does not recognize the internal signature on the device."
The V-Tree migration is paused because either the source or destination Protection Domain has at least one SDS in Maintenance Mode,VTREE_PAUSED_SDS_IN_MAINTENANCE_IN_PROTECTION_DOMAIN,Storage_Pool.Volume.VTree_Paused_Sds_In_Maintenance_In_Protection_Domain,SIO14.01.0000006,2(Warning),Exit the relevant SDSs from Maintenance Mode
Multiple V-Tree migrations are paused because either the source or destination Protection Domain has at least one SDS in Maintenance Mode,VTREES_PAUSED_SDS_IN_MAINTENANCE_IN_PROTECTION_DOMAIN,MDM.Protection_Domain.VTrees_Paused_Sds_In_Maintenance_In_Protection_Domain,SIO02.02.0000005,2(Warning),Exit the relevant SDSs from Maintenance Mode
The V-Tree migration is paused because of a connectivity error,VTREE_PAUSED_CONNECTIVITY_ERROR,Storage_Pool.Volume.VTree_Paused_Connectivity_Error,SIO14.01.0000007,2(Warning),Fix connectivity issue
Multiple V-Tree migrations are paused because because of connectivity error,VTREES_PAUSED_CONNECTIVITY_ERROR,MDM.Protection_Domain.VTrees_Paused_Connectivity_Error,SIO02.02.0000008,2(Warning),Fix connectivity issue
Media type mismatch: HDD media type is not supported in storage pools with fine granularity data layout,DEVICE_ERROR_MISMATCH,SDS.Device.Device_ErrorTypeMismatch,SIO03.02.0000017,5 (Critical),Media type mismatch: HDD media type is not supported in storage pools with fine granularity data layout
Invalid SMTP configuration for email notification,EMAIL_NOTIFICATIONS_BAD_SMTP_CONFIGURATION,Esrs.Esrs.EMAIL_NOTIFICATIONS_BAD_SMTP_CONFIGURATION,SIO10.01.0000006,3 (Error),Check SMTP configuration of email notifications
SMTP authentication failed,EMAIL_NOTIFICATIONS_AUTHENTICATION_FAILED,Esrs.Esrs.EMAIL_NOTIFICATIONS_AUTHENTICATION_FAILED,SIO10.01.0000007,3 (Error),Check SMTP credentials for email notifications
Error on sending notification email,EMAIL_NOTIFICATIONS_ERROR_SENDING_EMAIL,Esrs.Esrs.EMAIL_NOTIFICATIONS_ERROR_SENDING_EMAIL,SIO10.01.0000008,3 (Error),Check connectivity with SMTP server
Your system has insufficient NVDIMM capacity on %s to support future version upgrades. Required NVDIMM capacity for the upgrade is %s MB. Contact your account manager for more information.,NVDIM_OVERBOOKING,SDS.Device.NVDIM_OVERBOOKING,SIO03.02.0000015,3 (Error),Increase the NVDIMM capacity or reduce the SDS FG capacity before you upgrade
Not all VASA providers are healthy,VASA_PROVIDER_MONITOR_NOT_HEALTHY,System.VASA_Monitor.Not_All_Vasa_Providers_Are_Healthy,SIO15.01.0000001,3 (Error),"Check that all VASA providers are up and running, and that there are no errors"
