license_core,concurrency_limit_core,license_premium_es,license_premium_itsi,license_premium_pci,concurrency_limit_es,concurrency_limit_itsi
161750,390,162750,162750,162750,78,234
162000,390,163000,163000,163000,78,234
162250,390,163250,163250,163250,78,234
162500,390,163500,163500,163500,78,234
162750,390,163750,163750,163750,78,234
163000,390,164000,164000,164000,78,234
163250,390,164250,164250,164250,78,234
163500,390,164500,164500,164500,78,234
163750,390,164750,164750,164750,78,234
164000,390,165000,165000,165000,78,234
164250,390,165250,165250,165250,78,234
164500,390,165500,165500,165500,78,234
164750,390,165750,165750,165750,78,234
165000,390,166000,166000,166000,78,234
165250,390,166250,166250,166250,78,234
165500,390,166500,166500,166500,78,234
165750,390,166750,166750,166750,78,234
166000,390,167000,167000,167000,78,234
166250,390,167250,167250,167250,78,234
166500,390,167500,167500,167500,78,234
166750,390,167750,167750,167750,78,234
167000,390,168000,168000,168000,78,234
167250,390,168250,168250,168250,78,234
167500,390,168500,168500,168500,78,234
167750,390,168750,168750,168750,78,234
168000,390,169000,169000,169000,78,234
168250,390,169250,169250,169250,78,234
168500,390,169500,169500,169500,78,234
168750,390,169750,169750,169750,78,234
169000,390,170000,170000,170000,78,234
169250,390,170250,170250,170250,78,234
169500,390,170500,170500,170500,78,234
169750,390,170750,170750,170750,78,234
170000,390,171000,171000,171000,78,234
170250,390,171250,171250,171250,78,234
170500,390,171500,171500,171500,78,234
170750,390,171750,171750,171750,78,234
171000,390,172000,172000,172000,78,234
171250,390,172250,172250,172250,78,234
171500,390,172500,172500,172500,78,234
171750,390,172750,172750,172750,78,234
172000,390,173000,173000,173000,78,234
172250,390,173250,173250,173250,78,234
172500,390,173500,173500,173500,78,234
172750,390,173750,173750,173750,78,234
173000,390,174000,174000,174000,78,234
173250,390,174250,174250,174250,78,234
173500,390,174500,174500,174500,78,234
173750,390,174750,174750,174750,78,234
174000,390,175000,175000,175000,78,234
174250,390,175250,175250,175250,78,234
174500,390,175500,175500,175500,78,234
174750,390,175750,175750,175750,78,234
175000,390,176000,176000,176000,78,234
175250,390,176250,176250,176250,78,234
175500,390,176500,176500,176500,78,234
175750,390,176750,176750,176750,78,234
176000,390,177000,177000,177000,78,234
176250,390,177250,177250,177250,78,234
176500,390,177500,177500,177500,78,234
176750,390,177750,177750,177750,78,234
177000,390,178000,178000,178000,78,234
177250,390,178250,178250,178250,78,234
177500,390,178500,178500,178500,78,234
177750,390,178750,178750,178750,78,234
178000,390,179000,179000,179000,78,234
178250,390,179250,179250,179250,78,234
178500,390,179500,179500,179500,78,234
178750,390,179750,179750,179750,78,234
179000,390,180000,180000,180000,78,234
179250,390,180250,180250,180250,78,234
179500,390,180500,180500,180500,78,234
179750,390,180750,180750,180750,78,234
180000,390,181000,181000,181000,78,234
180250,390,181250,181250,181250,78,234
180500,390,181500,181500,181500,78,234
180750,390,181750,181750,181750,78,234
181000,390,182000,182000,182000,78,234
181250,390,182250,182250,182250,78,234
181500,390,182500,182500,182500,78,234
181750,390,182750,182750,182750,78,234
182000,390,183000,183000,183000,78,234
182250,390,183250,183250,183250,78,234
182500,390,183500,183500,183500,78,234
182750,390,183750,183750,183750,78,234
183000,390,184000,184000,184000,78,234
183250,390,184250,184250,184250,78,234
183500,390,184500,184500,184500,78,234
