name,hostname,createdate,os,primaryip,managementip,realm,agentversion,reachability,customer,facility,serialno,manufacturer,model,osversion
"MSDEVM3","MSDEVM3","Thu Jun  9 07:45:09 2016","windows","192.168.3.104","192.168.52.37","PHL-agents","60.0.66036.0","False","Not Assigned","PHL","VMWARE-42 15 56 27 AA D0 DE 40-C7 9A CA 90 5B 6F E2 9A","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2008 R2 Standard  x64 Service Pack 1 Build 7601 (07-20-2015)"
"DMA_server","DMA_server","Mon Jun 13 19:01:04 2016","linux","192.168.3.116","192.168.3.116","PHL-agents","60.0.66036.0","True","Not Assigned","PHL","VMWARE-42 15 D0 CB 02 CE 6E F4-10 C3 90 90 2D 2A FF 85","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Linux 6SERVER-X86_64"
"orcl1i_DBA_DBSERVER","orcl1i_DBA_DBSERVER","Mon Jun 13 19:10:34 2016","linux","192.168.52.14","192.168.52.14","PHL-agents","60.0.66036.0","False","Not Assigned","PHL","VMWARE-42 15 7C 2F 37 6A 5F 5A-4A DF F4 DB 58 9B 7B A7","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Linux OEL6-X86_64"
"UCMDBDATABASEServer","UCMDBDATABASEServer","Wed Jun 15 08:54:31 2016","windows","192.168.52.73","192.168.52.73","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","VMWARE-42 15 E6 0F 5D 77 55 E3-33 58 24 12 C8 04 1E 30","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2008 R2 Standard  x64 Service Pack 1 Build 7601 (07-20-2015)"
"SQLSERVER-RES","SQLSERVER-RES","Thu Jun 16 12:03:49 2016","windows","192.168.3.251","192.168.3.251","PHL-agents","50.0.52471.0","True","Not Assigned","PHL","VMWARE-42 15 C1 EF 6E 28 C0 57-9C 07 1A 55 5B 7E BB C3","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2012 R2 Datacenter x64  Build 9600 (07-29-2016)"
"lpar1","lpar1","Thu Jun 16 13:27:39 2016","aix","60.80.80.2","60.80.80.2","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","65F7E2E","IBM","9117-570","AIX 7.1 (7100-03-05-1524)"
"MSDEV_RHELVM2","MSDEV_RHELVM2","Thu Jun 23 16:26:10 2016","linux","192.168.3.119","192.168.3.119","PHL-agents","60.0.66036.0","False","Not Assigned","PHL","VMWARE-42 15 8A CF 5C 96 A3 3F-66 05 F9 DD 13 20 B3 CA","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Linux 6SERVER-X86_64"
"RHEL57-testing","RHEL57-testing","Mon Jun 27 20:00:40 2016","linux","192.168.3.127","192.168.3.127","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","VMWARE-42 15 35 D9 24 43 66 D7-77 33 93 3C BD D6 26 AD","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Linux 5SERVER"
"MSDEV_RHELVM3","MSDEV_RHELVM3","Tue Jun 28 21:39:55 2016","linux","192.168.3.121","192.168.3.121","PHL-agents","60.0.66036.0","False","Not Assigned","PHL","VMWARE-42 15 96 19 DB 27 7D E4-FF 97 F8 FA 9D 13 23 7D","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Linux 6SERVER-X86_64"
"MSDEV_RHELVM1","MSDEV_RHELVM1","Tue Jun 28 21:42:15 2016","linux","192.168.3.120","192.168.3.120","PHL-agents","60.0.66036.0","False","Not Assigned","PHL","VMWARE-42 15 30 88 28 20 24 A9-4A 4D 8A 8E 13 2A 08 20","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Linux 6SERVER-X86_64"
"MSDEVWIN2K12VM3","MSDEVWIN2K12VM3","Mon Jul  4 16:11:37 2016","windows","192.168.3.113","192.168.3.113","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","VMWARE-42 15 1C 26 17 D7 F2 A3-E6 F4 07 4A D7 30 75 7C","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2012 R2 Datacenter x64  Build 9600 (10-06-2015)"
"Win2k8-JulyDev2","Win2k8-JulyDev2","Tue Jul  5 11:26:30 2016","windows","192.168.3.180","192.168.3.180","PHL-agents","60.0.66036.0","False","Not Assigned","PHL","VMWARE-42 15 61 17 DB 69 87 98-DA 3D 1D 5C 07 4E 49 03","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2008 R2 Standard  x64 Service Pack 1 Build 7601 (07-20-2015)"
"samreen2","RHEL6-VM6.localdomain","Tue Jul  5 11:59:04 2016","linux","192.168.3.181","192.168.3.181","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","VMWARE-42 15 4B F4 F7 66 CA D6-8D 2D EB 46 D0 20 92 6C","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Linux 6SERVER-X86_64"
"RHEL6-VM9","RHEL6-VM9","Tue Jul  5 21:40:54 2016","None","192.168.3.184","192.168.3.184","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","VMWARE-42 15 E7 59 6C E8 B6 36-C7 C8 99 F5 67 48 20 08","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Linux unknown"
"rhel6-vm10","rhel6-vm10","Tue Jul  5 21:40:54 2016","linux","192.168.3.185","192.168.3.185","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","VMWARE-42 15 69 CA 9F 2C 19 A6-78 E3 88 92 D1 E0 2D E8","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Linux 6SERVER-X86_64"
"RHEL6-VM8","RHEL6-VM8","Tue Jul  5 21:40:54 2016","linux","192.168.3.183","192.168.3.183","PHL-agents","60.0.66036.0","False","Not Assigned","PHL","VMWARE-42 15 A6 1C DC E9 22 3E-02 65 7A 21 0E BA 3A B8","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Linux 6SERVER-X86_64"
"RHEL6-VM7.localdomain","RHEL6-VM7.localdomain","Tue Jul  5 22:29:34 2016","linux","192.168.3.182","192.168.3.182","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","VMWARE-42 15 1F A8 12 21 84 D0-93 16 A4 AD 13 58 E8 DF","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Linux 6SERVER-X86_64"
"Win2k8-JulyDev1","Win2k8-JulyDev1","Tue Jul  5 22:44:54 2016","windows","192.168.4.15","192.168.4.15","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","VMWARE-42 15 7B 3B EE B5 3E 12-84 A0 5F AA 43 FC 85 A8","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2008 R2 Standard  x64 Service Pack 1 Build 7601 (07-20-2015)"
"MSDEVVM10","MSDEVVM10","Tue Jul 12 21:56:34 2016","windows","192.168.3.110","192.168.3.110","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","VMWARE-42 15 0D A5 E8 2F 02 43-BC 57 35 50 AB 52 83 1A","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2008 R2 Standard  x64 Service Pack 1 Build 7601 (01-06-2016)"
"WIN2K12_July_Dev","WIN2K12_July_Dev","Mon Jul 18 17:12:22 2016","windows","192.168.3.173","192.168.3.173","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","VMWARE-42 15 C5 55 CD 70 15 2B-1B 9C FE 16 EB 9A BB AD","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2012 R2 Datacenter x64  Build 9600 (10-06-2015)"
"WIN-QQEHQ5FYN30","WIN-QQEHQ5FYN30","Wed Jul 20 10:14:19 2016","windows","192.168.3.244","192.168.3.244","PHL-agents","60.0.66036.0","False","Not Assigned","PHL","VMWARE-42 15 5D 06 26 02 97 1A-58 5A 03 CD C0 37 0A B9","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2008 Standard  Service Pack 1 Build 6001 (07-19-2016)"
"WIN-2GP0P2OO4O1.resdev.com","WIN-2GP0P2OO4O1.resdev.com","Wed Jul 20 10:18:18 2016","windows","192.168.3.245","192.168.3.245","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","VMWARE-42 15 30 59 BF 6B 38 10-43 1B D8 AE 01 6B 19 A0","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2012 Standard Evaluation x64  Build 9200 (07-19-2016)"
"WIN-M140T2E2MTF","WIN-M140T2E2MTF","Fri Jul 29 14:23:50 2016","windows","192.168.52.25","192.168.52.25","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","None","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2012 R2 Datacenter x64  Build 9600 (07-29-2016)"
"UCMDB1-UD1RES","UCMDB1-UD1RES","Fri Jul 29 15:01:53 2016","windows","192.168.3.161","192.168.3.161","PHL-agents","60.0.66036.0","True","Not Assigned","PHL","VMWARE-42 15 C8 78 B4 4A 67 69-F1 28 41 CB 34 5E 13 9C","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2012 R2 Datacenter x64  Build 9600 (07-29-2016)"
"UCMDB2-UD2RES","UCMDB2-UD2RES","Fri Jul 29 15:23:09 2016","windows","192.168.3.163","192.168.3.163","PHL-agents","60.0.66036.0","True","Not Assigned","PHL","VMWARE-42 15 84 9D 59 86 0E F0-D4 E8 88 1D A1 CD 9B 7B","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2012 R2 Datacenter x64  Build 9600 (07-29-2016)"
"OracleRACVM","OracleRACVM","Fri Aug  5 12:20:56 2016","windows","192.168.3.255","192.168.3.255","PHL-agents","60.0.66036.0","False","Not Assigned","PHL","VMWARE-42 15 32 3F DB D0 81 C9-7E 6E 26 48 89 28 11 0C","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2012 R2 Datacenter x64  Build 9600 (10-06-2015)"
"MSDEVVM9","MSDEVVM9","Tue Oct 18 20:34:31 2016","windows","192.168.3.109","192.168.3.109","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","VMWARE-42 15 86 5C 8F BB 8A 79-15 2F 09 E6 4C 94 94 BE","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2008 R2 Standard  x64 Service Pack 1 Build 7601 (07-20-2015)"
"WIN2K12_JulyDev","WIN2K12_JulyDev","Wed Oct 19 07:15:59 2016","windows","192.168.3.171","192.168.3.171","PHL-agents","50.0.52471.0","True","Not Assigned","PHL","VMWARE-42 15 64 1E 39 92 85 29-D1 90 AE 43 33 61 3D AA","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2012 R2 Datacenter x64  Build 9600 (10-06-2015)"
"WIN2k12AUG","WIN2k12AUG","Thu Nov 17 05:53:43 2016","windows","192.168.4.50","192.168.4.50","PHL-agents","50.0.52471.0","True","Not Assigned","PHL","VMWARE-42 15 F1 1A 30 C7 BE 0C-E9 0B C5 63 F9 0B 7E FE","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2012 R2 Datacenter x64  Build 9600 (10-06-2015)"
"WIN2k12_JULY2","WIN2k12_JULY2","Thu Nov 24 18:09:26 2016","windows","192.168.3.176","192.168.3.176","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","VMWARE-42 15 A3 56 8A 31 1B 99-3B D9 D3 A7 6D 6D 3C 8E","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2012 R2 Datacenter x64  Build 9600 (10-06-2015)"
"WIN2k12_JULY","WIN2k12_JULY","Fri Nov 25 12:34:33 2016","windows","192.168.3.174","192.168.3.174","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","VMWARE-42 15 ED C1 DA 7A 43 D1-CA F3 74 82 C1 0A 5C E3","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2012 R2 Datacenter x64  Build 9600 (10-06-2015)"
"rhel5vm1","rhel5vm1","Mon Nov 28 10:31:42 2016","linux","192.168.4.33","192.168.4.33","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","VMWARE-42 15 35 B0 A8 C4 23 53-79 44 D9 92 09 99 A9 56","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Linux 5SERVER"
