domain,Category,Score
.cornhouseconsulting.com,25,120
.corvalius.com,25,120
.cosale.ru,25,120
.cosmicperformance.com,25,120
.cot.lt,25,120
.couchpotatofries.org,25,120
.coupeware.com,25,120
.cp.cx,25,120
.cpia.org.ar,25,120
.crabdance.com,25,120
.crackedsidewalks.com,25,120
.cranialtrauma.co.uk,25,120
.crctvn.org,25,120
.cre.gs,25,120
.creatingsmiles.ca,25,120
.credozone.my,25,120
.crime.si,25,120
.crunchy-frog.org,25,120
.cryptotoad.com,25,120
.csmcpr.com,25,120
.csproject.org,25,120
.ctk-warez.ru,25,120
.ctour.kz,25,120
.cu.cc,25,120
.cuack.org,25,120
.cuetara.name,25,120
.culby2.com,25,120
.cupapp.com,25,120
.cut3.name,25,120
.cute.se,25,120
.cuu.cc,25,120
.cvdah.org,25,120
.cw.cm,25,120
.cw03.ru,25,120
.cx.cc,25,120
.cyanyz.com,25,120
.cyber-army.com,25,120
.cyber0ne.com,25,120
.cybscripts.com,25,120
.cycahuh.ru,25,120
.cydisk.com,25,120
.cydisk.net,25,120
.cydots.com,25,120
.cyl.me,25,120
.cynricinformatique.ca,25,120
.cz.cc,25,120
.cz.tc,25,120
.cz.tf,25,120
.czechbits.org,25,120
.d-n-s.name,25,120
.d-n-s.org.uk,25,120
.d0nkey.com,25,120
.d2g.biz,25,120
.d2g.com,25,120
.d2gwebsite.com,25,120
.d2w.asia,25,120
.d3mo2.com,25,120
.d3v.eu,25,120
.d7.be,25,120
.da.sg,25,120
.daev.ca,25,120
.dai-mexico.com,25,120
.dalnet.ca,25,120
.damnserver.com,25,120
.damnserver.org,25,120
.dance.fm,25,120
.danodemano.com,25,120
.dara-dal.net,25,120
.dark-byte.net,25,120
.dark-os.com,25,120
.dark-os.ru,25,120
.darkauto.ru,25,120
.darkblue.ch,25,120
.darknigger.com,25,120
.darksair.org,25,120
.darktech.org,25,120
.darkworlds.org,25,120
.darweb.com,25,120
.datafloat.net,25,120
.datasource.ro,25,120
.daveyp.co.uk,25,120
.day.com.br,25,120
.db.hk,25,120
.dcbass.com,25,120
.dcde.ru,25,120
.ddanciu.ro,25,120
.ddisk.com,25,120
.ddisk.net,25,120
.ddj.co.za,25,120
.ddns-example-1.com,25,120
.ddns-example-2.com,25,120
.ddns-example-3.com,25,120
.ddns.com.co,25,120
.ddns.info,25,120
.ddns.me,25,120
.ddns.me.uk,25,120
.ddns.mobi,25,120
.ddns.ms,25,120
.ddns.name,25,120
.ddns.net ,25,120
.ddns.us,25,120
.ddns01.com,25,120
.ddns01.eu,25,120
.ddnsd.eu,25,120
.ddo.jp,25,120
.ddos.im,25,120
.de.be,25,120
.de.gg,25,120
.de.ms,25,120
.de.tc,25,120
.de.tf,25,120
.deadnet.org,25,120
.deaftone.com,25,120
.dearabba.org,25,120
.defence.ru,25,120
.dellsale.ru,25,120
.delovoimir.kz,25,120
.demak.org,25,120
.demonised.org,25,120
.deoderante.com,1,127
.derdelus.ro,25,120
.descontrolar.com.ar,25,120
.desonia.com,25,120
.desperate.info,25,120
.despoena.com,25,120
.despoena.org,25,120
.deters.com.br,25,120
.detirastut.ru,25,120
.detskaya-ploshhadka.ru,25,120
.deusexmachina.org,25,120
.developer.se,25,120
.devil.st,25,120
.devstack.com,25,120
.dexp.in,25,120
.dezcom.org,25,120
.dfdlmekong.com,25,120
.dhcp.biz,25,120
.dhis.org,25,120
.dhl-apex.com,25,120
.dhm.ro,25,120
.dhs.org,25,120
.dietanews.net,25,120
.dieulinh.net,25,120
.digisoft.ws,25,120
.digital-dimension.ru,25,120
.digitaldiplomacy.com,25,120
.digitalgroupe.com,25,120
.digitalhod.net,25,120
.diipl.com,25,120
.diipl.in,25,120
.dinedns.com,25,120
.dinedns.net,25,120
.dinedns.org,25,120
.distrocuyo1.com.ar,25,120
.ditchyourip.com,25,120
.divakeramika.com,25,120
.divx.se,25,120
.divxm.org,25,120
.dixo.net,25,120
.dizimatik.com,25,120
.dizisalonu.net,25,120
.djbomba.one.pl,25,120
.dk.tc,25,120
.dlinkddns.com,25,120
.dmdboard.ru,25,120
.dmdfirms.ru,25,120
.dmdjob.ru,25,120
.dmky.org,25,120
.dmtr.ru,25,120
.dmz.se,25,120
.dnepr.com,25,120
.dnmcoffman.com,25,120
.dns-dns.com,25,120
.dns-gateway.net,25,120
.dns-report.com,25,120
.dns-stuff.com,25,120
.dns04.com,25,120
.dns05.com,25,120
.dns0755.net,25,120
.dns1.us,25,120
.dns2.us,25,120
.dns2go.biz,25,120
.dns2go.com,25,120
.dns2go.info,25,120
.dns2gooffice.com,25,120
.dns53.biz,25,120
.dnsalias.com,25,120
.dnsalias.net,25,120
.dnsalias.org,25,120
.dnsapi.info,25,120
.dnscog.com,25,120
.dnscog.org,25,120
.dnsd.be,25,120
.dnsd.info,25,120
.dnsd.me,25,120
.dnsdojo.com,25,120
.dnsdojo.net,25,120
.dnsdojo.org,25,120
.dnsdynamic.com,25,120
.dnsdynamic.net,25,120
.dnsdynamic.org,25,120
.dnserver.com,25,120
.dnset.com,25,120
.dnsfailover.net,25,120
.dnsfor.me,25,120
.dnsforall.net,25,120
.dnsinc.org,25,120
.dnsiskinky.com,25,120
.dnsrd.com,25,120
.dnssettings.info,25,120
.dnssettings.net,25,120
.dnssettings.org,25,120
.dnswatch.info,17,120
.dnyp.com,25,120
.dobrinya-resto.ru,25,120
.docnzok.com,25,120
.doctorpopov.com,25,120
.docuprint.com.ar,25,120
.does-it.net,25,120
.doesntexist.com,25,120
.doesntexist.org,25,120
.dogin.su,25,120
.dolgnik.ru,25,120
.doljnik.ru,25,120
.dominickpastore.com,25,120
.donaalfian.com,25,120
.donkeyhot.net,25,120
.dontexist.com,25,120
.dontexist.net,25,120
.dontexist.org,25,120
.doomdns.com,25,120
.doomdns.org,25,120
.doomstuff.com,25,120
.dot.tk,25,120
.dotfree.com,25,120
.doublecheckmd.com,25,120
.doveit.com.au,25,120
.down.to,25,120
.downloadsconsulting.com,1,120
.dp3project.org,25,120
.dpmconsulting.biz,25,120
.dpnebraska.com,25,120
.drabasablog.net,25,120
.dragonpress.net,25,120
.dragonsoldier.com,25,120
.dream.org.il,25,120
.drosesrq.com,25,120
.drtak.org,25,120
.drug-addicted.net,25,120
.drugdealer24.info,25,120
.drunkensailor.org,25,120
.dsmtp.com,25,120
.dtamedia.com,25,120
.dtdns.com,25,120
.dtdns.net,25,120
.duba.net,25,120
.ducchau.com,25,120
.duetpaseo.ru,25,120
.dumb1.com,25,120
.dustbite.se,25,120
.dvrcam.info ,25,120
.dvrdns.org,25,120
.dwarfvader.com,25,120
.dy.fi,25,120
.dyn-inc.biz,25,120
.dyn-inc.com,25,120
.dyn-inc.info,25,120
.dyn-inc.org,25,120
.dyn-o-saur.com,25,120
.dyn.biz,25,120
.dyn.ch,25,120
.dyn.com,25,120
.dyn.mobi,25,120
.dynaccess.de,25,120
.dynalias.com,25,120
.dynalias.net,25,120
.dynalias.org,25,120
.dynamic-dns-server.org,25,120
.dynamic-dns-service.in,25,120
.dynamic-dns.net,25,120
.dynamic-site.net,25,120
.dynamicdns.biz,25,120
.dynamicdns.co,25,120
.dynamicdns.co.uk,25,120
.dynamicdns.com.co,25,120
.dynamicdns.me.uk,25,120
.dynamicdns.org.uk,25,120
.dynamicdomain.net,25,120
.dynamicnetworkservices.biz,25,120
.dynamicnetworkservices.com,25,120
.dynamicnetworkservices.net,25,120
.dynamicnetworkservices.org,25,120
