Index,Component,Sub_Component,Field_Display_Name,Field_Name,Default,Field_Description
_introspection,splunk_resource_usage,data,CPU %,pct_cpu,,"Percentage of CPU usage, relative to one core. 100% is equivalent to 1 core."
Introspection,PerProcess,,Percentage of physical memory used hostwide ((mem_used/available_host_memory) * 100),pct_memory,Access operating system resource utilization information.,Percentage of physical memory used hostwide ((mem_used/available_host_memory) * 100).
_introspection,splunk_resource_usage,data,Memory %,pct_memory,,Percentage of physical memory used hostwide ((mem_used/available_host_memory) * 100).
Search job inspector,Search job properties,,,performance,,This is another representation of the Execution costs.
Introspection,hostwide,,Cumulative VM page count paged since OS startup,pg_paged_out,Access host-level dynamic CPU utilization and paging information.,Cumulative VM page count paged since OS startup. Not available on Windows.
Introspection,hostwide,,Cumulative pages swapped out since OS startup,pg_swapped_out,Access host-level dynamic CPU utilization and paging information.,Cumulative pages swapped out since OS startup. Not available on Windows.
Search job inspector,Execution costs of dispatched searches,dispatch.fetch.rcp,,phase0,,
Search job inspector,Search job properties,,,phase0,,
Search job inspector,Search job properties,,,phase1,,
Introspection,PerProcess,,Process ID,pid,Access operating system resource utilization information.,Process ID.
_introspection,splunk_resource_usage,data,PID,pid,,Process ID.
Search job inspector,Search job properties,,,pid,,Process ID.
REST,HEC,,Number,port,8088,HTTP data input IP port.
Search job inspector,Search job properties,command,,postprocess,,
_introspection,splunk_resource_usage,data,Parent process ID. Not available for all processes.,ppid,,Parent process ID. Not available for all processes.
Introspection,PerProcess,,Parent process ID,ppid,Access operating system resource utilization information.,Parent process ID. Not available for all processes.
Search job inspector,Execution costs of dispatched searches,dispatch.evaluate,,presort,,
Search job inspector,Execution costs of search commands,command,,presort,,
Search job inspector,Execution costs of dispatched searches,dispatch,,preview,,The time spent generating preview results.
_internal,scheduler,,Priority,priority,,"lets you improve the the run priority of a deferred scheduled report. This means that it may run ahead of other reports, and may have a better chance of running on or near its scheduled run time."
Search job inspector,Search job properties,,,priority,,"lets you improve the the run priority of a deferred scheduled report. This means that it may run ahead of other reports, and may have a better chance of running on or near its scheduled run time."
_introspection,splunk_resource_usage,data,Process name. The .exe suffix is stripped on Windows operating systems.,process,,Process name. The .exe suffix is stripped on Windows operating systems.
Introspection,PerProcess,,Process name,process,Access operating system resource utilization information.,Process name. The .exe suffix is stripped on Windows operating systems.
Search job inspector,Execution costs of dispatched searches,dispatch,,process_remote_timeline,,The time spent decoding timeline information generated by search peers.
_introspection,splunk_resource_usage,data.search_props,Provenance,provenance,,"One of the following search sources: cli, rest, ui:<App>:<View>"
Search job inspector,Search job properties,,,provenance,,"One of the following search sources: cli, rest, ui:<App>:<View>"
Search job inspector,Search job properties,command.tstats,,query_tsidx,,
Search job inspector,Execution costs of search commands,command.search,,rawdata,,"tells how long it took to read the actual events from the rawdata files.
Uncompressing the raw data to retrieve events."
Introspection,PerProcess,,"Amount of data read (MB), excluding cache reads",read_mb,Access operating system resource utilization information.,"Amount of data read (MB), excluding cache reads."
_introspection,splunk_resource_usage,data,,read_mb,,"Amount of data read (MB), excluding cache reads."
Search job inspector,Execution costs of dispatched searches,dispatch,,readEventsInResults,,
Introspection,iostats,,Total number of kb read per second,reads_kb_ps,"Access the most recent disk I/O statistics for each disk. This endpoint is currently supported for Linux, Windows, and Solaris. By default this endpoint is updated every 60s seconds.",Total number of kb read per second.
Introspection,iostats,,Number of read requests per second,reads_ps,"Access the most recent disk I/O statistics for each disk. This endpoint is currently supported for Linux, Windows, and Solaris. By default this endpoint is updated every 60s seconds.",Number of read requests per second.
savedsearches.conf,,,,realtime_schedule,,"realtime_schedule = [0|1]
* Controls the way the scheduler computes the next run time of a scheduled search.
* If set to 1, the scheduler determines the next scheduled search run time based on the current time. * NOTE: When set to 1, the scheduler might skip some execution periods to make sure that the scheduler is executing the searches that are running over the most recent time range.
* If set to 0, the scheduler determines the next scheduled search run time based on the last run time for the search. This is called continuous scheduling. * NOTE: When set to 0, the scheduler never skips scheduled execution periods. However, the execution of the saved search might fall behind depending on the scheduler's load. * Use continuous scheduling whenever you enable the 'summary index' option.
* The scheduler tries to run searches that have 'realtime_schedule' set to 1 before it runs searches that have continuous scheduling (realtime_schedule = 0).
* Default: 1"
_internal,scheduler,,Reason,reason,,"The maximum disk usage quota for this user has been reached
The maximum disk usage quota for this user on this cluster has been reached
The maximum number of concurrent auto-summarization searches on this cluster has been reached
The maximum number of concurrent auto-summarization searches on this instance has been reached
The maximum number of concurrent historical scheduled searches on this cluster has been reached
The maximum number of concurrent historical scheduled searches on this instance has been reached
The maximum number of concurrent historical searches for this role has been reached
The maximum number of concurrent historical searches for this user based on their role quota has been reached
The maximum number of concurrent historical searches for this user on this cluster based on their role quota has been reached
The maximum number of concurrent historical searches on this cluster has been reached
The maximum number of concurrent historical searches on this instance has been reached
The maximum number of concurrent real-time scheduled searches on this cluster has been reached
The maximum number of concurrent real-time scheduled searches on this instance has been reached
The maximum number of concurrent real-time searches for this role has been reached
The maximum number of concurrent real-time searches for this user based on their role quota has been reached
The maximum number of concurrent real-time searches for this user on this cluster based on their role quota has been reached
The maximum number of concurrent real-time searches on this cluster has been reached
The maximum number of concurrent real-time searches on this instance has been reached
The maximum number of concurrent running jobs for this historical scheduled search on this cluster has been reached
The maximum number of concurrent running jobs for this historical scheduled search on this instance has been reached
The maximum number of concurrent running jobs for this real-time scheduled search on this cluster has been reached
The maximum number of concurrent running jobs for this search on this cluster has been reached
The maximum number of concurrent running jobs for this search on this instance has been reached
The maximum number of concurrent scheduled searches has been reached
The maximum number of concurrent searches has been reached for all roles"
Search job inspector,Execution costs of dispatched searches,dispatch,,reduce,,The time spend reducing the intermediate report output.
Search job inspector,Execution costs of dispatched searches,dispatch.stream,,remote,,"The time spent executing the remote search in a distributed search environment, aggregated across all peers. Additionally, the time spent executing the remote search on each remote search peer is indicated with: dispatch.stream.remote.<search_peer_name>. output_count represents bytes sent rather than events in this case.
Time spent getting data from the indexers, as well as how much data was returned, cumulative."
Search job inspector,Search job properties,,,remoteSearch,,"The search string that is sent to every search peer.
The part of the search run on the indexers, sometimes called the ""map part"""
savedsearches.conf,,,,removable,,
Search job inspector,Execution costs of dispatched searches,dispatch.evaluate,,rename,,
Search job inspector,Search job properties,command,,rename,,
Search job inspector,Search job properties,,,reportSearch,,"If reporting commands are used, the reporting search.
The remainder of the search, run locally on the SH, sometimes called the ""reduce part"""
Search job inspector,Search job properties,,,request,,GET arguments that the search sends to splunkd.
_internal,scheduler,,Result Count,result_count,,"Number of events returned on search head. For reporting searches, this can be different from event_count. For example:
index=_internal | stats count
will have an event_count equal to the number of events matched but a result_count of 1, given that the result of this search is only one row. The number of resulting rows.
If the search is a transforming search, the count of results for the search."
_audit,audittrail,,Result Count,result_count,,"If the search is a transforming search, the count of results for the search."
Search job inspector,Search job properties,,,resultCount,,"The total number of results returned by the search. For generating commands such as | rest, this is the number of rows produced. (result_count)"
Search job inspector,Search job properties,,,resultIsStreaming,,"Indicates if the final results of the search are available using streaming (for example, no transforming operations)."
Search job inspector,Search job properties,,,resultPreviewCount,,The number of result rows in the latest preview results.
CIM,,,,retention,,"The length of time that data model accelerations are retained, in seconds."
Search job inspector,Execution costs of dispatched searches,dispatch.evaluate,,rex,,
Search job inspector,Execution costs of search commands,command,,rex,,
CIM,,,,rid,,"The id associated with the result of a specific sid. By default, this is the row number of the search, starting with 0."
_introspection,splunk_resource_usage,data.search_props,Splunk Enterprise platform role. Either head or peer.,role,,Splunk Enterprise platform role. Either head or peer.
_audit,audittrail,,Roles,roles,,
REST,Authorization,Roles,User-level Concurrent real-time Search job limit,rtSrchJobsQuota,,The maximum number of concurrent real time search jobs for this role. This count is independent from the normal search jobs limit.
savedsearches.conf,,,,run_n_times,,"run_n_times = <unsigned integer>
* Runs this search exactly the specified number of times. The search is not run again until the Splunk platform is restarted.
* Default: 0 (infinite)."
_internal,scheduler,,Total Run Time,run_time,,The total time it took to run the search in seconds.
Search job inspector,Search job properties,,,runDuration,,Time in seconds that the search took to complete.
Introspection,hostwide,,Number of process running or in the runnable queue,runnable_process_count,Access host-level dynamic CPU utilization and paging information.,Number of process running or in the runnable queue. Value reported as 1 on Windows except for Vista+ and XP/Win2003 English-only operating systems.
Search job inspector,Search job properties,,,runtime,,Time in seconds that the search took to complete.
Search job inspector,Search job properties,,,sampleRatio,,
Search job inspector,Search job properties,,,sampleSeed,,
_internal,scheduler,,Savedsearch ID,savedsearch_id,,The Splunk ID of the saved search.
_internal,scheduler,,Savedsearch Name,savedsearch_name,,The name of the saved search.
_audit,audittrail,,Savedsearch Name,savedsearch_name,,The name of the saved search.
CIM,,,,savedsearch_name,,The name of the saved search.
savedsearches.conf,,,,savedsearch_type,,
Introspection,IOWait,,Average CPU Percent,avg_cpu_pct,,
Introspection,IOWait,,Max CPUs Percent,max_cpus_pct,,
Introspection,PerProcess,data,Scan Count,scan_count,,Event scan count for running process. Available only in Linux systems. This property is offered experimentally and might be changed or removed in a future release. Number of events scanned (decompressed and evaluated against search terms). Measured before the first filter in the search pipeline. The only events filtered from here are filtered by index.
_audit,audittrail,,Scan Count,scan_count,,"Number of events scanned (decompressed and evaluated against search terms). Measured before the first filter in the search pipeline. The only events filtered from here are filtered by index. Under certain circumstances, this can be > event_count. The number of events retrieved from a Splunk index at a low level."
Search job inspector,Search job properties,,,scanCount,,"The number of events that are scanned or read off disk. The number of events found in the index based on keywords in the search
For tstats searches, this is the number of events in the matching tsidx files. (scan_count)"
savedsearches.conf,,,,schedule_priority,,"schedule_priority = [default | higher | highest]
* Raises the scheduling priority of a search: * When set to ""default"", specifies that there is no increase to the scheduling priority. * When set to ""higher"", specifies that the scheduling priority is higher than other searches of the same scheduling tier. While there are four tiers of priority for scheduled searches, only the following are affected by this setting: 1. Real-Time-Scheduled (realtime_schedule=1). 2. Continuous-Scheduled (realtime_schedule=0). * When set to ""highest"", specifies that the scheduling priority is higher than other searches regardless of scheduling tier. However, real-time-scheduled searches with 'schedule_priority = highest' always have priority over continuous scheduled searches with 'schedule_priority = highest'. * The high-to-low order is: RTSS(H) > CSS(H) > RTSS(h) > RTSS(d) > CSS(h) > CSS(d) Where: RTSS = real-time-scheduled search CSS = continuous-scheduled search d = default h = higher H = highest
* The scheduler honors a non-default priority only when the search owner has the 'edit_search_schedule_priority' capability. * A non-default priority is mutually exclusive with a non-zero 'schedule_window' (see below). If a user specifies both for a scheduled search, the scheduler honors the priority only. * However, if a user specifies both settings for a search, but the search owner does not have the 'edit_search_scheduler_priority' capability, then the scheduler ignores the priority setting and honors the 'schedule_window'.
* CAUTION: Having too many searches with a non-default priority will impede the ability of the scheduler to minimize search starvation. Use this setting only for mission-critical searches.
* Default: default"
savedsearches.conf,,,,schedule_window,,"schedule_window = <unsigned integer> | auto
* When schedule_window is non-zero, it indicates to the scheduler that the search does not require a precise start time. This gives the scheduler greater flexibility when it prioritizes searches.
* When 'schedule_window' is set to an integer greater than 0, it specifies the ""window"" of time (in minutes) that a search may start within. * The 'schedule_window' must be shorter than the period of the search. * Schedule windows are not recommended for searches that run every minute.
* When set to 0, there is no schedule window. The scheduler starts the search as close to its scheduled time as possible.
* When set to ""auto,"" the scheduler calculates the 'schedule_window' value automatically. * For more information about this calculation, see the search scheduler documentation.
* A non-zero 'schedule_window' is mutually exclusive with a non-default 'schedule_priority'. See 'schedule_priority' for details.
* Default: 0 for searches that are owned by users with the 'edit_search_schedule_window' capability. For these searches, this value can be changed.
* Default: auto for searches that are owned by users that do not have the 'edit_search_window' capability. For these searches, this setting cannot be changed."
_internal,scheduler,,Scheduled Time,scheduled_time,,Scheduled Time
savedsearches.conf,,,,scheduled_times,,
_audit,audittrail,,Search,search,,The search string.
Search job inspector,Execution costs of dispatched searches,dispatch.evaluate,,search,,"The time spent parsing the search and setting up the data structures needed to run the search. This component also includes the time it takes to evaluate and run subsearches. This is broken down further for each search command that is used. In general, dispatch.evaluate.<command_name> tells you the time spent parsing and evaluating the <command_name> argument. For example, dispatch.evaluate.search indicates the time spent evaluating and parsing the searchcommand argument."
Search job inspector,Search job properties,command,,search,,
Search job inspector,Search job properties,,,search,,The search string.
CIM,,,,search,,The search string.
Search job inspector,Execution costs of search commands,command,,search.*,,"After the Splunk software identifies the events that contain the indexed fields matching your search, the events are analyzed to identify which events match the other search criteria. These are concurrent operations, not consecutive."
Search job inspector,Search job properties,,,search.log,,Links to further information about your search. These links may not always be available
CIM,,,,search_alias,,"Short description of the type of search being run, such as the name of the search or the name of the data model being accelerated."
_audit,audittrail,,Search ET,search_et,,"The earliest time set for the search to run.
Time range as modified by initial search operator."
CIM,,,,search_et,,The earliest time of the search.
_introspection,splunk_resource_usage,data.search_props,Search Head,search_head,,Dispatching search head for processes running saved searches.
Introspection,PerProcess,,Dispatching search head for processes running saved searches,search_head,Access operating system resource utilization information.,Dispatching search head for processes running saved searches.
_audit,audittrail,,Search ID,search_id,,"The search job ID.
The prefix is meaningful - it can distinguish ad hoc from scheduled searches, etc
remote_<SH> --> Remote Marker
rt_ --> Real Time Marker
subsearch_ --> Subsearch Marker
rsa_ --> Replica Marker
md_ --> Metadata Marker
ta_ --> Typeahead Marker"
_audit,audittrail,,Search LT,search_lt,,"The latest time set for the search to run.
Time range as modified by initial search operator."
CIM,,,,search_lt,,The latest time of the search.
CIM,,,,search_name,,The name of the correlation search that triggered the action. Blank for ad hoc actions.
Introspection,PerProcess,,Delta Scan Count,delta_scan_count,Access operating system resource utilization information.,"properties map of the following key value pairs. acceleration_id: Acceleration ID app: App name mode: One of the following search modes: historical,historical batch,RT,RT indexed, provenance: One of the following search sources: cli,rest,ui:<App>:<View> role: Splunk Enterprise platform role. Either head or peer. scan_count: Event scan count for running process. Available only in Linux systems. This property is offered experimentally and might be changed or removed in a future release. delta_scan_count: Delta event scan count for running process. Available only in Linux systems. This property is offered experimentally and might be changed or removed in a future release. sid: Search ID (SID). type: One of the following search types:ad-hoc,datamodel acceleration,other,report acceleration,scheduled,summary indexing user: Splunk username who initiated the search"
_audit,audittrail,,Search Startup Time,search_startup_time,,"Startup time indicates that parsing is complete and the distributed search infrastructure is set up. At startup, Splunk software is ready to wait for responses from indexers."
_audit,audittrail,,Average time for preprocessing before search startup. Counted from time search state is set to RUNNING.,Search_StartUp_Time_Average_Time(ms),,Average time for preprocessing before search startup. Counted from time search state is set to RUNNING.
_audit,audittrail,,Maximum time for preprocessing before search startup. Counted from time search state is set to RUNNING.,Search_StartUp_Time_Max_Time(ms),,Maximum time for preprocessing before search startup. Counted from time search state is set to RUNNING.
_internal,scheduler,,Search Type,search_type,,"Derived from search_type, savedsearch_name, alert_actions & search_id"
CIM,,,,search_type,,The type of search.
Search job inspector,Search job properties,,,searchCanBeEventType,,"If the search can be saved as an event type, this will be 1, otherwise, 0.Only base searches (no subsearches or pipes) can be saved as event types."
Search job inspector,Search job properties,,,searchEarliestTime,,
_audit,audittrail,,Searched Buckets,searched_buckets,,Buckets in the time range. How many indexing buckets were searched.
Search job inspector,Search job properties,,,searchLatestTime,,The latest time a search job is configured to start.
Search job inspector,Search job properties,,,searchProviders,,A list of all the search peers that were contacted.
Search job inspector,Search job properties,,,searchTotalBucketsCount,,How many indexing buckets were searched. (searched_buckets)
Search job inspector,Search job properties,,,searchTotalEliminatedBucketsCount,,How many of those that were eliminated (usually by bloom filters). (eliminated_buckets)
_introspection,splunk_resource_usage,data.search_props,Search ID,sid,,Search ID (SID).
_internal,scheduler,,Search ID,sid,,Search ID (SID).
Search job inspector,Search job properties,,,sid,,The search ID number.
CIM,,,,sid,,The search id.
CIM,,,,sid,,"The search id, automatically assigned by splunkd."
CIM,,,,signature,,The logging string associated with alert action introspection events.
CIM,,,,size,,"The amount of storage space the data model's acceleration summary takes up, in bytes."
_internal,scheduler,,Skipped Count,skipped_count,,How many times the savedsearch/datamodel acceleration/report acceleration skipped
Search job inspector,Search job properties,,,slices decompressed,,How many index slices (usually 128kB) were decompressed. (decompressed_slices)
Search job inspector,Search job properties,,,slices examined,,(total_slices)
Search job inspector,Execution costs of dispatched searches,dispatch.evaluate,,sort,,
Search job inspector,Execution costs of search commands,command,,sort,,
REST,HEC,,String,source,,Default source for events with this token.
CIM,,,,source,,The source associated with the search or scheduled search or the web service error occurred.
REST,HEC,,String,sourcetype,,Default sourcetype for events with this token.
Search job inspector,Execution costs of search commands,command.search.expand_search,,sourcetype,,
CIM,,,,sourcetype,,The source types included in the search or scheduled search or the web service error occurred.
CIM,,,,spent,,The amount of time spent loading the view (in milliseconds).
Insights App for Splunk,Lookups,,,splunk_base_configs_csv_lookup,,Splunk Base Configs Apps CSV Lookup
Insights App for Splunk,Lookups,,,splunk_cities_geo_sh_csv_lookup,,Insights App for Splunk City Geographic Information CSV Lookup
Insights App for Splunk,Lookups,,,splunk_stack_info_csv_lookup,,Splunk CLoud Stack Information CSV Lookup
Insights App for Splunk,Lookups,,,splunk_kb_csv_lookup,,Insights App for Splunk Fields Help CSV Lookup
Insights App for Splunk,Lookups,,,splunk_index_audit_user_login_tracker_sh_kv_store_lookup,,Insights App for Splunk Splunk User Login Activities Tracker KV Store
Insights App for Splunk,Lookups,,,splunk_index_internal_scheduler_jobs_tracker_sh_kv_store_lookup,,Insights App for Splunk Splunk Schedule Executions Tracker KV Store
Insights App for Splunk,Lookups,,,splunk_index_internal_web_access_tracker_sh_kv_store_lookup,,Insights App for Splunk Splunk Dashboard Executions Tracker KV Store
Insights App for Splunk,Lookups,,,splunk_index_itsi_summary_sh_kv_store_lookup,,ITSI Base Searches KV Store
Insights App for Splunk,Lookups,,,splunk_ports_all_csv_lookup,,Splunk Ports CSV Lookup
Insights App for Splunk,Lookups,,,splunk_rest_admin_eventtypes_sh_kv_store_lookup,,Splunk Event Types KV Store
Insights App for Splunk,Lookups,,,splunk_rest_admin_lookup_table_files_sh_kv_store_lookup,,Splunk Lookup table files KV Store
Insights App for Splunk,Lookups,,,splunk_rest_admin_saml_groups_sh_kv_store_lookup,,Splunk SAML external groups in an IdP response to internal Splunk User Roles KV Store
Insights App for Splunk,Lookups,,,splunk_rest_admin_search_concurrency_settings_handler_sh_kv_store_lookup,,Splunk Access search concurrency metrics for a standalone Splunk Enterprise instance KV Store
Insights App for Splunk,Lookups,,,splunk_rest_admin_transforms_lookup_sh_kv_store_lookup,,Splunk Lookup Definitions KV Store
Insights App for Splunk,Lookups,,,splunk_rest_apps_local_sh_kv_store_lookup,,Splunk Apps KV Store
Insights App for Splunk,Lookups,,,splunk_rest_assets_kv_store_lookup,,Insights App for Splunk Assets KV Store
Insights App for Splunk,Lookups,,,splunk_rest_authorization_roles_sh_kv_store_lookup,,Splunk User Roles KV Store
Insights App for Splunk,Lookups,,,splunk_rest_cluster_config_idx_kv_store_lookup,,Splunk cluster node configuration details KV Store
Insights App for Splunk,Lookups,,,splunk_rest_configs_conf_files_kv_store_lookup,,"Splunk Configuration Files: (limits, server, distsearch, outputs, ui-prefs, props & transforms) KV Store"
Insights App for Splunk,Lookups,,,splunk_rest_configs_conf_props_sh_kv_store_lookup,,Splunk Source Types KV Store
Insights App for Splunk,Lookups,,,splunk_rest_data_index_volumes_idx_kv_store_lookup,,Splunk Indexer Volumes (logical drives) in use by the Splunk deployment KV Store
Insights App for Splunk,Lookups,,,splunk_rest_data_indexes_idx_kv_store_lookup,,Splunk Indexes KV Store
Insights App for Splunk,Lookups,,,splunk_rest_data_inputs_all_kv_store_lookup,,Splunk deployment inputs (This includes any modular inputs that may be defined on the system) KV Store
Insights App for Splunk,Lookups,,,splunk_rest_data_inputs_http_sh_kv_store_lookup,,Splunk Http Event Collector (HEC) Inputs KV Store
Insights App for Splunk,Lookups,,,splunk_rest_data_macros_sh_kv_store_lookup,,Splunk Macros KV Store
Insights App for Splunk,Lookups,,,splunk_rest_data_models_sh_kv_store_lookup,,Splunk Data Models KV Store
Insights App for Splunk,Lookups,,,splunk_rest_data_props_calcfields_sh_kv_store_lookup,,Splunk Calculated Fields (EVAL-) KV Store
Insights App for Splunk,Lookups,,,splunk_rest_data_props_extractions_sh_kv_store_lookup,,Splunk Field Extractions (EXTRACT-) KV Store
Insights App for Splunk,Lookups,,,splunk_rest_data_props_fieldaliases_sh_kv_store_lookup,,Splunk Field Aliases (FIELDALIAS-) KV Store
Insights App for Splunk,Lookups,,,splunk_rest_data_props_lookups_sh_kv_store_lookup,,Splunk Automatic lookups (LOOKUP-) KV Store
Insights App for Splunk,Lookups,,,splunk_rest_data_transforms_extractions_sh_kv_store_lookup,,Splunk Field Transformations (TRANSFORM- OR REPORT-) KV Store
Insights App for Splunk,Lookups,,,splunk_rest_data_ui_views_sh_kv_store_lookup,,Splunk Dashboards KV Store
Insights App for Splunk,Lookups,,,splunk_rest_identities_kv_store_lookup,,Insights App for Splunk Identities KV Store
Insights App for Splunk,Lookups,,,splunk_rest_itsi_kpi_base_search_sh_kv_store_lookup,,Splunk IT Service Intelligence Interface KPI Base Searches KV Store
Insights App for Splunk,Lookups,,,splunk_rest_itsi_service_sh_kv_store_lookup,,Splunk IT Service Intelligence Interface Services KV Store
Insights App for Splunk,Lookups,,,splunk_rest_saved_searches_sh_kv_store_lookup,,Splunk Reports & Alerts (Saved Searches) KV Store
Insights App for Splunk,Lookups,,,splunk_rest_saved_searches_sh_monitoring_kv_store_lookup,,Splunk Drift Monitoring Reports and Alerts (Saved Searches) KV Store
Insights App for Splunk,Lookups,,,splunk_rest_shcluster_config_shc_kv_store_lookup,,Splunk Search Head Cluster Node configurations KV Store
Identities,,,,splunk_role_map,,Employee Splunk Roles
_audit,audittrail,,The host name of the machine where the search was run.,splunk_server,,The host name of the machine where the search was run.
CIM,,,,splunk_server,,The Splunk Server on which the scheduled search runs.
Introspection,hostwide,,,splunk_version,Access host-level dynamic CPU utilization and paging information.,Currently installed Splunk software version
REST,Authorization,Roles,Total Search job disk quota,srchDiskQuota,,"The maximum disk space in MB that can be used by a user's search jobs. For example, 100 limits this role to 100 MB total."
REST,Authorization,Roles,Restricted Search terms,srchFilter,,"Search string that restricts the scope of searches run by this role.
Search results for this role only show events that also match this search string.
When a user has multiple roles with different search filters, they are combined with an OR."
REST,Authorization,Roles,Allowed Indexes List,srchIndexesAllowed,,A list of indexes this role has permissions to search.
REST,Authorization,Roles,Indexes Searched By Default,srchIndexesDefault,,List of search indexes that default to this role when no index is specified.
REST,Authorization,Roles,User-level Concurrent search job limit,srchJobsQuota,,"The maximum number of concurrent real time search jobs for this role.
This count is independent from the normal search jobs limit."
REST,Authorization,Roles,Restrict Search time range,srchTimeWin,,"Maximum time span of a search, in seconds. 0 indicates searches are not limited to any specific time window."
_introspection,splunk_resource_usage,data,"Status from the OS scheduler. Can be R (runnable or running), W (waiting), stopped, Z (zombie), or O (other). W includes voluntary sleep or blocking on I/O. O means status is knowable but does not fit into one of those categories. Not available on Windows.",status,,"Status from the OS scheduler. Can be R (runnable or running), W (waiting), stopped, Z (zombie), or O (other). W includes voluntary sleep or blocking on I/O. O means status is knowable but does not fit into one of those categories. Not available on Windows."
Introspection,PerProcess,,Status from the OS scheduler,status,Access operating system resource utilization information.,"Status from the OS scheduler. Can be R (runnable or running), W (waiting), stopped, Z (zombie), or O (other). W includes voluntary sleep or blocking on I/O. O means status is knowable but does not fit into one of those categories. Not available on Windows."
_internal,scheduler,Scheduler Activity,info,status,,"dispatched: The number of scheduled search jobs that the captain successfully dispatched to members.
skipped: The number of jobs that were skipped and not dispatched.
delegated: The number of jobs that the captain attempted to dispatch. This is usually the same as the number of dispatched jobs."
_internal,scheduler,Scheduler Status,info,status,,"delegated_waiting: The number of jobs currently running on members.
delegated_scheduled: The number of jobs that the captain is trying to contact members to start running. This is usually 0, unless the captain or network is backed up.  1. Dispatch a search to any UP member selected based on the load metrics. Captain puts the unique identifier (dsi_id dispatch search Id) to activeScheduledSearches aka delegated_scheduled.
max_pending: The number of jobs pending over a 30 second period.
delegated_remote_error: Captain doesn't have record for delegated job This is probably due to multiple acknowledgement coming from member heartbeat and hence, is ok.
delegated_remote: 2. Member receives this search and creates an SID (search id/dispatch dir name) for the search and reply back to captain saying job is dispatched (delegated_remote). Captain removes the dsi_id from activeScheduledSearches and adds the SID to activeDelegatedSearch aka delegated_waiting.
delegated_remote_completion:  3. When the job is done member informs captain (delegated_remote_completion) and the captain removes the SID from the activeDelegatedSearch"
_internal,scheduler,,info,status,,The status of the scheduled search.
CIM,,,,status,,The status of the scheduled search.
Search job inspector,Search job properties,,,statusBuckets,,Maximum number of timeline buckets.
CIM,,,,summary_id,,The unique id of the data model acceleration summary.
Introspection,hostwide,,Amount of disk allocated to swap (fractional MB),swap,Access host-level dynamic CPU utilization and paging information.,Amount of disk allocated to swap (fractional MB)
Introspection,hostwide,,Swap space currently in use (fractional MB),swap_used,Access host-level dynamic CPU utilization and paging information.,Swap space currently in use (fractional MB)
Introspection,PerProcess,,Current number of threads,t_count,Access operating system resource utilization information.,Current number of threads.
_introspection,splunk_resource_usage,data,Current number of threads,t_count,,Current number of threads.
Search job inspector,Execution costs of dispatched searches,dispatch.evaluate,,table,,
Search job inspector,Execution costs of search commands,command,,table,,
Search job inspector,Execution costs of search commands,command.search,,tags,,tells how long it took to assign tags to events. Finding tags.
Search job inspector,Execution costs of dispatched searches,dispatch,,timeline,,The time spent generating the timeline and fields sidebar information.
Search job inspector,Search job properties,,,timeline,,Links to further information about your search. These links may not always be available
Search job inspector,Execution costs of search commands,command,,timeliner,,
_audit,audittrail,,Total Run Time,total_run_time,,Search run time in seconds. The total time it took to run the search in seconds.
_audit,audittrail,,Total Slices,total_slices,,How many slices in all considered buckets Journal.gz that might need to be decompressed. Total slices examined during the search
Search job inspector,Execution costs of dispatched searches,dispatch.evaluate,,tstats,,
Search job inspector,Search job properties,command,,tstats,,
Search job inspector,Search job properties,,,ttl,,"The time to live, or time before the search job expires after it completes."
_introspection,splunk_resource_usage,data.search_props,Search Type,type,,One of the following search types. ad-hoc datamodel acceleration other report acceleration scheduled summary indexing
Search job inspector,Execution costs of search commands,command.search,,typer,,tells how long it took to assign event types to events. Finding eventtypes.
CIM,,,,uri,,The uniform resource identifier of the view activity.
REST,HEC,,Boolean,useDeploymentServer,0 (disabled),"Indicates whether the event collector input writes its configuration to a deployment server repository. When this setting is set to 1 (enabled), the input writes its configuration to the directory specified as repositoryLocation in serverclass.conf.  Copy the full contents of the splunk_httpinput app directory to this directory for the configuration to work.  When enabled, only the tokens defined in the splunk_httpinput app in this repository are viewable and editable on the API and the Data Inputs page in Splunk Web.  When disabled, the input writes its configuration to $SPLUNK_HOME/etc/apps by default.  Defaults to 0 (disabled)."
_introspection,splunk_resource_usage,data.search_props,User,user,,Splunk username who initiated the search
_internal,scheduler,,User,user,,The user who scheduled the search.
CIM,,,,user,,"The username of the user who accessed the view.
The name of the user who ran the search.
The user who scheduled the search.
The user who triggered an ad hoc alert. Not relevant for actions triggered by searches."
CIM,,,,user_bunit,,The business unit of the user who ran the search.
CIM,,,,user_category,,The category of the user who ran the search.
CIM,,,,user_priority,,The priority of the user who ran the search.
CIM,,,,view,,The name of the view.
Introspection,hostwide,,Virtual CPU count,virtual_cpu_count,Access host-level dynamic CPU utilization and paging information.,Virtual CPU count
_internal,scheduler,,Window Time,window_time,,specifies how long the report scheduler can delay a report from running and allow higher-priority reports to run ahead ahead of it.
Search job inspector,Search job properties,,,workload_pool,,
Introspection,iostats,,Total number of kb written per second,writes_kb_ps,"Access the most recent disk I/O statistics for each disk. This endpoint is currently supported for Linux, Windows, and Solaris. By default this endpoint is updated every 60s seconds.",Total number of kb written per second.
Introspection,iostats,,Number of write requests per second,writes_ps,"Access the most recent disk I/O statistics for each disk. This endpoint is currently supported for Linux, Windows, and Solaris. By default this endpoint is updated every 60s seconds.",Number of write requests per second.
