"srch_num","srch_nme","srch_tag","srch_cat","srch_des","srch_str","srch_sts"
"IA4S-049","Report on cluster manager configurations","clustering,onprem","Indexer_Cluster","Report on cluster manager configurations","| rest /services/cluster/config splunk_server=CM1
| fields access_logging_for_heartbeats assign_primaries_to_all_sites auto_rebalance_primaries buckets_to_summarize cluster_label cxn_timeout decommission_force_finish_idle_time decommission_force_timeout enable_parallel_add_peer enable_primary_fixup_during_maintenance executor_workers forwarderdata_rcv_port forwarderdata_use_ssl freeze_during_maintenance frozen_notifications_per_batch generation_poll_interval guid heartbeat_period heartbeat_timeout log_bucket_during_addpeer manager_uri max_auto_service_interval max_concurrent_peers_joining max_delayed_updates_time_ms  max_fixup_time_ms max_peer_build_load max_peer_rep_load max_peer_sum_rep_load max_peers_to_download_bundle max_primary_backups_per_service mode multisite notify_buckets_period notify_scan_min_period notify_scan_period percent_peers_to_restart ping_flag quiet_period rcv_timeout rebalance_primaries_execution_limit_ms rebalance_threshold register_forwarder_address register_replication_address register_search_address remote_storage_retention_period remote_storage_upload_timeout rep_cxn_timeout rep_max_rcv_timeout rep_max_send_timeout rep_rcv_timeout rep_send_timeout replication_factor replication_port replication_use_ssl reporting_delay_period restart_inactivity_timeout restart_timeout rolling_restart rolling_restart_condition search_factor search_files_retry_timeout searchable_rebalance secret send_timeout service_execution_threshold_ms service_interval service_jobs_msec site site_by_site streaming_replication_wait_secs summary_replication target_wait_time use_batch_discard use_batch_mask_changes use_batch_remote_rep_changes",
"IA4S-050","Report on cluster manager status",onprem,"Indexer_Cluster","Report on cluster manager status","| rest /services/cluster/manager/status splunk_server=CM1
| fields decommission_force_timeout maintenance_mode messages multisite peers* restart_inactivity_timeout restart_progress.done restart_progress.failed restart_progress.in_progress restart_progress.to_be_restarted rolling_restart_flag rolling_restart_or_upgrade searchable_rolling service_ready_flag",
"IA4S-051","Report on Role Configurations",users,Infrastructure,"Report on Role Configurations","| inputlookup splunk_rest_authorization_roles_sh_kv_store_lookup 
| table shcluster_label title
    srchJobsQuota imported_srchJobsQuota cumulativeSrchJobsQuota 
    rtSrchJobsQuota imported_rtSrchJobsQuota cumulativeRTSrchJobsQuota 
    srchDiskQuota imported_srchDiskQuota 
    imported_roles grantable_roles splunk_role_map ldap_group_type ldap_group_name auth_type 
    defaultapp deleteIndexesAllowed 
    srchFilter imported_srchFilter
    srchTimeWin imported_srchTimeWin 
    srchIndexesAllowed imported_srchIndexesAllowed srchIndexesDefault imported_srchIndexesDefault",
"IA4S-052","Report on Dashboards being used","dashboards,health",Dashboards,"Report on Dashboards being used","host=* index=_internal sourcetype=splunk_web_access method=GET status=200 user!=""-"" 
| fields _time host search_group app view user spent 
| stats earliest(_time) As Earliest_Access latest(_time) As Latest_Access Values(user) As user BY app view 
| rename view As Dashboard_Name 
| convert ctime(*_Access) 
| table app Dashboard_Name user Earliest_Access Latest_Access",
"IA4S-053","Jobs with Duplicate Names","duplicate,health","Scheduled_Jobs","Jobs with Duplicate Names","| from lookup:splunk_rest_saved_searches_sh_kv_store_lookup
| where is_scheduled=1 AND disabled=0 AND ! savedsearch_name LIKE ""%_ScheduledView_%""
| search NOT app IN (splunk_instance_monitoring,splunk_instrumentation)
| fields shcluster_label app author savedsearch_name savedsearch_search
| stats values(*) As * count by savedsearch_name
| where count > 1
| sort 0 - count
| table shcluster_label app author savedsearch_name count savedsearch_search",
"IA4S-054","Saturation of event-processing queues","indexers,queues",Queues,"This checks if queues on your indexers have been saturated (i.e: 90% full or more) consistently in the past 15 minutes.
Message
One or more of the indexer queues on this instance is reporting an averaged fill percentage of 90 or more over the last 15 minutes. This might affect how quickly this instance indexes events.
Suggested Action
Check the Monitoring Console indexing performance view for the affected indexers.
Links
Learn more about saturation of event processing queues","index=_internal sourcetype=splunkd component=Metrics host=idx* group=queue name IN (parsingQueue, aggQueue, typingQueue, indexQueue) earliest=-15m@m 
| fields _time host name current_size current_size_kb ingest_pipe smallest_size largest_size max_size_kb ingest_pipe 
| rename current_size As current_size_bytes 
| eval max_size_bytes = max_size_kb * 1024 
| eval fill_perc = round(current_size_bytes / max_size_bytes * 100,2) 
| eval severity_level = if( fill_perc > 90, 2, 0) 
| eval fill_perc = if(isnotnull(ingest_pipe), ""pset"".ingest_pipe."": "".fill_perc, fill_perc) 
| chart values(fill_perc) AS fill_perc max(severity_level) AS severity_level over host by name 
| rename ""fill_perc: *"" AS * ""severity_level: *"" AS ""sev_*"" 
| eval severity_level = max(sev_parsingqueue, sev_aggqueue, sev_typingqueue, sev_indexqueue) 
| fields host severity_level parsingqueue aggqueue typingqueue indexqueue 
| rename host AS instance, parsingqueue as ""Parsing Queue Fill Ratio (%)"", aggqueue as ""Aggregation Queue Fill Ratio (%)"", ""typingqueue"" as ""Typing Queue Fill Ratio (%)"", indexqueue as ""Indexing Queue Fill Ratio (%)""",
"IA4S-055","Persistent High Index Queue","health,indexers","Indexer_Cluster","index=_internal sourcetype=splunkd component=Metrics group=queue name=indexqueue 
| fields _time host name current_size current_size_kb ingest_pipe largest_size smallest_size max_size_kb 
| stats Max(*) as * by _time host ingest_pipe name 
| eval queue=host . ""_"" . ingest_pipe . ""_"" . name 
| timechart max(current_size) by queue","(index=_internal source=*metrics.log sourcetype=splunkd group=queue (name=aggqueue OR name=indexqueue OR name=parsingqueue OR name=typingqueue)) 
| eval ingest_pipe=if(isnotnull(ingest_pipe),ingest_pipe,""none"") 
| search ingest_pipe=* 
| eval max=if(isnotnull(max_size_kb),max_size_kb,max_size), curr=if(isnotnull(current_size_kb),current_size_kb,current_size), fill_perc=round(((curr / max) * 100),2) 
| bin _time span=3m 
| stats MAX(fill_perc) as maxQueue by _time host name 
| where maxQueue>90 
| stats count as highQueueCount, values(maxQueue) as maxQueue by host name 
| where highQueueCount>15 
| rename name as data_path, host as dest, highQueueCount as count 
| eval meta_alert_name=""Persistent High Index Queue""",
"IA4S-056","Blocked Indexer Queues","health,indexers","Indexer_Cluster","Blocked Indexer Queues","index=_internal source=*metrics.log sourcetype=splunkd group=queue 
| eval max=if(isnotnull(max_size_kb),max_size_kb,max_size) 
| eval curr=if(isnotnull(current_size_kb),current_size_kb,current_size) 
| eval fill_perc=round((curr/max)*100,2) 
| where fill_perc>=99.0 
| bucket _time span=1m 
| stats count as blockedcount by host name _time 
| eval name=case(name==""aggqueue"",""2 - Aggregation Queue"",name==""indexqueue"",""4 - Indexing Queue"",name==""parsingqueue"",""1 - Parsing Queue"",name==""typingqueue"",""3 - Typing Queue"", 1=1, name) 
| eval blockedpercentage=((blockedcount*100)/2) 
| rex field=host ""^.*\.(?<ddc>\w+)\.expertcity.com"" 
| eval dc=coalesce(ddc,""NoFQDN"") 
| eval dc-queue=dc+""-""+name 
| chart useother=F avg(blockedpercentage) as blocked_percentage by _time, dc-queue",
"IA4S-057","Report on aborted Jobs related to Workload Management Rules deployed","health,wlm","Scheduled_Jobs","Report on aborted Jobs related to Workload Management Rules deployed","index=_internal sourcetype=splunkd component=WorkloadManager 
| rex ""workload\s+rule\s+(?<workload_rule>.*?)\."" 
| rex ""The\s+search\s+(?<sid>.*?)\s"" 
| fields _time host sid workload_rule event_message 
| join sid 
    [ search index=_internal sourcetype=scheduler sid=* 
    | fields _time host sid user app savedsearch_name scheduled_time dispatch_time workload_pool] 
| stats count As Num_Aborts latest(_time) As _time latest(*) As * By app user savedsearch_name 
| `get_saved_searches_info(savedsearch_name)` 
| `strftime_format(_time)` 
| `strftime_format(updated)` 
| table _time savedsearch_name workload_rule workload_pool event_message app savedsearch_type cron_schedule updated allow_skew dispatch_earliest_time dispatch_latest_time Num_Aborts",
"IA4S-058","Report on All Splunk Messages Across the entire environment in the past 24 Hours","errors,health,messages",Health,"Report on All Splunk Messages Across the entire environment in the past 24 Hours","`setup_summary_index_list` source=""splunk_rest_messages_sh_summary_tracker"" earliest=-24h@h latest=now 
| fields _time, cluster_label, Splunk_Instance, help, message, message_alternate, severity, timecreated 
| stats 
    Latest(*) As *
    Latest(timecreated) As timecreated
    By cluster_label message 
| `strftime_format(timecreated)` 
| table _time, cluster_label, Splunk_Instance, help, message, message_alternate, severity, timecreated",
"IA4S-059","Report om Indexer Cluster Configurations","clustering,health,indexers","Indexer_Cluster","Report on Indexer Cluster Configurations","| inputlookup splunk_rest_cluster_config_idx_kv_store_lookup 
| stats Last(*) As * Last(_time) As _time by idxcluster_label 
| table _time idxcluster_label forwarderdata_rcv_port guid mode access_logging_for_heartbeats allowed_hbmiss_count cxn_timeout decommission_node_force_timeout decommission_search_jobs_wait_secs disabled forwarderdata_use_ssl frozen_notifications_per_batch heartbeat_period heartbeat_timeout manual_detention max_auto_service_interval max_fixup_time_ms max_peer_build_load max_peer_rep_load max_peer_sum_rep_load max_peers_to_download_bundle max_primary_backups_per_service notify_scan_min_period notify_scan_period percent_peers_to_restart ping_flag quiet_period rcv_timeout register_forwarder_address register_replication_address register_search_address remote_storage_upload_timeout rep_cxn_timeout rep_max_rcv_timeout rep_max_send_timeout rep_rcv_timeout rep_send_timeout replication_factor replication_port replication_use_ssl report_remote_storage_bucket_upload_to_targets reporting_delay_period restart_timeout search_factor search_files_retry_timeout send_timeout service_interval site warm_bucket_replication_pre_upload",
"IA4S-060","Normalized CPU Usage of searches running on the Indexer Tier originating on the ITSI SHC","health,itsi","Scheduled_Jobs","Normalized CPU %: Percentage of CPU usage across all cores. 100% is equivalent to all CPU resources on the machine.
Note: replace <Search Head Cluster> with a value that will find searches originating from the ITSI search cluster.  This is usually the host name of all SH Cluster Members, you can use a wild card.  Do the same for host but this needs to be all indexers in production.","| tstats 
    P99(data.normalized_pct_cpu) As normalized_pct_cpu 
    Latest(data.search_props.search_head) As search_head 
    Latest(_time) As _time 
    Where index=_introspection sourcetype=splunk_resource_usage component=PerProcess 
    data.process_type=search data.search_props.sid = ""remote_*"" 
    data.search_props.app IN (*)
    host IN (idx*)
    data.search_props.search_head IN (shc*)
    earliest=-1d@d latest=-0d@d
    By host data.search_props.sid data.search_props.mode data.search_props.type data.search_props.app data.search_props.user 
| `drop_dm_object_name(data.search_props)` 
| `drop_dm_object_name(data)` 
| `get_shcluster_label(search_head)` 
| `get_idxcluster_label(host)` 
| eval app_type=case(
    match(app,""ITSI|SA-ITOA|SA-userAccess|itsi""), ""ITSI apps"",
    match(app,""splunk_app_infrastructure""), ""Infrastructure app"",
    match(app,""Splunk_ML_Toolkit""), ""MLTK app"",
    match(app,""custom_app""), ""Custom apps"",
    true(), ""Other apps"") 
| timechart span=5m Avg(normalized_pct_cpu) AS AvgNormCPU Perc90(normalized_pct_cpu) As P90NormCPU Perc95(normalized_pct_cpu) As P95NormCPU 
| foreach AvgNormCPU P90NormCPU P95NormCPU 
    [ eval <<FIELD>>=round('<<FIELD>>', 2)]",
"IA4S-061","Insights App for Splunk Alert - Critical System Physical Memory Usage",alerts,Alerting,"Insights App for Splunk Alert - Critical System Physical Memory Usage","| tstats 
    Max(data.mem_used) As mem_used
    Max(data.mem) As mem
    Where index=_introspection sourcetype=splunk_resource_usage component=Hostwide
    data.mem_used > 100
    `setup_all_servers_search`
    earliest=-65m@m latest=now
    By host 
| `drop_dm_object_name(data)` 
| eval percentage = round(mem_used / mem, 3) * 100 
| where percentage > 90 
| `get_shcluster_label(host)` 
| table shcluster_label, percentage, mem_used, mem 
| rename mem AS ""Physical memory installed (MB)"", percentage AS ""Memory used (%)"", mem_used AS ""Memory used (MB)""",
"IA4S-062","Insights App for Splunk Alert - Data Quality Problems Detected","alerts,health",Alerting,"Insights App for Splunk Alert - Data Quality Problems Detected","index=_internal sourcetype=splunkd log_level IN (WARN,ERROR) component IN (AggregatorMiningProcessor, DateParserVerbose, LineBreakingProcessor) `setup_indexer_search` 
| rex field=event_message ""Context:\s+source=(?<data_source2>.*?)\|"" 
| rex field=event_message ""host=(?<data_host2>.*?)\|"" 
| rex field=event_message ""Context:\s+source=.*\|host=.*\|(?<data_sourcetype2>.*?)\|"" 
| eval data_source=if((isnull(data_source) AND isnotnull(data_source2)),data_source2,data_source), data_sourcetype=if((isnull(data_sourcetype) AND isnotnull(data_sourcetype2)),data_sourcetype2,data_sourcetype) , data_host=if((isnull(data_host) AND isnotnull(data_host2)),data_host2,data_host) 
| fields - data_source2 data_sourcetype2 data_host2 
| search NOT data_sourcetype IN (splunkd, splunkd_*, splunk_*, mongod ,kvstore, http_event_collector_metrics, python_upgrade_readiness_app) 
| stats latest(event_message) as latest_event_message values(data_source) as data_sources count as num_failures by data_sourcetype component 
| search NOT data_sourcetype IN (json-*)
| where num_failures > 1",
"IA4S-063","Insights App for Splunk Alert - Job Failures in the last 24 hours","alerts,diskusage,health",Alerting,"Insights App for Splunk Alert - Job Failures in the last 24 hours","`setup_summary_index_list` source=splunk_rest_search_jobs_sh_summary_tracker provenance=scheduler status=Failed earliest=-24h@h
| stats count as num_failures values(*_messages) as *_messages latest(diskUsage) as diskUsage latest(scan_count) as scan_count latest(total_run_time) as total_run_time by shcluster_label app user savedsearch_name 
| table shcluster_label app user savedsearch_name num_failures *_messages diskUsage scan_count total_run_time 
| where num_failures > 1",
"IA4S-064","Scheduled Jobs on the ITSI SHC cluster","health,itsi","Scheduled_Jobs","ITSI Scheduled Alerts & Reports across the entire ITSI SHC cluster.
Reporting on all Jobs that are scheduled to run on the ITSI Search Head Cluster (SHC)","| from lookup:splunk_rest_saved_searches_sh_kv_store_lookup 
| where is_scheduled=1 AND disabled=0 
| eval savedsearch_type=if((NOT 'action'==""*"" AND NOT alert.track==""*"" AND NOT alert_condition==""*"" AND 'alert_type'==""always""),""report"",""alert"") 
| fields Splunk_Instance app author sharing savedsearch_name savedsearch_type description is_scheduled disabled search cron_schedule next_scheduled_time realtime_schedule schedule_priority schedule_window updated allow_skew 
| stats 
    Values(*) As *
    BY app savedsearch_name 
| eval updated = strptime(updated,""%Y-%m-%dT%H:%M:%S%z"") ,updated = strftime(updated, ""%A %B %d, %Y %I:%M:%S %p %Z"") , next_scheduled_time=strptime(next_scheduled_time,""%Y-%m-%d %H:%M:%S %Z""), next_scheduled_time = strftime(next_scheduled_time, ""%A %B %d, %Y %I:%M:%S %p %Z"") 
| table savedsearch_name updated disabled is_scheduled savedsearch_type app sharing author cron_schedule next_scheduled_time realtime_schedule schedule_priority schedule_window allow_skew description search",
"IA4S-065","ITSI Scheduled Jobs Cron Scheduler Pie Chart","health,itsi","Scheduled_Jobs","Analyze the results of the search in Pie Chart visualizations and tune Job schedules to stagger appropriately.
Here is an example of staggering 5-minute interval jobs:
1-59/5 * * * *
2-59/5 * * * *
3-59/5 * * * *
4-59/5 * * * *

Rerun the search after you make the adjustments to see the new data and apply additional tuning as necessary.
For 1-minute interval jobs, reconfigure to run every 5 minutes instead and stagger using the same process above.","| from lookup:splunk_rest_saved_searches_sh_kv_store_lookup 
| where is_scheduled=1 AND disabled=0 
| stats 
    Values(cron_schedule) As cron_schedule
    BY app savedsearch_name 
| stats count by cron_schedule",
"IA4S-066","Run Time Across All ITSI Jobs Across the entire ITSI Cluster","health,itsi","Scheduled_Jobs","Review overall Run Time across all jobs to check if we have any unusual spikes in run times in the last 24 hours:","host=shc* index=_internal sourcetype=scheduler status=completed earliest=-24h@h
| fields _time host app run_time savedsearch_name
| timechart Max(run_time) As MaxRunTime Avg(run_time) As AvgRunTime span=1h
| foreach MaxRunTime AvgRunTime [ eval <<FIELD>>=round('<<FIELD>>', 2)]",
"IA4S-067","Run Time Across All ITSI Jobs Across the entire ITSI Cluster by App & Job Name","health,itsi","Scheduled_Jobs","Check if we have any unusual long running jobs and then zoom in on a particular job to make sure the behavior in the last 24 hours:","host=shc* index=_internal sourcetype=scheduler status=completed earliest=-24h@h
| fields _time host app run_time savedsearch_name
| stats Max(run_time) As MaxRunTime Avg(run_time) As AvgRunTime by app savedsearch_name
| foreach MaxRunTime AvgRunTime [ eval <<FIELD>>=round('<<FIELD>>', 2)]
| sort 0 - MaxRunTime",
"IA4S-068","Run Time Across All ITSI Jobs Across the entire ITSI Cluster(Specific Job Name)","health,itsi","Scheduled_Jobs","Select the Job with the highest MaxRunTime and review its run time overtime in the last 24 hours:","host=shc* savedsearch_name=""Indicator - Shared - 5d772a556e65145ad9069c94 - ITSI Search"" index=_internal sourcetype=scheduler status=completed earliest=-24h@h latest=-0h@h
| fields _time host app run_time savedsearch_name 
| timechart Max(run_time) As MaxRunTime Avg(run_time) As AvgRunTime span=1h
| foreach MaxRunTime AvgRunTime [ eval <<FIELD>>=round('<<FIELD>>', 2)]",
"IA4S-069","Report on all Bundle enforcer blacklist by host & app","health,knowledge_bundle","Configuration_Files","Report on all Bundle enforcer blacklist by host & app","`setup_summary_index_list`  sourcetype=""splunk:config:btool:distsearch"" 
| rex ""etc/((apps|manager-apps|peer-apps)/)?[^/]+/(default|local)/(?<file>\w+\.conf)\s+\[(?<stanza>.+?)\]"" 
| multikv noheader=t 
| rex ""(?<SPLUNK_HOME>.*?)/etc/(?<app_folder>apps|manager-apps|system|peer-apps)/((?<app>.*)/)?(?<directory>default|local)/(?<file>\w+\.conf)"" 
| search stanza=bundleEnforcerBlacklist app_folder!=system Column_2=""*/*"" 
| stats count by host app stanza Column_2 
| rex field=Column_2 ""(?<name>.*)\s*=\s*(?<blacklist_pattern>.*)"" 
| table host app name blacklist_pattern",
"IA4S-070","Splunk Search Head Cluster (SHC) Scheduler Skips Analysis","health,skips",Scheduler,"This search excludes data model summarization and Jobs that are configured to use the continuous scheduling method i.e. realtime_schedule=0 or was disabled

What is skipped vs deferred ?
- Behavior depends on scheduling mode (real-time or continuous scheduling)
- Realtime scheduling mode searches will report a status of: completed/skipped
- Continuous scheduling mode searches will report a status of: completed/deferred,Use this example to automatically email results to users","| tstats SUMMARIESONLY=TRUE ALLOW_OLD_SUMMARIES=FALSE 
    
Latest(Search_Activity.Internal_Scheduler.info2) AS info
    Values(host) as host
    FROM DataModel=IA4S
    WHERE nodename=Search_Activity.Internal_Scheduler
    index=_internal
    AND Search_Activity.Internal_Scheduler.info2 IN (skipped, delegated_remote_completion) 
    AND Search_Activity.Internal_Scheduler.search_type2 != ""*acceleration""
        earliest=-4h@h latest=-0h@h
    BY _time span=1s Search_Activity.Internal_Scheduler.search_id2 
| `drop_dm_object_name(Search_Activity.Internal_Scheduler)` 
| rename search_id2 As search_id , info AS status 
| lookup splunk_rest_assets_kv_store_lookup Splunk_Instance As host OUTPUTNEW Splunk_Roles 
| where Splunk_Roles=""shc_member"" OR Splunk_Roles=""shc_captain"" 
| timechart span=1h
    count(eval(status==""delegated_remote_completion"")) AS SHC_COMP_EXEC
    count(eval(status==""skipped"")) AS Skipped_EXEC
    count(eval(status==""delegated_remote_completion"" OR status==""skipped"")) AS SHC_TOT_EXEC 
| eval Skip_Ratio = round ( ( Skipped_EXEC / SHC_TOT_EXEC ) * 100, 0) 
| fields - SHC_TOT_EXEC",
"IA4S-071","Splunk .conf configuration syntax errors",health,"Configuration_Files",".conf file syntax errors within the environment.  Recommended to review and correct syntax errors identified to ensure system is functioning as expected","index=_internal sourcetype=splunkd CASE(WARN) TERM(IniFile) 
| rex ""IniFile - (?<file>[^,]+),(?<msg>.*$)"" 
| stats count dc(host) As Num_Hosts last(host) As Last_Host values(msg) As Error_Message by file",
"IA4S-072","Indexer connectivity issues","connectivity,health","Indexer_Cluster","cannot establish connection to a given indexer.  As a result, this indexer has considerably less data compared to its peers, this misconfiguration results in performance issues.
Recommended to review routing/firewall configuration to ensure on-prem forwarders are able to connect to said indexer.","index=_internal sourcetype=splunkd component=TcpOutputProc TERM(WARN) ip=* connection timed out 
| rename ip As Indexer 
| stats Values(event_message) As event_message Values(host) As Hosts dc(host) As Num_Hosts Latest(_time) As _time by Indexer",
"IA4S-073","Analyze Scheduler using the Metrics component in internal","health,itsi,skips",Scheduler,"Set the shcluster_label to the either the Search head Cluster or a standalone Search Head.
Then proceed and select a few metrics to report on from the list of fields.","index=_internal sourcetype=splunkd component=Metrics group=searchscheduler (search_group=dmc_group_search_head OR host=*) 
| `get_shcluster_label(host)` 
| search shcluster_label=""es*"" 
| fields _time actions_triggered completed delayed delegated delegated_scheduled delegated_waiting dispatched eligible max_lag max_running max_runtime shc_max_hist_searches shc_max_rt_searches shc_max_sched_auto_summary shc_max_sched_hist_searches shc_max_sched_rt_searches skipped total_lag total_runtime window_max_lag window_total_lag 
| fields _time shc_max_sched_hist_searches dispatched skipped 
| timechart partial=false span=1h
    sum(dispatched) AS Started 
    sum(skipped) AS Skipped 
    max(shc_max_sched_hist_searches) As Concurrency 
| foreach * 
    [ eval <<FIELD>>=Round('<<FIELD>>', 2)]",
"IA4S-074","Report on Search Duration of any type","duration,health",Search,"Report on search duration of any type","index=_audit TERM(action=search) ( TERM(info=completed) OR ( TERM(info=granted) apiStartTime ""search='search"")) NOT ""search_id='rsa_*"" 
| eval u=case( searchmatch(""user=splunk-system-user OR user=nobody OR search_id=*scheduler_*""), ""Scheduler"", searchmatch((""search_id='1*"")), ""AdHocuser"", 1=1, ""AdHocSaved"") 
| eval search_id=md5(search_id), 
    search_et=if(search_et=""N/A"", 0,
    search_et), search_lt=if(search_lt=""N/A"", exec_time, search_lt), 
    et_diff=case(exec_time>search_et, (exec_time-search_et)/60, 1=1, (search_lt-search_et)/60), searchStrLen=len(search) 
| stats partitions=10 
    sum(searchStrLen) AS searchStrLen
    count
    first(et_diff) AS et_diff
    first(u) as u
    values(search) AS search 
    BY search_id 
| search searchStrLen>0 et_diff=* count>1 
| eval et_range = case(et_diff<=0, ""ZERO"", et_diff<2, ""0_1m"", et_diff<6, ""1_5m"", et_diff<11, ""2_10m"", et_diff<16, ""3_15m"", et_diff<=65, ""4_60m"", et_diff<=4*60+10, ""5_4h"", et_diff<=24*60+10, ""6_24h"", et_diff<=7*24*60+10, ""7_7d"", et_diff<=30*24*60+10, ""8_30d"", et_diff<=90*24*60+10, ""9_90d"", 1=1, ""10_>90d"") 
| chart count by et_range, u 
| eval Total=AdHocuser + AdHocSaved + Scheduler 
| eventstats sum(AdHocuser) AS uTotal sum(AdHocSaved) AS aTotal, sum(Scheduler) AS sTotal, sum(Total) AS tTotal 
| eval AdHocuserPerc=round((AdHocuser*100)/uTotal,3), AdHocSavedPerc=round((AdHocSaved*100)/aTotal,3), SchedulerPerc=round((Scheduler*100)/sTotal, 3), TotalPerc=round((Total*100)/tTotal, 3) 
| addcoltotals 
| eval et_range=if(isnull(et_range), ""8_Total"", et_range) 
| fields - aTotal sTotal tTotal, uTotal 
| rex mode=sed field=et_range ""s/\d+_(.*)/\1/g"" 
| accum TotalPerc AS TotalPercCumulative 
| eval TotalPercCumulative=if(TotalPercCumulative<101, round(TotalPercCumulative, 1), """")",
"IA4S-075","Index Buckets Statistics","indexes,onprem","Indexer_Cluster","Report on the following:
1. Unusually high number of Buckets.
2. Indexes with Excess Bucket Copies
3. Indexes with Excess Searchable Copies","| rest /services/cluster/manager/indexes splunk_server=CM 
| stats last(splunk_server) as host max(index_size) as index_size max(num_buckets) as num_buckets max(total_excess_bucket_copies) as total_excess_bucket_copies max(total_excess_searchable_copies) as total_excess_searchable_copies by title 
| rename title as index_name 
| eval _time=now() 
| fields _time host index_name index_size num_buckets total_excess_bucket_copies total_excess_searchable_copies",
"IA4S-076","Analyze Search Bundle Size and Replication Elapsed Time","health,knowledge_bundle","Search_Head_Cluster","Report unusual bundle size and elapsed times.","index=_internal sourcetype=splunkd component=DistributedBundleReplicationManager bundle_replication_mode=baseline earliest=-24h@h latest=now 
| `get_shcluster_label(host)` 
| fields _time shcluster_label bundle_file_name bundle_size elapsed_ms replication_id 
| eval bundle_size_org=bundle_size 
| rex field=bundle_size mode=sed ""s/KB|MB//g"" 
| eval bundle_size_MB=case(match(bundle_size_org, ""KB""), round(bundle_size/1024), match(bundle_size_org, ""MB""), round(bundle_size)) 
| eval elapsed_s=round(elapsed_ms/1000,2) 
| stats latest(*) as * latest(_time) As _time by shcluster_label replication_id 
| sort 0 - _time 
| table _time shcluster_label replication_id bundle_file_name bundle_size_MB elapsed_s 
| timechart Max(elapsed_s) As elapsed_s Max(bundle_size_MB) As bundle_size_MB by shcluster_label",
"IA4S-077","ITSI Rules Engine Real-Time Job Impact on the platform","health,itsi","Scheduled_Jobs","ITSI Rules Engine Real-Time Job Impact on the platform","| tstats 
    P99(data.normalized_pct_cpu) As normalized_pct_cpu 
    Latest(data.search_props.search_head) As search_head 
    Latest(_time) As _time 
    Where index=_introspection sourcetype=splunk_resource_usage component=PerProcess 
    data.process_type=search data.search_props.sid = ""remote_*"" 
    data.search_props.app IN (*)
    host IN (*)
    data.search_props.search_head IN (shc*)
    data.search_props.label=itsi_event_grouping 
    earliest=-1d@d latest=-0d@d
    By host data.search_props.sid data.search_props.mode data.search_props.type data.search_props.app data.search_props.user 
| `drop_dm_object_name(data.search_props)` 
| `drop_dm_object_name(data)` 
| `get_shcluster_label(search_head)` 
| `get_idxcluster_label(host)` 
| timechart span=5m
    Max(mem_used) as mem_used 
    Max(normalized_pct_cpu) as normalized_pct_cpu
    Max(fd_used) as fd_used
    Max(t_count) as t_count
    Max(page_faults) as page_faults
    Max(read_mb) as read_mb
    Max(written_mb) as written_mb
    Max(scan_count) as scan_count",
"IA4S-078","Report on Job Disk Quota Size and Time To Live Information","diskusage,health,ttl","Scheduled_Jobs","For more info on Dispatch folder:
https://docs.splunk.com/Documentation/Splunk/latest/Search/Dispatchdirectoryandsearchartifacts","`setup_summary_index_list` source=splunk_rest_search_jobs_sh_summary_tracker provenance=scheduler  earliest=-7d@d
| fields _time shcluster_label search_id_normalized status searchEarliestTime searchLatestTime pid app savedsearch_name ttl user priority provenance delegate diskUsage doneProgress eventAvailableCount eventCount isEventsPreviewEnabled isPreviewEnabled isRemoteTimeline meanPreviewPeriod numPreviews resultCount resultIsStreaming resultPreviewCount runDuration sampleRatio sampleSeed scanCount searchCanBeEventType runtime_auto_cancel runtime_auto_pause error_messages emp_* 
| stats Max(diskUsage) As diskUsage latest(*) as * by shcluster_label savedsearch_name app user ttl status 
| eval diskUsageGB=round(diskUsage/1024/1024/1024,2) , ttl_hours=round(ttl/60/60,0), ttl_days=round(ttl/60/60/24,0) 
| `get_saved_searches_info(shcluster_label,app,savedsearch_name)` 
| `cron_descriptor(cron_schedule)` 
| fields shcluster_label user emp_name emp_last emp_email app savedsearch_name description actions dispatch_earliest_time dispatch_latest_time cron_schedule dispatch_ttl ttl ttl_hours ttl_days diskUsage diskUsageGB status cron_schedule_described 
| makemv delim="","" actions 
| `get_action_info(shcluster_label,actions)` 
| rename ttl As final_ttl 
| sort 0 - diskUsage 
| table shcluster_label user emp_name app savedsearch_name status diskUsage diskUsageGB actions action_description dispatch_earliest_time dispatch_latest_time cron_schedule cron_schedule_described dispatch_ttl action_ttl final_ttl ttl_hours ttl_days description",
"IA4S-079","Find Top 20 most used Dashboards on the SHC by App & Dashboard Name",adoption,Dashboards,"Find Top 20 most used Dashboards on the SHC by App & Dashboard Name","`setup_summary_index_list` source=splunk_internal_web_access_idx_summary_tracker 
 earliest=-7d@d | top 20 view 
| `get_dashboards_info(view)`",
"IA4S-080","Get indexer status information","indexers,onprem","Indexer_Cluster","average_KBps: average_KBps Average indexer throughput (kbps)

reason:Status explanation. For a normal status, returns. The following examples show possible abnormal status reasons. idx=<indexerName> Throttling indexer, too many tsidx files in bucket=<bucketName>. Is splunk-optimize working? If not, low disk space may be the cause."" ""You are low in disk space on partition <partitionName>. Indexing is paused. Will resume when free disk space rises above <minFreeMB>
  status: Current indexer status. One of the following values: normal, throttled, stopped","| rest /services/server/introspection/indexer splunk_server=IDX* Timeout=0 
| table splunk_server title status average_KBps reason",
