id,action,"activity_action","change_type",template
3527,unknown,"Ranger Deploy - Credential Overridden",ranger,"The Management user {{username}} {{ action_name }} {{ name }} at {{ created_at | datetime }}"
3530,modified,"Ranger Labels Updated",ranger,"The Management user {{username}} updated {{ affected_devices }} devices to {{ device_function }} - {{ os_type}} - {{os_version}} at {{ created_at | datetime }}"
3531,modified,"Ranger labels reverted",ranger,"The Management user {{username}} reverted {{ affected_devices }} devices fingerprint labels  at {{ created_at | datetime }}"
3532,unknown,"Ranger Deploy - Trusted Hosts",ranger,"{{ ip_address }} {{ action }} the TrustedHosts list on endpoint {{ uuid }}at {{ created_at | datetime }}"
3533,unknown,"Ranger Deploy - Linux Enforcement",ranger,"Linux enforcement {{ action }} on endpoint MAC address: {{ mac }} IP: {{ ip_address }} at {{ created_at | datetime }}"
3534,unknown,"Ranger Deploy - PsDrive WMI Session",ranger,"PsDrive {{ action }} during Ranger Deploy WMI session on endpoint MAC address: {{ mac }} IP: {{ ip_address }} at {{ created_at | datetime }}"
36,modified,"Verification complete",user,"User onboarding process successfully completed for the user {{ username }}."
3600,created,"Custom Rules - User Created A Rule",mgmt,"The management user {{ user_name }} added the {{ rule_name }} rule on the {{ full_scope_details }}."
3601,modified,"Custom Rules - User Changed A Rule",mgmt,"{% if name_change %}The management user {{ user_name }} changed the name of the {{ old_rule_name }} rule to {{ rule_name }}, on the {{ full_scope_details }}{% else %}The management user {{ user_name }} edited the {{ rule_name }} rule on the {{ full_scope_details }}{% endif %}."
3602,deleted,"Custom Rules - User Deleted A Rule",mgmt,"The management user {{ user_name }} deleted the {{ rule_name }} rule on the {{ full_scope_details }}."
3603,modified,"Custom Rules - Rule Status Changed",mgmt,"The management user {{ user_name }} changed the status of the {{ rule_name }} rule from {{ old_status }} to {{ status }}."
3604,modified,"Custom Rules - Rule Status Change Failed",mgmt,"The {{ rule_name }} rule failed to change from {{ old_status }} to {{ status }}."
3605,modified,"Custom Rules - Rule Will Expire Soon",mgmt,"The {{ rule_name }} rule will expire on {{ expiry_date_str }}. Update the expiration date if required."
3606,modified,"Custom Rules - Rule Expired",mgmt,"The {{ rule_name }} rule expired on {{ expiry_date_str }}."
3607,modified,"Custom Rules - Rule Reached Alert Limit",mgmt,"The {{ rule_name }} rule exceeded the alert limit. You can re-activate it if required."
3608,created,"Custom Rules - New Alert",mgmt,"Alert created for {{ sourceProcessName }} from Custom Rule: {{ ruleName }} in {{ full_scope_details }}, detected on {{ origAgentName }}."
3610,read,"Account Uninstall Password Viewed",mgmt,"The management user {{ username }} viewed the uninstall password version {{ version }} for account {{ account_name }}"
3611,modified,"Account Uninstall Password Generated",mgmt,"The management user {{ username }} generated the uninstall password version {{ version }} for account {{ account_name }} with expiration date {{expiration}}"
3612,modified,"Account Uninstall Password Regenerated",mgmt,"The management user {{ username }} generated the uninstall password version {{ version }} for account {{ account_name }} with expiration date {{ expiration }} and revoked password version {{ prev_version }}"
3613,modified,"Account Uninstall Password Revoked",mgmt,"The management user {{ username }} revoked the uninstall password version {{ version }} for account {{ account_name }}"
3614,modified,"Agent Started On-Demand Disk Scan",mgmt,"End user {{ endpoint_username }} initiated scanning on the agent {{ computer_name }} of {{ scanned_path }} at {{ timestamp | datetime}}."
3615,modified,"Agent Aborted On-Demand Scan",mgmt,"End user {{ endpoint_username }} aborted scanning to the agent {{ computer_name }} of {{ scanned_path }} at {{ timestamp | datetime}}."
3616,created,"New Script Created",script,"The management user {{username}} added the {{script_name}} script to {{full_scope_details}}."
3617,modified,"Agent Completed On-Demand Scan",agent,"Agent {{ computer_name }} successfully completed scan of {{ scanned_path }} at {{ timestamp | datetime}}."
3618,started,"Script Action Initiated",script,"The management user {{username}} executed the {{script_name}} script which will apply to a total of {{number}} endpoints. {% if password_from_scope_used %} Execution artifacts are protected by Remote Ops password from {{password_scope_level}} scope {{ password_scope_name }}.{% endif %}"
3620,started,"Manual CIS Scan Initiated",scan,"User {{username}} initiated a Run Template command on {{ template_name }} benchmark in {{ full_scope_details }}."
3621,stopped,"Manual CIS scan Completed",scan,"Benchmark {{ template_name }} completed on {{ scope_level }}."
3622,deleted,"Script Deleted",script,"The management user {{username}} deleted the {{script_name}} script from {{full_scope_details}}."
3623,modified,"Script Updated",script,"The management user {{username}} edited the {{script_name}} script from {{full_scope_details}}."
3624,unknown,"User 2FA Verification Success",user,"User {{username}} has entered a correct 2FA recovery code."
3625,unknown,"User 2FA Verification Failed",user,"User {{username}} has entered an incorrect 2FA recovery code."
3626,modified,"User 2FA Email Verification Changed",user,"User {{ username }} added a recovery email {{ recovery_email }}"
3627,unknown,"User 2FA Verification Sent",user,"2FA recovery code was sent to {{ recovery_email }} by {{ username }}"
3628,unknown,"2FA Code Verification",AAA,"User {{ username }} successfully reset 2FA access using an email recovery code"
3629,unknown,"Login Using Saved 2FA Recovery Code",AAA,"User {{ username }} has logged in using a saved 2FA recovery code, with IP Address {{ ip_address }}"
3630,unknown,"Live Update Sent To Agent",agent,"Live Updates for {{asset_type}}, {{asset_versions_list}}, were sent to endpoint {{computer_name}}"
3631,unknown,"Live Update Merged To Agent",agent,"Live Updates for {{asset_type}}, {{asset_versions_list}}, were merged by endpoint {{computer_name}}"
3632,unknown,"Live Update Not Merged To Agent",agent,"Live Updates for {{asset_type}}, {{asset_versions_list}}, were not merged by endpoint {{computer_name}}"
3633,modified,"Marketplace - App Installed",application,"Application {{ name }}, ID: {{ application_id }} : Application was installed by {{ modifier }}. "
3634,deleted,"Marketplace - App Deleted",application,"Application {{ name }}, ID: {{ application_id }} : Application was deleted by {{ modifier }}. "
3635,modified,"Marketplace - App Disabled",application,"Application {{ name }}, ID: {{ application_id }} :  Application was disabled by {{ modifier }}. "
3636,modified,"Marketplace - App Enabled",application,"Application {{ name }}, ID: {{ application_id }} :   Application was enabled by {{ modifier }}. "
3637,modified,"Marketplace - App Edit",application,"Application {{ name }}, ID: {{ application_id }} : Application was edited by {{ modifier }}. "
3638,modified,"Marketplace - App Disabled Error",unknown,"ERROR; Application {{ name }}, ID: {{ application_id }}; {{httpStatus}} , {{result}}"
3639,modified,"Marketplace - App Disabled Error",unknown,"Application {{ name }}, ID: {{ application_id }} :  Application was disabled automatically by app platform because of error."
3640,unknown,"Ranger Self Provisioning",ranger,"User {{ username }} {{ command }} Ranger self provisioning on Account {{ affected_account_name }}"
3641,modified,"Ranger self Provisioning Default Features Modified",ranger,"User {{ username }} modified {{ feature_name }} default for new Sites to {{ feature_value }}"
3642,unknown,"Ranger Self Provisioning Site Features Change",ranger,"User {{ username }} {{ action }} {{ feature_name }} on Site {{ site_name }}"
3650,created,"Tag Manager - User Created New Tag",tag,"The user {{ email }} created a new tag - {{ key }} : {{ value }} on scope {{ full_scope_details_path }}{% if description is not none %} with description {{ description }}.{% else %} without description.{% endif %}"
3651,modified,"Tag Manager - User Modified Tag",user,"The user {{ email }} changed the {{ modified_values }} of the tag {{ old_key }} : {{ old_value }} with the description {% if old_description is not none %} {{ old_description }} {% else %} N/A {% endif %} in scope {{ full_scope_details_path }} to: {{ key }} : {{ value }}, with the description{% if description is not none %} {{ description }}{% else %} N/A{% endif %}."
3652,deleted,"Tag Manager - User Deleted Tag",user,"The user {{ email }} deleted the tag {{ key }} : {{ value }} with the description {% if description is not none %} {{ description }}{% else %} N/A{% endif %} from scope {{ full_scope_details_path }}"
3653,created,"Tag Manager - User Attached Tag",tag,"The user {{ email }} added {% if tags|length > 1 %}these tags {% else %}this tag{% endif %} to the endpoint {{ computer_name }} on scope {{ full_scope_details_path }}: {% for tag in tags %}{% for tag_data in tag %}{{ tag_data[""key""] }} : {{ tag_data[""value""]}}{% endfor %}{{ "", "" if not loop.last else ""."" }}{% endfor %}"
3654,deleted,"Tag Manager - User Detached Tag",tag,"The user {{ email }} removed {% if tags|length > 1 %}these tags {% else %}this tag {% endif %} from the endpoint {{ computer_name }} on scope {{ full_scope_details_path }}: {% for tag in tags %}{% for tag_data in tag %}{{ tag_data[""key""] }} : {{ tag_data[""value""]}}{% endfor %}{{ "", "" if not loop.last else ""."" }}{% endfor %}"
3655,deleted,"Tag Detached Because Tag Deleted",unknown,"{% if tags|length > 1 %} These tags: {% for tag in tags %}{% for tag_data in tag %}{{ tag_data[""key""] }} : {{ tag_data[""value""]}}{% endfor %}{{ "", "" if not loop.last else """" }}{% endfor %} were {% else %} The tag: {% for tag in tags %}{% for tag_data in tag %}{{ tag_data[""key""] }} : {{ tag_data[""value""]}}{% endfor %}{{ "", "" if not loop.last else """" }}{% endfor %} was {% endif %} removed from the endpoint {{ computer_name }} on scope {{ full_scope_details_path }} because the tag was deleted by the user {{ email }}"
3656,modified,"Tag Manager - Tag Detached Because Scope Changed",unknown,"{% if tags|length > 1 %} These tags were removed from the endpoint {{ computer_name }} because of a change in endpoint scope: {% for tag in tags %}{% for tag_data in tag %}{{ tag_data[""key""] }} : {{ tag_data[""value""]}}{% endfor %}{{ "", "" if not loop.last else ""."" }}{% endfor %} The endpoint moved from scope {{ full_scope_details_path }} to {{ new_full_scope_details }} and they are not available in the new scope. {% else %} The tag {% for tag in tags %}{% for tag_data in tag %}{{ tag_data[""key""] }} : {{ tag_data[""value""]}}{% endfor %}{{ "", "" if not loop.last else """" }}{% endfor %} was removed from the endpoint {{ computer_name }} because of a change in endpoint scope. The endpoint moved from scope {{ full_scope_details_path }} to {{ new_full_scope_details }} and it is not available in the new scope. {% endif %}"
3660,started,"Vulnerability scan triggered","vulnerability scan","{% if issuer == ""new_agent"" %}Vulnerability scan command sent to {{ online_agents | pluralize(""Agent"",""Agents"") }} recently subscribed to the Management Console.{% else %}Vulnerability scan command was triggered by {{ username }} and sent to {% if online_agents > 0 %}{{ online_agents | pluralize(""online Agent"",""online Agents"") }}{% endif %}{% if online_agents > 0 and offline_agents > 0 %} and {% endif %}{% if offline_agents > 0 %}{{ offline_agents | pluralize(""offline Agent"",""offline Agents"") }}. The offline Agents will be scanned once they are online{% endif %}.{% endif %}"
3661,unknown,"User Add Missing CVE To Application",user,"The management user {{ username }} added a {{ cve_id }} to {{ application_version }} {{ reason }}."
3662,unknown,"User Marked CVE as False Positive on Application",user,"The management user {{ username }} marked {{ cve_id }} as a FP on {{ application_version }} {{ reason }}."
3663,created,"User created a vulnerability ticket",user,"User {{ username }} created {{ number_of_tickets }} {{ service_type }} tickets for {{ application_name }}"
3664,created,"User Enabled Extensive Scan",user,"{{ username }} enabled Windows vulnerability and application extensive scan in {{ scope_level }} {{ scope_name }}."
3665,modified,"User Disabled Extensive Scan",user,"{{ username }} disabled Windows vulnerability and application extensive scan in {{ scope_level }} {{ scope_name }}."
3666,created,"User Enabled Linux Extensive Scan",user,"{{ username }} enabled Linux vulnerability and application extensive scan in {{ scope_level }} {{ scope_name }}."
3667,modified,"User Disabled Linux Extensive Scan",user,"{{ username }} disabled Linux vulnerability and application extensive scan in {{ scope_level }} {{ scope_name }}."
3668,created,"User Enabled Vulnerability Scan",user,"{{ username }} enabled vulnerability and application Scan in {{ scope_level }} {{ scope_name }}."
3669,modified,"User Disabled Vulnerability Scan",user,"{{ username }} disabled vulnerability and application Scan in {{ scope_level }} {{ scope_name }}."
3670,modified,"User Modified Inheritance",user,"{{ username }} modified the {{ scope_level }} {{ scope_name }} inheritance setting of the vulnerability and application scan policy."
37,modified,"User modified",user,"The management user {{ by_user }} added user {{ username }} to role {{ role_name }} in scope {{ scope_level_name }}"
3701,started,"XDR - User Initiated Action",user,"The user {{ email }} initiated the XDR action: {{ action_name }} in {{ app_name }} for threat {{ threat_name }} on target {{ target_name }}."
3702,unknown,"XDR - Application Action Response",unknown,"The action {{ action_name }} on target {{ target_name }} in app {{ app_name }} on the threat {{ threat_name }} {% if status == ""success"" or status == ""ok"" %}completed successfully.{% else %}failed. The failure message was: {% if message != None %}""{{ message }}""{% else %} ""N/A""{% endif %}.{% endif %}"
3710,"acl_modified","User Reset Password with Forgot Password from the Login",user,"The Management User {{ email }} reset their password with Forgot Password from the Login page"
3711,modified,"User Changed Their Password",user,"The management user {{ username }} changed their password."
3712,"acl_modified","Prompt Reset Password",unknown,"Management user {{ by_user }} applied Send Reset Password Email for Management user {{ username }}"
3714,modified,"User Changed Their Password Due To Expiration",user,"The management user {{ username }} changed their password due to password expiration."
3715,"acl_modified","User Reset Password by Admin Request",user,"The Management User {{ email }} reset their password with a reset password email sent by an admin"
3720,created,"CIS Skip Created",unknown,"User {{username}} skipped control {{ section }} in benchmark template {{ template_name }} on {{ full_scope_details }}."
3721,deleted,"CIS Skip Deleted",unknown,"User {{username}} unskipped control {{ section }} in benchmark template {{ template_name }} on {{ full_scope_details }}."
3730,unknown,"User Requested Set Password On Next Login",user,"The management user {{ by_user }} requested password change on the next login for the user {{ username }}."
3750,created,"Auto-Upgrade Policy Created",policy,"Auto-Upgrade Policy {{ policy_name }} was {{ policy_action }} by {{ user_name }}"
3751,modified,"Auto-Upgrade Policy Disabled",policy,"Auto-Upgrade Policy {{ policy_name }} was {{ policy_action }} by {{ user_name }}"
3752,modified,"Auto-Upgrade Policy Activated",policy,"Auto-Upgrade Policy {{ policy_name }} was {{ policy_action }} by {{ user_name }}"
3753,deleted,"Auto-Upgrade Policy Deleted",policy,"Auto-Upgrade Policy {{ policy_name }} was {{ policy_action }} by {{ user_name }}"
3754,unknown,"Auto-Upgrade Policy Reordered",policy,"Auto-Upgrade Policy {{ policy_name }} was {{ policy_action }} by {{ user_name }}"
3755,"acl_modified","Upgrade Policy Inheritance Setting Changed",policy,"{{ user_name }} changed an Upgrade Policy inheritance setting - {{scope_level}} {{ scope_name }}{% if scope_inheritance_status != ""inherits"" %} no longer{% endif %} inherits an Upgrade Policy"
3756,modified,"Auto-Upgrade Policy Edited",policy,"Auto-Upgrade Policy {{ policy_name }} was {{ policy_action }} by {{ user_name }}"
3757,unknown,"Custom Rules - New Alert",unknown,"Alert created for STAR rule {{ruleName}}. Rule matched an XDR event {{dataSourceName}} {{dvEventType}}. Export log for details."
3767,"acl_modified","Local Upgrade Authorized",endpoint,"Local Upgrade authorized for Site {{ site_name }} in Account {{ account_name }} until {{ expiry_date }} by user {{ user_name }}"
3768,"acl_modified","Local Upgrade Authorized",endpoint,"Local Upgrade authorized for {{ computer_name }} in Site {{ site_name}} in Account {{ account_name }} until {{ expiry_date }} by user {{ user_name }}"
3769,unknown,"Local Upgrade Authorized",unknown,"Local Upgrade authorized for {{ endpoints_count }} Endpoints until {{ expiry_date }} by user {{ user_name }}"
3770,modified,"Local Upgrade Authorization Expiry Date Changed",unknown,"Local Upgrade Authorization expiry date was changed to {{ expiry_date }} for Site {{ site_name }} in Account {{ account_name }} by user {{ user_name }}"
3771,modified,"Local Upgrade Authorization Expiry Date Changed",endpoint,"Local Upgrade Authorization expiry date was changed to {{ expiry_date }} for {{ computer_name }} in Site {{ site_name }} in Account {{ account_name }} by user {{ user_name }}"
3772,unknown,"Local Upgrade Unauthorized",unknown,"Local Upgrade unauthorized for Site {{ site_name }} in Account {{ account_name }} by user {{ user_name }}"
3773,"acl_modified","Local Upgrade Authorization Inherits from Site Level",unknown,"Local Upgrade Authorization selected to inherit from Site {{ site_name }} in Account {{ account_name }} for {{ computer_name }} by user {{ user_name }}"
3774,"acl_modified","Local Upgrade Authorization Inherits from Site Level",unknown,"Local Upgrade Authorization selected to inherit from Site Level for  {{ endpoints_count }} Endpoints in Site {{ site_name }} in Account {{ account_name }} by user {{ user_name }}"
3775,unknown,"Downloaded list of authorized agents",agent,"A list of Agents authorized for Local Upgrade for Site {{ site_name }} in Account {{ account_name }} was downloaded by user {{ user_name }}"
38,modified,"Immune Settings Modified",mgmt,
39,modified,"Research Settings Modified",mgmt,"The management user {{ username }} changed Share data with SentinelOne settings to {{ ""on"" if new_value else ""off"" }} for {% if group_name %}{{ group_name }} at {{ site_name }}{% elif site_name %} {{ site_name }}{% else %} all Sites{% endif %}."
40,modified,"Cloud Intelligence Settings Modified",mgmt,"The management user {{ username }} changed Cloud intelligence settings to{{ ""ON"" if cloud_intelligence_on else ""OFF"" }}."
4001,modified,"Suspicious Threat Was Marked As Threat",incident,"The management user {{ username }} marked the suspicious activity {{ file_display_name }} as threat."
4002,modified,"Suspicious Threat Was Resolved",threat,"The management user {{ username }} marked the suspicious activity {{ file_display_name }} as resolved."
4003,created,"New Suspicious Threat Not Mitigated",threat,"Threat with confidence level suspicious detected: {{ file_display_name }}."
4004,modified,"Policy Setting - Show Suspicious Activities Configuration Enabled",agent,"The management user {{ username }} turned on Show suspicious for {% if group_name %}{{ group_name }} at {{ site_name }}{% elif site_name %} {{ site_name }}{% else %} all Sites{% endif %}."
4005,modified,"Policy Setting - Show Suspicious Activities Configuration Disabled",agent,"The management user {{ username }} turned off Show suspicious for {% if group_name %}{{ group_name }} at {{ site_name }}{% elif site_name %} {{ site_name }}{% else %} all Sites{% endif %}."
4006,modified,"Session Timeout Timeout Modified",mgmt,"The management user {{ username }} changed ""Session Timeout"" configuration for {% if scope_level == ""Global"" %}{{ scope_level }}{% else %}{{ scope_level }} {{ scope_name }}{% endif %} from {{ old_value }} to {{ new_value }} minutes."
4007,modified,"Suspicious Threat Was Marked As Benign",mgmt,"The management user {{ username }} marked the suspicious activity {{ file_display_name }} as benign."
4008,modified,"Threat Mitigation Status Changed",mgmt,"Status of threat {{ file_display_name }} on agent {{ computer_name }} changed from {{ original_status }} to {{ new_status }}."
4009,modified,"Process Was Marked As Threat",incident,"The management user {{ username }} marked the process {{ file_display_name }} as threat."
4010,unknown,unknown,threat,unknown
4011,modified,"Suspicious Threat Was Unresolved",threat,"The management user {{ username }} marked the suspicious activity {{ file_display_name }} as unresolved."
4012,modified,"UI Inactivity Timeout Modified",mgmt,"The management user {{ username }} changed ""Inactivity Timeout"" configuration for {% if scope_level == ""Global"" %}{{ scope_level }}{% else %}{{ scope_level }} {{ scope_name }}{% endif %} from {{ old_value }} to {{ new_value }} minutes."
4013,modified,"Password Expiration Modified",unknown,"The management user {{ username }} changed the Password Expiration configuration for {% if scope_level == ""Global"" %}{{ scope_level }}{% else %}{{ scope_level }} {{ scope_name }}{% endif %} from {{ old_value }} to {{ new_value }} days."
4020,created,"New Threat Note Added",note,"The Management user {{ username }} added the following note to {{ file_display_name }} in endpoint {{ computer_name}} : {{ note_details }}"
4021,modified,"Threat Note Updated",note,"The Management user {{ username }} edited the following note on {{ file_display_name }} in endpoint {{ computer_name}} : {{ note_details }}"
4022,deleted,"Threat Note Deleted",note,"The Management user {{ username }} deleted the following note from {{ file_display_name }} in endpoint {{ computer_name}} : {{ note_details }}"
41,modified,"Learning Mode Settings Modified",mgmt,"The management user {{ username }} modified the suspicious mitigation policy to{% if new_value == true %} detect for {% elif new_value == false %} protect for {% endif %}{% if group_name %}{{ group_name }} at {{ site_name }}{% elif site_name %} {{ site_name }}{% else %} all Sites{% endif %}."
4100,modified,"User Marked Deep Visibility Event As Threat",mgmt,"Mark as Threat command on event {{ storyline}} has been sent to {{ computer_name }} by {{ username }}."
4101,modified,"User Marked Deep Visibility Event As Suspicious",mgmt,"Mark as Suspicious command on ID {{ storyline}} has been sent to {{ computer_name }} by {{ username }}."
4102,modified,"Agent Failed To Mark Deep Visibility Event As Threat",mgmt,"The ""Mark as Threat"" command on ID {{ group_id }} could not be completed {% if error == ""idNotFound"" %}because the ID does not exist anymore in the agent {{ computer_name }}.{% elif error == ""alreadyClassifiedAsThreat"" %}because the ID is already marked as a threat by agent {{ computer_name }}.{% elif error == ""idExcluded"" %}because the ID is part of an exclusion list for agent {{ computer_name }}.{% elif error == ""statusNotSupported"" %}because agent {{ computer_name }} does not acknowledge the status ""threat"".{% else %}in agent {{ computer_name }} due to an unknown error.{% endif %}"
4103,modified,"Agent Failed To Mark Deep Visibility Event As Suspicious",mgmt,"The ""Mark as Suspicious"" command on ID {{ group_id }} could not be completed {% if error == ""idNotFound"" %}because the ID does not exist anymore in the agent {{ computer_name }}.{% elif error == ""alreadyClassifiedAsSuspicious"" %}because the ID is already marked as suspicious by agent {{ computer_name }}.{% elif error == ""threatCantBeClassifiedAsSuspicious"" %}because the ID is already marked as threat by agent {{ computer_name }}.{% elif error == ""idExcluded"" %}because the ID is part of an exclusion list for agent {{ computer_name }}.{% elif error == ""statusNotSupported"" %}because agent {{ computer_name }} does not acknowledge the status ""suspicious"".{% else %}in agent {{ computer_name }} due to an unknown error.{% endif %}"
4104,modified,"STAR Manual Response Marked Event As Malicious",mgmt,"The Management user {{ username }} marked an alert generated by the Custom Rule {{ rule_name }} on process {{ storyline }}, for endpoint {{computer_name}}, in {{ account_name }}/{{ site_name}}/{{ group_name }} as a malicious threat.{% if threat_already_exists %}Threat already exists for this Storyline.{% endif %}"
4105,modified,"STAR Manual Response Marked Event As Suspicious",mgmt,"The Management user {{ username }} marked an alert generated by the Custom Rule {{ rule_name }} on process {{ storyline }}, for endpoint {{computer_name}}, in {{ account_name }}/{{ site_name}}/{{ group_name }} as suspicious.{% if threat_already_exists %}Threat already exists for this Storyline.{% endif %}"
4106,modified,"STAR Active Response Marked Event As Malicious",mgmt,"Custom Rule {{ rule_name }} automatically marked {{ storyline }} as a malicious threat in {{ account_name }}/{{ site_name}}/{{ group_name }}. detected on {{computer_name}}. {% if threat_already_exists %}Threat already exists for this Storyline.{% endif %}"
4107,modified,"STAR Active Response Marked Event As Suspicious",mgmt,"Custom Rule {{ rule_name }} automatically marked {{ storyline }} as a suspicious threat in {{ account_name }}/{{ site_name}}/{{ group_name }}. detected on {{computer_name}}. {% if threat_already_exists %}Threat already exists for this Storyline.{% endif %}"
4108,unknown,"New Malicious Threat Not Mitigated",threat,"Threat with confidence level malicious detected by SentinelOne Cloud: {{ alert_process_name }}"
4109,unknown,"New Suspicious Threat Not Mitigated",threat,"Threat with confidence level suspicious detected by SentinelOne Cloud: {{ alert_process_name }}."
4110,unknown,"Singularity Threat Intelligence Engine Marked Event As Malicious",threat,"Singularity Threat Intelligence engine automatically marked {{ storyline }} as a malicious threat in {{ account_name }}/{{ site_name}}/{{ group_name }}. detected on {{computer_name}}. {% if threat_already_exists %}Threat already exists for this Storyline.{% endif %}"
4111,unknown,"Watchtower Cloud Detection Engine Marked Event As Threat",threat,"Watchtower Cloud Detection engine marked {{ storyline }} as a threat in {{ account_name }}/{{ site_name}}/{{ group_name }}. detected on {{computer_name}}. {% if threat_already_exists %}Threat already exists for this Storyline.{% endif %}"
4112,unknown,"Watchtower Cloud Detection Engine Marked Event As Suspicious",unknown,"Watchtower Cloud Detection engine marked {{ storyline }} as suspicious in {{ account_name }}/{{ site_name}}/{{ group_name }}. detected on {{computer_name}}. {% if threat_already_exists %}Threat already exists for this Storyline.{% endif %}"
4113,unknown,"Singularity Threat Intelligence Engine Marked Event As Suspicious",threat,"Singularity Threat Intelligence engine automatically marked {{ storyline }} as a suspicious threat in {{ account_name }}/{{ site_name}}/{{ group_name }}. detected on {{computer_name}}. {% if threat_already_exists %}Threat already exists for this Storyline.{% endif %}"
42,modified,"Global 2FA modified",mgmt,"The management user {{ username }} {{ ""enabled"" if global_two_fa_enabled else ""disabled"" }} the scope 2FA for {% if scope_level == ""Global"" %}{{ scope_level }}{% else %}{{ scope_level }} {{ scope_name }}{% endif %}."
43,modified,"Agent updated",agent,"Agent {{ computer_name }} was successfully updated to version {{ agent_updated_version }}."
44,modified,"Auto decommission On",mgmt,"The management user {{ username }} turned on Auto decommission for {% if group_name %}{{ group_name }} at {{ site_name }}{% elif site_name %} {{ site_name }}{% else %} all Sites{% endif %}."
45,modified,"Auto decommission Off",mgmt,"The management user {{ username }} turned off Auto decommission for {% if group_name %}{{ group_name }} at {{ site_name }}{% elif site_name %} {{ site_name }}{% else %} all Sites{% endif %}."
46,modified,"Auto Decommission Period Modified",mgmt,"The management user {{ username }} modified Auto decommissioned period to {{ new_value }} days for{% if group_name %} {{ group_name }} at {{ site_name }}{% elif site_name %} {{ site_name }}{% else %} all Sites{% endif %}."
47,modified,"Agent Decommissioned",agent,"Agent {{ computer_name }} (OS Family: {{ os_type }}, Type: {{ machine_type }}, Cloud Provider: {% if cloud_provider_names %}{{ "", "".join(cloud_provider_names) }}{% else %}N/A{% endif %}) automatically decommissioned."
48,modified,"Agent Recommissioned",agent,"Agent {{ computer_name }} automatically recommissioned."
49,modified,"Agent Request Uninstall",agent,"Machine named: {{ computer_name }} requested to uninstall SentinelOne agent."
5,modified,"Agent Software Update Downloaded",agent,"Software update availability notification was sent to {{ computer_name }} by {{ user_name }}."
50,modified,"Uninstall Agent",agent,"The management user {{ username }} issued an uninstall command to {{ computer_name }}."
5000,started,"AD Sync Started",mgmt,"Active directory synchronization started."
5001,stopped,"AD Sync Finished",mgmt,"Active directory synchronization finished."
5002,started,"Dynamic Group Creation Started",mgmt,"The creation of Dynamic Group {{ group_name }} started."
5003,stopped,"Dynamic Group Creation Finished",mgmt,"The creation of Dynamic Group {{ group_name }} completed."
5004,started,"Dynamic Group Update Started",mgmt,"The update of Dynamic Group {{ group_name }} started."
5005,stopped,"Dynamic Group Update Finished",mgmt,"The update of Dynamic Group {{ group_name }} completed."
5006,deleted,"Group Deleted",mgmt,"The management user {{ username }} deleted the {{ group_type }} Group: {{ group_name }}."
5007,modified,"Group Info Changed",mgmt,"{% if update_name_and_description_message %}{{ update_name_and_description_message }}{% elif update_name_message %}{{ update_name_message }}{% elif update_description_message %}{{ update_description_message }}{% endif %}"
5008,created,"User created a Manual or Pinned Group",mgmt,"The management user {{ username }} created the new {{ group_type }} Group: {{ group_name }}."
5009,modified,"Agent Moved To A Different Group",mgmt,"The Agent {{ computer_name }} moved dynamically from Group {{ old_group_name }} to Group {{ new_group_name }}"
5010,modified,"Group Ranking Changed",mgmt,"The ranking of the Dynamic Group {{ group_name }} was changed"
5011,modified,"Group Policy Reverted",mgmt,"The management user {{ username }} reverted the policy of Group {{ group_name }} to its Site policy."
5012,modified,"Group Token Regenerated",mgmt,"The management user {{ username }} generated a new token for the Static Group {{ group_name }}."
5013,deleted,"Group Deleted Because Site Deleted",mgmt,"Group {{ group_name }} was deleted because its Site, {{ site_name }}, was deleted."
5020,created,"Site Created",mgmt,"The Management user {{ username }} created Site {{ site_name }} in Account {{ account_name }}. {{ licenses_description }}Expiration date: {% if not expiration %}Non-Expire{% else %}{{ expiration }}{% endif %}."
5021,modified,"Site Modified",mgmt,"The management user {{ username }} updated {{ old_site_name }} site. {% if update_name_message %}{{ update_name_message }}{% endif %}{% if update_description_message %}{{ update_description_message }}{% endif %}{% if update_expiration_message %}{{ update_expiration_message }}{% endif %}{% if bundle_message %}{{ bundle_message }}{% endif %}{% if module_message %}{{ module_message }}{% endif %}"
5022,deleted,"Site Deleted",mgmt,"{{ site_name }} was deleted by {{ username }}, {{ licenses_num }} licenses returned to the Account: {{ account_name }}"
5023,modified,"Site Expired",mgmt,"The site {{ site_name }}  at {{ account_name }} expired automatically at {{ site_expiration | datetime}} because the expiration day was over"
5024,modified,"Site Policy Reverted",mgmt,"The management user {{ username }} has reverted {{ site_name }} site policy to default inherited policy."
5025,modified,"Site Marked As Expired",mgmt,"The management user {{ username }} marked site {{ site_name }} at {{ account_name }} as expired"
5026,modified,"Site Duplicated",mgmt,"The management user {{ username }} duplicated {{ source_site_name }} site into {{ site_name }} site."
5027,modified,"Site Token Regenerated",mgmt,"A new token for {{ site_name }} was generated by {{ username }}."
5028,modified,"Site Expired Because Account Expired",mgmt,"Site {{ site_name }} expired when Account {{ account_name }} expired"
5029,deleted,"Site Deleted Because Account Deleted",mgmt,"Site {{ site_name }} deleted when Account {{ account_name }} deleted"
5040,created,"Account Created",mgmt,"The Management user {{ username }} created Account {{ account_name }}. {{ licenses_description }}Expiration date: {% if not expiration %}Non-Expire{% else %}{{ expiration }}{% endif %}."
