action,Description,Detailed Description
pref.who_can_create_private_channels,Who Can Create Private Channels,"It's like a who's who of who can create private channels, and it changed."
pref.who_can_create_public_channels,Who Can Create Public Channels,"The same as above, but for public channels."
pref.who_can_edit_user_groups,Who Can Edit User Groups,The list of those who can edit user groups changed.
pref.who_can_manage_channel_posting_prefs,Who Can Manage Channel Posting Prefs,Someone's been changing who can manage channel posting preferences
pref.who_can_manage_ext_shared_channels,Who Can Manage Ext Shared Channels,The list of who can manage externally shared channels has changed for this workspace.
pref.who_can_manage_guests,Who Can Manage Guests,The list of who can manage guests now has changed for this workspace.
pref.who_can_manage_shared_channels,Who Can Manage Shared Channels,Settings around who can remove users from shared channels has changed for a workspace.
pref.who_can_remove_from_private_channels,Who Can Remove From Private Channels,Settings around who can remove users from private channels has changed for a workspace.
pref.who_can_remove_from_public_channels,Who Can Remove From Public Channels,Settings around who can remove users from public channels has changed for a workspace.
pref.dlp_access_changed,DLP Access Changed,
app_removed_from_whitelist,App Removed From Whitelist,
app_resources_granted,App Resources Granted,
bot_token_downgraded,Bot Token Downgraded,
bot_token_upgraded,Bot Token Upgraded,
channel_posting_pref_changed_from_org_level,Channel Posting Preferences Changed From Org Level,
channel_renamed,Channel Renamed,
channel_workspaces_updated,Channel Workspaces Updated,
group_converted_to_channel,Group Converted To Channel,
manual_user_export_completed,Manual User Export Completed,
manual_user_export_started,Manual User Export Started,
migration_completed,Migration Completed,
migration_dms_mpdms_completed,Migration Dms Mpdms Completed,
organization_domain_changed,Organization Domain Changed,
organization_renamed,Organization Renamed,
pref.block_download_and_copy_on_untrusted_mobile,Block Download And Copy On Untrusted Mobile,
pref.block_file_download_for_unapproved_ip,Block File Download For Unapproved Ip,
pref.display_real_names,Display Real Names,
pref.ent_required_browser,Ent Required Browser,
pref.enterprise_mobile_device_check,Enterprise Mobile Device Check,
pref.hide_referers,Hide Referers,
pref.loading_only_admins,Loading Only Admins,
pref.mobile_secondary_auth_timeout_changed,Mobile Secondary Auth Timeout Changed,
pref.required_minimum_mobile_version_changed,Required Minimum Mobile Version Changed,
user_force_upgrade_non_compliant_mobile_app_version,User Force Upgrade Non Compliant Mobile App Version,
user_logout_compromised,User Logout Compromised,
user_logout_non_compliant_mobile_app_version,User Logout Non Compliant Mobile App Version,
user_session_reset_by_admin,User Session Reset By Admin,
workflow_app_token_preserved,Workflow App Token Preserved,
