source,                                       belong,                   eventClassification
"VmSecondaryDisabledBySystemEvent",           "WarningEvents",          "WarningEvents;VMEvents;MaintenanceEvents;VCEvents;Events"
"VmSecondaryDisabledEvent",                   "WarningEvents",          "WarningEvents;VMEvents;Events"
"VmStaticMacConflictEvent",                   "WarningEvents",          "WarningEvents;NetworkEvents;VMEvents;Events"
"VmUuidConflictEvent",                        "WarningEvents",          "WarningEvents;VMEvents;Events"
"VmWwnConflictEvent",                         "WarningEvents",          "WarningEvents;NetworkEvents;VMEvents;Events"
"WarningUpgradeEvent",                        "WarningEvents",          "WarningEvents;InfoEvents;Events"
"AlarmAcknowledgedEvent",                     "AlarmEvents",            "AlarmEvents;Events"
"AlarmActionTriggeredEvent",                  "AlarmEvents",            "AlarmEvents;Events"
"AlarmClearedEvent",                          "AlarmEvents",            "AlarmEvents;Events"
"AlarmCreatedEvent",                          "AlarmEvents",            "AlarmEvents;Events"
"AlarmEmailCompletedEvent",                   "AlarmEvents",            "AlarmEvents;Events"
"AlarmEvent",                                 "AlarmEvents",            "AlarmEvents;Events"
"AlarmReconfiguredEvent",                     "AlarmEvents",            "AlarmEvents;Events"
"AlarmScriptCompleteEvent",                   "AlarmEvents",            "AlarmEvents;Events"
"AlarmSnmpCompletedEvent",                    "AlarmEvents",            "AlarmEvents;Events"
"AlarmStatusChangedEvent",                    "AlarmEvents",            "AlarmEvents;Events"
"DrsEnteredStandbyModeEvent",                 "MaintenanceEvents",      "MaintenanceEvents;HA/DRSEvents;HostEvents;Events"
"DrsEnteringStandbyModeEvent",                "MaintenanceEvents",      "MaintenanceEvents;HA/DRSEvents;HostEvents;Events"
"DrsExitedStandbyModeEvent",                  "MaintenanceEvents",      "MaintenanceEvents;HA/DRSEvents;HostEvents;Events"
"DrsExitingStandbyModeEvent",                 "MaintenanceEvents",      "MaintenanceEvents;HA/DRSEvents;HostEvents;Events"
"DrsVmPoweredOnEvent",                        "MaintenanceEvents",      "MaintenanceEvents;VMEvents;HA/DRSEvents;Events"
"EnteredMaintenanceModeEvent",                "MaintenanceEvents",      "MaintenanceEvents;HostEvents;Events"
