command,entity,field,metric,perftype,nodename,metricperf,unit
average,virtualmachine,"p_average_mem_vmmemctl_kiloBytes","average_mem_vmmemctl_kiloBytes",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.vmmemctl","kiloBytes"
average,virtualmachine,"p_average_mem_vmmemctltarget_kiloBytes","average_mem_vmmemctltarget_kiloBytes",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.vmmemctltarget","kiloBytes"
average,virtualmachine,"p_average_mem_zero_kiloBytes","average_mem_zero_kiloBytes",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.zero","kiloBytes"
latest,virtualmachine,"p_latest_mem_state_number","latest_mem_state_number",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.state","number"
latest,virtualmachine,"p_latest_mem_zipped_kiloBytes","latest_mem_zipped_kiloBytes",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.zipped","kiloBytes"
latest,virtualmachine,"p_latest_mem_zipSaved_kiloBytes","latest_mem_zipSaved_kiloBytes",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.zipSaved","kiloBytes"
average,virtualmachine,"p_average_disk_read_kiloBytesPerSecond","average_disk_read_kiloBytesPerSecond",disk,"vmperformance.disk.VirtualMachineDisk","vsphere.vm.disk.read","kiloBytesPerSecond"
average,virtualmachine,"p_average_disk_usage_kiloBytesPerSecond","average_disk_usage_kiloBytesPerSecond",disk,"vmperformance.disk.VirtualMachineDisk","vsphere.vm.disk.usage","kiloBytesPerSecond"
average,virtualmachine,"p_average_disk_write_kiloBytesPerSecond","average_disk_write_kiloBytesPerSecond",disk,"vmperformance.disk.VirtualMachineDisk","vsphere.vm.disk.write","kiloBytesPerSecond"
latest,virtualmachine,"p_latest_disk_maxTotalLatency_millisecond","latest_disk_maxTotalLatency_millisecond",disk,"vmperformance.disk.VirtualMachineDisk","vsphere.vm.disk.maxTotalLatency","millisecond"
latest,virtualmachine,"p_latest_datastore_maxTotalLatency_millisecond","latest_datastore_maxTotalLatency_millisecond",datastore,"vmperformance.datastore.VirtualMachineDataStore","vsphere.vm.datastore.maxTotalLatency","millisecond"
average,virtualmachine,"p_average_power_power_watt","average_power_power_watt",power,"vmperformance.power.VirtualMachinePower","vsphere.vm.power.power","watt"
average,virtualmachine,"p_average_power_powerCap_watt","average_power_powerCap_watt",power,"vmperformance.power.VirtualMachinePower","vsphere.vm.power.powerCap","watt"
summation,virtualmachine,"p_summation_power_energy_joule","summation_power_energy_joule",power,"vmperformance.power.VirtualMachinePower","vsphere.vm.power.energy","joule"
average,virtualmachine,"p_average_net_bytesRx_kiloBytesPerSecond","average_net_bytesRx_kiloBytesPerSecond",net,"vmperformance.net.VirtualMachineNet","vsphere.vm.net.bytesRx","kiloBytesPerSecond"
average,virtualmachine,"p_average_net_bytesTx_kiloBytesPerSecond","average_net_bytesTx_kiloBytesPerSecond",net,"vmperformance.net.VirtualMachineNet","vsphere.vm.net.bytesTx","kiloBytesPerSecond"
average,virtualmachine,"p_average_net_received_kiloBytesPerSecond","average_net_received_kiloBytesPerSecond",net,"vmperformance.net.VirtualMachineNet","vsphere.vm.net.received","kiloBytesPerSecond"
average,virtualmachine,"p_average_net_transmitted_kiloBytesPerSecond","average_net_transmitted_kiloBytesPerSecond",net,"vmperformance.net.VirtualMachineNet","vsphere.vm.net.transmitted","kiloBytesPerSecond"
average,virtualmachine,"p_average_net_usage_kiloBytesPerSecond","average_net_usage_kiloBytesPerSecond",net,"vmperformance.net.VirtualMachineNet","vsphere.vm.net.usage","kiloBytesPerSecond"
summation,virtualmachine,"p_summation_net_broadcastRx_number","summation_net_broadcastRx_number",net,"vmperformance.net.VirtualMachineNet","vsphere.vm.net.broadcastRx","number"
summation,virtualmachine,"p_summation_net_broadcastTx_number","summation_net_broadcastTx_number",net,"vmperformance.net.VirtualMachineNet","vsphere.vm.net.broadcastTx","number"
summation,virtualmachine,"p_summation_net_droppedRx_number","summation_net_droppedRx_number",net,"vmperformance.net.VirtualMachineNet","vsphere.vm.net.droppedRx","number"
summation,virtualmachine,"p_summation_net_droppedTx_number","summation_net_droppedTx_number",net,"vmperformance.net.VirtualMachineNet","vsphere.vm.net.droppedTx","number"
summation,virtualmachine,"p_summation_net_errorsRx_number","summation_net_errorsRx_number",net,"vmperformance.net.VirtualMachineNet","vsphere.vm.net.errorsRx","number"
summation,virtualmachine,"p_summation_net_errorsTx_number","summation_net_errorsTx_number",net,"vmperformance.net.VirtualMachineNet","vsphere.vm.net.errorsTx","number"
summation,virtualmachine,"p_summation_net_multicastRx_number","summation_net_multicastRx_number",net,"vmperformance.net.VirtualMachineNet","vsphere.vm.net.multicastRx","number"
summation,virtualmachine,"p_summation_net_multicastTx_number","summation_net_multicastTx_number",net,"vmperformance.net.VirtualMachineNet","vsphere.vm.net.multicastTx","number"
summation,virtualmachine,"p_summation_net_packetsRx_number","summation_net_packetsRx_number",net,"vmperformance.net.VirtualMachineNet","vsphere.vm.net.packetsRx","number"
summation,virtualmachine,"p_summation_net_packetsTx_number","summation_net_packetsTx_number",net,"vmperformance.net.VirtualMachineNet","vsphere.vm.net.packetsTx","number"
summation,virtualmachine,"p_summation_net_unknownProtos_number","summation_net_unknownProtos_number",net,"vmperformance.net.VirtualMachineNet","vsphere.vm.net.unknownProtos","number"
thruput,virtualmachine,"p_thruput","thruput",net,"vmperformance.net.VirtualMachineNet","vsphere.vm.thruput",
latest,virtualmachine,"p_latest_rescpu_actav15_percent","latest_rescpu_actav15_percent",rescpu,"vmperformance.rescpu.VirtualMachineRescpu","vsphere.vm.rescpu.actav15","percent"
latest,virtualmachine,"p_latest_rescpu_actav1_percent","latest_rescpu_actav1_percent",rescpu,"vmperformance.rescpu.VirtualMachineRescpu","vsphere.vm.rescpu.actav1","percent"
latest,virtualmachine,"p_latest_rescpu_actav5_percent","latest_rescpu_actav5_percent",rescpu,"vmperformance.rescpu.VirtualMachineRescpu","vsphere.vm.rescpu.actav5","percent"
latest,virtualmachine,"p_latest_rescpu_actpk15_percent","latest_rescpu_actpk15_percent",rescpu,"vmperformance.rescpu.VirtualMachineRescpu","vsphere.vm.rescpu.actpk15","percent"
latest,virtualmachine,"p_latest_rescpu_actpk1_percent","latest_rescpu_actpk1_percent",rescpu,"vmperformance.rescpu.VirtualMachineRescpu","vsphere.vm.rescpu.actpk1","percent"
latest,virtualmachine,"p_latest_rescpu_actpk5_percent","latest_rescpu_actpk5_percent",rescpu,"vmperformance.rescpu.VirtualMachineRescpu","vsphere.vm.rescpu.actpk5","percent"
latest,virtualmachine,"p_latest_rescpu_maxLimited15_percent","latest_rescpu_maxLimited15_percent",rescpu,"vmperformance.rescpu.VirtualMachineRescpu","vsphere.vm.rescpu.maxLimited15","percent"
latest,virtualmachine,"p_latest_rescpu_maxLimited1_percent","latest_rescpu_maxLimited1_percent",rescpu,"vmperformance.rescpu.VirtualMachineRescpu","vsphere.vm.rescpu.maxLimited1","percent"
latest,virtualmachine,"p_latest_rescpu_maxLimited5_percent","latest_rescpu_maxLimited5_percent",rescpu,"vmperformance.rescpu.VirtualMachineRescpu","vsphere.vm.rescpu.maxLimited5","percent"
latest,virtualmachine,"p_latest_rescpu_runav15_percent","latest_rescpu_runav15_percent",rescpu,"vmperformance.rescpu.VirtualMachineRescpu","vsphere.vm.rescpu.runav15","percent"
latest,virtualmachine,"p_latest_rescpu_runav1_percent","latest_rescpu_runav1_percent",rescpu,"vmperformance.rescpu.VirtualMachineRescpu","vsphere.vm.rescpu.runav1","percent"
latest,virtualmachine,"p_latest_rescpu_runav5_percent","latest_rescpu_runav5_percent",rescpu,"vmperformance.rescpu.VirtualMachineRescpu","vsphere.vm.rescpu.runav5","percent"
latest,virtualmachine,"p_latest_rescpu_runpk15_percent","latest_rescpu_runpk15_percent",rescpu,"vmperformance.rescpu.VirtualMachineRescpu","vsphere.vm.rescpu.runpk15","percent"
latest,virtualmachine,"p_latest_rescpu_runpk1_percent","latest_rescpu_runpk1_percent",rescpu,"vmperformance.rescpu.VirtualMachineRescpu","vsphere.vm.rescpu.runpk1","percent"
latest,virtualmachine,"p_latest_rescpu_runpk5_percent","latest_rescpu_runpk5_percent",rescpu,"vmperformance.rescpu.VirtualMachineRescpu","vsphere.vm.rescpu.runpk5","percent"
latest,virtualmachine,"p_latest_rescpu_sampleCount_number","latest_rescpu_sampleCount_number",rescpu,"vmperformance.rescpu.VirtualMachineRescpu","vsphere.vm.rescpu.sampleCount","number"
latest,virtualmachine,"p_latest_rescpu_samplePeriod_millisecond","latest_rescpu_samplePeriod_millisecond",rescpu,"vmperformance.rescpu.VirtualMachineRescpu","vsphere.vm.rescpu.samplePeriod","millisecond"
latest,virtualmachine,"p_latest_sys_osUptime_second","latest_sys_osUptime_second",sys,"vmperformance.sys.VirtualMachineSys","vsphere.vm.sys.osUptime","second"
latest,virtualmachine,"p_latest_sys_uptime_second","latest_sys_uptime_second",sys,"vmperformance.sys.VirtualMachineSys","vsphere.vm.sys.uptime","second"
summation,virtualmachine,"p_summation_sys_heartbeat_number","summation_sys_heartbeat_number",sys,"vmperformance.sys.VirtualMachineSys","vsphere.vm.sys.heartbeat","number"
uptime,virtualmachine,"p_uptime","uptime",sys,"vmperformance.sys.VirtualMachineSys","vsphere.vm.uptime",
