"_raw",host,source,sourcetype,"_indextime","_serial","_sourcetype","_time"
"Sep  3 21:54:22 a.a.a.c : 2014 Sep  4 10:30:36 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.3237:root:","a.a.a.c","udp:514","syslog",1409795662,43,"syslog",1409795662
"Sep  3 21:54:23 a.a.a.c : 2014 Sep  4 10:30:37 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.3237:root:","a.a.a.c","udp:514","syslog",1409795663,42,"syslog",1409795663
"Sep  3 21:54:23 a.a.a.d : 2014 Sep  4 10:17:49 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.17031:root:","a.a.a.d","udp:514","syslog",1409795663,41,"syslog",1409795663
"Sep  3 21:54:23 a.a.a.d : 2014 Sep  4 10:17:49 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.17031:root:","a.a.a.d","udp:514","syslog",1409795663,40,"syslog",1409795663
"Sep  3 21:54:23 a.a.a.d : 2014 Sep  4 10:17:49 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.17036:root:","a.a.a.d","udp:514","syslog",1409795663,39,"syslog",1409795663
"Sep  3 21:54:23 a.a.a.d : 2014 Sep  4 10:17:49 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.17036:root:","a.a.a.d","udp:514","syslog",1409795663,38,"syslog",1409795663
"Sep  3 21:54:23 a.a.a.d : 2014 Sep  4 10:17:49 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.17042:root:","a.a.a.d","udp:514","syslog",1409795663,37,"syslog",1409795663
"Sep  3 21:54:23 a.a.a.d : 2014 Sep  4 10:17:49 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.17042:root:","a.a.a.d","udp:514","syslog",1409795663,36,"syslog",1409795663
"Sep  3 21:54:23 a.a.a.d : 2014 Sep  4 10:17:49 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.17048:root:","a.a.a.d","udp:514","syslog",1409795663,35,"syslog",1409795663
"Sep  3 21:54:23 a.a.a.d : 2014 Sep  4 10:17:49 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.17048:root:","a.a.a.d","udp:514","syslog",1409795663,34,"syslog",1409795663
"Sep  3 21:54:23 a.a.a.d : 2014 Sep  4 10:17:49 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.17054:root:","a.a.a.d","udp:514","syslog",1409795663,33,"syslog",1409795663
"Sep  3 21:54:23 a.a.a.d : 2014 Sep  4 10:17:49 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.17054:root:","a.a.a.d","udp:514","syslog",1409795663,32,"syslog",1409795663
"Sep  3 21:54:24 a.a.a.d : 2014 Sep  4 10:17:50 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.17060:root:","a.a.a.d","udp:514","syslog",1409795664,31,"syslog",1409795664
"Sep  3 21:54:24 a.a.a.d : 2014 Sep  4 10:17:50 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.17060:root:","a.a.a.d","udp:514","syslog",1409795664,30,"syslog",1409795664
"Sep  3 21:54:24 a.a.a.d : 2014 Sep  4 10:17:50 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.17065:root:","a.a.a.d","udp:514","syslog",1409795664,29,"syslog",1409795664
"Sep  3 21:54:24 a.a.a.d : 2014 Sep  4 10:17:50 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.17065:root:","a.a.a.d","udp:514","syslog",1409795664,28,"syslog",1409795664
"Sep  3 21:54:24 a.a.a.d : 2014 Sep  4 10:17:50 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.17071:root:","a.a.a.d","udp:514","syslog",1409795664,27,"syslog",1409795664
"Sep  3 21:54:24 a.a.a.d : 2014 Sep  4 10:17:50 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.17071:root:","a.a.a.d","udp:514","syslog",1409795664,26,"syslog",1409795664
"Sep  3 21:54:24 a.a.a.d : 2014 Sep  4 10:17:50 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.17077:root:","a.a.a.d","udp:514","syslog",1409795664,25,"syslog",1409795664
"Sep  3 21:54:25 a.a.a.d : 2014 Sep  4 10:17:51 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.17077:root:","a.a.a.d","udp:514","syslog",1409795665,24,"syslog",1409795665
"Sep  3 21:54:26 a.a.a.b : 2014 Sep  4 10:16:34 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.13070:root:","a.a.a.b","udp:514","syslog",1409795666,23,"syslog",1409795666
"Sep  3 21:54:26 a.a.a.b : 2014 Sep  4 10:16:34 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.13070:root:","a.a.a.b","udp:514","syslog",1409795666,22,"syslog",1409795666
"Sep  3 21:54:26 a.a.a.b : 2014 Sep  4 10:16:34 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.13075:root:","a.a.a.b","udp:514","syslog",1409795666,21,"syslog",1409795666
"Sep  3 21:54:26 a.a.a.b : 2014 Sep  4 10:16:34 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.13075:root:","a.a.a.b","udp:514","syslog",1409795666,20,"syslog",1409795666
"Sep  3 21:54:26 a.a.a.b : 2014 Sep  4 10:16:34 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.13081:root:","a.a.a.b","udp:514","syslog",1409795666,19,"syslog",1409795666
"Sep  3 21:54:26 a.a.a.b : 2014 Sep  4 10:16:34 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.13081:root:","a.a.a.b","udp:514","syslog",1409795666,18,"syslog",1409795666
"Sep  3 21:54:26 a.a.a.b : 2014 Sep  4 10:16:34 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.13087:root:","a.a.a.b","udp:514","syslog",1409795666,17,"syslog",1409795666
"Sep  3 21:54:26 a.a.a.b : 2014 Sep  4 10:16:34 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.13087:root:","a.a.a.b","udp:514","syslog",1409795666,16,"syslog",1409795666
"Sep  3 21:54:26 a.a.a.b : 2014 Sep  4 10:16:34 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.13093:root:","a.a.a.b","udp:514","syslog",1409795666,15,"syslog",1409795666
"Sep  3 21:54:27 a.a.a.b : 2014 Sep  4 10:16:35 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.13093:root:","a.a.a.b","udp:514","syslog",1409795667,14,"syslog",1409795667
"Sep  3 21:54:28 a.a.a.b : 2014 Sep  4 10:16:36 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.13099:root:","a.a.a.b","udp:514","syslog",1409795668,13,"syslog",1409795668
"Sep  3 21:54:28 a.a.a.b : 2014 Sep  4 10:16:36 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.13099:root:","a.a.a.b","udp:514","syslog",1409795668,12,"syslog",1409795668
"Sep  3 21:54:28 a.a.a.b : 2014 Sep  4 10:16:36 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.13104:root:","a.a.a.b","udp:514","syslog",1409795668,11,"syslog",1409795668
"Sep  3 21:54:28 a.a.a.b : 2014 Sep  4 10:16:36 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.13104:root:","a.a.a.b","udp:514","syslog",1409795668,10,"syslog",1409795668
"Sep  3 21:54:28 a.a.a.b : 2014 Sep  4 10:16:36 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.13110:root:","a.a.a.b","udp:514","syslog",1409795668,9,"syslog",1409795668
"Sep  3 21:54:28 a.a.a.b : 2014 Sep  4 10:16:36 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.13110:root:","a.a.a.b","udp:514","syslog",1409795668,8,"syslog",1409795668
"Sep  3 21:54:28 a.a.a.b : 2014 Sep  4 10:16:36 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.13116:root:","a.a.a.b","udp:514","syslog",1409795668,7,"syslog",1409795668
"Sep  3 21:54:29 a.a.a.b : 2014 Sep  4 10:16:37 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.13116:root:","a.a.a.b","udp:514","syslog",1409795669,6,"syslog",1409795669
"Sep  3 21:55:05 a.a.a.d : 2014 Sep  4 10:18:31 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:f.f.f.f@pts/0:admin:","a.a.a.d","udp:514","syslog",1409795705,5,"syslog",1409795705
"Sep  3 21:55:30 a.a.a.d : 2014 Sep  4 10:18:56 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: update:f.f.f.f@pts/0:admin:terminal width 511 (SUCCESS)","a.a.a.d","udp:514","syslog",1409795730,4,"syslog",1409795730
"Sep  3 21:55:49 a.a.a.d : 2014 Sep  4 10:19:15 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:f.f.f.f@pts/0:admin:","a.a.a.d","udp:514","syslog",1409795749,3,"syslog",1409795749
"Sep  3 21:55:49 a.a.a.d : 2014 Sep  4 10:19:15 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:f.f.f.f@pts/0:admin:","a.a.a.d","udp:514","syslog",1409795749,2,"syslog",1409795749
"Sep  3 21:55:57 a.a.a.d : 2014 Sep  4 10:19:24 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:f.f.f.f@pts/0:admin:","a.a.a.d","udp:514","syslog",1409795757,1,"syslog",1409795757
"Sep  3 21:55:57 a.a.a.d : 2014 Sep  4 10:19:24 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:f.f.f.f@pts/0:admin:","a.a.a.d","udp:514","syslog",1409795757,0,"syslog",1409795757
