vendor_action,dataset_name,action,body,description,change_type,type,reason
role_assigned,change,updated,A team member was assigned a role.,A team member was assigned a role.,role,,
role_change_to_admin,change,updated,A team member was made an admin.,A team member was made an admin.,role,warning,
role_change_to_guest,change,updated,A team member was made a guest.,A team member was made a guest.,role,,
role_change_to_owner,change,updated,A team member was made an owner.,A team member was made an owner.,role,warning,
role_change_to_user,change,updated,A team member was a user.,A team member was a user.,role,warning,
role_modified_on_usergroup,change,updated,A user group role was updated.,A user group role was updated.,role,,
role_removed,change,deleted,A team member was unassigned a role.,A team member was unassigned a role.,role,alert,
role_removed_from_usergroup,change,deleted,A role was removed from a user group.,A role was removed from a user group.,role,,
scheduled_export_completed,alert,,A scheduled export has finished.,A scheduled export has finished.,,event,
scheduled_export_deleted,alert,,A scheduled export was deleted.,A scheduled export was deleted.,,event,
scheduled_export_downloaded,alert,,A scheduled export was downloaded.,A scheduled export was downloaded.,,event,
scheduled_export_started,alert,,A scheduled export has started.,A scheduled export has started.,,event,
service_owner_transferred,change,modified,Service owner has been transferred on request from primary owner.,Service owner has been transferred on request from primary owner.,owner,,
slack_connect_guidelines_changed,alert,,Slack Connect guidelines have been changed.,Slack Connect guidelines have been changed.,connect_guidelines,alert,
slack_connect_invite_routing_disabled,change,modified,Slack Connect invite routing has been disabled.,Slack Connect invite routing has been disabled.,routing,,
slack_connect_invite_routing_enabled,change,modified,Slack Connect invite routing has been enabled.,Slack Connect invite routing has been enabled.,routing,,
slack_connect_pref_migrated,change,modified,Slack Connect preference has been migrated.,Slack Connect preference has been migrated.,preferences,,
slack_connect_pref_removed,change,deleted,Slack Connect preference has been removed.,Slack Connect preference has been removed.,preferences,,
slack_connect_pref_set,change,modified,Slack Connect preference has been set.,Slack Connect preference has been set.,preferences,,
team_authorized_ip_range_set,change,modified,The authorized IP ranges has been set for desktop block file download feature.,The authorized IP ranges has been set for desktop block file download feature.,ip_range,,
team_not_authorized,alert,,The app is installed on a Slack workspace but needs to be installed on an Enterprise Grid organization.,The app is installed on a Slack workspace but needs to be installed on an Enterprise Grid organization.,,alert,
team_unsupported_versions_job_end,alert,,An Unsupported Versions report job has completed.,An Unsupported Versions report job has completed.,,alert,
team_unsupported_versions_job_start,change,started,An Unsupported Versions report job has started.,An Unsupported Versions report job has started.,report,,
team_unsupported_versions_start_failure,alert,,A request to generate the Unsupported Versions report has failed.,A request to generate the Unsupported Versions report has failed.,,alert,
team_unsupported_versions_start_success,alert,,A request to generate the Unsupported Versions report has been scheduled successfully.,A request to generate the Unsupported Versions report has been scheduled successfully.,,alert,
thread_replies_disabled,change,modified,Thread replies have been disabled.,Thread replies have been disabled.,thread,,
thread_replies_enabled,change,modified,Thread replies have been enabled.,Thread replies have been enabled.,thread,,
user_added_to_usergroup,change,modified,A user was added to a user group.,A user was added to a user group.,AAA,,
user_channel_join,channel_activity,,"A user has joined a channel. The actor parameter describes the user who joined the channel and the entity describes the channel. If the user was invited to the channel, the inviter will appear in the details parameter and the context parameter will be that of the inviter. The user field in this action contains a team identifier so that you can see which team the joining user comes from (useful for externally shared channels).","A user has joined a channel. The actor parameter describes the user who joined the channel and the entity describes the channel. If the user was invited to the channel, the inviter will appear in the details parameter and the context parameter will be that of the inviter. The user field in this action contains a team identifier so that you can see which team the joining user comes from (useful for externally shared channels).",,,
user_channel_leave,channel_activity,,A user has left a channel. This action contains a team identifier so that you can see which team the departing user comes from (useful for externally shared channels).,A user has left a channel. This action contains a team identifier so that you can see which team the departing user comes from (useful for externally shared channels).,,,
user_channel_leave,channel_activity,,A user has left a channel. This action contains a team identifier so that you can see which team the departing user comes from (useful for externally shared channels).,A user has left a channel. This action contains a team identifier so that you can see which team the departing user comes from (useful for externally shared channels).,,,
user_created,change,created,A team member was created.,A team member was created.,AAA,,
user_deactivated,change,updated,A team member was deactivated.,A team member was deactivated.,AAA,,
user_email_updated,change,updated,A team member's email was updated.,A team member's email was updated.,AAA,,
user_force_upgrade_non_compliant_mobile_app_version,workspace_activity,,A team member was forced to upgrade due to a non-compliant mobile app version.,A team member was forced to upgrade due to a non-compliant mobile app version.,,,
user_joined_workspace,workspace_activity,,A team member joined a workspace.,A team member joined a workspace.,,,
user_login,authentication,success,A team member logged in.,A team member logged in.,,,success
user_login_failed,authentication,failure,A team member failed to login.,A team member failed to login.,,,failure
user_logout,logout,,A team member logged out.,A team member logged out.,,,
user_logout_compromised,ids,allowed,A team member was logged out due to a compromised device.,A team member was logged out due to a compromised device.,,,
user_logout_non_compliant_mobile_app_version,ids,allowed,A team member was logged out due to a non-compliant mobile app version.,A team member was logged out due to a non-compliant mobile app version.,,,
user_not_authorized,alert,,The user who installed the app is not an Enterprise Grid owner — they must be an Enterprise Grid owner.,The user who installed the app is not an Enterprise Grid owner — they must be an Enterprise Grid owner.,,alert,
user_password_reset_requested,alert,,A user requested to reset password.,A user requested to reset password.,,alert,
user_profile_deleted,change,deleted,A user's profile information has been deleted.,A user's profile information has been deleted.,AAA,,
user_profile_updated,change,updated,"A user's profile has been updated. This action will only be recorded when real_name, display_name, first_name, last_name, pronouns, title or the profile image is updated.","A user's profile has been updated. This action will only be recorded when real_name, display_name, first_name, last_name, pronouns, title or the profile image is updated.",AAA,,
user_reactivated,change,updated,A team member was reactivated after having been deactivated.,A team member was reactivated after having been deactivated.,AAA,,
user_removed_from_usergroup,change,modified,A user was removed from a user group.,A user was removed from a user group.,AAA,,
user_session_invalidated,alert,,A team member's session was invalidated.,A team member's session was invalidated.,,alert,
user_session_reset_by_admin,change,restarted,A team member's session was reset by an admin.,A team member's session was reset by an admin.,session,,
user_session_settings_changed,change,modified,A team member's session settings were changed.,A team member's session settings were changed.,session,,
user_username_updated,change,updated,,,AAA,,
usergroup_add_to_team_enqueued,change,modified,The request to add a user group to a team was enqueued.,The request to add a user group to a team was enqueued.,AAA,,
usergroup_added_to_team,change,modified,A user group was added to a team.,A user group was added to a team.,AAA,,
usergroup_remove_from_team_enqueued,alert,,The request to remove a user group from a team was enqueued.,The request to remove a user group from a team was enqueued.,,alert,
usergroup_removed_from_team,change,deleted,A user group was removed from a team.,A user group was removed from a team.,AAA,,
usergroup_update_enqueued,change,updated,The request to update a user group was enqueued.,The request to update a user group was enqueued.,AAA,,
usergroup_updated,change,updated,A user group was updated.,A user group was updated.,AAA,,
workflow_app_token_preserved,alert,,A workflows app token was preserved.,A workflows app token was preserved.,,alert,
workflow_created,change,created,A workflow has been created.,A workflow has been created.,workflow,,
workflow_deleted,change,deleted,A workflow has been deleted.,A workflow has been deleted.,workflow,,
workflow_published,change,created,A workflow has been published.,A workflow has been published.,workflow,,
workflow_responses_csv_download,data_access,downloaded,A user downloaded a workflow’s responses as a CSV file.,A user downloaded a workflow’s responses as a CSV file.,,,
workflow_unpublished,change,deleted,A workflow has been unpublished.,A workflow has been unpublished.,workflow,,
workflow_v2_published,change,created,A workflow has been published.,A workflow has been published.,workflow,,
workspace_accepted_migration,alert,,An administrator on a workspace has accepted an invitation to migrate to a Grid organization.,An administrator on a workspace has accepted an invitation to migrate to a Grid organization.,,alert,
workspace_created,change,created,A workspace in an organization was created.,A workspace in an organization was created.,workspace,,
workspace_declined_migration,alert,,An administrator on a workspace has declined an invitation to migrate to a Grid organization.,An administrator on a workspace has declined an invitation to migrate to a Grid organization.,,alert,
workspace_deleted,change,deleted,A workspace in an organization was deleted.,A workspace in an organization was deleted.,workspace,,
