ip,domain,intel
"217.160.0.111","covid-19-quicktest.com","malwarepatrol.net"
"66.96.162.129","covid-19breathecleanair.com","malwarepatrol.net"
"5.157.87.204","coronastartpagina.com","malwarepatrol.net"
"183.181.84.45","corona2426tks.com","malwarepatrol.net"
"34.193.204.92","clinicasjvcovid.com","malwarepatrol.net"
"34.193.69.252","clinicasjvcovid.com","malwarepatrol.net"
"85.13.164.225","ciaociaocorona.com","malwarepatrol.net"
"89.46.106.15","anticovid-express.com","malwarepatrol.net"
"74.208.236.35","ihatecovid.club","malwarepatrol.net"
"35.165.45.111","covid19.cards","malwarepatrol.net"
"216.250.121.51","californiacovidvaccine.com","malwarepatrol.net"
"107.180.3.153","boycottcovid.com","malwarepatrol.net"
"37.152.88.55","anticovid-uvc.com","malwarepatrol.net"
"172.67.216.240","aacovid.com","malwarepatrol.net"
"104.27.155.34","aacovid.com","malwarepatrol.net"
"104.27.154.34","aacovid.com","malwarepatrol.net"
"98.124.199.1","20444coronast.com","malwarepatrol.net"
"104.131.83.7","covidtestsupport.com","malwarepatrol.net"
"107.180.46.208","covid19-antigen-test1.com","malwarepatrol.net"
"82.98.155.9","buloscovid19.cat","malwarepatrol.net"
"199.34.228.174","elpasocovidcleaning.com","malwarepatrol.net"
