Category,Name,Formula,Formula_Subscript,Lifetime (years),Radiative efficiency (W m-2 ppb-1),AGWP 20 (pW m-2 yr kg-1 ),GWP 20,AGWP 100 (pW m-2 yr kg-1),GWP 100,AGWP 500 (pW m-2 yr kg-1),GWP 500,AGTP 50 (pW m2 yr kg-1),GTP 50,AGTP 100 (pW m-2 yr kg-1),GTP 100,CGTP 50 (yr),CGTP 100 (yr)
Fully fluorinated species,PFC-1216,CF3CF=CF2,CF₃CF=CF₂,0.015,0.013,0.00788,0.324,0.00804,0.09,0.00804,0.026,8.42×10–6,0.02,6.39×10–6,0.016,8.8,10.3
Fully fluorinated species,"1,1,2,3,4,4-hexafluorobuta-1,3-diene",CF2=CFCF=CF2,CF₂=CFCF=CF₂,0.003,0.003,0.000347,0.014,0.000354,0.004,0.000354,0.001,3.71×10–7,0.001,2.82×10–7,0.001,0.388,0.456
Fully fluorinated species,Octafluoro-1-butene,CF3CF2CF=CF2,CF₃CF₂CF=CF₂,0.016,0.019,0.00891,0.366,0.00909,0.102,0.00909,0.029,9.52×10–6,0.022,7.22×10–5,0.018,9.94,11.7
Fully fluorinated species,Octafluoro-2-buene,CF3CF=CFCF3,CF₃CF=CFCF₃,0.085,0.07,0.173,7.1,0.176,1.97,0.176,0.562,0.000185,0.432,0.00014,0.355,193,227
"Halogenated alcohols, ethers, furans, aldehydes and ketones",,,,,,,,,,,,,,,,,
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-125,CHF2OCF3,CHF₂OCF₃,135,0.417,328,13500,1280,14300,2410,7680,6.5,15200,5.17,13100,,
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-134,CHF2OCHF2,CHF₂OCHF₂,26.9,0.449,310,12700,593,6630,610,1940,2.37,5530,0.814,2060,,
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-143a,CH3OCF3,CH₃OCF₃,4.9,0.189,52.8,2170,55.1,616,55.1,176,0.0611,143,0.0447,113,59700,70400
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-227ea,CF3CHFOCF3,CF₃CHFOCF₃,54.8,0.459,238,9800,673,7520,808,2570,3.3,7720,1.75,4440,,
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HCFE-235ca2,CHF2OCF2CHFCl,CHF₂OCF₂CHFCl,4.42,0.409,56.4,2320,58.5,654,58.5,186,0.0642,150,0.0473,120,63400,74800
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HCFE-235da2,CHF2OCHClCF3,CHF₂OCHClCF₃,3.5,0.426,46.9,1930,48.2,539,48.2,154,0.0522,122,0.0388,98.4,52400,61700
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HCFE-236ea2,CHF2OCHFCF3,CHF₂OCHFCF₃,14.1,0.464,171,7020,232,2590,233,741,0.537,1260,0.206,521,239000,292000
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-236fa,CF3CH2OCF3,CF₃CH₂OCF₃,7.5,0.371,89.4,3670,98.7,1100,98.8,315,0.125,291,0.0811,205,106000,126000
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-245cb2,CF3CF2OCH3,CF₃CF₂OCH₃,5,0.336,64,2630,66.9,747,66.9,213,0.0743,174,0.0542,137,72400,85400
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-245fa1,CHF2CH2OCF3,CHF₂CH₂OCF₃,6.7,0.314,77.2,3170,83.6,934,83.6,266,0.0998,233,0.0683,173,90100,106000
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-245fa2,CHF2OCH2CF3,CHF₂OCH₂CF₃,5.5,0.36,74.5,3060,78.6,878,78.6,251,0.0886,207,0.0639,162,85000,100000
"Halogenated alcohols, ethers, furans, aldehydes and ketones","2,2,3,3,3-pentafluoropropan-1-ol",CF3CF2CH2OH,CF₃CF₂CH₂OH,0.471,0.164,3.01,123,3.07,34.3,3.07,9.78,0.00323,7.54,0.00244,6.19,3350,3940
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-254cb1,CH3OCF2CHF2,CH₃OCF₂CHF₂,2.5,0.26,28.7,1180,29.3,328,29.3,93.5,0.0314,73.4,0.0235,59.6,31900,37600
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-263mf,CF3CH2OCH3,CF₃CH₂OCH₃,0.077,0.046,0.181,7.43,0.184,2.06,0.185,0.588,0.000193,0.452,0.000147,0.371,202,237
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-263m1,CF3OCH2CH3,CF₃OCH₂CH₃,0.397,0.126,2.56,105,2.61,29.2,2.61,8.32,0.00274,6.42,0.00208,5.27,2850,3360
"Halogenated alcohols, ethers, furans, aldehydes and ketones","3,3,3-trifluoropropan-1-ol",CF3CH2CH2OH,CF₃CH₂CH₂OH,0.041,0.026,0.0544,2.23,0.0555,0.62,0.0555,0.177,5.81×10–5,0.136,4.41×10–5,0.112,60.7,71.4
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-329mcc2,CHF2CF2OCF2CF3,CHF₂CF₂OCF₂CF₃,25,0.545,184,7550,337,3770,345,1100,1.29,3020,0.432,1090,,
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-338mmz1,(CF3)2CHOCHF2,(CF₃)₂CHOCHF₂,22.3,0.452,158,6500,272,3040,276,880,0.967,2260,0.314,797,,
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-338mcf2,CF3CH2OCF2CF3,CF₃CH₂OCF₂CF₃,7.5,0.454,84.2,3460,93,1040,93.1,297,0.117,274,0.0764,194,100000,118000
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-347mmz1,(CF3)2CHOCH2F,(CF₃)₂CHOCH₂F,1.9,0.308,17.1,702,17.5,195,17.5,55.7,0.0186,43.5,0.014,35.4,19000,22400
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-347mcc3,CH3OCF2CF2CF3,CH₃OCF₂CF₂CF₃,5.1,0.339,49.2,2020,51.5,576,51.6,164,0.0574,134,0.0418,106,55800,65800
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-347mcf2,CHF2CH2OCF2CF3,CHF₂CH₂OCF₂CF₃,6.7,0.431,79.6,3270,86.2,963,86.2,275,0.103,241,0.0705,179,92900,110000
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-347pcf2,CHF2CF2OCH2CF3,CHF₂CF₂OCH₂CF₃,6.1,0.482,82.1,3370,87.6,980,87.7,279,0.101,237,0.0715,181,94700,112000
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-347mmy1,(CF3)2CFOCH3,(CF₃)₂CFOCH₃,3.7,0.318,34.1,1400,35.1,392,35.1,112,0.0381,89,0.0283,71.8,38100,44900
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-356mec3,CH3OCF2CHFCF3,CH₃OCF₂CHFCF₃,2.5,0.288,23.1,949,23.6,264,23.6,75.3,0.0253,59.2,0.019,48,25700,30300
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-356mff2,CF3CH2OCH2CF3,CF₃CH₂OCH₂CF₃,0.351,0.19,2.14,88,2.19,24.4,2.19,6.97,0.0023,5.37,0.00174,4.41,2390,2810
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-356pcf2,CHF2CH2OCF2CHF2,CHF₂CH₂OCF₂CHF₂,6,0.378,69.8,2870,74.4,831,74.4,237,0.0856,200,0.0606,154,80400,94800
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-356pcf3,CHF2OCH2CF2CHF2,CHF₂OCH₂CF₂CHF₂,3.5,0.378,42.1,1730,43.3,484,43.3,138,0.0469,110,0.0349,88.4,47000,55400
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-356pcc3,CH3OCF2CF2CHF2,CH₃OCF₂CF₂CHF₂,2.5,0.303,24.2,995,24.8,277,24.8,79,0.0266,62.1,0.0199,50.4,27000,31800
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-356mmz1,(CF3)2CHOCH3,(CF₃)₂CHOCH₃,0.178,0.125,0.713,29.3,0.728,8.13,0.728,2.32,0.000763,1.78,0.000579,1.47,795,936
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-365mcf3,CF3CF2CH2OCH3,CF₃CF₂CH₂OCH₃,0.069,0.058,0.141,5.77,0.143,1.6,0.143,0.457,0.00015,0.351,0.000114,0.289,157,184
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-374pc2,CHF2CF2OCH2CH3,CHF₂CF₂OCH₂CH₃,0.208,0.132,1.1,45,1.12,12.5,1.12,3.56,0.00117,2.74,0.000889,2.25,1220,1440
"Halogenated alcohols, ethers, furans, aldehydes and ketones","4,4,4-trifluorobutan-1-ol",CF3(CH2)2CH2OH,CF₃(CH₂)₂CH₂OH,0.015,0.006,0.00433,0.178,0.00442,0.049,0.00442,0.014,4.63×10–5,0.011,3.51×10–5,0.009,4.84,5.69
"Halogenated alcohols, ethers, furans, aldehydes and ketones","2,2,3,3,4,4,5,5-octafluorocyclopentan-1-ol",cyc (-(CF2)4CH(OH)-),cyc (-(CF₂)₄CH(OH)-),0.301,0.156,1.2,49.1,1.22,13.6,1.22,3.89,0.00128,3,0.000971,2.46,1330,1570
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-43-10pccc124,CHF2OCF2OCF2CF2OCHF2,CHF₂OCF₂OCF₂CF₂OCHF₂,14.1,1.03,212,8720,288,3220,289,920,0.667,1560,0.255,647,297000,363000
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-449s1,C4F9OCH3,C₄F₉OCH₃,4.8,0.36,39.5,1620,41.2,460,41.2,131,0.0455,106,0.0334,84.6,44600,52600
"Halogenated alcohols, ethers, furans, aldehydes and ketones",n-HFE-7100,CF3CF2CF2CF2OCH3,CF₃CF₂CF₂CF₂OCH₃,4.8,0.425,46.7,1920,48.6,544,48.7,155,0.0538,126,0.0394,99.9,52700,62200
"Halogenated alcohols, ethers, furans, aldehydes and ketones",i-HFE-7100,(CF3)2CFCF2OCH3,(CF₃)₂CFCF₂OCH₃,4.8,0.341,37.5,1540,39.1,437,39.1,124,0.0432,101,0.0317,80.2,42300,49900
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-569sf2,C4F9OC2H5,C₄F₉OC₂H₅,0.8,0.301,5.32,219,5.43,60.7,5.43,17.3,0.00573,13.4,0.00433,11,5930,6980
"Halogenated alcohols, ethers, furans, aldehydes and ketones",i-HFE-7200,(CF3)2CFCF2OCH2CH3,(CF₃)₂CFCF₂OCH₂CH₃,0.63,0.216,3.01,124,3.07,34.3,3.07,9.78,0.00323,7.56,0.00245,6.2,3350,3950
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-7300,(CF3)2CFCFOC2H5CF2CF2CF3,(CF₃)₂CFCFOC₂H₅CF₂CF₂CF₃,5.24,0.48,34.5,1420,36.2,405,36.2,115,0.0405,94.7,0.0294,74.6,39200,46200
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-7500,n-C3F7CFOC2H5CF(CF3)2,n-C₃F₇CFOC₂H₅CF(CF₃)₂,0.3,0.27,1.14,47,1.17,13,1.17,3.72,0.00123,2.86,0.000928,2.35,1270,1500
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-236ca12,CHF2OCF2OCHF2,CHF₂OCF₂OCHF₂,26.5,0.648,285,11700,542,6060,557,1770,2.15,5020,0.733,1860,,
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-338pcc13,CHF2OCF2CF2OCHF2,CHF₂OCF₂CF₂OCHF₂,13.4,0.87,223,9180,297,3320,297,948,0.649,1520,0.259,657,307000,374000
"Halogenated alcohols, ethers, furans, aldehydes and ketones","1,1,1,3,3,3-hexafluoropropan-2-ol",(CF3)2CHOH,(CF₃)₂CHOH,1.9,0.274,18.1,742,18.5,206,18.5,58.8,0.0197,46,0.0148,37.4,20100,23700
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HG-02,CHF2(OCF2CF2)2OCHF2,CHF₂(OCF₂CF₂)₂OCHF₂,26.9,1.15,268,11000,513,5730,528,1680,2.05,4780,0.704,1780,,
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HG-03,CHF2(OCF2CF2)3OCHF2,CHF₂(OCF₂CF₂)₃OCHF₂,26.9,1.43,250,10300,479,5350,492,1570,1.91,4470,0.657,1660,,
"Halogenated alcohols, ethers, furans, aldehydes and ketones",Fluroxene,CF3CH2OCH=CH2,CF₃CH₂OCH=CH₂,0.01,0.011,0.00505,0.207,0.00515,0.058,0.00515,0.016,5.39×10–5,0.013,4.09×10–6,0.01,5.63,6.63
"Halogenated alcohols, ethers, furans, aldehydes and ketones","2-ethoxy-3,3,4,4,5-pentafluorotetrahydro-2,5-bis[1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl]-furan",C12H5F19O2,C₁₂H₅F₁₉O₂,0.81,0.489,4.27,175,4.36,48.7,4.36,13.9,0.0046,10.7,0.00347,8.8,4760,5600
"Halogenated alcohols, ethers, furans, aldehydes and ketones",Difluoro(methoxy)methane,CH3OCHF2,CH₃OCHF₂,1.1,0.153,11.9,491,12.2,136,12.2,38.9,0.0129,30.1,0.00973,24.7,13300,15700
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HG'-01,CH3OCF2CF2OCH3,CH₃OCF₂CF₂OCH₃,1.7,0.289,17.7,727,18.1,202,18.1,57.7,0.0192,45,0.0145,36.7,19700,23200
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HG'-02,CH3O(CF2CF2O)2CH3,CH₃O(CF₂CF₂O)₂CH₃,1.7,0.562,20,823,20.5,229,20.5,65.3,0.0218,50.9,0.0164,41.5,22300,26300
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HG'-03,CH3O(CF2CF2O)3CH3,CH₃O(CF₂CF₂O)₃CH₃,1.7,0.762,19.2,789,19.6,219,19.6,62.5,0.0209,48.8,0.0157,39.8,21400,25200
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-329me3,CF3CFHCF2OCF3,CF₃CFHCF₂OCF₃,33.6,0.489,180,7410,393,4390,416,1330,1.73,4040,0.671,1700,,
"Halogenated alcohols, ethers, furans, aldehydes and ketones","3,3,4,4,5,5,6,6,7,7,7-undecafluoroheptan-1-ol",CF3(CF2)4CH2CH2OH,CF₃(CF₂)₄CH₂CH₂OH,0.047,0.054,0.0468,1.92,0.0477,0.533,0.0477,0.152,5×10–5,0.117,3.79×10–5,0.096,52.2,61.4
"Halogenated alcohols, ethers, furans, aldehydes and ketones","3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-pentadecafluorononan-1-ol",CF3(CF2)6CH2CH2OH,CF₃(CF₂)₆CH₂CH₂OH,0.047,0.06,0.0394,1.62,0.0401,0.449,0.0402,0.128,4.21×10–5,0.098,3.19×10–5,0.081,43.9,51.7
"Halogenated alcohols, ethers, furans, aldehydes and ketones","3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-nonadecafluoroundecan1-ol",CF3(CF2)8CH2CH2OH,CF₃(CF₂)₈CH₂CH₂OH,0.047,0.045,0.024,0.985,0.0245,0.273,0.0245,0.078,2.56×10–5,0.06,1.94×10–5,0.049,26.8,31.5
"Halogenated alcohols, ethers, furans, aldehydes and ketones","2-chloro-1,1,2-trifluoro-1-methoxyethane",CH3OCF2CHClF,CH₃OCF₂CHClF,1.43,0.211,11.9,488,12.1,136,12.1,38.7,0.0129,30.1,0.0097,24.6,13200,15600
"Halogenated alcohols, ethers, furans, aldehydes and ketones",PFPMIE,CF3OCFCF3CF2OCF2OCF3,CF₃OCFCF₃CF₂OCF₂OCF₃,800,0.64,189,7750,920,10300,3680,11700,4.59,10700,4.75,12000,,
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HFE-216,CF3OCF=CF2,CF₃OCF=CF₂,0.004,0.006,0.000909,0.037,0.000927,0.01,0.000928,0.003,9.71×10–7,0.002,7.37×10–7,0.002,1.01,1.19
"Halogenated alcohols, ethers, furans, aldehydes and ketones",Perfluoroethyl formate,CF3CF2OCHO,CF₃CF₂OCHO,3.6,0.408,51.9,2130,53.4,597,53.4,170,0.0579,135,0.0431,109,58000,68400
"Halogenated alcohols, ethers, furans, aldehydes and ketones","2,2,2-trifluoroethyl formate",CF3CH2OCHO,CF₃CH₂OCHO,0.548,0.192,4.8,197,4.9,54.8,4.9,15.6,0.00516,12.1,0.0039,9.89,5350,6300
"Halogenated alcohols, ethers, furans, aldehydes and ketones","Formic acid;1,1,1,3,3,3-hexafluoropropan-2-ol",(CF3)2CHOCHO,(CF₃)₂CHOCHO,3.1,0.255,23.5,964,24.1,269,24.1,76.7,0.0259,60.6,0.0194,49,26100,30800
"Halogenated alcohols, ethers, furans, aldehydes and ketones","Ethenyl 2,2,2-trifluoroacetate",CF3COOCH=CH2,CF₃COOCH=CH₂,0.004,0.004,0.000705,0.029,0.000719,0.008,0.000719,0.002,7.52×10–7,0.002,5.71×10–7,0.001,0.786,0.925
"Halogenated alcohols, ethers, furans, aldehydes and ketones","Ethyl 2,2,2-trifluoroacetate",CF3COOCH2CH3,CF₃COOCH₂CH₃,0.06,0.056,0.139,5.7,0.142,1.58,0.142,0.451,0.000148,0.347,0.000112,0.285,155,182
"Halogenated alcohols, ethers, furans, aldehydes and ketones","Prop-2-enyl 2,2,2-trifluoroacetate",CF3COOCH2CH=CH2,CF₃COOCH₂CH=CH₂,0.003,0.005,0.000636,0.026,0.000648,0.007,0.000649,0.002,6.79×10–7,0.002,5.15×10–7,0.001,0.71,0.835
"Halogenated alcohols, ethers, furans, aldehydes and ketones","Methyl 2,2,2-trifluoroacetate",CF3COOCH3,CF₃COOCH₃,1,0.158,7.21,296,7.36,82.3,7.36,23.5,0.00778,18.2,0.00587,14.9,8030,9460
"Halogenated alcohols, ethers, furans, aldehydes and ketones","2,2,3,3,4,4,4-heptafluorobutan1-ol",CF3CF2CF2CH2OH,CF₃CF₂CF₂CH₂OH,0.55,0.199,3.2,131,3.26,36.5,3.26,10.4,0.00343,8.03,0.0026,6.58,3560,4190
"Halogenated alcohols, ethers, furans, aldehydes and ketones","1,1,2-trifluoro-2-(trifluoromethoxy)ethane",CHF2CHFOCF3,CHF₂CHFOCF₃,9,0.353,97.6,4010,113,1260,113,359,0.162,379,0.0933,236,120000,143000
"Halogenated alcohols, ethers, furans, aldehydes and ketones","1-ethoxy-1,1,2,3,3,3-hexafluoropropane",CF3CHFCF2OCH2CH3,CF₃CHFCF₂OCH₂CH₃,0.403,0.193,2.32,95.2,2.37,26.4,2.37,7.54,0.00249,5.81,0.00188,4.77,2580,3040
"Halogenated alcohols, ethers, furans, aldehydes and ketones","1,1,1,2,2,3,3-heptafluoro-3-(1,2,2,2-tetrafluoroethoxy)propane",CF3CF2CF2OCHFCF3,CF₃CF₂CF₂OCHFCF₃,59.4,0.591,202,8320,593,6630,733,2340,2.94,6860,1.63,4140,,
"Halogenated alcohols, ethers, furans, aldehydes and ketones","2,2,3,3-tetrafluoropropan-1-ol",CHF2CF2CH2OH,CHF₂CF₂CH₂OH,0.255,0.112,1.27,52,1.29,14.4,1.29,4.12,0.00136,3.17,0.00103,2.6,1410,1660
"Halogenated alcohols, ethers, furans, aldehydes and ketones","2,2,3,4,4,4-hexafluorobutan-1-ol",CF3CHFCF2CH2OH,CF₃CHFCF₂CH₂OH,0.367,0.227,2.67,110,2.73,30.5,2.73,8.69,0.00287,6.7,0.00217,5.5,2980,3510
"Halogenated alcohols, ethers, furans, aldehydes and ketones","1,1,2,2-tetrafluoro-3-methoxypropane",CHF2CF2CH2OCH3,CHF₂CF₂CH₂OCH₃,0.071,0.052,0.147,6.03,0.15,1.68,0.15,0.478,0.000157,0.367,0.000119,0.302,164,193
"Halogenated alcohols, ethers, furans, aldehydes and ketones","1,1,1,2,2,4,5,5,5-nonafluoro-4-(trifluoromethyl)pentan-3-one",CF3CF2COCF(CF3)2,CF₃CF₂COCF(CF₃)₂,0.019,0.028,0.01,0.411,0.0102,0.114,0.0102,0.033,1.07×10–5,0.025,8.12×10–5,0.021,11.2,13.1
"Halogenated alcohols, ethers, furans, aldehydes and ketones","3,3,3-trifluoropropanal",CF3CH2CHO,CF₃CH₂CHO,0.008,0.005,0.00221,0.091,0.00225,0.025,0.00225,0.007,2.36×10–5,0.006,1.79×10–5,0.005,2.46,2.9
"Halogenated alcohols, ethers, furans, aldehydes and ketones",2-fluoroethanol,CH2FCH2OH,CH₂FCH₂OH,0.044,0.012,0.0465,1.91,0.0474,0.53,0.0474,0.151,4.97×10–5,0.116,3.77×10–5,0.095,51.9,61
"Halogenated alcohols, ethers, furans, aldehydes and ketones","2,2-difluoroethanol",CHF2CH2OH,CHF₂CH₂OH,0.167,0.046,0.542,22.3,0.553,6.18,0.553,1.76,0.00058,1.36,0.00044,1.11,605,711
"Halogenated alcohols, ethers, furans, aldehydes and ketones","2,2,2-trifluoroethanol",CF3CH2OH,CF₃CH₂OH,0.458,0.117,3.13,129,3.2,35.7,3.2,10.2,0.00336,7.86,0.00254,6.44,3490,4110
"Halogenated alcohols, ethers, furans, aldehydes and ketones",HG-04,CHF2O(CF2CF2O)4CHF2,CHF₂O(CF₂CF₂O)₄CHF₂,26.9,1.46,204,8400,392,4380,403,1280,1.56,3660,0.538,1360,,
"Halogenated alcohols, ethers, furans, aldehydes and ketones",Methyl-perfluoroheptene-ethers,CH3OC7F13,CH₃OC₇F₁₃,0.304,0.27,1.32,54.4,1.35,15.1,1.35,4.3,0.00142,3.31,0.00107,2.72,1480,1740
"Halogenated alcohols, ethers, furans, aldehydes and ketones","1,1,1-trifluoropropan-2-one",CF3COCH3,CF₃COCH₃,0.014,0.011,0.00788,0.324,0.00804,0.09,0.00804,0.026,8.42×10–5,0.02,6.39×10–5,0.016,8.79,10.3
"Halogenated alcohols, ethers, furans, aldehydes and ketones","1,1,1-trifluorobutan-2-one",CF3COCH2CH3,CF₃COCH₂CH₃,0.018,0.01,0.00834,0.343,0.00851,0.095,0.00851,0.027,8.91×10–5,0.021,6.76×10–5,0.017,9.31,11
"Halogenated alcohols, ethers, furans, aldehydes and ketones",1-chloro-2-ethenoxyethane,ClCH2CH2OCH=CH2,ClCH₂CH₂OCH=CH₂,0,0.001,1.65×10–5,0.001,1.68×10–5,0,1.68×10–5,0,1.76×10–8,0,1.33×10–8,0,0.018,0.022
"Halogenated alcohols, ethers, furans, aldehydes and ketones",2-methylpentan-3-one,CH3CH2COCH(CH3)2,CH₃CH₂COCH(CH₃)₂,0.015,0.02,0.0175,0.719,0.0179,0.2,0.0179,0.057,1.87×10–5,0.044,1.42×10–5,0.036,19.5,23
"Halogenated alcohols, ethers, furans, aldehydes and ketones",Ethyl methyl ether,CH3CH2OCH3,CH₃CH₂OCH₃,0.005,0.002,0.000856,0.035,0.000873,0.01,0.000873,0.003,9.14×10–7,0.002,6.94×10–7,0.002,0.955,1.12
"Halogenated alcohols, ethers, furans, aldehydes and ketones",Octafluorooxolane,c-C4F8O,c-C₄F₈O,3000,0.463,246,10100,1240,13900,5890,18800,6.18,14500,6.65,16900,,
"Halogenated alcohols, ethers, furans, aldehydes and ketones",Crotonaldehyde,CH3CH=CHCHO,CH₃CH=CHCHO,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
"Halogenated alcohols, ethers, furans, aldehydes and ketones",Methyl vinyl ketone,CH3COCH=CH2,CH₃COCH=CH₂,0.001,0,2.48×10–5,0.001,2.53×10–5,0,2.53×10–5,0,2.64×10–8,0,2.01×10–8,0,0.028,0.033
"Halogenated alcohols, ethers, furans, aldehydes and ketones",Allyl ether,(CH2=CHCH2)2O,(CH₂=CHCH₂)₂O,0,0.001,1.19×10–5,0,1.22×10–5,0,1.22×10–5,0,1.27×10–8,0,9.65×10–9,0,0.013,0.016
"Halogenated alcohols, ethers, furans, aldehydes and ketones",Allyl ethyl ether,CH3CH2OCH2CH=CH2,CH₃CH₂OCH₂CH=CH₂,0.001,0.001,3.39×10–5,0.001,3.46×10–5,0,3.46×10–5,0,3.62×10–8,0,2.75×10–8,0,0.038,0.045
"Halogenated alcohols, ethers, furans, aldehydes and ketones",(z)-hex-2-en-1-ol,CH3CH2CH2CH=CHCH2OH,CH₃CH₂CH₂CH=CHCH₂OH,0,0.038,0.000223,0.009,0.000228,0.003,0.000228,0.001,2.38×10–7,0.001,1.81×10–7,0,0.249,0.293
"Halogenated alcohols, ethers, furans, aldehydes and ketones",(e)-hex-2-en-1-ol,CH3CH2CH2CH=CHCH2OH,CH₃CH₂CH₂CH=CHCH₂OH,0,0.036,0.000208,0.009,0.000212,0.002,0.000212,0.001,2.22×10–7,0.001,1.68×10–7,0,0.232,0.273
Miscellaneous compounds,Allyl cyanide,CH2=CHCH2CN,CH₂=CHCH₂CN,0.002,0,4.08×10–5,0.002,4.16×10–5,0,4.16×10–5,0,4.35×10–8,0,3.3×10–8,0,0.045,0.054
Miscellaneous compounds,Hexamethyldisiloxane,C6H18OSi2,C₆H₁₈OSi₂,0.025,0.047,0.0418,1.72,0.0426,0.476,0.0426,0.136,4.46×10–5,0.104,3.39×10–5,0.086,46.6,54.8
Miscellaneous compounds,Octamethyltrisiloxane,C8H24O2Si3,C₈H₂₄O₂Si₃,0.019,0.06,0.0285,1.17,0.029,0.325,0.029,0.093,3.04×10–5,0.071,2.31×10–5,0.058,31.8,37.4
Miscellaneous compounds,Decamethyltetrasiloxane,C10H30O3Si4,C₁₀H₃₀O₃Si₄,0.014,0.06,0.0155,0.635,0.0158,0.176,0.0158,0.05,1.65×10–5,0.039,1.25×10–5,0.032,17.3,20.3
Miscellaneous compounds,Dodecamethylpentasiloxane,C12H36O4Si5,C₁₂H₃₆O₄Si₅,0.011,0.064,0.0107,0.439,0.0109,0.122,0.0109,0.035,1.14×10–5,0.027,8.67×10–6,0.022,11.9,14
Miscellaneous compounds,Hexamethylcyclotrisiloxane,C6H18O3Si3,C₆H₁₈O₃Si₃,0.038,0.1,0.101,4.14,0.103,1.15,0.103,0.328,0.000108,0.252,8.18×10–5,0.207,113,132
Miscellaneous compounds,Octamethylcyclotetrasiloxane,C8H24O4Si4,C₈H₂₄O₄Si₄,0.027,0.12,0.0648,2.66,0.0661,0.739,0.0661,0.211,6.92×10–5,0.162,5.25×10–5,0.133,72.3,85.1
Miscellaneous compounds,Decamethylcyclopentasiloxane,C10H30O5Si5,C₁₀H₃₀O₅Si₅,0.016,0.098,0.0253,1.04,0.0258,0.289,0.0259,0.082,2.71×10–5,0.063,2.05×10–5,0.052,28.3,33.3
Miscellaneous compounds,Dodecamethylcyclohexasiloxane,C12H36O6Si6,C₁₂H₃₆O₆Si₆,0.011,0.086,0.0124,0.51,0.0127,0.142,0.0127,0.04,1.33×10–5,0.031,1.01×10–5,0.026,13.9,16.3
Miscellaneous compounds,Ethane,C2H6,C₂H₆,0.159,0.001,0.0383,1.57,0.0391,0.437,0.0391,0.125,4.1×10–5,0.096,3.11×10–5,0.079,42.7,50.3
Miscellaneous compounds,Propane,C3H8,C₃H₈,0.036,0,0.00175,0.072,0.00178,0.02,0.00178,0.006,1.87×10–6,0.004,1.42×10–6,0.004,1.95,2.29
Miscellaneous compounds,Butane,n-C4H10,n-C₄H₁₀,0.019,0,0.000542,0.022,0.000553,0.006,0.000553,0.002,5.79×10–7,0.001,4.4×10–7,0.001,0.605,0.712
