Scope,Category Level 1,Category Level 2,Category Level 3,Category Level 4,Column Text,UOM (simple),UOM,GHG,Lookup,GHG Conversion Factor
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Volume,litres,litres,kg CH4,Other petroleum gas litres,0.00043
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Volume,litres,litres,kg CO2,Other petroleum gas litres,0.94764
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Volume,litres,litres,kg N2O,Other petroleum gas litres,0.00051
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Tonnes,tonnes,tonnes,kg CO2e,Other petroleum gas tonnes,2589.60000
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Tonnes,tonnes,tonnes,kg CH4,Other petroleum gas tonnes,1.17000
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Tonnes,tonnes,tonnes,kg CO2,Other petroleum gas tonnes,2587.04000
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Tonnes,tonnes,tonnes,kg N2O,Other petroleum gas tonnes,1.39000
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Aviation spirit kWh (Gross CV),0.24413
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Aviation spirit kWh (Gross CV),0.00429
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Aviation spirit kWh (Gross CV),0.23758
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Aviation spirit kWh (Gross CV),0.00226
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Aviation spirit kWh (Net CV),0.25698
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Aviation spirit kWh (Net CV),0.00451
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Aviation spirit kWh (Net CV),0.25008
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Aviation spirit kWh (Net CV),0.00238
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Volume,litres,litres,kg CO2e,Aviation spirit litres,2.28586
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Volume,litres,litres,kg CH4,Aviation spirit litres,0.04015
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Volume,litres,litres,kg CO2,Aviation spirit litres,2.22451
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Volume,litres,litres,kg N2O,Aviation spirit litres,0.02119
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Tonnes,tonnes,tonnes,kg CO2e,Aviation spirit tonnes,3213.91000
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Tonnes,tonnes,tonnes,kg CH4,Aviation spirit tonnes,56.45000
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Tonnes,tonnes,tonnes,kg CO2,Aviation spirit tonnes,3127.67000
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Tonnes,tonnes,tonnes,kg N2O,Aviation spirit tonnes,29.80000
Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Aviation turbine fuel kWh (Gross CV),0.24768
Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Aviation turbine fuel kWh (Gross CV),0.00013
Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Aviation turbine fuel kWh (Gross CV),0.24523
Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Aviation turbine fuel kWh (Gross CV),0.00232
Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Aviation turbine fuel kWh (Net CV),0.26072
Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Aviation turbine fuel kWh (Net CV),0.00014
Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Aviation turbine fuel kWh (Net CV),0.25814
Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Aviation turbine fuel kWh (Net CV),0.00244
Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Volume,litres,litres,kg CO2e,Aviation turbine fuel litres,2.53883
Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Volume,litres,litres,kg CH4,Aviation turbine fuel litres,0.00135
Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Volume,litres,litres,kg CO2,Aviation turbine fuel litres,2.51370
Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Volume,litres,litres,kg N2O,Aviation turbine fuel litres,0.02378
Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Tonnes,tonnes,tonnes,kg CO2e,Aviation turbine fuel tonnes,3181.15000
Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Tonnes,tonnes,tonnes,kg CH4,Aviation turbine fuel tonnes,1.69000
Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Tonnes,tonnes,tonnes,kg CO2,Aviation turbine fuel tonnes,3149.67000
Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Tonnes,tonnes,tonnes,kg N2O,Aviation turbine fuel tonnes,29.80000
Scope 1,Fuels,Liquid fuels,Burning oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Burning oil kWh (Gross CV),0.24665
Scope 1,Fuels,Liquid fuels,Burning oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Burning oil kWh (Gross CV),0.00060
Scope 1,Fuels,Liquid fuels,Burning oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Burning oil kWh (Gross CV),0.24544
Scope 1,Fuels,Liquid fuels,Burning oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Burning oil kWh (Gross CV),0.00061
Scope 1,Fuels,Liquid fuels,Burning oil,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Burning oil kWh (Net CV),0.25963
Scope 1,Fuels,Liquid fuels,Burning oil,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Burning oil kWh (Net CV),0.00064
Scope 1,Fuels,Liquid fuels,Burning oil,,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Burning oil kWh (Net CV),0.25835
Scope 1,Fuels,Liquid fuels,Burning oil,,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Burning oil kWh (Net CV),0.00064
Scope 1,Fuels,Liquid fuels,Burning oil,,Volume,litres,litres,kg CO2e,Burning oil litres,2.53627
Scope 1,Fuels,Liquid fuels,Burning oil,,Volume,litres,litres,kg CH4,Burning oil litres,0.00621
Scope 1,Fuels,Liquid fuels,Burning oil,,Volume,litres,litres,kg CO2,Burning oil litres,2.52377
Scope 1,Fuels,Liquid fuels,Burning oil,,Volume,litres,litres,kg N2O,Burning oil litres,0.00629
Scope 1,Fuels,Liquid fuels,Burning oil,,Tonnes,tonnes,tonnes,kg CO2e,Burning oil tonnes,3165.26000
Scope 1,Fuels,Liquid fuels,Burning oil,,Tonnes,tonnes,tonnes,kg CH4,Burning oil tonnes,7.75000
Scope 1,Fuels,Liquid fuels,Burning oil,,Tonnes,tonnes,tonnes,kg CO2,Burning oil tonnes,3149.67000
Scope 1,Fuels,Liquid fuels,Burning oil,,Tonnes,tonnes,tonnes,kg N2O,Burning oil tonnes,7.85000
Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Diesel (average biofuel blend) kWh (Gross CV),0.24768
Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Diesel (average biofuel blend) kWh (Gross CV),0.00004
