Scope,Category Level 1,Category Level 2,Category Level 3,Category Level 4,Column Text,UOM,GHG,GHG Conversion Factor
Scope 1,Fuels,Liquid fuels,Burning oil,,Volume,litres,kg CO2e,2.53232
Scope 1,Fuels,Liquid fuels,Burning oil,,Volume,litres,kg CH4,0.00631
Scope 1,Fuels,Liquid fuels,Burning oil,,Volume,litres,kg CO2,2.51973
Scope 1,Fuels,Liquid fuels,Burning oil,,Volume,litres,kg N2O,0.00628
Scope 1,Fuels,Liquid fuels,Burning oil,,Tonnes,tonnes,kg CO2e,"3,165.39847"
Scope 1,Fuels,Liquid fuels,Burning oil,,Tonnes,tonnes,kg CH4,7.88604
Scope 1,Fuels,Liquid fuels,Burning oil,,Tonnes,tonnes,kg CO2,"3,149.66667"
Scope 1,Fuels,Liquid fuels,Burning oil,,Tonnes,tonnes,kg N2O,7.84576
Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.24592
Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00006
Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Energy - Gross CV,kWh (Gross CV),kg CO2,0.24389
Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Energy - Gross CV,kWh (Gross CV),kg N2O,0.00197
Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Energy - Net CV,kWh (Net CV),kg CO2e,0.26161
Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Energy - Net CV,kWh (Net CV),kg CH4,0.00006
Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Energy - Net CV,kWh (Net CV),kg CO2,0.25946
Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Energy - Net CV,kWh (Net CV),kg N2O,0.00210
Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Volume,litres,kg CO2e,2.61163
Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Volume,litres,kg CH4,0.00060
Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Volume,litres,kg CO2,2.59007
Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Volume,litres,kg N2O,0.02096
Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Tonnes,tonnes,kg CO2e,"3,108.52039"
Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Tonnes,tonnes,kg CH4,0.71415
Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Tonnes,tonnes,kg CO2,"3,082.82224"
Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,Tonnes,tonnes,kg N2O,24.98400
Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.25150
Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00006
Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Energy - Gross CV,kWh (Gross CV),kg CO2,0.24948
Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Energy - Gross CV,kWh (Gross CV),kg N2O,0.00197
Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Energy - Net CV,kWh (Net CV),kg CO2e,0.26756
Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Energy - Net CV,kWh (Net CV),kg CH4,0.00006
Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Energy - Net CV,kWh (Net CV),kg CO2,0.26540
