Scope,Category Level 1,Category Level 2,Category Level 3,Category Level 4,Column Text,UOM,GHG,GHG Conversion Factor,Comments
Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,cubic metres,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,kWh,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,kWh,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,kWh,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,kWh,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,litres,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,litres,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,litres,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,litres,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,tonnes,All Gases (CO2e),2726.05077,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,tonnes,CH4,4.138217487,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,tonnes,CO2,2720.434618,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,tonnes,N2O,1.477934817,
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,cubic metres,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,cubic metres,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,cubic metres,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,cubic metres,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,kWh,All Gases (CO2e),0.18643,
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,kWh,CH4,0.00008,
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,kWh,CO2,0.18625,
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,kWh,N2O,0.0001,
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,litres,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,litres,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,litres,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,litres,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,tonnes,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,tonnes,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,tonnes,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,tonnes,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Net CV,cubic metres,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Net CV,cubic metres,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Net CV,cubic metres,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Net CV,cubic metres,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Net CV,kWh,All Gases (CO2e),0.20263,
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Net CV,kWh,CH4,0.00009,
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Net CV,kWh,CO2,0.20244,
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Net CV,kWh,N2O,0.0001,
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Net CV,litres,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Net CV,litres,CH4,N/A,
