category,from,to,"pre_addition",multiplication,division,"post_addition","is_approx","is_inverse"
"Data Transfer Rate","Tebibit per second","Mebibit per second",0,1048576,1,0,0,
"Data Transfer Rate","Tebibit per second","Mebibyte per second",0,131072,1,0,0,
"Data Transfer Rate","Tebibit per second","Gigabit per second",0,2147483648,1953125,0,0,
"Data Transfer Rate","Tebibit per second","Gigabyte per second",0,268435456,1953125,0,0,
"Data Transfer Rate","Tebibit per second","Gibibit per second",0,1024,1,0,0,
"Data Transfer Rate","Tebibit per second","Gibibyte per second",0,128,1,0,0,
"Data Transfer Rate","Tebibit per second","Terabit per second",0,268435456,244140625,0,0,
"Data Transfer Rate","Tebibit per second","Terabyte per second",0,33554432,244140625,0,0,
"Data Transfer Rate","Tebibit per second","Tebibyte per second",0,1,8,0,0,
"Data Transfer Rate","Tebibyte per second","Bit per second",0,8796093022208,1,0,0,
"Data Transfer Rate","Tebibyte per second","Byte per second",0,1099511627776,1,0,0,
"Data Transfer Rate","Tebibyte per second","Kilobit per second",0,1099511627776,125,0,0,
"Data Transfer Rate","Tebibyte per second","Kilobyte per second",0,137438953472,125,0,0,
"Data Transfer Rate","Tebibyte per second","Kibibit per second",0,8589934592,1,0,0,
"Data Transfer Rate","Tebibyte per second","Kibibyte per second",0,1073741824,1,0,0,
"Data Transfer Rate","Tebibyte per second","Megabit per second",0,137438953472,15625,0,0,
"Data Transfer Rate","Tebibyte per second","Megabyte per second",0,17179869184,15625,0,0,
"Data Transfer Rate","Tebibyte per second","Mebibit per second",0,8388608,1,0,0,
"Data Transfer Rate","Tebibyte per second","Mebibyte per second",0,1048576,1,0,0,
"Data Transfer Rate","Tebibyte per second","Gigabit per second",0,17179869184,1953125,0,0,
"Data Transfer Rate","Tebibyte per second","Gigabyte per second",0,2147483648,1953125,0,0,
"Data Transfer Rate","Tebibyte per second","Gibibit per second",0,8192,1,0,0,
"Data Transfer Rate","Tebibyte per second","Gibibyte per second",0,1024,1,0,0,
"Data Transfer Rate","Tebibyte per second","Terabit per second",0,2147483648,244140625,0,0,
"Data Transfer Rate","Tebibyte per second","Terabyte per second",0,268435456,244140625,0,0,
"Data Transfer Rate","Tebibyte per second","Tebibit per second",0,8,1,0,0,
"Digital Storage",Bit,Kilobit,0,1,1000,0,0,
"Digital Storage",Bit,Kibibit,0,1,1024,0,0,
"Digital Storage",Bit,Megabit,0,1,1000000,0,0,
"Digital Storage",Bit,Mebibit,0,1,1048576,0,0,
"Digital Storage",Bit,Gigabit,0,1,1000000000,0,0,
"Digital Storage",Bit,Gibibit,0,1,1073741824,0,0,
"Digital Storage",Bit,Terabit,0,1,1000000000000,0,0,
"Digital Storage",Bit,Tebibit,0,1,1099511627776,0,0,
"Digital Storage",Bit,Petabit,0,1,1000000000000000,0,0,
"Digital Storage",Bit,Pebibit,0,1,1125899906842624,0,0,
"Digital Storage",Bit,Byte,0,1,8,0,0,
"Digital Storage",Bit,Kilobyte,0,1,8000,0,0,
"Digital Storage",Bit,Kibibyte,0,1,8192,0,0,
"Digital Storage",Bit,Megabyte,0,1,8000000,0,0,
"Digital Storage",Bit,Mebibyte,0,1,8388608,0,0,
"Digital Storage",Bit,Gigabyte,0,1,8000000000,0,0,
"Digital Storage",Bit,Gibibyte,0,1,8589934592,0,0,
"Digital Storage",Bit,Terabyte,0,1,8000000000000,0,0,
"Digital Storage",Bit,Tebibyte,0,1,8796093022208,0,0,
"Digital Storage",Bit,Petabyte,0,1,8000000000000000,0,0,
"Digital Storage",Bit,Pebibyte,0,1,9007199254740992,0,0,
"Digital Storage",Kilobit,Bit,0,1000,1,0,0,
"Digital Storage",Kilobit,Kibibit,0,125,128,0,0,
"Digital Storage",Kilobit,Megabit,0,1,1000,0,0,
"Digital Storage",Kilobit,Mebibit,0,125,131072,0,0,
"Digital Storage",Kilobit,Gigabit,0,1,1000000,0,0,
"Digital Storage",Kilobit,Gibibit,0,125,134217728,0,0,
"Digital Storage",Kilobit,Terabit,0,1,1000000000,0,0,
"Digital Storage",Kilobit,Tebibit,0,125,137438953472,0,0,
"Digital Storage",Kilobit,Petabit,0,1,1000000000000,0,0,
"Digital Storage",Kilobit,Pebibit,0,125,140737488355328,0,0,
"Digital Storage",Kilobit,Byte,0,125,1,0,0,
"Digital Storage",Kilobit,Kilobyte,0,1,8,0,0,
"Digital Storage",Kilobit,Kibibyte,0,125,1024,0,0,
"Digital Storage",Kilobit,Megabyte,0,1,8000,0,0,
"Digital Storage",Kilobit,Mebibyte,0,125,1048576,0,0,
"Digital Storage",Kilobit,Gigabyte,0,1,8000000,0,0,
"Digital Storage",Kilobit,Gibibyte,0,125,1073741824,0,0,
"Digital Storage",Kilobit,Terabyte,0,1,8000000000,0,0,
"Digital Storage",Kilobit,Tebibyte,0,125,1099511627776,0,0,
"Digital Storage",Kilobit,Petabyte,0,1,8000000000000,0,0,
"Digital Storage",Kilobit,Pebibyte,0,125,1125899906842624,0,0,
"Digital Storage",Kibibit,Bit,0,1024,1,0,0,
"Digital Storage",Kibibit,Kilobit,0,128,125,0,0,
"Digital Storage",Kibibit,Megabit,0,16,15625,0,0,
"Digital Storage",Kibibit,Mebibit,0,1,1024,0,0,
"Digital Storage",Kibibit,Gigabit,0,2,1953125,0,0,
"Digital Storage",Kibibit,Gibibit,0,1,1048576,0,0,
"Digital Storage",Kibibit,Terabit,0,1,976562500,0,0,
"Digital Storage",Kibibit,Tebibit,0,1,1073741824,0,0,
"Digital Storage",Kibibit,Petabit,0,1,976562500000,0,0,
"Digital Storage",Kibibit,Pebibit,0,1,1099511627776,0,0,
"Digital Storage",Kibibit,Byte,0,128,1,0,0,
"Digital Storage",Kibibit,Kilobyte,0,16,125,0,0,
"Digital Storage",Kibibit,Kibibyte,0,1,8,0,0,
"Digital Storage",Kibibit,Megabyte,0,2,15625,0,0,
"Digital Storage",Kibibit,Mebibyte,0,1,8192,0,0,
"Digital Storage",Kibibit,Gigabyte,0,1,7812500,0,0,
"Digital Storage",Kibibit,Gibibyte,0,1,8388608,0,0,
"Digital Storage",Kibibit,Terabyte,0,1,7812500000,0,0,
"Digital Storage",Kibibit,Tebibyte,0,1,8589934592,0,0,
"Digital Storage",Kibibit,Petabyte,0,1,7812500000000,0,0,
"Digital Storage",Kibibit,Pebibyte,0,1,8796093022208,0,0,
"Digital Storage",Megabit,Bit,0,1000000,1,0,0,
"Digital Storage",Megabit,Kilobit,0,1000,1,0,0,
"Digital Storage",Megabit,Kibibit,0,15625,16,0,0,
"Digital Storage",Megabit,Mebibit,0,15625,16384,0,0,
"Digital Storage",Megabit,Gigabit,0,1,1000,0,0,
"Digital Storage",Megabit,Gibibit,0,15625,16777216,0,0,
"Digital Storage",Megabit,Terabit,0,1,1000000,0,0,
"Digital Storage",Megabit,Tebibit,0,15625,17179869184,0,0,
"Digital Storage",Megabit,Petabit,0,1,1000000000,0,0,
"Digital Storage",Megabit,Pebibit,0,15625,17592186044416,0,0,
"Digital Storage",Megabit,Byte,0,125000,1,0,0,
"Digital Storage",Megabit,Kilobyte,0,125,1,0,0,
"Digital Storage",Megabit,Kibibyte,0,15625,128,0,0,
"Digital Storage",Megabit,Megabyte,0,1,8,0,0,
"Digital Storage",Megabit,Mebibyte,0,15625,131072,0,0,
"Digital Storage",Megabit,Gigabyte,0,1,8000,0,0,
"Digital Storage",Megabit,Gibibyte,0,15625,134217728,0,0,
"Digital Storage",Megabit,Terabyte,0,1,8000000,0,0,
"Digital Storage",Megabit,Tebibyte,0,15625,137438953472,0,0,
"Digital Storage",Megabit,Petabyte,0,1,8000000000,0,0,
"Digital Storage",Megabit,Pebibyte,0,15625,140737488355328,0,0,
"Digital Storage",Mebibit,Bit,0,1048576,1,0,0,
"Digital Storage",Mebibit,Kilobit,0,131072,125,0,0,
"Digital Storage",Mebibit,Kibibit,0,1024,1,0,0,
"Digital Storage",Mebibit,Megabit,0,16384,15625,0,0,
"Digital Storage",Mebibit,Gigabit,0,2048,1953125,0,0,
"Digital Storage",Mebibit,Gibibit,0,1,1024,0,0,
"Digital Storage",Mebibit,Terabit,0,256,244140625,0,0,
"Digital Storage",Mebibit,Tebibit,0,1,1048576,0,0,
"Digital Storage",Mebibit,Petabit,0,32,30517578125,0,0,
"Digital Storage",Mebibit,Pebibit,0,1,1073741824,0,0,
"Digital Storage",Mebibit,Byte,0,131072,1,0,0,
"Digital Storage",Mebibit,Kilobyte,0,16384,125,0,0,
"Digital Storage",Mebibit,Kibibyte,0,128,1,0,0,
"Digital Storage",Mebibit,Megabyte,0,2048,15625,0,0,
"Digital Storage",Mebibit,Mebibyte,0,1,8,0,0,
"Digital Storage",Mebibit,Gigabyte,0,256,1953125,0,0,
"Digital Storage",Mebibit,Gibibyte,0,1,8192,0,0,
"Digital Storage",Mebibit,Terabyte,0,32,244140625,0,0,
"Digital Storage",Mebibit,Tebibyte,0,1,8388608,0,0,
"Digital Storage",Mebibit,Petabyte,0,4,30517578125,0,0,
"Digital Storage",Mebibit,Pebibyte,0,1,8589934592,0,0,
"Digital Storage",Gigabit,Bit,0,1000000000,1,0,0,
"Digital Storage",Gigabit,Kilobit,0,1000000,1,0,0,
"Digital Storage",Gigabit,Kibibit,0,1953125,2,0,0,
"Digital Storage",Gigabit,Megabit,0,1000,1,0,0,
"Digital Storage",Gigabit,Mebibit,0,1953125,2048,0,0,
"Digital Storage",Gigabit,Gibibit,0,1953125,2097152,0,0,
"Digital Storage",Gigabit,Terabit,0,1,1000,0,0,
"Digital Storage",Gigabit,Tebibit,0,1953125,2147483648,0,0,
"Digital Storage",Gigabit,Petabit,0,1,1000000,0,0,
"Digital Storage",Gigabit,Pebibit,0,1953125,2199023255552,0,0,
"Digital Storage",Gigabit,Byte,0,125000000,1,0,0,
"Digital Storage",Gigabit,Kilobyte,0,125000,1,0,0,
"Digital Storage",Gigabit,Kibibyte,0,1953125,16,0,0,
"Digital Storage",Gigabit,Megabyte,0,125,1,0,0,
"Digital Storage",Gigabit,Mebibyte,0,1953125,16384,0,0,
"Digital Storage",Gigabit,Gigabyte,0,1,8,0,0,
"Digital Storage",Gigabit,Gibibyte,0,1953125,16777216,0,0,
"Digital Storage",Gigabit,Terabyte,0,1,8000,0,0,
"Digital Storage",Gigabit,Tebibyte,0,1953125,17179869184,0,0,
"Digital Storage",Gigabit,Petabyte,0,1,8000000,0,0,
"Digital Storage",Gigabit,Pebibyte,0,1953125,17592186044416,0,0,
"Digital Storage",Gibibit,Bit,0,1073741824,1,0,0,
"Digital Storage",Gibibit,Kilobit,0,134217728,125,0,0,
"Digital Storage",Gibibit,Kibibit,0,1048576,1,0,0,
"Digital Storage",Gibibit,Megabit,0,16777216,15625,0,0,
"Digital Storage",Gibibit,Mebibit,0,1024,1,0,0,
"Digital Storage",Gibibit,Gigabit,0,2097152,1953125,0,0,
"Digital Storage",Gibibit,Terabit,0,262144,244140625,0,0,
"Digital Storage",Gibibit,Tebibit,0,1,1024,0,0,
"Digital Storage",Gibibit,Petabit,0,32768,30517578125,0,0,
"Digital Storage",Gibibit,Pebibit,0,1,1048576,0,0,
"Digital Storage",Gibibit,Byte,0,134217728,1,0,0,
"Digital Storage",Gibibit,Kilobyte,0,16777216,125,0,0,
"Digital Storage",Gibibit,Kibibyte,0,131072,1,0,0,
"Digital Storage",Gibibit,Megabyte,0,2097152,15625,0,0,
"Digital Storage",Gibibit,Mebibyte,0,128,1,0,0,
"Digital Storage",Gibibit,Gigabyte,0,262144,1953125,0,0,
"Digital Storage",Gibibit,Gibibyte,0,1,8,0,0,
"Digital Storage",Gibibit,Terabyte,0,32768,244140625,0,0,
"Digital Storage",Gibibit,Tebibyte,0,1,8192,0,0,
"Digital Storage",Gibibit,Petabyte,0,4096,30517578125,0,0,
"Digital Storage",Gibibit,Pebibyte,0,1,8388608,0,0,
"Digital Storage",Terabit,Bit,0,1000000000000,1,0,0,
"Digital Storage",Terabit,Kilobit,0,1000000000,1,0,0,
"Digital Storage",Terabit,Kibibit,0,976562500,1,0,0,
"Digital Storage",Terabit,Megabit,0,1000000,1,0,0,
"Digital Storage",Terabit,Mebibit,0,244140625,256,0,0,
"Digital Storage",Terabit,Gigabit,0,1000,1,0,0,
"Digital Storage",Terabit,Gibibit,0,244140625,262144,0,0,
"Digital Storage",Terabit,Tebibit,0,244140625,268435456,0,0,
"Digital Storage",Terabit,Petabit,0,1,1000,0,0,
"Digital Storage",Terabit,Pebibit,0,244140625,274877906944,0,0,
"Digital Storage",Terabit,Byte,0,125000000000,1,0,0,
"Digital Storage",Terabit,Kilobyte,0,125000000,1,0,0,
"Digital Storage",Terabit,Kibibyte,0,244140625,2,0,0,
"Digital Storage",Terabit,Megabyte,0,125000,1,0,0,
"Digital Storage",Terabit,Mebibyte,0,244140625,2048,0,0,
"Digital Storage",Terabit,Gigabyte,0,125,1,0,0,
"Digital Storage",Terabit,Gibibyte,0,244140625,2097152,0,0,
"Digital Storage",Terabit,Terabyte,0,1,8,0,0,
"Digital Storage",Terabit,Tebibyte,0,244140625,2147483648,0,0,
"Digital Storage",Terabit,Petabyte,0,1,8000,0,0,
"Digital Storage",Terabit,Pebibyte,0,244140625,2199023255552,0,0,
"Digital Storage",Tebibit,Bit,0,1099511627776,1,0,0,
"Digital Storage",Tebibit,Kilobit,0,137438953472,125,0,0,
"Digital Storage",Tebibit,Kibibit,0,1073741824,1,0,0,
"Digital Storage",Tebibit,Megabit,0,17179869184,15625,0,0,
"Digital Storage",Tebibit,Mebibit,0,1048576,1,0,0,
"Digital Storage",Tebibit,Gigabit,0,2147483648,1953125,0,0,
"Digital Storage",Tebibit,Gibibit,0,1024,1,0,0,
"Digital Storage",Tebibit,Terabit,0,268435456,244140625,0,0,
"Digital Storage",Tebibit,Petabit,0,33554432,30517578125,0,0,
"Digital Storage",Tebibit,Pebibit,0,1,1024,0,0,
"Digital Storage",Tebibit,Byte,0,137438953472,1,0,0,
"Digital Storage",Tebibit,Kilobyte,0,17179869184,125,0,0,
"Digital Storage",Tebibit,Kibibyte,0,134217728,1,0,0,
"Digital Storage",Tebibit,Megabyte,0,2147483648,15625,0,0,
"Digital Storage",Tebibit,Mebibyte,0,131072,1,0,0,
"Digital Storage",Tebibit,Gigabyte,0,268435456,1953125,0,0,
"Digital Storage",Tebibit,Gibibyte,0,128,1,0,0,
"Digital Storage",Tebibit,Terabyte,0,33554432,244140625,0,0,
"Digital Storage",Tebibit,Tebibyte,0,1,8,0,0,
"Digital Storage",Tebibit,Petabyte,0,4194304,30517578125,0,0,
"Digital Storage",Tebibit,Pebibyte,0,1,8192,0,0,
"Digital Storage",Petabit,Bit,0,1000000000000000,1,0,0,
"Digital Storage",Petabit,Kilobit,0,1000000000000,1,0,0,
"Digital Storage",Petabit,Kibibit,0,976562500000,1,0,0,
"Digital Storage",Petabit,Megabit,0,1000000000,1,0,0,
"Digital Storage",Petabit,Mebibit,0,30517578125,32,0,0,
"Digital Storage",Petabit,Gigabit,0,1000000,1,0,0,
"Digital Storage",Petabit,Gibibit,0,30517578125,32768,0,0,
"Digital Storage",Petabit,Terabit,0,1000,1,0,0,
"Digital Storage",Petabit,Tebibit,0,30517578125,33554432,0,0,
"Digital Storage",Petabit,Pebibit,0,"1.7763568394002505",2,0,0,
"Digital Storage",Petabit,Byte,0,125000000000000,1,0,0,
"Digital Storage",Petabit,Kilobyte,0,125000000000,1,0,0,
"Digital Storage",Petabit,Kibibyte,0,122070312500,1,0,0,
"Digital Storage",Petabit,Megabyte,0,125000000,1,0,0,
"Digital Storage",Petabit,Mebibyte,0,30517578125,256,0,0,
"Digital Storage",Petabit,Gigabyte,0,125000,1,0,0,
"Digital Storage",Petabit,Gibibyte,0,30517578125,262144,0,0,
"Digital Storage",Petabit,Terabyte,0,125,1,0,0,
"Digital Storage",Petabit,Tebibyte,0,30517578125,268435456,0,0,
"Digital Storage",Petabit,Petabyte,0,1,8,0,0,
"Digital Storage",Petabit,Pebibyte,0,"1.7763568394002505",16,0,0,
"Digital Storage",Pebibit,Bit,0,1125899906842624,1,0,0,
"Digital Storage",Pebibit,Kilobit,0,140737488355328,125,0,0,
"Digital Storage",Pebibit,Kibibit,0,1099511627776,1,0,0,
"Digital Storage",Pebibit,Megabit,0,17592186044416,15625,0,0,
"Digital Storage",Pebibit,Mebibit,0,1073741824,1,0,0,
"Digital Storage",Pebibit,Gigabit,0,2199023255552,1953125,0,0,
"Digital Storage",Pebibit,Gibibit,0,1048576,1,0,0,
"Digital Storage",Pebibit,Terabit,0,274877906944,244140625,0,0,
"Digital Storage",Pebibit,Tebibit,0,1024,1,0,0,
"Digital Storage",Pebibit,Petabit,0,2,"1.7763568394002505",0,0,
"Digital Storage",Pebibit,Byte,0,140737488355328,1,0,0,
"Digital Storage",Pebibit,Kilobyte,0,17592186044416,125,0,0,
"Digital Storage",Pebibit,Kibibyte,0,137438953472,1,0,0,
"Digital Storage",Pebibit,Megabyte,0,2199023255552,15625,0,0,
"Digital Storage",Pebibit,Mebibyte,0,134217728,1,0,0,
"Digital Storage",Pebibit,Gigabyte,0,274877906944,1953125,0,0,
"Digital Storage",Pebibit,Gibibyte,0,131072,1,0,0,
"Digital Storage",Pebibit,Terabyte,0,34359738368,244140625,0,0,
"Digital Storage",Pebibit,Tebibyte,0,128,1,0,0,
"Digital Storage",Pebibit,Petabyte,0,1,"7.105427357601002",0,0,
"Digital Storage",Pebibit,Pebibyte,0,1,8,0,0,
"Digital Storage",Byte,Bit,0,8,1,0,0,
"Digital Storage",Byte,Kilobit,0,1,125,0,0,
"Digital Storage",Byte,Kibibit,0,1,128,0,0,
"Digital Storage",Byte,Megabit,0,1,125000,0,0,
"Digital Storage",Byte,Mebibit,0,1,131072,0,0,
"Digital Storage",Byte,Gigabit,0,1,125000000,0,0,
"Digital Storage",Byte,Gibibit,0,1,134217728,0,0,
"Digital Storage",Byte,Terabit,0,1,125000000000,0,0,
"Digital Storage",Byte,Tebibit,0,1,137438953472,0,0,
"Digital Storage",Byte,Petabit,0,1,125000000000000,0,0,
"Digital Storage",Byte,Pebibit,0,1,140737488355328,0,0,
"Digital Storage",Byte,Kilobyte,0,1,1000,0,0,
"Digital Storage",Byte,Kibibyte,0,1,1024,0,0,
"Digital Storage",Byte,Megabyte,0,1,1000000,0,0,
"Digital Storage",Byte,Mebibyte,0,1,1048576,0,0,
"Digital Storage",Byte,Gigabyte,0,1,1000000000,0,0,
"Digital Storage",Byte,Gibibyte,0,1,1073741824,0,0,
"Digital Storage",Byte,Terabyte,0,1,1000000000000,0,0,
"Digital Storage",Byte,Tebibyte,0,1,1099511627776,0,0,
"Digital Storage",Byte,Petabyte,0,1,1000000000000000,0,0,
"Digital Storage",Byte,Pebibyte,0,1,1125899906842624,0,0,
"Digital Storage",Kilobyte,Bit,0,8000,1,0,0,
"Digital Storage",Kilobyte,Kilobit,0,8,1,0,0,
"Digital Storage",Kilobyte,Kibibit,0,125,16,0,0,
"Digital Storage",Kilobyte,Megabit,0,1,125,0,0,
"Digital Storage",Kilobyte,Mebibit,0,125,16384,0,0,
"Digital Storage",Kilobyte,Gigabit,0,1,125000,0,0,
"Digital Storage",Kilobyte,Gibibit,0,125,16777216,0,0,
"Digital Storage",Kilobyte,Terabit,0,1,125000000,0,0,
"Digital Storage",Kilobyte,Tebibit,0,125,17179869184,0,0,
"Digital Storage",Kilobyte,Petabit,0,1,125000000000,0,0,
"Digital Storage",Kilobyte,Pebibit,0,125,17592186044416,0,0,
"Digital Storage",Kilobyte,Byte,0,1000,1,0,0,
"Digital Storage",Kilobyte,Kibibyte,0,125,128,0,0,
"Digital Storage",Kilobyte,Megabyte,0,1,1000,0,0,
"Digital Storage",Kilobyte,Mebibyte,0,125,131072,0,0,
"Digital Storage",Kilobyte,Gigabyte,0,1,1000000,0,0,
"Digital Storage",Kilobyte,Gibibyte,0,125,134217728,0,0,
"Digital Storage",Kilobyte,Terabyte,0,1,1000000000,0,0,
"Digital Storage",Kilobyte,Tebibyte,0,125,137438953472,0,0,
"Digital Storage",Kilobyte,Petabyte,0,1,1000000000000,0,0,
"Digital Storage",Kilobyte,Pebibyte,0,125,140737488355328,0,0,
"Digital Storage",Kibibyte,Bit,0,8192,1,0,0,
"Digital Storage",Kibibyte,Kilobit,0,1024,125,0,0,
"Digital Storage",Kibibyte,Kibibit,0,8,1,0,0,
"Digital Storage",Kibibyte,Megabit,0,128,15625,0,0,
"Digital Storage",Kibibyte,Mebibit,0,1,128,0,0,
"Digital Storage",Kibibyte,Gigabit,0,16,1953125,0,0,
"Digital Storage",Kibibyte,Gibibit,0,1,131072,0,0,
"Digital Storage",Kibibyte,Terabit,0,2,244140625,0,0,
"Digital Storage",Kibibyte,Tebibit,0,1,134217728,0,0,
"Digital Storage",Kibibyte,Petabit,0,1,122070312500,0,0,
"Digital Storage",Kibibyte,Pebibit,0,1,137438953472,0,0,
"Digital Storage",Kibibyte,Byte,0,1024,1,0,0,
"Digital Storage",Kibibyte,Kilobyte,0,128,125,0,0,
"Digital Storage",Kibibyte,Megabyte,0,16,15625,0,0,
"Digital Storage",Kibibyte,Mebibyte,0,1,1024,0,0,
"Digital Storage",Kibibyte,Gigabyte,0,2,1953125,0,0,
"Digital Storage",Kibibyte,Gibibyte,0,1,1048576,0,0,
"Digital Storage",Kibibyte,Terabyte,0,1,976562500,0,0,
"Digital Storage",Kibibyte,Tebibyte,0,1,1073741824,0,0,
"Digital Storage",Kibibyte,Petabyte,0,1,976562500000,0,0,
"Digital Storage",Kibibyte,Pebibyte,0,1,1099511627776,0,0,
"Digital Storage",Megabyte,Bit,0,8000000,1,0,0,
"Digital Storage",Megabyte,Kilobit,0,8000,1,0,0,
"Digital Storage",Megabyte,Kibibit,0,15625,2,0,0,
"Digital Storage",Megabyte,Megabit,0,8,1,0,0,
"Digital Storage",Megabyte,Mebibit,0,15625,2048,0,0,
"Digital Storage",Megabyte,Gigabit,0,1,125,0,0,
"Digital Storage",Megabyte,Gibibit,0,15625,2097152,0,0,
"Digital Storage",Megabyte,Terabit,0,1,125000,0,0,
"Digital Storage",Megabyte,Tebibit,0,15625,2147483648,0,0,
"Digital Storage",Megabyte,Petabit,0,1,125000000,0,0,
"Digital Storage",Megabyte,Pebibit,0,15625,2199023255552,0,0,
"Digital Storage",Megabyte,Byte,0,1000000,1,0,0,
"Digital Storage",Megabyte,Kilobyte,0,1000,1,0,0,
"Digital Storage",Megabyte,Kibibyte,0,15625,16,0,0,
"Digital Storage",Megabyte,Mebibyte,0,15625,16384,0,0,
"Digital Storage",Megabyte,Gigabyte,0,1,1000,0,0,
"Digital Storage",Megabyte,Gibibyte,0,15625,16777216,0,0,
"Digital Storage",Megabyte,Terabyte,0,1,1000000,0,0,
"Digital Storage",Megabyte,Tebibyte,0,15625,17179869184,0,0,
"Digital Storage",Megabyte,Petabyte,0,1,1000000000,0,0,
"Digital Storage",Megabyte,Pebibyte,0,15625,17592186044416,0,0,
"Digital Storage",Mebibyte,Bit,0,8388608,1,0,0,
"Digital Storage",Mebibyte,Kilobit,0,1048576,125,0,0,
"Digital Storage",Mebibyte,Kibibit,0,8192,1,0,0,
"Digital Storage",Mebibyte,Megabit,0,131072,15625,0,0,
"Digital Storage",Mebibyte,Mebibit,0,8,1,0,0,
"Digital Storage",Mebibyte,Gigabit,0,16384,1953125,0,0,
"Digital Storage",Mebibyte,Gibibit,0,1,128,0,0,
"Digital Storage",Mebibyte,Terabit,0,2048,244140625,0,0,
"Digital Storage",Mebibyte,Tebibit,0,1,131072,0,0,
"Digital Storage",Mebibyte,Petabit,0,256,30517578125,0,0,
"Digital Storage",Mebibyte,Pebibit,0,1,134217728,0,0,
"Digital Storage",Mebibyte,Byte,0,1048576,1,0,0,
"Digital Storage",Mebibyte,Kilobyte,0,131072,125,0,0,
"Digital Storage",Mebibyte,Kibibyte,0,1024,1,0,0,
"Digital Storage",Mebibyte,Megabyte,0,16384,15625,0,0,
"Digital Storage",Mebibyte,Gigabyte,0,2048,1953125,0,0,
"Digital Storage",Mebibyte,Gibibyte,0,1,1024,0,0,
"Digital Storage",Mebibyte,Terabyte,0,256,244140625,0,0,
"Digital Storage",Mebibyte,Tebibyte,0,1,1048576,0,0,
"Digital Storage",Mebibyte,Petabyte,0,32,30517578125,0,0,
"Digital Storage",Mebibyte,Pebibyte,0,1,1073741824,0,0,
"Digital Storage",Gigabyte,Bit,0,8000000000,1,0,0,
"Digital Storage",Gigabyte,Kilobit,0,8000000,1,0,0,
"Digital Storage",Gigabyte,Kibibit,0,7812500,1,0,0,
"Digital Storage",Gigabyte,Megabit,0,8000,1,0,0,
"Digital Storage",Gigabyte,Mebibit,0,1953125,256,0,0,
"Digital Storage",Gigabyte,Gigabit,0,8,1,0,0,
"Digital Storage",Gigabyte,Gibibit,0,1953125,262144,0,0,
"Digital Storage",Gigabyte,Terabit,0,1,125,0,0,
"Digital Storage",Gigabyte,Tebibit,0,1953125,268435456,0,0,
"Digital Storage",Gigabyte,Petabit,0,1,125000,0,0,
"Digital Storage",Gigabyte,Pebibit,0,1953125,274877906944,0,0,
"Digital Storage",Gigabyte,Byte,0,1000000000,1,0,0,
"Digital Storage",Gigabyte,Kilobyte,0,1000000,1,0,0,
"Digital Storage",Gigabyte,Kibibyte,0,1953125,2,0,0,
"Digital Storage",Gigabyte,Megabyte,0,1000,1,0,0,
"Digital Storage",Gigabyte,Mebibyte,0,1953125,2048,0,0,
"Digital Storage",Gigabyte,Gibibyte,0,1953125,2097152,0,0,
"Digital Storage",Gigabyte,Terabyte,0,1,1000,0,0,
"Digital Storage",Gigabyte,Tebibyte,0,1953125,2147483648,0,0,
"Digital Storage",Gigabyte,Petabyte,0,1,1000000,0,0,
"Digital Storage",Gigabyte,Pebibyte,0,1953125,2199023255552,0,0,
"Digital Storage",Gibibyte,Bit,0,8589934592,1,0,0,
"Digital Storage",Gibibyte,Kilobit,0,1073741824,125,0,0,
"Digital Storage",Gibibyte,Kibibit,0,8388608,1,0,0,
"Digital Storage",Gibibyte,Megabit,0,134217728,15625,0,0,
"Digital Storage",Gibibyte,Mebibit,0,8192,1,0,0,
"Digital Storage",Gibibyte,Gigabit,0,16777216,1953125,0,0,
"Digital Storage",Gibibyte,Gibibit,0,8,1,0,0,
"Digital Storage",Gibibyte,Terabit,0,2097152,244140625,0,0,
"Digital Storage",Gibibyte,Tebibit,0,1,128,0,0,
"Digital Storage",Gibibyte,Petabit,0,262144,30517578125,0,0,
"Digital Storage",Gibibyte,Pebibit,0,1,131072,0,0,
"Digital Storage",Gibibyte,Byte,0,1073741824,1,0,0,
"Digital Storage",Gibibyte,Kilobyte,0,134217728,125,0,0,
"Digital Storage",Gibibyte,Kibibyte,0,1048576,1,0,0,
"Digital Storage",Gibibyte,Megabyte,0,16777216,15625,0,0,
"Digital Storage",Gibibyte,Mebibyte,0,1024,1,0,0,
"Digital Storage",Gibibyte,Gigabyte,0,2097152,1953125,0,0,
"Digital Storage",Gibibyte,Terabyte,0,262144,244140625,0,0,
"Digital Storage",Gibibyte,Tebibyte,0,1,1024,0,0,
"Digital Storage",Gibibyte,Petabyte,0,32768,30517578125,0,0,
"Digital Storage",Gibibyte,Pebibyte,0,1,1048576,0,0,
"Digital Storage",Terabyte,Bit,0,8000000000000,1,0,0,
"Digital Storage",Terabyte,Kilobit,0,8000000000,1,0,0,
"Digital Storage",Terabyte,Kibibit,0,7812500000,1,0,0,
"Digital Storage",Terabyte,Megabit,0,8000000,1,0,0,
"Digital Storage",Terabyte,Mebibit,0,244140625,32,0,0,
"Digital Storage",Terabyte,Gigabit,0,8000,1,0,0,
"Digital Storage",Terabyte,Gibibit,0,244140625,32768,0,0,
"Digital Storage",Terabyte,Terabit,0,8,1,0,0,
"Digital Storage",Terabyte,Tebibit,0,244140625,33554432,0,0,
