source,metric_name,type,description
DSNDQBGL,QBGLCS               ,OTHR,Number IXLCACHE "read-castout-stats" requests 
DSNDQBGL,QBGLDN               ,OTHR,Number IXLCACHE "delete-name" requests 
DSNDQBGL,QBGLRD               ,OTHR,Number IXLCACHE "read-dirinfo" requests 
DSNDQBGL,QBGLRG               ,OTHR,Number of "register page" requests 
DSNDQBGL,QBGLDG               ,OTHR,Number of "unregister page" requests 
DSNDQBGL,QBGL2F               ,OTHR,Number writes of changed pages to the secondary GBP that failed due to a lack of storage. 
DSNDQBGL,QBGL2S               ,OTHR,Number completion checks for writes to the secondary GBP that were suspended because the write had not yet completed.
DSNDQBGL,QBGL2D               ,OTHR,Number IXLCACHE "delete-name-list" requests to the secondary GBP. 
DSNDQBGL,QBGL2R               ,OTHR,Number IXLCACHE "read-castout-stats" requests to the secondary GBP.
DSNDQBGL,QBGL2N               ,OTHR,Number IXLCACHE "delete-name" requests to the secondary GBP. 
DSNDQBGL,QBGLHS               ,OTHR,Number Asynch IXLCACHE invocations for primary GBP. 
DSNDQBGL,QBGL2H               ,OTHR,Number Asynch IXLCACHE invocations for secondary GBP. 
DSNDQBGL,QBGLP1               ,OTHR,Number page P-lock lock requests for space map pages 
DSNDQBGL,QBGLP2               ,OTHR,Number page P-lock lock requests for data pages 
DSNDQBGL,QBGLP3               ,OTHR,Number page P-lock lock requests for index leaf pages 
DSNDQBGL,QBGLU1               ,OTHR,Number page P-lock unlock requests 
DSNDQBGL,QBGLS1               ,OTHR,Number page P-lock lock suspensions for space map pages 
DSNDQBGL,QBGLS2               ,OTHR,Number page P-lock lock suspensions for data pages 
DSNDQBGL,QBGLS3               ,OTHR,Number page P-lock lock suspensions for index leaf pages 
DSNDQBGL,QBGLN1               ,OTHR,Number page P-lock lock negotiations for space map pages 
DSNDQBGL,QBGLN2               ,OTHR,Number page P-lock lock negotiations for data pages 
DSNDQBGL,QBGLN3               ,OTHR,Number page P-lock lock negotiations for index leaf pages 
DSNDQBGL,QBGLWA               ,OTHR,Number page in write around 
DSNDQBST,QBSTGET              ,OTHR,Number of get page requests. includes both conditional and non-conditional successful and unsuccessful requests           
DSNDQBST,QBSTRIO              ,OTHR,Number of sync. read i/o operations performed           
DSNDQBST,QBSTDWV              ,OTHR,Number of times vertical deferred write threshold reached           
DSNDQBST,QBSTXFL              ,OTHR,Number of getpage failures due to vpool full           
DSNDQBST,QBSTXFV              ,OTHR,Number of expansion failure due to shortage of virtual storage           
DSNDQBST,QBSTSWS              ,OTHR,Number of setw issued for system pages           
DSNDQBST,QBSTPWS              ,OTHR,Number of page writes for system pages           
DSNDQBST,QBSTWIO              ,OTHR,Number of async. write i/o operations performed           
DSNDQBST,QBSTCBA              ,OTHR,Number of current active buffers           
DSNDQBST,QBSTRPI              ,OTHR,Number of page-in required for read i/o           
DSNDQBST,QBSTWPI              ,OTHR,Number of page-in required for write i/o           
DSNDQBST,QBSTDSO              ,OTHR,Number of data sets opened successfully           
