EventID,"orig_description"
21025,"Unwanted program successfully cleaned"
21026,"Unable to clean unwanted program"
21027,"Unwanted program deleted"
21028,"Unable to delete unwanted program"
21031,"Unwanted program access denied"
21032,"Unwanted program was moved to quarantine area"
21033,"Unable to move unwanted program to quarantine"
21036,"Unwanted program found in memory"
21054,"Unwanted program deleted"
21055,"Unable to delete unwanted program"
21056,"Unwanted program moved to quarantine"
21057,"Unable to move unwanted program to quarantine"
21270,"Unwanted program quarantined-no cleaner"
21271,"Unwanted program quarantined, Heuristics"
21272,"Unwanted program quarantined, can't clean"
21273,"Unwanted program quarantined, encrypted"
21274,"Unwanted program not cleaned or quarantined"
21275,"Unwanted program, heuristics, quarantine failed"
21276,"Unwanted program, clean error, quarantine failed"
21277,"Unwanted program, encrypted, quarantine failed"
21278,"Unwanted program, no cleaner, deleted"
21279,"Unwanted program, heuristics, no cleaner, deleted"
21280,"Unwanted program, clean error, deleted"
21281,"Unwanted program, encrypted, deleted"
21282,"Unwanted program, no cleaner, delete failed"
21283,"Unwanted program, heuristics, delete failed"
21284,"Unwanted program, clean error, delete failed"
21285,"Unwanted program, encrypted, delete failed"
21286,"Unwanted program, no cleaner, continued"
21287,"Unwanted program, heuristics, continued"
21288,"Unwanted program, clean error, continued"
21289,"Unwanted program, encrypted, continued"
21290,"Unwanted program, no cleaner, denied access"
21291,"Unwanted program, heuristics, denied access"
21292,"Unwanted program, clean error, denied access"
21293,"Unwanted program, quarantine failed, deleted"
21294,"Unwanted program, quarantine failed, delete failed"
21295,"Unwanted program, quarantine failed, continued"
21296,"Unwanted program, quarantine failed, denied access"
21297,"Unwanted program, delete failed, quarantined"
21298,"Unwanted program, delete failed, quarantine failed"
21299,"Unwanted program, delete failed, continued"
21300,"Unwanted program, delete failed, denied access"
21400,"User-specified unwanted program found"
21401,"User-specified unwanted program, clean error, continued"
21402,"User-specified unwanted program, clean error, quarantine failed"
21403,"User-specified unwanted program, clean error, quarantined"
21404,"User-specified unwanted program, clean error, delete failed"
21405,"User-specified unwanted program, clean error, deleted"
21406,"User-specified unwanted program was moved to quarantine area"
21407,"User-specified unwanted program, quarantine failed, delete failed"
21408,"User-specified unwanted program, quarantine failed, deleted"
21409,"User-specified unwanted program, quarantine failed, continued"
21410,"User-specified unwanted program deleted"
21411,"User-specified unwanted program, delete failed, quarantine failed"
21412,"User-specified unwanted program, delete failed, quarantined"
21413,"User-specified unwanted program, delete failed, continued"
30000,"Intrusion detected (firewall rule)"
34150,"Security for Microsoft Exchange - Packer detected"
34151,"Security for Microsoft Exchange - Phish detected"
34152,"Security for Microsoft Exchange - Mail size filter rule triggered"
34153,"Security for Microsoft Exchange - Signed content detected"
34154,"Security for Microsoft Exchange - Encrypted content detected"
34155,"Security for Microsoft Exchange - Corrupted content detected"
34156,"Security for Microsoft Exchange - Denial of service triggered"
34157,"Security for Microsoft Exchange - Protected content triggered"
34158,"Security for Microsoft Exchange - Password protected content detected"
34159,"Security for Microsoft Exchange - Blocked mime type detected"
34160,"Security for Microsoft Exchange - statistics and average scan time"
