Technique_ID,Technique_Name,Tactics,Platform,Permissions_Required,Effective_Permissions,Data_Sources,CAPEC_ID,Contributors,Requires_Network,Version,Description,Mitigations
T1128,Netsh Helper DLL,Persistence,Windows,"Administrator, SYSTEM",,"DLL monitoring, Windows Registry, Process monitoring",,"Matthew Demaske, Adaptforward",,1,"<div class=""col-md-8 description-body"">
                                <p>Netsh.exe (also referred to as Netshell) is a command-line scripting utility used to interact with the network configuration of a system. It contains functionality to add helper DLLs for extending functionality of the utility. <span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""TechNet Netsh""></span> The paths to registered netsh.exe helper DLLs are entered into the Windows Registry at <code>HKLM\SOFTWARE\Microsoft\Netsh</code>.</p><p>Adversaries can use netsh.exe with helper DLLs to proxy execution of arbitrary code in a persistent manner when netsh.exe is executed automatically with another Persistence technique or if other persistent software is present on the system that executes netsh.exe as part of its normal functionality. Examples include some VPN software that invoke netsh.exe. <span onclick=""scrollToRef('scite-2')"" id=""scite-ref-2-a"" class=""scite-citeref-number"" data-reference=""Demaske Netsh Persistence""></span></p><p>Proof of concept code exists to load Cobalt Strike's payload using netsh.exe helper DLLs. <span onclick=""scrollToRef('scite-3')"" id=""scite-ref-3-a"" class=""scite-citeref-number"" data-reference=""Github Netsh Helper CS Beacon""></span></p>
                            </div>",:=This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
T1498,Network Denial of Service,Impact,"Linux, macOS, Windows",,,"Sensor health and status, Network protocol analysis, Netflow/Enclave netflow, Network intrusion detection system, Network device logs",,,,1,"<div class=""col-md-8 description-body"">
                                <p>Adversaries may perform Network Denial of Service (DoS) attacks to degrade or block the availability of targeted resources to users. Network DoS can be performed by exhausting the network bandwidth services rely on. Example resources include specific websites, email services, DNS, and web-based applications. Adversaries have been observed conducting network DoS attacks for political purposes<span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""FireEye OpPoisonedHandover February 2016""></span> and to support other malicious activities, including distraction<span onclick=""scrollToRef('scite-2')"" id=""scite-ref-2-a"" class=""scite-citeref-number"" data-reference=""FSISAC FraudNetDoS September 2012""></span>, hacktivism, and extortion.<span onclick=""scrollToRef('scite-3')"" id=""scite-ref-3-a"" class=""scite-citeref-number"" data-reference=""Symantec DDoS October 2014""></span></p><p>A Network DoS will occur when the bandwidth capacity of the network connection to a system is exhausted due to the volume of malicious traffic directed at the resource or the network connections and network devices the resource relies on. For example, an adversary may send 10Gbps of traffic to a server that is hosted by a network with a 1Gbps connection to the internet. This traffic can be generated by a single system or multiple systems spread across the internet, which is commonly referred to as a distributed DoS (DDoS). Many different methods to accomplish such network saturation have been observed, but most fall into two main categories: Direct Network Floods and Reflection Amplification.</p><p>To perform Network DoS attacks several aspects apply to multiple methods, including IP address spoofing, and botnets.</p><p>Adversaries may use the original IP address of an attacking system, or spoof the source IP address to make the attack traffic more difficult to trace back to the attacking system or to enable reflection. This can increase the difficulty defenders have in defending against the attack by reducing or eliminating the effectiveness of filtering by the source address on network defense devices.</p><p>Botnets are commonly used to conduct DDoS attacks against networks and services. Large botnets can generate a significant amount of traffic from systems spread across the global internet. Adversaries may have the resources to build out and control their own botnet infrastructure or may rent time on an existing botnet to conduct an attack. In some of the worst cases for DDoS, so many systems are used to generate the flood that each one only needs to send out a small amount of traffic to produce enough volume to saturate the target network. In such circumstances, distinguishing DDoS traffic from legitimate clients becomes exceedingly difficult. Botnets have been used in some of the most high-profile DDoS attacks, such as the 2012 series of incidents that targeted major US banks.<span onclick=""scrollToRef('scite-4')"" id=""scite-ref-4-a"" class=""scite-citeref-number"" data-reference=""USNYAG IranianBotnet March 2016""></span></p><p>For DoS attacks targeting the hosting system directly, see Endpoint Denial of Service.</p><h3>Direct Network Flood</h3><p>Direct Network Floods are when one or more systems are used to send a high-volume of network packets towards the targeted service's network. Almost any network protocol may be used for Direct Network Floods. Stateless protocols such as UDP or ICMP are commonly used but stateful protocols such as TCP can be used as well.</p><h3>Reflection Amplification</h3><p>Adversaries may amplify the volume of their attack traffic by using Reflection. This type of Network DoS takes advantage of a third-party server intermediary that hosts and will respond to a given spoofed source IP address. This third-party server is commonly termed a reflector. An adversary accomplishes a reflection attack by sending packets to reflectors with the spoofed address of the victim. Similar to Direct Network Floods, more than one system may be used to conduct the attack, or a botnet may be used. Likewise, one or more reflector may be used to focus traffic on the target.<span onclick=""scrollToRef('scite-5')"" id=""scite-ref-5-a"" class=""scite-citeref-number"" data-reference=""Cloudflare ReflectionDoS May 2017""></span></p><p>Reflection attacks often take advantage of protocols with larger responses than requests in order to amplify their traffic, commonly known as a Reflection Amplification attack. Adversaries may be able to generate an increase in volume of attack traffic that is several orders of magnitude greater than the requests sent to the amplifiers. The extent of this increase will depending upon many variables, such as the protocol in question, the technique used, and the amplifying servers that actually produce the amplification in attack volume. Two prominent protocols that have enabled Reflection Amplification Floods are DNS<span onclick=""scrollToRef('scite-6')"" id=""scite-ref-6-a"" class=""scite-citeref-number"" data-reference=""Cloudflare DNSamplficationDoS""></span> and NTP<span onclick=""scrollToRef('scite-7')"" id=""scite-ref-7-a"" class=""scite-citeref-number"" data-reference=""Cloudflare NTPamplifciationDoS""></span>, though the use of several others in the wild have been documented.<span onclick=""scrollToRef('scite-8')"" id=""scite-ref-8-a"" class=""scite-citeref-number"" data-reference=""Arbor AnnualDoSreport Jan 2018""></span>  In particular, the memcache protocol showed itself to be a powerful protocol, with amplification sizes up to 51,200 times the requesting packet.<span onclick=""scrollToRef('scite-9')"" id=""scite-ref-9-a"" class=""scite-citeref-number"" data-reference=""Cloudflare Memcrashed Feb 2018""></span></p>
                            </div>","Filter Network Traffic:=When flood volumes exceed the capacity of the network connection being targeted, it is typically necessary to intercept the incoming traffic upstream to filter out the attack traffic from the legitimate traffic. Such defenses can be provided by the hosting Internet Service Provider (ISP) or by a 3rd party such as a Content Delivery Network (CDN) or providers specializing in DoS mitigations."
T1046,Network Service Scanning,Discovery,"Linux, Windows, macOS, AWS, GCP, Azure","Administrator, SYSTEM, User",,"Netflow/Enclave netflow, Network protocol analysis, Packet capture, Process command-line parameters, Process use of network",CAPEC-300,Praetorian,,2,"<div class=""col-md-8 description-body"">
                                <p>Adversaries may attempt to get a listing of services running on remote hosts, including those that may be vulnerable to remote software exploitation. Methods to acquire this information include port scans and vulnerability scans using tools that are brought onto a system. </p><p>Within cloud environments, adversaries may attempt to discover services running on other cloud hosts or cloud services enabled within the environment. Additionally, if the cloud environment is connected to a on-premises environment, adversaries may be able to identify services running on non-cloud systems.</p>
                            </div>",Disable or Remove Feature or Program:=Ensure that unnecessary ports and services are closed to prevent risk of discovery and potential exploitation.||Network Intrusion Prevention:=Use network intrusion detection/prevention systems to detect and prevent remote service scans.||Network Segmentation:=Ensure proper network segmentation is followed to protect critical servers and devices.
T1126,Network Share Connection Removal,Defense Evasion,Windows,"Administrator, User",,"Process monitoring, Process command-line parameters, Packet capture, Authentication logs",,,,1,"<div class=""col-md-8 description-body"">
                                <p>Windows shared drive and Windows Admin Shares connections can be removed when no longer needed. Net is an example utility that can be used to remove network share connections with the <code>net use \system\share /delete</code> command. <span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""Technet Net Use""></span></p><p>Adversaries may remove share connections that are no longer useful in order to clean up traces of their operation.</p>
                            </div>",:=This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
T1135,Network Share Discovery,Discovery,"macOS, Windows, AWS, GCP, Azure",User,,"Process monitoring, Process command-line parameters, Network protocol analysis, Process use of network",CAPEC-643,Praetorian,,2,"<div class=""col-md-8 description-body"">
                                <p>Networks often contain shared network drives and folders that enable users to access file directories on various systems across a network. </p><h3>Windows</h3><p>File sharing over a Windows network occurs over the SMB protocol. <span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""Wikipedia Shared Resource""></span> <span onclick=""scrollToRef('scite-2')"" id=""scite-ref-2-a"" class=""scite-citeref-number"" data-reference=""TechNet Shared Folder""></span></p><p>Net can be used to query a remote system for available shared drives using the <code>net view \remotesystem</code> command. It can also be used to query shared drives on the local system using <code>net share</code>.</p><p>Adversaries may look for folders and drives shared on remote systems as a means of identifying sources of information to gather as a precursor for Collection and to identify potential systems of interest for Lateral Movement.</p><h3>Mac</h3><p>On Mac, locally mounted shares can be viewed with the <code>df -aH</code> command.</p><h3>Cloud</h3><p>Cloud virtual networks may contain remote network shares or file storage services accessible to an adversary after they have obtained access to a system. For example, AWS, GCP, and Azure support creation of Network File System (NFS) shares and Server Message Block (SMB) shares that may be mapped on endpoint or cloud-based systems.<span onclick=""scrollToRef('scite-3')"" id=""scite-ref-3-a"" class=""scite-citeref-number"" data-reference=""Amazon Creating an NFS File Share""></span><span onclick=""scrollToRef('scite-4')"" id=""scite-ref-4-a"" class=""scite-citeref-number"" data-reference=""Google File servers on Compute Engine""></span></p>
                            </div>",:=This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
T1040,Network Sniffing,"Credential Access, Discovery","Linux, macOS, Windows","Administrator, SYSTEM",,"Network device logs, Host network interface, Netflow/Enclave netflow, Process monitoring",CAPEC-158,,,1,"<div class=""col-md-8 description-body"">
                                <p>Network sniffing refers to using the network interface on a system to monitor or capture information sent over a wired or wireless connection. An adversary may place a network interface into promiscuous mode to passively access data in transit over the network, or use span ports to capture a larger amount of data.</p><p>Data captured via this technique may include user credentials, especially those sent over an insecure, unencrypted protocol. Techniques for name service resolution poisoning, such as LLMNR/NBT-NS Poisoning and Relay, can also be used to capture credentials to websites, proxies, and internal systems by redirecting traffic to an adversary.</p><p>Network sniffing may also reveal configuration details, such as running services, version numbers, and other network characteristics (ex: IP addressing, hostnames, VLAN IDs) necessary for follow-on Lateral Movement and/or Defense Evasion activities.</p>
                            </div>","Encrypt Sensitive Information:=As immediate response may require rapid engagement of 3rd parties, analyze the risk associated to critical resources being affected by Network DoS attacks and create a disaster recovery plan/business continuity plan to respond to incidents.||Multi-factor Authentication:=Use multi-factor authentication wherever possible."
T1050,New Service,"Persistence, Privilege Escalation",Windows,"Administrator, SYSTEM",SYSTEM,"Windows Registry, Process monitoring, Process command-line parameters, Windows event logs",CAPEC-550,Pedro Harrison,,1,"<div class=""col-md-8 description-body"">
                                <p>When operating systems boot up, they can start programs or applications called services that perform background system functions. <span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""TechNet Services""></span> A service's configuration information, including the file path to the service's executable, is stored in the Windows Registry. </p><p>Adversaries may install a new service that can be configured to execute at startup by using utilities to interact with services or by directly modifying the Registry. The service name may be disguised by using a name from a related operating system or benign software with Masquerading. Services may be created with administrator privileges but are executed under SYSTEM privileges, so an adversary may also use a service to escalate privileges from administrator to SYSTEM. Adversaries may also directly start services through Service Execution.</p>
                            </div>",User Account Management:=Limit privileges of user accounts and remediate Privilege Escalation vectors so only  authorized administrators can create new services.
T1096,NTFS File Attributes,Defense Evasion,Windows,,,"File monitoring, Kernel drivers, API monitoring, Process command-line parameters",,"Red Canary; Oddvar Moe, @oddvarmoe",,1,"<div class=""col-md-8 description-body"">
                                <p>Every New Technology File System (NTFS) formatted partition contains a Master File Table (MFT) that maintains a record for every file/directory on the partition. <span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""SpectorOps Host-Based Jul 2017""></span> Within MFT entries are file attributes, <span onclick=""scrollToRef('scite-2')"" id=""scite-ref-2-a"" class=""scite-citeref-number"" data-reference=""Microsoft NTFS File Attributes Aug 2010""></span> such as Extended Attributes (EA) and Data [known as Alternate Data Streams (ADSs) when more than one Data attribute is present], that can be used to store arbitrary data (and even complete files). <span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""SpectorOps Host-Based Jul 2017""></span> <span onclick=""scrollToRef('scite-3')"" id=""scite-ref-3-a"" class=""scite-citeref-number"" data-reference=""Microsoft File Streams""></span> <span onclick=""scrollToRef('scite-4')"" id=""scite-ref-4-a"" class=""scite-citeref-number"" data-reference=""MalwareBytes ADS July 2015""></span> <span onclick=""scrollToRef('scite-5')"" id=""scite-ref-5-a"" class=""scite-citeref-number"" data-reference=""Microsoft ADS Mar 2014""></span></p><p>Adversaries may store malicious data or binaries in file attribute metadata instead of directly in files. This may be done to evade some defenses, such as static indicator scanning tools and anti-virus. <span onclick=""scrollToRef('scite-6')"" id=""scite-ref-6-a"" class=""scite-citeref-number"" data-reference=""Journey into IR ZeroAccess NTFS EA""></span> <span onclick=""scrollToRef('scite-4')"" id=""scite-ref-4-a"" class=""scite-citeref-number"" data-reference=""MalwareBytes ADS July 2015""></span></p>
                            </div>","Restrict File and Directory Permissions:=Consider adjusting read and write permissions for NTFS EA, though this should be tested to ensure routine OS operations are not impeded."
T1027,Obfuscated Files or Information,Defense Evasion,"Linux, macOS, Windows",,,"Network protocol analysis, Process use of network, File monitoring, Malware reverse engineering, Binary file metadata, Process command-line parameters, Environment variable, Process monitoring, Windows event logs, Network intrusion detection system, Email gateway, SSL/TLS inspection",CAPEC-267,"Red Canary; Christiaan Beek, @ChristiaanBeek",,1,"<div class=""col-md-8 description-body"">
                                <p>Adversaries may attempt to make an executable or file difficult to discover or analyze by encrypting, encoding, or otherwise obfuscating its contents on the system or in transit. This is common behavior that can be used across different platforms and the network to evade defenses.</p><p>Payloads may be compressed, archived, or encrypted in order to avoid detection. These payloads may be used during Initial Access or later to mitigate detection. Sometimes a user's action may be required to open and Deobfuscate/Decode Files or Information for User Execution. The user may also be required to input a password to open a password protected compressed/encrypted file that was provided by the adversary. <span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""Volexity PowerDuke November 2016""></span> Adversaries may also used compressed or archived scripts, such as Javascript.</p><p>Portions of files can also be encoded to hide the plain-text strings that would otherwise help defenders with discovery. <span onclick=""scrollToRef('scite-2')"" id=""scite-ref-2-a"" class=""scite-citeref-number"" data-reference=""Linux/Cdorked.A We Live Security Analysis""></span> Payloads may also be split into separate, seemingly benign files that only reveal malicious functionality when reassembled. <span onclick=""scrollToRef('scite-3')"" id=""scite-ref-3-a"" class=""scite-citeref-number"" data-reference=""Carbon Black Obfuscation Sept 2016""></span></p><p>Adversaries may also obfuscate commands executed from payloads or directly via a Command-Line Interface. Environment variables, aliases, characters, and other platform/language specific semantics can be used to evade signature based detections and whitelisting mechanisms. <span onclick=""scrollToRef('scite-4')"" id=""scite-ref-4-a"" class=""scite-citeref-number"" data-reference=""FireEye Obfuscation June 2017""></span> <span onclick=""scrollToRef('scite-5')"" id=""scite-ref-5-a"" class=""scite-citeref-number"" data-reference=""FireEye Revoke-Obfuscation July 2017""></span> <span onclick=""scrollToRef('scite-6')"" id=""scite-ref-6-a"" class=""scite-citeref-number"" data-reference=""PaloAlto EncodedCommand March 2017""></span></p><p>Another example of obfuscation is through the use of steganography, a technique of hiding messages or code in images, audio tracks, video clips, or text files. One of the first known and reported adversaries that used steganography activity surrounding Invoke-PSImage. The Duqu malware encrypted the gathered information from a victim's system and hid it into an image followed by exfiltrating the image to a C2 server. <span onclick=""scrollToRef('scite-7')"" id=""scite-ref-7-a"" class=""scite-citeref-number"" data-reference=""Wikipedia Duqu""></span> By the end of 2017, an adversary group used Invoke-PSImage to hide PowerShell commands in an image file (png) and execute the code on a victim's system. In this particular case the PowerShell code downloaded another obfuscated script to gather intelligence from the victim's machine and communicate it back to the adversary. <span onclick=""scrollToRef('scite-8')"" id=""scite-ref-8-a"" class=""scite-citeref-number"" data-reference=""McAfee Malicious Doc Targets Pyeongchang Olympics""></span></p>
                            </div>",Antivirus/Antimalware:=Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted.
T1137,Office Application Startup,Persistence,"Windows, Office 365","User, Administrator",,"Process monitoring, Process command-line parameters, Windows Registry, File monitoring",,"Microsoft Threat Intelligence Center (MSTIC); Sahar Shukrun; Praetorian; Nick Carr, FireEye; Loic Jaquemet; Ricardo Dias",,1.2,"<div class=""col-md-8 description-body"">
                                <p>Microsoft Office is a fairly common application suite on Windows-based operating systems within an enterprise network. There are multiple mechanisms that can be used with Office for persistence when an Office-based application is started.</p><h3>Office Template Macros</h3><p>Microsoft Office contains templates that are part of common Office applications and are used to customize styles. The base templates within the application are used each time an application starts. <span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""Microsoft Change Normal Template""></span></p><p>Office Visual Basic for Applications (VBA) macros <span onclick=""scrollToRef('scite-2')"" id=""scite-ref-2-a"" class=""scite-citeref-number"" data-reference=""MSDN VBA in Office""></span> can be inserted into the base template and used to execute code when the respective Office application starts in order to obtain persistence. Examples for both Word and Excel have been discovered and published. By default, Word has a Normal.dotm template created that can be modified to include a malicious macro. Excel does not have a template file created by default, but one can be added that will automatically be loaded.<span onclick=""scrollToRef('scite-3')"" id=""scite-ref-3-a"" class=""scite-citeref-number"" data-reference=""enigma0x3 normal.dotm""></span><span onclick=""scrollToRef('scite-4')"" id=""scite-ref-4-a"" class=""scite-citeref-number"" data-reference=""Hexacorn Office Template Macros""></span> Shared templates may also be stored and pulled from remote locations.<span onclick=""scrollToRef('scite-5')"" id=""scite-ref-5-a"" class=""scite-citeref-number"" data-reference=""GlobalDotName Jun 2019""></span> </p><p>Word Normal.dotm location:<code>C:\Users\(username)\AppData\Roaming\Microsoft\Templates\Normal.dotm</code></p><p>Excel Personal.xlsb location:<code>C:\Users\(username)\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB</code></p><p>Adversaries may also change the location of the base template to point to their own by hijacking the application's search order, e.g. Word 2016 will first look for Normal.dotm under <code>C:\Program Files (x86)\Microsoft Office\root\Office16\</code>, or by modifying the GlobalDotName registry key. By modifying the GlobalDotName registry key an adversary can specify an arbitrary location, file name, and file extension to use for the template that will be loaded on application startup. To abuse GlobalDotName, adversaries may first need to register the template as a trusted document or place it in a trusted location.<span onclick=""scrollToRef('scite-5')"" id=""scite-ref-5-a"" class=""scite-citeref-number"" data-reference=""GlobalDotName Jun 2019""></span> </p><p>An adversary may need to enable macros to execute unrestricted depending on the system or enterprise security policy on use of macros.</p><h3>Office Test</h3><p>A Registry location was found that when a DLL reference was placed within it the corresponding DLL pointed to by the binary path would be executed every time an Office application is started <span onclick=""scrollToRef('scite-6')"" id=""scite-ref-6-a"" class=""scite-citeref-number"" data-reference=""Hexacorn Office Test""></span></p><p><code>HKEY_CURRENT_USER\Software\Microsoft\Office test\Special\Perf</code></p><h3>Add-ins</h3><p>Office add-ins can be used to add functionality to Office programs. <span onclick=""scrollToRef('scite-7')"" id=""scite-ref-7-a"" class=""scite-citeref-number"" data-reference=""Microsoft Office Add-ins""></span></p><p>Add-ins can also be used to obtain persistence because they can be set to execute code when an Office application starts. There are different types of add-ins that can be used by the various Office products; including Word/Excel add-in Libraries (WLL/XLL), VBA add-ins, Office Component Object Model (COM) add-ins, automation add-ins, VBA Editor (VBE), Visual Studio Tools for Office (VSTO) add-ins, and Outlook add-ins. <span onclick=""scrollToRef('scite-8')"" id=""scite-ref-8-a"" class=""scite-citeref-number"" data-reference=""MRWLabs Office Persistence Add-ins""></span><span onclick=""scrollToRef('scite-9')"" id=""scite-ref-9-a"" class=""scite-citeref-number"" data-reference=""FireEye Mail CDS 2018""></span></p><h3>Outlook Rules, Forms, and Home Page</h3><p>A variety of features have been discovered in Outlook that can be abused to obtain persistence, such as Outlook rules, forms, and Home Page.<span onclick=""scrollToRef('scite-10')"" id=""scite-ref-10-a"" class=""scite-citeref-number"" data-reference=""SensePost Ruler GitHub""></span> These persistence mechanisms can work within Outlook or be used through Office 365.<span onclick=""scrollToRef('scite-11')"" id=""scite-ref-11-a"" class=""scite-citeref-number"" data-reference=""TechNet O365 Outlook Rules""></span></p><p>Outlook rules allow a user to define automated behavior to manage email messages. A benign rule might, for example, automatically move an email to a particular folder in Outlook if it contains specific words from a specific sender. Malicious Outlook rules can be created that can trigger code execution when an adversary sends a specifically crafted email to that user.<span onclick=""scrollToRef('scite-12')"" id=""scite-ref-12-a"" class=""scite-citeref-number"" data-reference=""SilentBreak Outlook Rules""></span></p><p>Outlook forms are used as templates for presentation and functionality in Outlook messages. Custom Outlook Forms can be created that will execute code when a specifically crafted email is sent by an adversary utilizing the same custom Outlook form.<span onclick=""scrollToRef('scite-13')"" id=""scite-ref-13-a"" class=""scite-citeref-number"" data-reference=""SensePost Outlook Forms""></span></p><p>Outlook Home Page is a legacy feature used to customize the presentation of Outlook folders. This feature allows for an internal or external URL to be loaded and presented whenever a folder is opened. A malicious HTML page can be crafted that will execute code when loaded by Outlook Home Page.<span onclick=""scrollToRef('scite-14')"" id=""scite-ref-14-a"" class=""scite-citeref-number"" data-reference=""SensePost Outlook Home Page""></span></p><p>To abuse these features, an adversary requires prior access to the user&#8217;s Outlook mailbox, either via an Exchange/OWA server or via the client application. Once malicious rules, forms, or Home Pages have been added to the user&#8217;s mailbox, they will be loaded when Outlook is started. Malicious Home Pages will execute when the right Outlook folder is loaded/reloaded while malicious rules and forms will execute when an adversary sends a specifically crafted email to the user.<span onclick=""scrollToRef('scite-12')"" id=""scite-ref-12-a"" class=""scite-citeref-number"" data-reference=""SilentBreak Outlook Rules""></span><span onclick=""scrollToRef('scite-13')"" id=""scite-ref-13-a"" class=""scite-citeref-number"" data-reference=""SensePost Outlook Forms""></span><span onclick=""scrollToRef('scite-14')"" id=""scite-ref-14-a"" class=""scite-citeref-number"" data-reference=""SensePost Outlook Home Page""></span></p>
                            </div>","Disable or Remove Feature or Program:=Follow Office macro security best practices suitable for your environment. Disable Office VBA macros from executing.
Disable Office add-ins. If they are required, follow best practices for securing them by requiring them to be signed and disabling user notification for allowing add-ins. For some add-ins types (WLL, VBA) additional mitigation is likely required as disabling add-ins in the Office Trust Center does not disable WLL nor does it prevent VBA code from executing.||Software Configuration:=For the Office Test method, create the Registry key used to execute it and set the permissions to ""Read Control"" to prevent easy access to the key without administrator permissions or requiring Privilege Escalation.||Update Software:=For the Outlook methods, blocking macros may be ineffective as the Visual Basic engine used for these features is separate from the macro scripting engine. Microsoft has released patches to try to address each issue. Ensure KB3191938 which blocks Outlook Visual Basic and displays a malicious code warning, KB4011091 which disables custom forms by default, and KB4011162 which removes the legacy Home Page feature, are applied to systems."
T1502,Parent PID Spoofing,"Defense Evasion, Privilege Escalation",Windows,"User, Administrator",,"Windows event logs, Process monitoring, API monitoring",,"Wayne Silva, Countercept",,1,"<div class=""col-md-8 description-body"">
                                <p>Adversaries may spoof the parent process identifier (PPID) of a new process to evade process-monitoring defenses or to elevate privileges. New processes are typically spawned directly from their parent, or calling, process unless explicitly specified. One way of explicitly assigning the PPID of a new process is via the <code>CreateProcess</code> API call, which supports a parameter that defines the PPID to use.<span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""DidierStevens SelectMyParent Nov 2009""></span> This functionality is used by Windows features such as User Account Control (UAC) to correctly set the PPID after a requested elevated process is spawned by SYSTEM (typically via <code>svchost.exe</code> or <code>consent.exe</code>) rather than the current user context.<span onclick=""scrollToRef('scite-2')"" id=""scite-ref-2-a"" class=""scite-citeref-number"" data-reference=""Microsoft UAC Nov 2018""></span></p><p>Adversaries may abuse these mechanisms to evade defenses, such as those blocking processes spawning directly from Office documents, and analysis targeting unusual/potentially malicious parent-child process relationships, such as spoofing the PPID of PowerShell/Rundll32 to be <code>explorer.exe</code> rather than an Office document delivered as part of Spearphishing Attachment.<span onclick=""scrollToRef('scite-3')"" id=""scite-ref-3-a"" class=""scite-citeref-number"" data-reference=""CounterCept PPID Spoofing Dec 2018""></span> This spoofing could be executed via VBA Scripting within a malicious Office document or any code that can perform Execution through API.<span onclick=""scrollToRef('scite-4')"" id=""scite-ref-4-a"" class=""scite-citeref-number"" data-reference=""CTD PPID Spoofing Macro Mar 2019""></span><span onclick=""scrollToRef('scite-3')"" id=""scite-ref-3-a"" class=""scite-citeref-number"" data-reference=""CounterCept PPID Spoofing Dec 2018""></span></p><p>Explicitly assigning the PPID may also enable Privilege Escalation (given appropriate access rights to the parent process). For example, an adversary in a privileged user context (i.e. administrator) may spawn a new process and assign the parent as a process running as SYSTEM (such as <code>lsass.exe</code>), causing the new process to be elevated via the inherited access token.<span onclick=""scrollToRef('scite-5')"" id=""scite-ref-5-a"" class=""scite-citeref-number"" data-reference=""XPNSec PPID Nov 2017""></span></p>
                            </div>",:=This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
T1075,Pass the Hash,Lateral Movement,Windows,,,Authentication logs,CAPEC-644,"Travis Smith, Tripwire",,1,"<div class=""col-md-8 description-body"">
                                <p>Pass the hash (PtH) is a method of authenticating as a user without having access to the user's cleartext password. This method bypasses standard authentication steps that require a cleartext password, moving directly into the portion of the authentication that uses the password hash. In this technique, valid password hashes for the account being used are captured using a Credential Access technique. Captured hashes are used with PtH to authenticate as that user. Once authenticated, PtH may be used to perform actions on local or remote systems. </p><p>Windows 7 and higher with KB2871997 require valid domain user credentials or RID 500 administrator hashes. <span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""NSA Spotting""></span></p>
                            </div>","Password Policies:=Ensure that built-in and created local administrator accounts have complex, unique passwords.||Privileged Account Management:=Limit credential overlap across systems to prevent the damage of credential compromise and reduce the adversary's ability to perform Lateral Movement between systems.||Update Software:=Apply patch KB2871997 to Windows 7 and higher systems to limit the default access of accounts in the local administrator group.||User Account Control:=Enable pass the hash mitigations to apply UAC restrictions to local accounts on network logon. The associated Registry key is located HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\LocalAccountTokenFilterPolicy Through GPO: Computer Configuration > [Policies] > Administrative Templates > SCM: Pass the Hash Mitigations: Apply UAC restrictions to local accounts on network logons.||User Account Management:=Do not allow a domain user to be in the local administrator group on multiple systems."
