ssl_cipher,ssl_cipher_hex,ssl_cipher_name,ssl_cipher_protocol,ssl_cipher_kx,ssl_cipher_au,ssl_cipher_eu,ssl_cipher_bits,ssl_cipher_mac
65278,0x00FEFE,SSL_RSA_FIPS_WITH_DES_CBC_SHA,SSL,RSA_FIPS,RSA_FIPS,DES_CBC,56,SHA
65279,0x00FEFF,SSL_RSA_FIPS_WITH_3DES_EDE_CBC_SHA,SSL,RSA_FIPS,RSA_FIPS,3DES_EDE_CBC,168,SHA
65504,0x00FFE0,SSL_RSA_FIPS_WITH_3DES_EDE_CBC_SHA,SSL,RSA_FIPS,RSA_FIPS,3DES_EDE_CBC,168,SHA
65505,0x00FFE1,SSL_RSA_FIPS_WITH_DES_CBC_SHA,SSL,RSA_FIPS,RSA_FIPS,DES_CBC,56,SHA
65664,0x010080,SSL2_RC4_128_WITH_MD5,SSL2,RSA,RSA,RC4_128,128,MD5
131200,0x020080,SSL2_RC4_128_EXPORT40_WITH_MD5,SSL2,RSA,RSA,RC4_128_EXPORT40,40,MD5
196736,0x030080,SSL2_RC2_CBC_128_CBC_WITH_MD5,SSL2,RSA,RSA,RC2_CBC_128_CBC,128,MD5
262272,0x040080,SSL2_RC2_CBC_128_CBC_WITH_MD5,SSL2,RSA,RSA,RC2_CBC_128_CBC,128,MD5
327808,0x050080,SSL2_IDEA_128_CBC_WITH_MD5,SSL2,RSA,RSA,IDEA_128_CBC,128,MD5
393280,0x060040,SSL2_DES_64_CBC_WITH_MD5,SSL2,RSA,RSA,DES_64_CBC,64,MD5
458944,0x0700C0,SSL2_DES_192_EDE3_CBC_WITH_MD5,SSL2,RSA,RSA,DES_192_EDE3_CBC,192,MD5
524416,0x080080,SSL2_RC4_64_WITH_MD5,SSL2,RSA,RSA,RC4_64,64,MD5
8388609,0x800001,PCT_SSL_CERT_TYPE,PCT1_CERT_X509,PCT,,,,
8388611,0x800003,PCT_SSL_CERT_TYPE,PCT1_CERT_X509_CHAIN,PCT,,,,
8454145,0x810001,PCT_SSL_HASH_TYPE,PCT1_HASH_MD5,PCT,,,,
8454147,0x810003,PCT_SSL_HASH_TYPE,PCT1_HASH_SHA,PCT,,,,
8519681,0x820001,PCT_SSL_EXCH_TYPE,PCT1_EXCH_RSA_PKCS1,PCT,,,,
8585220,0x830004,PCT_SSL_CIPHER_TYPE_1ST_HALF,PCT1_CIPHER_RC4,PCT,,,,
8661056,0x842840,PCT_SSL_CIPHER_TYPE_2ND_HALF,PCT1_ENC_BITS_40,PCT1_MAC_BITS 128,PCT,,,
8683584,0x848040,PCT_SSL_CIPHER_TYPE_2ND_HALF,PCT1_ENC_BITS_128,PCT1_MAC_BITS 128,PCT,,,
9404417,0x8F8001,PCT_SSL_COMPAT,PCT_VERSION_1,PCT,,,,
